dates,nzd0130-0000,nzd0130-0001,nzd0130-0002,nzd0130-0003,nzd0130-0004,nzd0130-0005,nzd0130-0006,nzd0130-0007,nzd0130-0008,satname
1999-08-26 22:04:44+00:00,419.63,419.81,402.93,397.19,401.68,404.47,397.65,392.89,426.96,L7
1999-09-27 22:04:48+00:00,429.57,423.96,407.12,396.78,399.13,400.76,390.32,394.57,428.60,L7
1999-10-06 21:58:40+00:00,434.72,421.30,407.12,396.78,396.22,396.65,390.32,394.57,428.60,L7
1999-11-14 22:04:42+00:00,433.23,421.08,407.30,395.51,396.50,395.74,390.09,391.21,423.26,L7
1999-12-25 21:58:28+00:00,436.37,422.20,406.90,395.50,397.22,395.02,389.03,391.70,428.70,L7
2000-02-11 21:58:22+00:00,435.29,422.34,407.22,395.86,397.88,395.04,390.40,393.04,428.41,L7
2000-03-30 21:58:09+00:00,438.15,419.06,406.08,397.00,398.86,394.41,392.22,394.54,432.34,L7
2000-05-17 21:57:43+00:00,429.83,416.37,404.16,398.19,402.15,397.65,393.05,396.22,431.48,L7
2000-05-24 22:03:46+00:00,428.81,415.57,403.63,397.44,401.97,396.53,392.72,395.54,426.88,L7
2000-07-20 21:56:59+00:00,418.41,407.82,397.92,392.94,397.73,392.35,389.07,391.45,419.70,L7
2000-08-12 22:02:54+00:00,407.00,404.55,394.61,388.69,394.73,388.95,385.20,387.66,419.85,L7
2000-12-11 21:56:00+00:00,398.57,396.48,384.51,376.38,382.71,376.65,373.27,374.86,411.77,L7
2001-01-03 22:02:12+00:00,404.53,401.36,389.01,378.73,384.61,380.06,375.88,375.22,411.77,L7
2001-02-13 21:56:03+00:00,415.67,408.53,395.72,386.66,389.18,388.28,383.23,377.95,406.14,L7
2001-03-01 21:55:57+00:00,409.36,403.46,393.10,388.65,389.62,389.42,384.08,377.95,406.14,L7
2001-03-17 21:55:52+00:00,418.70,405.53,394.87,390.18,390.24,390.98,384.05,378.87,406.14,L7
2001-03-24 22:01:59+00:00,418.45,406.25,395.39,389.97,390.71,390.61,384.02,380.58,404.38,L7
2001-06-05 21:55:16+00:00,416.60,406.47,395.93,389.07,390.25,389.39,382.95,381.00,404.38,L7
2001-06-28 22:01:09+00:00,420.53,411.10,398.78,388.92,390.17,388.73,382.62,381.71,407.45,L7
2001-08-08 21:54:37+00:00,420.36,410.80,398.42,390.02,390.53,388.13,382.44,383.26,410.36,L7
2001-08-24 21:54:24+00:00,419.35,410.27,397.30,388.80,389.47,387.32,381.44,382.28,409.11,L7
2001-09-09 21:54:12+00:00,423.76,413.70,399.08,387.77,389.87,386.51,381.14,381.58,408.98,L7
2001-09-25 21:54:04+00:00,418.61,417.82,400.69,387.29,390.03,385.80,380.32,380.48,411.68,L7
2001-10-02 22:00:04+00:00,418.10,416.84,400.55,387.95,390.41,386.24,380.28,380.49,408.70,L7
2001-10-11 21:53:46+00:00,418.10,418.38,402.03,389.54,391.38,387.18,379.68,379.84,418.00,L7
2001-11-03 22:00:10+00:00,419.13,417.56,401.17,388.84,390.70,386.19,379.57,379.97,418.78,L7
2001-11-28 21:54:11+00:00,423.17,416.79,400.38,388.53,390.11,385.08,378.47,378.86,421.58,L7
2001-12-30 21:54:13+00:00,424.64,416.54,400.34,390.66,391.39,386.66,378.88,378.99,419.81,L7
2002-01-22 22:00:40+00:00,430.97,417.97,401.61,392.06,392.48,388.23,379.74,380.17,425.58,L7
2002-01-31 21:54:26+00:00,433.21,419.41,402.06,392.65,393.44,388.90,380.26,381.27,427.37,L7
2002-02-23 22:00:43+00:00,442.20,422.28,404.53,394.92,395.47,391.32,381.01,383.47,433.26,L7
2002-03-27 22:00:37+00:00,439.83,420.05,403.77,394.40,395.04,390.30,380.12,384.24,434.10,L7
2002-04-12 22:00:37+00:00,440.16,418.94,402.74,393.37,394.64,389.95,380.82,386.49,432.03,L7
2002-04-28 22:00:38+00:00,439.08,418.67,402.20,392.56,394.20,388.69,380.42,385.96,430.78,L7
2002-05-23 21:54:18+00:00,443.76,419.62,403.00,394.86,395.41,389.80,380.70,389.66,432.66,L7
2002-05-30 22:00:25+00:00,441.30,420.13,402.73,395.48,396.42,391.57,381.27,392.07,430.30,L7
2002-06-15 22:00:19+00:00,439.62,419.72,403.07,395.61,395.95,391.64,381.31,391.55,429.61,L7
2002-06-24 21:54:04+00:00,436.94,418.95,402.84,394.75,396.05,391.42,381.38,390.90,429.65,L7
2002-07-01 22:00:15+00:00,434.93,419.28,402.84,392.96,394.46,390.27,381.47,389.94,432.03,L7
2002-07-17 22:00:08+00:00,434.93,420.51,403.61,392.36,394.93,389.95,381.18,390.03,434.92,L7
2002-08-18 21:59:57+00:00,428.65,419.05,402.29,390.05,392.89,387.65,379.46,389.73,431.38,L7
2002-08-27 21:53:36+00:00,424.01,417.23,401.63,388.82,391.62,386.25,379.18,387.75,428.12,L7
2002-10-05 21:59:31+00:00,429.67,417.81,401.44,389.49,390.76,385.94,378.73,387.25,430.07,L7
2002-10-14 21:53:19+00:00,437.62,420.52,403.08,390.87,391.77,387.30,380.25,388.53,433.87,L7
2002-12-24 22:00:09+00:00,444.20,423.70,405.61,388.95,390.24,386.27,380.59,385.00,436.69,L7
2003-01-18 21:54:06+00:00,458.22,421.21,404.53,392.76,392.23,389.06,383.08,386.25,428.27,L7
2003-01-25 22:00:18+00:00,460.31,420.96,403.80,392.37,392.31,388.79,383.09,386.79,427.71,L7
2003-03-23 21:54:16+00:00,469.86,418.96,401.91,392.65,392.31,389.06,382.16,385.76,424.49,L7
2003-03-30 22:00:31+00:00,469.86,418.09,400.98,391.60,391.71,388.29,381.87,385.53,425.20,L7
2003-05-10 21:54:22+00:00,463.32,417.62,399.89,389.63,391.01,387.26,381.67,386.88,423.09,L7
2003-08-05 22:00:11+00:00,441.05,417.95,398.72,386.63,387.79,386.02,379.86,387.33,428.64,L7
2003-08-13 21:48:45+00:00,432.69,414.37,395.30,383.93,384.30,382.52,377.37,385.21,431.98,L5
