dates,nzd0130-0000,nzd0130-0001,nzd0130-0002,nzd0130-0003,nzd0130-0004,nzd0130-0005,nzd0130-0006,nzd0130-0007,nzd0130-0008,satname
1999-08-26 22:04:44+00:00,419.63,419.81,402.93,397.19,401.68,404.47,397.65,392.89,426.96,L7
1999-09-27 22:04:48+00:00,439.52,428.10,411.31,396.38,396.58,397.06,383.00,396.26,430.24,L7
1999-10-06 21:58:40+00:00,445.01,415.99,,,390.40,388.41,,,,L7
1999-11-14 22:04:42+00:00,428.77,420.42,407.65,392.96,397.33,393.03,389.63,384.47,412.59,L7
1999-12-25 21:58:28+00:00,448.91,426.66,405.71,395.46,400.10,392.14,385.84,393.17,445.01,L7
2000-02-11 21:58:22+00:00,429.92,423.08,408.48,397.32,401.21,395.15,395.90,398.43,427.23,L7
2000-03-30 21:58:09+00:00,,409.17,402.49,402.26,405.28,403.30,397.50,402.07,444.55,L7
2000-05-17 21:57:43+00:00,410.65,406.58,399.95,397.73,402.01,400.01,392.96,391.19,409.11,L7
2000-05-24 22:03:46+00:00,425.74,412.38,401.54,394.43,401.27,392.07,391.39,392.85,408.49,L7
2000-07-20 21:56:59+00:00,407.35,387.88,377.14,372.95,378.87,371.21,367.60,372.72,409.11,L7
2000-08-12 22:02:54+00:00,384.26,406.74,391.92,376.07,386.21,378.14,376.57,379.45,427.98,L7
2000-12-11 21:56:00+00:00,404.09,394.83,384.48,380.12,383.05,380.60,375.63,372.40,398.23,L7
2001-01-03 22:02:12+00:00,422.44,415.97,402.50,385.79,390.30,390.29,383.70,376.31,,L7
2001-02-13 21:56:03+00:00,420.48,414.80,400.18,394.06,394.20,393.94,390.35,385.15,414.05,L7
2001-03-01 21:55:57+00:00,390.42,388.22,385.23,394.62,390.95,392.85,386.63,,,L7
2001-03-17 21:55:52+00:00,456.05,413.84,401.96,396.31,392.72,397.22,383.93,381.62,,L7
2001-03-24 22:01:59+00:00,417.22,409.84,397.99,388.91,393.02,388.74,383.89,387.43,400.85,L7
2001-06-05 21:55:16+00:00,405.51,407.78,399.15,383.70,387.51,382.12,376.54,383.10,,L7
2001-06-28 22:01:09+00:00,431.56,427.26,404.48,379.08,382.47,375.93,373.30,376.65,,L7
2001-08-08 21:54:37+00:00,421.26,413.87,399.92,393.43,392.83,386.08,382.46,385.62,416.18,L7
2001-08-24 21:54:24+00:00,413.45,411.09,392.35,385.58,386.80,388.33,383.30,379.27,410.30,L7
2001-09-09 21:54:12+00:00,421.28,412.19,397.74,387.39,393.73,387.13,384.55,377.36,408.57,L7
2001-09-25 21:54:04+00:00,,434.72,410.48,394.55,396.85,395.19,381.74,380.89,,L7
2001-10-02 22:00:04+00:00,415.55,410.95,399.70,391.89,392.67,388.90,380.05,380.52,399.77,L7
2001-10-11 21:53:46+00:00,,429.15,412.40,400.70,398.21,393.74,375.47,375.29,455.20,L7
2001-11-03 22:00:10+00:00,425.33,411.02,394.34,383.23,385.19,378.28,378.73,381.03,422.65,L7
2001-11-28 21:54:11+00:00,451.39,409.88,393.24,385.76,384.84,375.11,368.57,368.89,438.41,L7
2001-12-30 21:54:13+00:00,424.22,415.99,402.85,393.45,391.37,387.16,375.04,382.00,407.38,L7
2002-01-22 22:00:40+00:00,475.30,430.86,413.04,404.58,402.34,402.35,387.49,390.79,471.74,L7
2002-01-31 21:54:26+00:00,451.09,433.78,406.62,398.60,402.97,395.65,385.44,392.27,443.46,L7
2002-02-23 22:00:43+00:00,473.48,434.23,414.92,409.08,406.52,409.66,393.02,405.68,452.17,L7
2002-03-27 22:00:37+00:00,402.27,404.58,396.79,382.34,391.25,381.88,377.31,381.66,416.09,L7
2002-04-12 22:00:37+00:00,418.21,411.21,400.11,389.91,392.67,389.48,380.97,389.63,404.38,L7
2002-04-28 22:00:38+00:00,430.44,416.44,397.88,386.05,390.63,378.62,377.21,381.65,420.72,L7
2002-05-23 21:54:18+00:00,467.45,,401.56,403.96,396.14,388.29,381.28,414.36,439.55,L7
2002-05-30 22:00:25+00:00,429.25,413.96,390.76,391.33,393.90,391.01,373.68,390.63,417.17,L7
2002-06-15 22:00:19+00:00,424.54,416.42,406.17,396.80,391.68,392.31,381.61,386.86,423.42,L7
2002-06-24 21:54:04+00:00,410.11,412.00,400.56,386.10,397.12,389.21,382.12,384.36,430.09,L7
2002-07-01 22:00:15+00:00,402.13,,,373.83,373.80,374.47,376.04,371.46,433.49,L7
2002-07-17 22:00:08+00:00,,431.60,411.34,385.69,400.17,386.48,378.01,391.01,466.79,L7
2002-08-18 21:59:57+00:00,,430.98,402.82,385.48,387.87,382.70,372.78,,441.27,L7
2002-08-27 21:53:36+00:00,431.66,417.89,408.32,395.57,392.54,394.26,390.01,385.93,416.39,L7
2002-10-05 21:59:31+00:00,453.21,409.79,394.84,389.64,381.84,378.54,372.31,376.60,437.46,L7
2002-10-14 21:53:19+00:00,489.79,435.63,416.60,405.14,403.74,404.36,397.73,402.47,446.20,L7
2002-12-24 22:00:09+00:00,,416.32,399.76,387.29,391.69,383.10,377.24,382.55,415.22,L7
2003-01-18 21:54:06+00:00,,416.68,404.84,393.45,395.73,391.42,388.40,383.72,413.07,L7
2003-01-25 22:00:18+00:00,466.59,419.43,399.45,390.01,392.73,387.14,383.18,389.46,424.34,L7
2003-03-23 21:54:16+00:00,,415.90,395.96,390.38,388.13,389.77,374.10,379.75,410.68,L7
2003-03-30 22:00:31+00:00,,412.89,395.40,385.26,388.11,383.67,380.11,384.19,429.45,L7
2003-05-10 21:54:22+00:00,460.06,424.53,403.91,391.42,389.64,388.47,386.97,401.60,445.78,L7
2003-08-05 22:00:11+00:00,422.04,418.49,399.60,379.46,385.27,382.18,378.27,383.78,,L7
2003-08-13 21:48:45+00:00,415.96,400.05,381.61,373.11,370.36,368.53,367.39,376.71,442.00,L5
2003-09-30 21:49:30+00:00,439.34,415.20,402.66,389.07,387.58,389.25,382.13,384.86,422.77,L5
2003-10-25 21:43:40+00:00,420.84,408.77,390.42,381.72,381.86,380.28,376.44,380.86,407.90,L5
2003-11-09 22:00:18+00:00,,,399.88,,,,,,410.61,L7
2003-11-17 21:50:09+00:00,454.19,423.99,409.04,406.53,404.19,404.72,399.21,401.25,457.46,L5
2003-11-18 21:54:15+00:00,492.77,441.91,418.90,417.52,415.63,419.35,,,,L7
2003-12-04 21:54:19+00:00,488.68,438.55,,,,,,410.69,455.06,L7
2003-12-12 21:44:10+00:00,443.01,427.78,407.95,400.07,402.58,397.40,396.29,391.97,428.64,L5
2004-01-21 21:54:39+00:00,,,399.27,390.88,393.02,389.24,379.63,381.93,401.70,L7
2004-02-13 22:00:55+00:00,478.45,426.36,404.96,392.48,399.03,,,,,L7
2004-02-14 21:44:33+00:00,476.70,415.78,400.38,393.54,392.85,391.94,390.73,391.45,439.23,L5
2004-02-21 21:50:47+00:00,440.97,427.28,410.60,400.73,403.55,391.52,,,,L5
