,dates,mex0169-0000,mex0169-0001,mex0169-0002,mex0169-0003,mex0169-0004,mex0169-0005
0,1986-01-25 16:33:44+00:00,226.5873806709237,229.12755628782386,230.87631716771037,232.80933454057484,223.86330231942424,223.0053870075762
1,1986-03-14 16:32:40+00:00,241.53702907050013,243.39857162396942,232.24786762077994,233.4328890061816,229.68590901847045,226.2166487189108
2,1986-04-06 16:38:23+00:00,240.42396645390986,237.2237622069104,230.23737726128525,230.55771490519427,224.48924415643648,225.97292603617666
3,1986-04-15 16:32:00+00:00,234.24862737429245,233.10719952196155,222.15783045834868,230.1717127953242,221.50100473152085,222.93455957735256
4,1986-04-22 16:38:01+00:00,243.28348584513293,233.93007928501268,234.64795435137978,237.27684260906508,221.7049491555681,225.90488469787752
5,1986-05-01 16:31:37+00:00,227.07551806023667,223.94823711925133,231.37247692508905,235.610594417016,228.74735927485443,227.46749371257013
6,1986-10-08 16:26:23+00:00,224.2158343088155,222.8237569823902,221.7010507561374,231.1134357699584,219.65935209611195,221.38687488379375
7,1987-09-16 16:39:39+00:00,214.09965216919247,208.65227283223498,206.54599260645787,212.8205278071404,203.81089107661975,203.76732801675317
8,1990-01-27 16:34:51+00:00,228.9954388827051,228.20740005705497,225.9812826466089,232.92207926286036,229.4220037728507,225.6756911416849
9,1990-02-12 16:34:21+00:00,232.29438511609348,235.470879613422,227.4402464490492,240.7872581800959,233.1624967065123,228.1534754153201
10,1990-03-16 16:33:16+00:00,231.14381206866312,226.8690782025421,218.3193777438831,229.2211828124027,219.71747326648585,224.75298304207098
11,1990-03-25 16:26:48+00:00,243.27347903839683,236.09961885147123,232.64091968019926,233.73222290523952,231.80316798491953,229.34980410589696
12,1990-04-01 16:32:48+00:00,226.90182712075222,223.1886688808149,219.25862634641064,230.50156307087127,221.3697150037829,220.98844849160707
13,1992-08-28 16:35:07+00:00,223.25966846292897,226.51696655084513,217.30810434415227,231.62522192967606,218.14383349038167,227.43220677319263
14,1993-01-03 16:34:15+00:00,229.6654769913842,233.90416338888258,233.67690496512935,241.39667359142075,236.86443747363907,231.63698910835933
15,1993-01-12 16:28:11+00:00,224.3486882225629,230.3786173514436,225.73614702908966,238.8996500500414,233.04072952656787,225.5300058561404
16,1993-01-19 16:34:27+00:00,240.58711788927482,239.76179772707968,238.15940236140207,249.88349890426943,240.1338144630793,233.85560699202068
17,1993-02-04 16:34:38+00:00,237.27542598293584,248.39778658284357,245.95458749839096,251.19240690887128,242.9243547140063,239.85159285719524
18,1993-02-13 16:28:31+00:00,232.4727746783951,243.79492557888386,236.83240505645918,238.24145200221338,227.50454115087638,231.1500263946369
19,1993-02-20 16:34:43+00:00,242.28859171330393,243.3096175042972,242.87003667478632,235.357028666716,232.7792362143889,229.66537830175304
20,1993-03-01 16:28:38+00:00,235.4805160056673,246.88482183675822,238.8957323192472,239.08920512974984,227.37292696225455,227.90154326837137
21,1993-03-08 16:34:54+00:00,247.0047255713761,244.8429896651522,248.2296637546443,242.73694239331095,231.36242798537177,234.42189356358568
22,1993-03-17 16:28:45+00:00,246.76006010597155,248.8012690410806,253.83616069190575,237.55288540471454,235.7709739355271,229.69793009506643
23,1993-04-02 16:28:49+00:00,232.59226686554484,227.76474361826428,234.9919854551716,240.35199796755342,223.87073882928138,235.4408470612521
24,1993-04-09 16:35:02+00:00,240.02131729221713,227.6199872760312,241.1121646537838,237.05988202676318,227.2935424467384,233.53814975348118
25,1993-04-18 16:28:57+00:00,243.77255956019525,234.33431132014226,238.19067100853016,234.7845025087321,228.8059036457033,231.43362085354278
26,1993-05-04 16:29:01+00:00,233.43218814493852,231.85243325406165,225.55335730410184,240.96461624362195,234.75253872606024,234.21218969305335
27,1993-05-11 16:35:14+00:00,219.24396253352867,214.83509093432906,207.30364423494748,216.60689792113948,210.43283673235976,214.38954745519266
28,1993-05-20 16:29:04+00:00,234.73492164885778,228.36637355991098,235.08841141508074,229.47440203829066,222.6723797008431,225.60471610740407
29,1993-05-27 16:35:17+00:00,228.42440037312718,216.77341420518974,215.92066533950847,224.40451106274577,217.37583449874847,214.91044333315216
30,1993-06-05 16:29:08+00:00,228.15287380393113,222.81251490510374,227.14462031309614,230.77149874950035,218.40017052551363,222.83675694301454
31,1993-06-12 16:35:17+00:00,231.8199498595578,224.90157402658392,228.83353415535672,230.36986558591508,218.87223718585392,221.172063984087
32,1993-07-14 16:35:10+00:00,224.29541084369887,210.84516883835406,216.17034218710603,228.31703307390313,218.13540109306052,223.35110618044416
33,1993-07-30 16:35:09+00:00,231.00709121359873,223.13995904102424,221.14474402123778,230.86933779561159,224.4585064077295,225.0833629217431
34,1993-08-24 16:28:57+00:00,213.40078960819278,209.28007641011902,210.9583272451799,219.71542538293193,211.49008226328098,218.6714306680778
35,1993-09-25 16:28:52+00:00,223.52941804421016,220.05101057066074,216.94985619089343,226.20636881862958,218.70589220015088,222.9995595204853
36,1993-10-02 16:35:01+00:00,231.62832117668256,223.44922891835378,216.7706955408779,227.5499537526105,219.76759742730405,218.4722498426107
37,1993-10-11 16:28:48+00:00,224.31237081824972,215.93600912471615,214.37327615692206,225.94334206741354,216.22339467008555,218.33400915445
38,1993-11-03 16:34:50+00:00,235.57319994531665,227.928705796124,224.62713596620898,229.75607291719788,224.76939946972394,222.39109508567168
39,1993-11-12 16:28:34+00:00,232.52749073238542,228.66299551871927,224.39404679878564,234.71624070864837,227.2177139800379,230.444760421898
40,1993-11-19 16:34:40+00:00,223.24054817308036,229.59292540343418,227.9356918404592,231.96941154519757,232.2730132453452,227.67281693740247
