,dates,mex0421-0000,mex0421-0001,mex0421-0002,mex0421-0003,mex0421-0004,mex0421-0005,mex0421-0006,mex0421-0007,mex0421-0008,mex0421-0009,mex0421-0010,mex0421-0011,mex0421-0012,mex0421-0013,mex0421-0014,mex0421-0015,mex0421-0016,mex0421-0017,mex0421-0018,mex0421-0019
0,1986-04-02 17:01:36+00:00,256.4189352926047,271.38050663765756,271.5586265013434,275.74620840913514,268.63385344167085,267.30439364298087,,265.13283027391327,270.36374351838225,275.18538588328306,290.22095982597307,291.07385067139813,289.9268392531058,279.3105931638211,272.65445417247446,278.19399785182037,271.4455544490367,262.78615408611773,266.5591160425799,270.6349192865717
1,1990-03-12 16:56:32+00:00,249.79151983659676,258.40938074738614,262.1409923019785,257.37900910765103,248.94920571160867,256.89564580417795,252.27042088801556,244.36123709416938,257.62619257525404,260.11817802463156,271.6464620351225,271.5298960654944,266.5684653461364,264.67396007978164,268.518130518484,278.0384439061061,272.84241855371454,258.68521941143416,261.7149548453405,
2,1991-02-27 16:56:55+00:00,251.52971051240553,266.39145853382246,266.26936003946753,262.28994418222055,255.48035011721583,254.14261875820785,258.1510575038758,253.92119599227325,262.00696184146705,265.3596678383736,273.8268527744222,273.92647020285347,279.1388481418097,276.6458676919525,276.80387663730914,273.529582913133,265.2175169097449,257.4934253963332,254.1289133678771,253.22313535482982
3,1991-03-31 16:57:31+00:00,268.23871771839123,280.5526111574566,276.4451981180073,273.63362690007597,259.352930234739,263.2512020174363,267.66699762354006,256.4268273295042,267.85266374945144,271.38343179643687,280.3122270457444,280.05490667946054,277.00961369025714,274.442723862784,276.7787267959756,273.99909484877304,262.53912439852843,259.67052307703494,254.35899806198546,
4,1993-01-15 16:57:31+00:00,246.79802475560146,262.5249491273045,269.9727458062873,263.31318926639534,245.23690329423457,241.01901691210037,253.27292330193353,251.42504196455678,264.36173308870843,269.91085651390046,270.67501785299703,273.3397800752536,278.71228158298686,275.7605059751515,275.3997117842976,265.68695799108497,259.9678630639613,256.0550744467828,252.05555199158334,254.4001858546778
5,1993-02-16 16:57:50+00:00,264.86456419073124,281.8871374145746,267.2194544673978,259.7587682276273,246.08478209940935,246.01172715445998,255.20844931628358,246.94678028596744,259.23479958994943,261.06555035711614,273.5859388345552,271.93207508930084,269.9151085863134,262.07977697359104,265.31509348558575,260.9336955914171,255.67276661218,,252.48503783690262,257.31100433013575
6,1993-03-04 16:57:59+00:00,251.69652050797407,270.27351448328756,261.57311972502424,257.2684323262449,247.08507700821565,251.65198008922144,249.3418214426246,240.2790697456645,250.64814504082835,256.5745656966729,268.0824092061105,276.45087914935635,269.6459087757811,266.34193151834336,261.5854572019778,262.94537430018596,251.16584799941745,249.96164158457907,244.81234076352592,254.66728238276255
7,1993-03-20 16:58:04+00:00,263.96886125625787,275.7173602379472,278.2318646250572,270.7676272200453,264.7248080469413,254.62732324526587,256.18204138762775,248.58960481029135,264.242940452254,264.4582205900117,281.82410918814355,278.4941465614522,275.31647915414743,268.7344285218718,263.93183306698734,262.2729876363861,262.8253585207889,253.90536891484848,247.67550483905998,
8,1993-04-05 16:58:08+00:00,260.78858717289125,274.74376575346093,269.13797175280047,269.18034731520373,262.1504164439646,268.9618328835366,261.3105029798478,252.82216554564613,259.9749384818969,261.7648712099073,270.8148308803945,277.5906660349862,269.9185641835404,263.003693762536,263.62012776526467,264.7520230644602,260.01098941035366,260.2062757067669,253.13731887785326,
9,1993-04-21 16:58:17+00:00,252.46946163530765,266.6269219853648,261.7282294303009,263.96676704547656,271.4561465585247,269.28059410371657,251.7085238402234,248.19015293420864,255.21791852807388,258.93358154846743,264.04896190867726,273.1852448034966,263.6898175614582,266.3390687454209,258.11820153546387,261.5830127532569,254.78401534316112,250.4068202566238,242.3091476139487,
