,dates,per0137-0000,per0137-0001,per0137-0002,per0137-0003,per0137-0004,per0137-0005,per0137-0006,per0137-0007,per0137-0008,per0137-0009,per0137-0010,per0137-0011,per0137-0012,per0137-0013,per0137-0014,per0137-0015,per0137-0016,per0137-0017,per0137-0018,per0137-0019,per0137-0020
0,1984-12-25 14:41:08+00:00,319.2032050382851,214.20081990914963,202.65373086056866,194.12477734385362,,,187.31759293304611,185.07840065088894,166.29873299825493,178.91869622141022,198.40652593158353,207.4985448646662,197.2154500517969,163.3114995521659,172.12623096325896,172.75306110479008,168.50359413212584,177.5565128944982,185.81243206688174,189.22468945590703,187.12162953603212
1,1986-04-10 14:42:40+00:00,,,,,,,,,,,199.10360979219598,204.0612100026088,196.6310141465848,200.90600531044709,198.32103134565457,199.42544122914768,197.93808828847096,198.8115527208965,196.02303682079784,194.29963183297076,185.63171157385307
2,1986-04-19 14:36:16+00:00,,,,,,,204.63041484961985,185.6393495493616,185.27859603187795,162.74003193761448,162.88947218678481,155.49467458113278,,,,,,,,,
3,1986-05-05 14:35:53+00:00,298.3989055903061,192.8244996202676,180.48684800936473,164.6305642038658,,,186.08507205170682,197.23484324149337,178.78089075277893,191.6213291953115,188.87292381104317,184.77800870587296,182.8965842554586,193.33766270415614,182.5289389511509,180.2845638894807,187.33375176710547,173.92293294142848,162.84174577067165,161.697429260338,147.0603864017895
4,1986-08-09 14:32:48+00:00,,,,,,,,,,,,,,,,,,,,,
5,1986-08-25 14:32:12+00:00,,,,,,,,,,,,,,,,,,,,,
6,1986-09-10 14:31:38+00:00,,,,,,,,,,,,,,,,,,,,,
7,1986-09-26 14:31:09+00:00,,,,,,,,,,,,,,,,,,,,,
8,1986-10-12 14:30:38+00:00,,,,,,,,,,,,,,,,,,,,,
9,1986-12-15 14:29:44+00:00,,,,,,,,,,,,,,,,,,,,,
10,1987-02-08 14:37:40+00:00,,228.71424216410128,216.29724213171082,,215.90347002037947,214.26990715227095,212.9104023666514,218.31446923739207,213.55285901103844,209.00741625761128,203.22454642867123,205.67729815509048,198.8307246860174,197.2279855041981,195.63439573624328,198.73621250273771,193.72742546853743,199.49500755568295,193.7393830446146,193.8181687966453,188.307417011474
11,1987-03-05 14:32:27+00:00,331.4049091122797,224.49810021887856,208.63899841294415,,209.12704242339444,204.599729118078,199.41047184943034,206.47274343250197,205.48326113428706,196.9963866524359,201.2822734767442,205.8907419069377,194.89806343334206,194.12245847281196,193.80713940287768,195.51865104754037,188.0697960179363,186.9106982933199,184.61798009130206,178.77477077726763,173.8551584806739
12,1987-03-28 14:39:28+00:00,,,,,,,,,,,,,,,,,,,,,
13,1987-04-06 14:33:36+00:00,,,,,,,,,,,,,,,,,,,,,
14,1987-05-24 14:35:00+00:00,319.23238104819217,200.17266423642963,186.1065485992483,131.36366965171672,185.88745400089596,191.2176741546379,174.76258106184906,168.48839146443083,179.1289359873445,184.48275981509175,,175.75041598428666,188.92205049610197,186.92517491339822,161.10143208290066,156.61065873899724,165.44567823974126,168.99661270532332,178.38986849725282,189.0034757110167,184.79792410490603
15,1987-07-27 14:36:25+00:00,,,,,,,,,,,,,,,,,,,,,
16,1988-01-03 14:39:48+00:00,315.321752782377,223.71033789263998,202.57269591195828,213.21138477400984,207.53988102324382,206.02291957206825,203.9809227707795,214.31720135123723,205.24389188017773,203.07161769022838,202.4259108992427,206.12003240219053,196.15481981517456,192.28375575153592,186.51126365752015,188.27738833830094,188.81134595850347,188.5170357524887,196.32162184303192,200.17467864100112,194.69202491718738
