dates,satname,nzd0200-0000,nzd0200-0001,nzd0200-0002,nzd0200-0003,nzd0200-0004,nzd0200-0005,nzd0200-0006,nzd0200-0007,nzd0200-0008,nzd0200-0009,nzd0200-0010,nzd0200-0011,nzd0200-0012,nzd0200-0013,nzd0200-0014,nzd0200-0015,nzd0200-0016,nzd0200-0017,nzd0200-0018,nzd0200-0019,nzd0200-0020,nzd0200-0021,nzd0200-0022,nzd0200-0023,nzd0200-0024,nzd0200-0025,nzd0200-0026,nzd0200-0027,nzd0200-0028,nzd0200-0029,nzd0200-0030,nzd0200-0031,nzd0200-0032,nzd0200-0033,nzd0200-0034,nzd0200-0035,nzd0200-0036,nzd0200-0037,nzd0200-0038,nzd0200-0039,nzd0200-0040,nzd0200-0041,nzd0200-0042,nzd0200-0043,nzd0200-0044,nzd0200-0045,nzd0200-0046,nzd0200-0047,nzd0200-0048,nzd0200-0049,nzd0200-0050,nzd0200-0051,nzd0200-0052,nzd0200-0053,nzd0200-0054,nzd0200-0055,nzd0200-0056,nzd0200-0057,nzd0200-0058,nzd0200-0059,nzd0200-0060,nzd0200-0061,nzd0200-0062,nzd0200-0063,nzd0200-0064,nzd0200-0065,nzd0200-0066,nzd0200-0067,nzd0200-0068,nzd0200-0069,nzd0200-0070,nzd0200-0071,nzd0200-0072,nzd0200-0073,nzd0200-0074,nzd0200-0075,nzd0200-0076,nzd0200-0077,nzd0200-0078,nzd0200-0079,nzd0200-0080,nzd0200-0081,nzd0200-0082,nzd0200-0083,nzd0200-0084,nzd0200-0085,nzd0200-0086,nzd0200-0087,nzd0200-0088,nzd0200-0089,nzd0200-0090,nzd0200-0091,nzd0200-0092,nzd0200-0093,nzd0200-0094,nzd0200-0095,nzd0200-0096,nzd0200-0097,nzd0200-0098,nzd0200-0099,nzd0200-0100,nzd0200-0101,nzd0200-0102,nzd0200-0103,nzd0200-0104,nzd0200-0105,nzd0200-0106,nzd0200-0107,nzd0200-0108,nzd0200-0109,nzd0200-0110,nzd0200-0111,nzd0200-0112,nzd0200-0113
1999-08-26 22:05:08+00:00,L7,386.98,396.94,410.61,390.71,382.19,389.34,390.21,384.78,384.11,377.79,372.82,379.34,381.38,383.33,381.94,377.54,370.28,371.54,368.26,382.67,378.32,377.47,363.33,366.10,371.30,369.94,366.37,362.49,346.28,348.87,337.10,347.42,338.58,331.58,345.23,357.12,369.37,378.90,392.45,388.10,374.03,371.05,358.52,352.21,388.18,392.10,381.11,407.29,377.77,405.19,415.77,390.75,415.33,411.59,387.83,349.01,404.61,413.31,418.95,409.43,419.02,415.07,413.46,406.57,402.88,413.02,412.55,421.99,416.91,413.74,408.76,398.70,331.12,412.87,426.44,391.36,402.48,405.73,409.31,391.06,410.44,408.17,415.94,402.95,434.55,447.38,430.68,429.71,440.61,441.20,437.34,432.12,440.32,428.32,435.45,421.16,432.38,422.77,424.07,407.62,379.99,377.54,390.40,407.07,398.44,393.01,404.02,402.30,406.45,395.37,275.54,395.94,386.43,280.27
1999-09-20 21:58:56+00:00,L7,414.04,440.76,445.43,442.73,424.21,425.73,430.11,424.82,416.80,414.70,410.78,395.66,393.51,400.54,401.17,401.26,398.81,386.04,408.92,417.28,407.02,399.92,398.99,401.41,390.58,,,366.69,342.28,368.40,366.97,383.07,373.69,318.19,309.44,345.18,343.59,344.59,305.29,290.88,264.70,255.78,281.59,267.98,291.60,315.88,318.42,322.80,277.78,322.24,342.50,,209.65,256.95,269.13,309.29,307.27,284.06,,288.54,344.30,310.33,95.89,102.99,,,,,116.26,160.92,175.72,123.58,,117.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-27 22:05:12+00:00,L7,384.01,393.43,401.74,389.39,371.35,382.21,376.81,377.74,379.75,371.73,376.64,376.26,369.47,372.18,372.85,373.97,369.86,366.35,363.67,375.17,374.35,369.97,356.49,360.05,355.47,355.70,354.14,343.65,334.43,340.70,326.23,349.79,339.21,326.96,336.70,349.58,366.19,371.20,373.89,356.85,351.01,352.30,352.91,359.25,392.84,393.09,385.02,394.39,379.85,389.90,402.97,391.24,408.79,387.93,375.99,389.40,388.33,393.92,406.03,400.21,406.66,388.13,401.73,398.54,395.53,407.80,401.72,410.97,389.47,396.15,400.14,402.70,396.24,383.30,418.57,384.26,379.59,378.89,393.84,383.45,400.19,397.78,409.91,395.60,403.89,424.88,414.46,419.24,422.79,426.56,429.01,428.85,429.01,422.52,427.59,416.48,424.01,419.29,412.47,393.75,384.28,377.58,400.96,403.62,386.09,385.55,396.77,394.90,392.84,381.54,373.16,379.38,372.62,365.35
1999-10-13 22:05:12+00:00,L7,400.43,416.55,427.02,404.61,386.60,384.15,373.29,383.47,383.29,386.09,393.76,386.60,375.99,382.69,380.32,385.52,381.04,383.00,376.12,381.96,384.20,385.20,385.51,380.01,372.93,373.19,366.38,360.27,343.95,350.34,331.45,363.25,355.70,357.26,351.00,361.84,373.08,376.62,379.36,363.12,355.65,355.68,364.86,376.27,412.31,424.21,416.03,420.38,401.33,408.95,439.06,430.35,433.77,423.88,416.08,419.78,429.28,431.97,429.01,415.15,420.38,418.98,428.80,416.80,408.46,427.00,438.10,442.08,429.06,427.06,426.57,417.31,425.82,415.83,421.72,399.67,399.28,413.17,420.55,412.16,432.65,430.84,436.13,429.74,447.96,456.70,449.53,441.82,451.55,465.01,458.22,458.63,456.93,452.95,453.30,449.33,451.49,447.72,440.71,422.87,415.83,386.98,406.46,425.17,405.34,401.24,416.23,414.79,415.08,399.87,391.43,404.43,389.24,390.54
1999-11-14 22:05:06+00:00,L7,449.69,469.15,476.54,472.48,455.29,459.02,453.15,434.88,432.44,437.57,447.41,445.07,433.54,439.56,444.62,446.72,447.84,444.64,424.14,436.77,456.33,450.34,439.19,424.84,435.93,439.75,430.81,425.33,407.98,412.78,414.76,432.90,427.20,435.86,442.91,437.58,425.70,427.39,448.42,438.44,444.18,441.86,437.59,445.08,466.09,490.65,495.36,491.20,477.96,464.42,488.48,480.44,481.46,487.49,476.78,473.28,483.46,499.62,505.26,494.50,482.14,485.70,489.88,482.95,477.69,472.52,486.92,494.91,496.91,487.23,482.85,488.09,492.49,494.81,489.30,475.54,468.75,470.50,481.80,460.01,485.48,484.22,484.37,474.68,494.42,513.09,512.84,505.61,490.62,509.73,502.98,508.26,510.88,507.25,499.34,501.51,494.08,508.32,503.74,485.31,494.11,495.16,496.02,488.86,487.72,468.52,481.71,475.78,468.99,463.07,454.97,447.56,451.55,452.89
1999-12-25 21:58:52+00:00,L7,405.59,409.42,429.64,424.03,407.14,408.28,404.40,405.31,392.73,382.93,385.65,384.01,380.99,383.15,381.90,383.60,380.23,375.03,368.09,377.67,382.34,388.28,376.22,376.55,370.22,377.80,368.07,356.61,342.01,345.29,328.53,355.93,349.52,340.26,359.48,367.77,371.49,370.91,369.63,362.63,359.24,348.07,348.12,351.83,389.67,404.14,390.93,408.37,405.88,416.03,441.65,413.97,415.76,416.03,405.93,402.38,409.74,416.31,419.75,417.32,429.34,422.20,437.72,415.16,400.30,407.54,419.05,430.64,426.97,434.24,423.97,414.26,422.46,433.19,435.52,418.66,410.31,404.36,404.99,393.95,417.50,422.59,431.93,420.25,439.11,450.87,451.91,450.55,447.67,458.39,446.98,455.67,457.48,453.31,450.82,443.75,445.41,442.28,437.35,426.75,425.41,421.10,421.42,411.06,402.80,400.30,404.40,403.48,406.45,402.53,394.57,403.65,397.62,386.51
2000-01-01 22:05:01+00:00,L7,427.99,444.87,452.37,444.20,436.96,442.85,442.38,431.29,424.14,415.13,426.44,433.54,423.62,423.01,433.11,433.45,427.28,423.87,412.21,417.82,431.96,440.87,440.02,412.67,409.90,402.79,403.28,409.67,400.06,387.79,379.88,396.76,396.04,413.52,428.04,423.47,421.21,404.25,420.72,415.39,426.83,418.69,408.71,418.40,435.99,448.58,464.79,466.21,460.58,460.94,484.44,463.26,458.20,464.32,457.76,454.87,461.35,467.27,465.88,464.46,469.80,474.64,469.93,460.43,455.00,453.55,468.53,471.14,472.09,466.63,458.44,461.24,470.01,478.57,472.79,462.66,449.98,440.32,445.95,435.11,462.35,458.09,465.13,468.82,480.30,491.34,493.56,491.79,485.33,498.58,484.50,485.12,484.76,483.69,481.31,477.19,471.96,482.23,478.52,469.76,478.76,480.06,473.32,475.30,466.58,447.02,446.72,449.40,448.57,448.61,442.50,439.49,441.87,438.01
2000-02-18 22:04:53+00:00,L7,399.80,409.09,416.67,404.25,380.56,387.79,389.08,385.78,387.58,389.38,382.44,378.50,374.55,378.06,372.35,373.78,375.69,373.10,374.37,382.27,383.32,380.78,368.96,379.00,370.96,368.43,360.67,352.50,339.16,348.75,338.70,366.14,351.77,352.51,359.34,372.85,379.26,378.74,387.04,374.01,368.29,368.91,365.25,357.25,390.01,401.11,399.68,409.15,386.57,406.43,428.25,413.01,421.53,419.06,408.19,417.82,419.63,418.53,419.24,408.73,418.95,413.45,423.65,412.20,414.27,414.31,414.26,424.44,416.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-24 22:04:10+00:00,L7,,,,,,,,404.28,410.25,412.98,424.54,435.82,440.98,445.63,439.94,434.68,426.96,418.62,394.16,,402.53,410.86,414.20,397.45,416.18,,399.46,408.45,393.68,408.27,414.82,438.01,423.06,425.13,437.17,430.65,433.96,430.68,,,,,,,,,,,,,196.89,469.43,470.93,474.15,472.25,462.36,461.51,473.01,465.00,451.39,452.81,466.71,483.35,478.20,473.65,468.45,470.96,472.94,485.60,489.84,477.43,468.48,472.67,476.26,477.18,463.83,453.20,443.95,453.12,440.17,476.40,468.37,473.01,470.52,491.64,499.58,487.35,475.93,473.59,,481.31,483.68,488.06,489.02,487.35,486.79,484.99,489.54,488.99,480.26,480.61,483.72,464.74,472.82,463.74,441.77,443.20,443.32,436.17,264.23,440.59,450.92,451.32,452.50
2000-07-04 21:57:38+00:00,L7,,,,,,,,388.51,375.61,385.84,386.48,393.26,397.18,409.39,395.20,390.68,387.71,374.79,366.73,,376.93,373.95,360.91,359.55,358.50,369.37,,364.46,363.90,357.39,351.76,388.81,367.77,370.85,381.96,394.44,379.83,378.82,,278.43,270.79,269.04,274.57,245.81,292.10,310.48,336.18,237.16,279.83,345.40,376.71,323.17,319.71,266.61,299.28,332.46,325.59,431.59,,370.88,410.75,130.55,308.27,353.78,168.84,425.63,432.65,442.32,308.65,447.01,437.75,303.03,321.76,349.08,326.88,333.30,360.00,272.94,315.68,409.27,435.29,430.09,438.37,430.45,461.04,464.66,459.59,451.51,439.72,452.65,440.86,452.53,455.70,460.01,459.36,453.33,451.56,463.03,,,,363.03,220.40,443.08,396.85,321.08,283.13,269.07,259.12,265.40,245.26,263.69,246.83,285.32
