dates,nzd0200-0000,nzd0200-0001,nzd0200-0002,nzd0200-0003,nzd0200-0004,nzd0200-0005,nzd0200-0006,nzd0200-0007,nzd0200-0008,nzd0200-0009,nzd0200-0010,nzd0200-0011,nzd0200-0012,nzd0200-0013,nzd0200-0014,nzd0200-0015,nzd0200-0016,nzd0200-0017,nzd0200-0018,nzd0200-0019,nzd0200-0020,nzd0200-0021,nzd0200-0022,nzd0200-0023,nzd0200-0024,nzd0200-0025,nzd0200-0026,nzd0200-0027,nzd0200-0028,nzd0200-0029,nzd0200-0030,nzd0200-0031,nzd0200-0032,nzd0200-0033,nzd0200-0034,nzd0200-0035,nzd0200-0036,nzd0200-0037,nzd0200-0038,nzd0200-0039,nzd0200-0040,nzd0200-0041,nzd0200-0042,nzd0200-0043,nzd0200-0044,nzd0200-0045,nzd0200-0046,nzd0200-0047,nzd0200-0048,nzd0200-0049,nzd0200-0050,nzd0200-0051,nzd0200-0052,nzd0200-0053,nzd0200-0054,nzd0200-0055,nzd0200-0056,nzd0200-0057,nzd0200-0058,nzd0200-0059,nzd0200-0060,nzd0200-0061,nzd0200-0062,nzd0200-0063,nzd0200-0064,nzd0200-0065,nzd0200-0066,nzd0200-0067,nzd0200-0068,nzd0200-0069,nzd0200-0070,nzd0200-0071,nzd0200-0072,nzd0200-0073,nzd0200-0074,nzd0200-0075,nzd0200-0076,nzd0200-0077,nzd0200-0078,nzd0200-0079,nzd0200-0080,nzd0200-0081,nzd0200-0082,nzd0200-0083,nzd0200-0084,nzd0200-0085,nzd0200-0086,nzd0200-0087,nzd0200-0088,nzd0200-0089,nzd0200-0090,nzd0200-0091,nzd0200-0092,nzd0200-0093,nzd0200-0094,nzd0200-0095,nzd0200-0096,nzd0200-0097,nzd0200-0098,nzd0200-0099,nzd0200-0100,nzd0200-0101,nzd0200-0102,nzd0200-0103,nzd0200-0104,nzd0200-0105,nzd0200-0106,nzd0200-0107,nzd0200-0108,nzd0200-0109,nzd0200-0110,nzd0200-0111,nzd0200-0112,nzd0200-0113,satname
1999-08-26 22:05:08+00:00,429.65,439.61,447.18,433.38,424.86,425.91,432.88,427.45,420.68,414.36,409.39,415.91,413.38,415.33,413.94,409.54,402.28,403.54,400.26,414.67,403.92,409.47,399.90,398.10,399.74,398.38,398.37,394.49,,385.44,379.77,375.86,370.58,,,,,,,,,,,,,,,,,,,433.42,,,,,,,470.15,,,,,,445.55,449.59,455.22,464.66,,,,,,,469.11,427.93,439.05,456.93,460.51,433.73,453.11,450.84,452.51,439.52,477.22,490.05,467.25,472.38,483.28,483.87,480.01,474.79,482.99,479.52,486.65,463.83,468.95,473.97,460.64,450.29,431.19,428.74,454.40,458.27,449.64,435.68,455.22,453.50,457.65,446.57,,447.14,450.43,,L7
1999-09-20 21:58:56+00:00,416.01,434.35,441.31,432.22,418.70,420.82,425.66,420.30,413.74,409.53,405.08,400.79,399.07,403.56,403.18,401.02,396.17,390.42,400.22,411.60,401.97,400.32,394.44,395.38,391.27,398.38,398.37,376.22,333.53,371.92,367.53,375.58,367.76,,,,,,,,,,,,,,,,,,,433.42,,,,,,,470.15,,,,,,445.55,449.59,455.22,464.66,,,,,,,469.11,427.93,439.05,456.93,460.51,433.73,453.11,450.84,452.51,439.52,477.22,490.05,467.25,472.38,483.28,483.87,480.01,474.79,482.99,479.52,486.65,463.83,468.95,473.97,460.64,450.29,431.19,428.74,454.40,458.27,449.64,435.68,455.22,453.50,457.65,446.57,,447.14,450.43,,L7
1999-09-27 22:05:12+00:00,420.23,435.60,440.88,432.83,417.81,420.71,424.27,421.00,415.17,409.69,408.37,405.37,400.37,404.27,404.24,403.17,398.57,393.56,399.20,410.62,401.70,401.37,394.56,394.77,389.26,391.93,393.00,376.53,350.73,374.28,368.66,376.91,369.41,365.25,370.20,383.08,399.69,404.70,412.18,390.35,389.30,390.59,397.58,403.92,437.51,446.69,429.69,439.06,424.52,434.57,447.64,434.67,442.29,432.60,420.66,434.07,433.00,447.52,464.89,453.81,444.95,432.80,446.40,432.04,442.88,447.84,450.81,460.15,434.14,440.82,444.81,456.30,449.84,427.97,466.18,425.24,428.47,444.71,453.98,430.93,448.99,446.64,450.36,436.70,462.89,479.80,460.00,468.14,475.37,477.55,476.85,474.15,478.34,477.82,483.92,462.49,465.62,473.43,455.70,444.36,434.53,429.96,461.18,457.75,444.66,432.95,452.80,451.00,452.04,440.86,426.76,440.06,445.02,418.95,L7
1999-10-13 22:05:12+00:00,419.20,434.75,440.77,429.69,413.92,414.93,415.44,415.54,410.56,407.15,408.07,404.04,397.21,401.81,401.19,401.70,397.12,393.86,396.37,406.39,399.67,400.26,395.65,394.02,387.79,389.16,388.05,375.40,352.39,371.65,363.27,376.10,368.92,367.97,366.48,378.33,392.26,396.53,402.49,382.61,379.19,379.85,389.05,397.93,432.75,444.85,430.69,437.56,420.76,429.60,451.19,438.45,443.90,436.08,426.21,434.76,438.98,449.14,459.20,443.88,439.38,433.73,445.44,430.30,436.63,445.37,451.79,459.35,439.44,441.77,443.52,446.21,447.23,429.74,456.58,421.19,423.21,440.46,449.10,429.89,448.76,446.60,450.09,438.86,463.14,477.32,460.99,464.59,472.65,478.59,475.86,474.20,476.42,475.80,479.98,463.33,465.39,471.13,455.18,442.42,434.57,421.90,450.77,453.15,437.82,427.60,446.87,445.20,445.99,433.46,418.50,434.45,434.26,414.14,L7
1999-11-14 22:05:06+00:00,422.96,439.30,445.93,435.92,419.86,421.75,420.65,417.07,412.94,411.23,413.94,410.24,402.73,407.61,408.13,408.95,397.12,393.86,400.17,410.72,399.67,408.53,402.36,398.43,387.79,399.87,396.55,375.40,364.10,377.88,363.27,376.10,368.92,367.97,366.48,378.33,400.49,403.90,402.49,382.61,379.19,379.85,389.05,397.93,439.97,455.45,430.69,437.56,435.94,437.31,459.73,446.03,453.51,449.32,439.17,443.71,449.91,461.30,459.20,456.09,450.30,447.16,456.36,430.30,436.63,449.66,457.66,465.32,454.70,453.04,452.74,455.50,457.65,447.54,461.84,432.28,432.10,444.47,453.77,434.50,455.02,453.09,456.16,445.31,468.04,483.35,471.45,471.93,474.23,483.46,479.72,479.80,482.12,480.16,481.32,469.95,470.06,476.93,464.82,450.22,445.95,436.72,457.71,458.58,437.82,434.92,452.08,449.34,448.24,437.36,425.99,434.23,434.21,422.39,L7
1999-12-25 21:58:52+00:00,423.90,438.15,446.50,437.77,421.57,422.79,421.77,418.94,412.85,409.80,412.51,409.16,401.98,406.41,406.63,407.60,397.19,393.54,397.70,408.09,398.97,408.03,401.29,397.66,387.34,398.52,394.30,375.09,363.13,375.73,360.92,375.13,368.49,365.30,369.89,380.56,397.55,399.97,398.10,381.70,379.11,375.83,383.08,390.23,433.14,449.52,425.11,435.49,434.17,437.74,460.96,444.22,448.38,446.75,436.61,439.13,445.62,456.95,456.24,453.30,449.99,446.67,457.45,431.00,433.30,445.18,454.54,462.99,453.52,454.09,451.30,452.09,455.75,449.70,461.18,433.50,431.68,441.97,449.54,430.99,452.12,451.59,455.26,444.24,466.85,481.45,471.48,472.25,473.52,483.05,477.77,479.57,481.79,480.31,480.74,469.31,469.07,475.52,463.27,450.13,447.36,439.11,457.35,454.60,435.97,432.59,448.07,445.69,445.40,435.92,425.03,433.63,433.79,420.32,L7
2000-01-01 22:05:01+00:00,423.20,437.83,446.23,437.40,422.49,424.55,423.43,419.42,413.36,409.46,413.40,411.54,404.11,407.82,409.45,410.33,401.08,397.47,398.81,408.51,403.56,411.76,405.72,398.84,390.10,398.23,394.68,379.73,368.16,376.35,362.58,377.74,371.96,375.43,382.74,389.60,400.93,399.47,401.83,388.44,379.11,375.83,387.24,395.02,431.91,447.17,425.11,440.92,437.65,440.58,463.85,445.89,449.00,448.46,439.04,440.48,446.97,456.86,456.00,453.37,452.41,450.46,458.15,436.67,435.84,445.29,455.37,462.85,455.43,454.80,450.93,451.76,456.44,453.67,461.61,437.07,433.45,439.89,447.14,430.18,452.32,451.17,455.62,447.06,467.60,481.60,473.88,474.01,473.98,484.13,477.39,479.00,480.79,479.07,479.04,469.13,468.27,474.84,464.53,451.90,450.80,444.14,457.76,456.25,439.93,433.50,446.04,444.51,444.13,436.23,426.37,432.81,432.89,421.70,L7
2000-02-18 22:04:53+00:00,426.44,440.40,447.82,439.43,423.41,425.24,425.30,421.38,415.43,412.24,414.81,412.69,405.04,408.72,409.44,410.39,402.74,399.28,400.38,409.86,404.90,412.51,406.41,400.99,392.07,398.67,395.10,381.13,369.30,378.19,366.22,380.78,374.36,379.30,385.46,393.65,403.49,402.19,407.33,392.95,386.98,375.83,392.70,397.33,433.15,449.36,431.08,444.43,437.36,443.11,466.14,448.24,450.58,451.79,442.12,444.92,450.63,460.34,459.74,455.80,453.88,452.52,460.62,439.18,440.46,446.90,456.54,464.41,457.11,454.80,450.93,451.76,456.44,453.67,461.61,437.07,433.45,439.89,447.14,430.18,452.32,451.17,455.62,447.06,467.60,481.60,473.88,474.01,473.98,484.13,477.39,479.00,480.79,479.07,479.04,469.13,468.27,474.84,464.53,451.90,450.80,444.14,457.76,456.25,439.93,433.50,446.04,444.51,444.13,436.23,426.37,432.81,432.89,421.70,L7
2000-05-24 22:04:10+00:00,432.24,442.24,450.99,445.27,429.33,431.07,433.06,419.08,414.32,410.75,415.41,418.61,414.35,416.77,416.14,415.69,411.85,406.97,396.52,408.42,407.49,414.51,410.50,400.73,400.09,397.08,392.18,391.12,378.04,383.17,377.90,397.49,389.41,393.50,405.32,408.00,410.79,405.46,410.56,399.84,394.76,367.78,395.14,396.94,426.33,443.28,431.47,449.02,438.79,448.91,472.56,452.33,450.92,455.81,448.45,446.77,450.47,458.68,457.37,450.38,453.37,456.66,466.08,450.81,448.22,446.61,455.61,462.20,462.62,463.68,453.39,448.13,455.18,462.78,461.94,448.48,437.93,429.68,434.82,423.19,452.19,449.79,456.79,453.29,470.46,480.71,477.70,472.87,468.97,485.48,471.04,474.93,476.88,475.47,473.29,469.35,467.55,471.48,468.38,459.03,461.73,461.76,453.33,453.19,444.51,429.81,431.57,432.20,430.53,433.97,426.02,431.49,430.44,425.81,L7
2000-07-04 21:57:38+00:00,449.13,458.42,458.96,453.58,429.89,430.08,438.41,411.97,407.53,412.45,414.20,418.91,418.57,425.36,416.83,414.05,411.12,403.17,392.75,419.27,399.06,402.86,397.74,393.00,394.62,392.56,393.44,389.47,379.91,387.85,387.54,410.39,395.20,399.21,407.16,413.65,412.02,410.41,429.33,411.01,410.58,,414.58,406.58,439.34,460.31,449.01,458.48,435.90,455.76,477.58,459.05,459.61,464.44,458.05,457.92,458.40,463.98,463.52,433.27,443.89,457.91,471.33,458.57,461.79,452.51,458.40,465.68,468.70,472.43,461.59,452.08,456.27,462.59,463.51,452.12,441.49,427.55,436.72,428.72,459.85,453.23,459.12,453.91,480.34,486.12,476.90,467.72,460.65,474.32,465.08,472.11,475.88,479.31,478.15,474.06,471.70,481.08,477.28,466.59,464.21,467.32,444.24,462.75,435.10,428.10,426.80,426.92,419.77,,424.19,434.52,430.82,436.10,L7
