dates,nzd0200-0000,nzd0200-0001,nzd0200-0002,nzd0200-0003,nzd0200-0004,nzd0200-0005,nzd0200-0006,nzd0200-0007,nzd0200-0008,nzd0200-0009,nzd0200-0010,nzd0200-0011,nzd0200-0012,nzd0200-0013,nzd0200-0014,nzd0200-0015,nzd0200-0016,nzd0200-0017,nzd0200-0018,nzd0200-0019,nzd0200-0020,nzd0200-0021,nzd0200-0022,nzd0200-0023,nzd0200-0024,nzd0200-0025,nzd0200-0026,nzd0200-0027,nzd0200-0028,nzd0200-0029,nzd0200-0030,nzd0200-0031,nzd0200-0032,nzd0200-0033,nzd0200-0034,nzd0200-0035,nzd0200-0036,nzd0200-0037,nzd0200-0038,nzd0200-0039,nzd0200-0040,nzd0200-0041,nzd0200-0042,nzd0200-0043,nzd0200-0044,nzd0200-0045,nzd0200-0046,nzd0200-0047,nzd0200-0048,nzd0200-0049,nzd0200-0050,nzd0200-0051,nzd0200-0052,nzd0200-0053,nzd0200-0054,nzd0200-0055,nzd0200-0056,nzd0200-0057,nzd0200-0058,nzd0200-0059,nzd0200-0060,nzd0200-0061,nzd0200-0062,nzd0200-0063,nzd0200-0064,nzd0200-0065,nzd0200-0066,nzd0200-0067,nzd0200-0068,nzd0200-0069,nzd0200-0070,nzd0200-0071,nzd0200-0072,nzd0200-0073,nzd0200-0074,nzd0200-0075,nzd0200-0076,nzd0200-0077,nzd0200-0078,nzd0200-0079,nzd0200-0080,nzd0200-0081,nzd0200-0082,nzd0200-0083,nzd0200-0084,nzd0200-0085,nzd0200-0086,nzd0200-0087,nzd0200-0088,nzd0200-0089,nzd0200-0090,nzd0200-0091,nzd0200-0092,nzd0200-0093,nzd0200-0094,nzd0200-0095,nzd0200-0096,nzd0200-0097,nzd0200-0098,nzd0200-0099,nzd0200-0100,nzd0200-0101,nzd0200-0102,nzd0200-0103,nzd0200-0104,nzd0200-0105,nzd0200-0106,nzd0200-0107,nzd0200-0108,nzd0200-0109,nzd0200-0110,nzd0200-0111,nzd0200-0112,nzd0200-0113
1999-08-26 22:05:08+00:00,218.4285302222528,233.20575381339995,245.32360225234578,241.36244811044367,218.96163740031648,225.25509626260146,240.79022249729627,226.77920138647391,226.3408247292054,205.52546265692828,204.3413135435107,220.28681217994244,206.09723402204386,211.0315240385663,206.85225961255995,208.82732160218063,198.3595892592538,196.49863665037603,188.6801570881585,205.31342007021476,200.57620801282607,202.50832132043453,176.86282265108267,188.2117406099822,202.49412643256045,197.23409440581142,186.42920576574016,187.440060840043,173.72841451212636,184.88747154798358,157.49497567616064,178.89414039761553,180.62435195912974,174.0764791578976,176.6579767276445,184.95841375687843,190.25396473747685,215.451068265524,233.80394050079673,223.76509973166327,216.26247747026605,221.70232984085328,194.35075014748702,193.13598726592426,230.20106665347976,236.93479068749568,230.73481311196235,257.9102429647799,229.89998354603176,247.40812682583106,257.52249317862254,241.11496835113138,265.9938329030447,253.69654836796656,238.78757591438426,191.41042591173482,254.65199728256263,263.9616483476129,265.713065463687,245.3092349522808,250.0153011022481,257.2621364935369,249.09414781999948,248.26928826585566,244.609022785964,255.08543700686187,263.2587232678654,257.94577761504655,258.4010712374527,255.91421096603682,250.41369204203073,248.80668316977358,194.39993795054596,263.9783281608905,268.2094853459961,230.9426933119841,244.44337883790428,233.82483548115545,244.59810944379535,241.0933381163876,242.22200588887625,243.6262793237105,241.13305498011889,244.5293859770971,285.0947754708104,289.22721880189516,266.1785871230995,271.6484947950504,276.668531560697,283.15353459858295,273.25747354356787,267.55074422898747,276.36895327491015,263.8763620509928,277.610550821224,257.18518676200466,268.15256094991065,264.8676666890727,253.1971353313588,246.81742321557948,220.03784548018774,212.77235448925484,198.78744417985536,217.50920198189863,212.02752013049292,217.5015079416493,240.09972826521698,244.15378549249505,256.5711796062686,231.03632796907294,89.31044205767516,107.59564605738481,119.43793742479313,130.95109677006823
1999-09-20 21:58:56+00:00,202.26884626454665,228.0074765527075,233.39681743763808,226.45834678656112,211.64704011817483,211.2506873722437,212.5826113172012,211.4839872652231,203.33772413708832,204.63838272416467,198.89832203986828,184.40632637377678,178.0153046757644,190.01483730044174,188.62206277061364,187.8627562893502,184.81026871531262,,200.60789485144065,207.9622757714818,197.45323814544582,190.5534347026732,189.86893887089113,188.54187659205851,154.5032086536891,,,134.48618023358108,129.2863896583055,155.67350903632382,156.60376838705844,169.37332906326748,124.39957603129083,99.45967120333817,106.84306797240818,137.3059568702479,138.0051851842537,127.73951087227172,96.15720321358476,77.35489672825287,,,,,86.50356421204779,96.55065043651996,86.25106942845736,,,110.0911444415183,125.92255928596803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-27 22:05:12+00:00,217.80001069409045,232.25040199839913,240.6986500068176,243.9911486662901,208.37624093557613,221.98036706260277,233.569184919568,223.06653191909055,223.1212343441524,201.96147606611297,210.78641829347112,221.30472200018875,196.98116010250283,202.49452850275182,199.9150445472176,207.9129871642683,200.32824944458804,193.38994765295993,186.5607144392242,199.99429207985895,199.23221374295213,197.27520585490788,172.0154949315539,184.05121779847983,189.52887762604536,186.2608855792164,176.98406096387407,171.0365936297037,164.58030658794019,179.7282073763585,149.06900913253602,183.86643924027612,184.45250265209148,171.95502919686544,170.8246695833844,179.6924363969014,188.76511583084056,210.03868034196387,214.2642320581789,196.24249522961966,196.4316689271239,206.4083264065909,191.96239048246665,204.62621566962787,238.09884944058678,247.13973598350864,240.3865375069049,248.61966502839078,234.04720393686554,235.05274359017704,248.33080169211956,245.8256595875157,261.3447843170075,233.41466045137395,222.042954248154,234.64729070767686,244.06651009467743,250.14850939455872,260.02542659193256,238.97458784336058,241.0801436487323,235.1637863814512,240.65882803415997,242.07380209278466,240.2081461115265,252.86162750568394,256.02697810689807,249.6484648713409,234.94952376578414,241.92563277768573,245.71730300914749,256.728209747195,263.9346612568629,243.7661885098977,263.70245517958244,231.1067577361964,224.51734317857859,214.23453787975376,233.47645427126787,238.1551947141744,234.14241769165304,237.18775632000623,237.48456640476104,242.12875453234358,258.2757968076912,268.0214841430401,253.45463229817295,260.8493155968809,263.6944152881219,271.73573106060155,267.69968822754026,267.64143318643175,270.5961233875648,262.3655170836431,272.7409887841424,256.0978265078169,262.6626964327819,264.40962335795973,246.5553988715775,238.6588105978051,229.7947531338217,217.70625027644533,214.61346357778916,216.7571007426945,202.67674822289644,213.45206051722226,236.24511433381338,240.51301971887767,247.12793778516664,220.56192426933438,188.82176600251333,213.4080754383994,218.11140974190846,219.19432864090012
1999-10-13 22:05:12+00:00,212.27560261821367,229.56655628727663,239.99198523658183,222.76678044252344,199.2522498943195,199.87192345641304,190.64461095719253,198.20329080576192,198.76736576085395,195.05743837627674,204.6645796663218,201.45128516808987,184.75197123475434,192.4633003764011,189.16610822101833,196.3344823953476,190.54653333855865,191.15872678825716,182.67847814946265,189.63725743522693,191.50575255376563,193.58266375705804,189.34108534460142,187.43167648212167,183.57158249925496,181.98425303107737,172.88464121980232,168.69014406996962,153.4998137431993,162.96845534022097,138.4755770908781,174.37256496907693,170.15700709394864,171.5809682174676,162.4651896196364,171.42068070458038,180.27317680358172,189.36000021325927,195.1691417512249,173.43755151879452,170.81334297311668,173.66296806053748,176.96485138664778,187.47668305589835,227.40991136680634,242.6262168545037,235.1262003071409,238.21210381744118,217.80520624739614,224.1431552966225,254.09932814910673,249.00686808419277,251.83072359049447,236.48591171965109,230.79903683430854,234.68184670539281,247.54380655013983,250.45004694833239,246.71922064358495,227.51545758156638,230.9928727016792,233.78833361573243,241.537218137541,231.27415628472235,221.56927709316616,242.35761551231505,256.4178932040091,254.85547194507046,243.86183045664876,242.29683011046694,241.70669458299434,235.65181497933918,248.70667659719703,233.30955954295735,233.41661093928636,213.45389738552478,215.77241469003275,222.88614620889214,232.49930138536828,230.28711213376386,243.87492746289297,244.6834442701355,244.94564688473912,244.78337842975358,266.4720800747631,271.89325295844407,262.36280601529904,258.1242019667275,262.907749126123,,,,,,,,,262.59768577290413,251.9211269812368,238.12331872539448,225.27060330632546,199.31760799249278,209.48515675908047,225.21318638664513,209.4688175438337,208.8853714287973,229.06551566994492,230.06409671433613,233.188672264118,212.2504748163935,195.35220271143928,215.88893380123704,203.88603040209827,208.55924612878033
1999-11-14 22:05:06+00:00,,175.695223216948,,,,,,,,,221.89381779057032,213.01853017359343,207.3631283767293,211.78917798355462,,,151.2508660301746,,,,,223.342521168614,,,133.98771137807535,,,,,,,131.9888520069249,185.83206356072856,197.9885944572265,216.9662892411061,208.36282184692996,146.15903858725426,146.7037345203337,135.47131305187847,207.26200226607176,214.43106654457694,210.75157012834543,115.14915868966784,114.76576388751633,223.93966418580777,,,,238.93825137116312,231.8592372931768,254.7704804776536,,,211.7185975613206,201.5145639739804,,,,,,192.44200252540315,233.48657689602138,193.71988182037305,212.8117177693667,205.408876665252,,,,,,,173.6544815137503,171.9110532766652,208.04790380340165,184.0389302875322,244.4554303710636,236.4843937652874,243.7730423801887,,,,,,,,,,,,,,,,,,,,,,,,123.06524042827749,167.01261404227256,178.39833979597674,168.45978157382478,234.4112758968474,,,231.9294943692616,232.20948306993347,233.352921102056,219.61282192143057,220.6307390034699,225.92802766888232
1999-12-25 21:58:52+00:00,221.85439052468905,230.63240604100363,248.4434231467085,250.4229510206379,225.75333977534964,226.52763941815292,229.7787398676759,228.02586441005107,214.2674070222921,196.8203800419047,201.5919832757252,204.9991248402009,193.14344987527573,196.83233485733095,194.2009660775237,199.4672160541882,193.4661206963199,186.92303880060726,178.65777257897656,190.73787495214268,193.4329711015358,199.32583528996219,181.48095150550773,186.51978930714372,185.69558813234408,186.29670031532035,176.0300605520153,168.84461587559468,154.20659313136414,164.6876461018422,138.6371245252794,172.019761540094,170.5201040749668,161.3336194002333,173.53292588273666,179.73910774974627,181.01336179662303,189.32764938903313,193.63314298205677,181.24004660114406,179.24543094408523,174.11557336682176,165.1490562047808,170.9390294520012,209.18455690434968,227.60124641079523,217.08605378632012,234.15236318958048,229.60643441543732,237.65685255052125,263.2612584707998,240.2412396160447,241.31678070527303,237.10099825028087,228.98176179903788,223.85838737556176,235.6727006802544,242.4346679763063,246.28368050585343,235.16724732777942,245.09941468355976,242.73958427707845,256.52637863210157,229.22801657813656,218.1081247291908,229.3354159478226,243.50171616600264,248.278495399981,250.2402014756711,255.87601705998856,245.3908243228553,240.83203610852408,255.49619506246023,259.44314126943317,257.4957690712301,240.2714342726524,228.18826902946125,218.12994390851242,226.75389939169105,217.33033888539327,231.1031113181681,241.0249666060429,243.9739306458173,242.2767880885812,266.0783982723236,272.5570581171461,,271.28451571106376,266.27149637476293,279.4783492594368,267.43290850198275,,,272.0984152570791,272.95892400338573,262.6782242889525,264.30837526881714,264.26341913049004,253.68259863384588,248.6674477145673,248.2613823846896,239.28087159790402,224.25216569618217,215.3007295608733,207.66039540606806,211.85245331223612,222.5295438831506,224.9913227370871,232.0286657051236,220.30961863628372,200.4182315098387,219.3023507168794,218.62306224644385,212.57093690783657
2000-01-01 22:05:01+00:00,201.22786926245084,210.91757498856353,208.13361140051632,217.60683346515418,214.0509962418058,217.24539320063207,216.27827382221128,204.4680551029117,199.0166679979124,192.4091244511453,199.1498093106536,209.3574011721921,207.40644675223055,173.4866780451743,,,,156.45793105747424,154.61082383810924,171.87699304652702,,,147.27490546103843,146.38282047421902,142.88721318589975,137.40877283750052,141.78034009620754,138.0765983037489,125.0964678433117,123.51865720726813,111.85412514612813,132.07926602159964,176.27472498406303,194.5667599436516,201.6790899743605,202.7748918792928,157.85850017309264,160.9075973508857,145.56015050576153,127.9017877622302,125.09361471520418,116.80857093941984,117.67423692695549,108.53604508458793,150.40627559507433,152.25778027165933,243.0607045849672,235.22096604175718,239.2730022055496,233.90145580768032,258.8352484878242,234.010067556837,232.39013807636823,241.8767121212896,237.85785812693268,231.24709266319525,237.88382072909215,236.0672761759019,,,,,,238.81934224667668,229.882591549126,230.00191015532536,,,,,236.1699304224408,235.02304148505146,242.97731142562697,195.07027716707182,163.63588388739333,239.1487108910948,231.8043029903895,219.6044094822842,228.1642082990224,212.97870623961782,243.04495720946355,237.7958521048064,,,,,,,,,,,,,,,,,,,,243.0017405447483,211.57905609360887,219.35618423268693,248.18569532177116,155.41400768150115,221.67021586301146,225.8963322914992,224.44609582424488,229.692478936911,230.42211463727915,218.6667473219339,219.14514493559696,205.85169150478094
2000-02-18 22:04:53+00:00,236.79201777577256,251.47483767915077,260.7785770277619,263.38587743531065,222.6417026493089,229.80358766481586,249.24395343211742,233.79214441447184,236.8634863663087,221.2580943180178,219.25773604946824,227.60594053621875,204.02327583629543,210.82276941908773,201.7774376550726,210.5912566354753,208.2865645311988,203.15770724367795,198.8287773268889,208.96361866738883,210.2103696133289,210.10760303876006,185.27529025745002,205.73423257678792,207.92102342346035,200.9560615344988,185.38377693000987,181.94371307561565,171.8932714284053,190.85385667088536,163.23431257885508,203.12431752280662,200.92969208550014,201.6475034754353,196.24843829162472,205.58481661631987,203.8056701016557,220.86862197662794,236.17059163671124,216.05770891303024,217.68698918335372,227.94749520027653,207.5783853859185,206.34620019571665,239.39763952067054,260.1255094572047,258.8721152871463,267.2448177351313,247.08312402149798,255.53820392718674,276.5936177554724,272.0876238434192,280.4866621520682,268.24585641611094,257.37128907426757,267.0513105560072,278.6726974812505,277.5144127028977,278.26669966769714,250.895531072682,255.8187663024797,262.6709269628057,265.7170833420131,261.5826351566472,263.3466005388273,263.473807365703,273.34724588869346,266.6871586424059,265.13456924368876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-24 22:04:10+00:00,,,,,239.00287996686907,211.10772514471364,182.25229381886743,187.40693823268592,,192.99118957029432,,217.2232287634122,231.08176625992937,233.6509349767512,229.36834530460266,221.71381441040472,215.42838854108808,209.7734498140045,176.8793691819297,170.85700774873476,190.62015912589504,199.15885580503388,198.2744603941639,,,159.61489270494585,180.8678811880218,,,191.21588192777313,202.6225441956223,223.6923323965289,206.4298434127599,209.3387360786725,224.91461269846465,218.05576035815776,223.72361362030205,216.94353784968877,,,,,,,,,,,,,,186.6428760127761,154.70841842177367,169.35128919379494,169.42634452361582,175.71054295358655,185.88267486643528,204.7377795906416,,,,192.19450874453213,184.76792789659757,174.8895879901665,171.38436076604575,160.09788474182162,161.22694620459737,164.1214210672437,185.47133317720667,166.9592204552229,156.90900804825023,193.9990991152973,179.5924563496929,191.98867710908223,178.30412679573305,246.70557266010937,238.1522652167401,233.21750678111889,239.37037987797632,221.48565076242866,253.36690008694563,158.61411647977124,163.5450790995766,168.3895699830798,169.84822424133569,171.37722958140557,166.0031496951624,172.90761903018455,160.7438625009956,132.73149591484807,,151.30352394478058,160.09042644406009,171.96800450516253,154.62946513917757,,,151.6299517090683,,,,137.6810423202473,187.21854908002095,180.55104697758156,245.1406839190949,231.4592092553163,229.12437692064168,227.25282972106388,210.0839237954833,,233.9740764319963,238.3368565254673,230.89709087319483,234.06599562522985
2000-07-04 21:57:38+00:00,173.04874818376462,174.34295730350397,213.6534461939027,217.58742931291223,208.21487296210387,223.66572095659905,223.68622705253225,213.97194696502416,200.86104353225033,202.77561207625587,204.61788722803976,219.34274340542115,217.12750426521336,226.83920096732126,215.09686460230245,211.53643961341763,205.39739292629645,189.38882187490864,181.4409771478521,192.88478440966864,191.0646745508065,186.4885028146544,166.8718808366794,176.2936295239998,179.5228580819293,189.74034340593758,193.67265918065775,184.9036324956239,161.7732832591062,174.19132858019032,158.01662741367858,,194.00881275748648,197.5088260810002,201.6492260555273,211.19809334263334,195.18251196221655,200.74705552213442,209.33610895738465,185.25601338676722,202.50874400721267,202.20908442952194,183.65880724383618,155.74297207168053,121.0046212682827,221.7924937230256,229.2752509116757,,103.90536109827666,218.13458543090906,231.7090813687798,226.51475357939185,242.28962008829328,90.05042731956857,125.11490702791339,155.8375024757363,152.85518781500508,260.41395530598106,,,,,128.6013637276862,165.47460936655153,,231.64688756057146,263.27679110838164,266.8038716878486,257.0901470684725,271.0265522679356,261.63795606296,135.7305761369799,156.52877416568464,176.39339661936265,150.73273265306912,143.4888464335821,183.70642702361235,79.70975447462222,239.89606562391918,237.5308559063814,253.97131007513264,250.46081567575328,253.3095896546114,257.35318288754337,288.3967263572623,217.11862999424713,218.27250695282828,275.0346686985475,260.4258020118322,276.5370830694722,265.4759133973001,211.41848163484923,234.47680776577658,233.69881734974973,210.70488720567712,,,189.62017004182294,,,271.805469638022,184.05190315899063,,250.61409439727478,207.10074696422546,136.98909216500556,103.4804881714296,90.70866081809987,,,,,,
