,dates,per0039-0000,per0039-0001,per0039-0002,per0039-0003,per0039-0004,per0039-0005,per0039-0006,per0039-0007,per0039-0008,per0039-0009,per0039-0010,per0039-0011,per0039-0012,per0039-0013,per0039-0014,per0039-0015,per0039-0016,per0039-0017,per0039-0018,per0039-0019,per0039-0020,per0039-0021,per0039-0022,per0039-0023,per0039-0024
0,1985-03-27 15:04:27+00:00,224.25145570974368,171.36749357078995,122.72129719649776,95.52060131420824,64.92054163555143,,,,103.46226268949539,115.85170685007739,122.13966087732935,120.67324971884125,110.85947243148627,103.40381648240474,104.83543834822953,111.631222940498,113.79095018438619,122.48415463583898,132.52833312557658,123.2320325531144,117.61818878654691,117.3015123074931,111.70112181301303,106.98694129238396,115.47575304683888
1,1985-10-05 15:03:08+00:00,188.75413934465905,144.27507662998238,119.80475726472356,103.79812383787643,89.40359612561775,,,,102.23759806330314,91.03539830446401,82.0357658036391,89.77695094060181,99.89720258880867,103.10357285342648,90.51945362518224,89.26516922248878,85.5541869493189,90.90595206688947,95.54279374846922,100.6280055908423,108.03283279364733,117.00013000684474,127.1095770435508,125.07735073636985,127.89862971821827
2,1985-12-08 15:02:09+00:00,189.05010537155383,154.30442038849984,113.2245730051574,84.77743855309977,50.453276396849276,36.80979198878907,42.6160542373697,58.92099452664043,90.65108862690143,101.52831164967009,93.05773874256657,94.1196309899947,97.48385839115427,92.11179373351646,92.10056743733003,95.58571830921078,92.76050926829392,86.07532158938022,98.95773761636435,100.44142917002961,102.022321452601,108.72748109926715,112.0242133986535,117.60315000628555,115.39259093743023
3,1986-01-09 15:01:34+00:00,217.36966268169047,174.87127006651102,131.7316727364636,102.64712253437393,59.39801184361561,38.852846534205774,33.91316622665358,56.432961259382644,92.46442305955371,109.47384993427022,110.82352047229399,105.53399723722333,97.42849211976409,84.34699136662398,82.70089978143382,98.51043714194869,96.0957610784936,110.2831901863913,,,120.5879950337894,123.85289747509577,117.97703886184921,118.53698508856428,123.46932763347856
4,1986-11-09 14:52:45+00:00,170.35184710731951,129.63559343545313,86.33441971937202,66.01949498022175,46.56234133103257,39.779575747889695,39.46490385293184,51.82147559898979,80.89869082444989,89.78097082519142,92.25560042512447,99.7975938870678,89.3365946378505,83.55614458534107,85.45922907132646,96.00388107335931,88.23266822318209,92.45799323331268,103.53309503643153,100.58803448916447,99.99034364399269,102.64881894694184,102.78363277923884,93.54382563801289,118.11438319995868
5,1986-12-11 14:52:44+00:00,198.73912977441415,156.0601502732756,113.33772822258807,84.98855814420716,51.18444458332425,46.821002632596866,50.102771902060255,62.9357335950346,97.01614472715322,116.34292911062096,122.02794732413444,116.65023328051197,104.49672113286847,92.99295221044389,93.39411975016134,96.67556616878481,109.98728452758372,116.68430815813912,126.26924843892314,118.5058957675614,118.45973970250328,109.40573879279593,109.34722271162504,112.27515525016075,113.77536194596195
6,1989-12-19 14:57:25+00:00,189.80897626782985,146.76567710171045,116.55315336007445,94.9756579327979,68.27867827223476,61.65465442470105,72.89548844833344,90.69996206802395,118.43691755669799,131.56021448180198,122.22732367436654,112.08587367178492,104.62434418503084,102.06597966617443,94.50181051752996,103.66265897389306,104.40360684559299,109.92861958238124,115.49421035970393,121.611876095455,113.86539974504464,112.7965633923686,114.7702605230354,123.5146822956986,125.09308192883945
7,1990-01-20 14:56:25+00:00,184.190521012948,139.45563814951737,95.38183992003307,73.76628042559948,42.4778626891524,39.87308792964746,57.089285246218886,79.35085327192341,116.0134121810598,130.01455283407518,129.1267767836461,112.87683531731203,101.63028227704787,86.84727093500679,87.48357780577196,98.22644803139661,108.1344668710712,117.46642588071543,125.97555774908969,127.64234062132908,120.27523381106471,110.48019452101676,105.00630328904145,106.03257147911296,109.63050680890224
8,1990-02-21 14:55:23+00:00,192.7657504249685,143.2307589966423,100.051660737693,72.86797165898459,45.85971126820001,35.21250064202788,39.443656620136295,62.28788933070571,98.26252419919983,123.5704709526149,122.77732081470282,117.12556602734375,101.44584445655204,91.20430367285026,89.73643966514011,101.64679228854428,107.09624662450605,108.53990940472389,126.04539473505145,119.42802214554499,112.16837505942873,107.33273016972663,103.83096461395654,91.74799168632863,112.47744407976359
9,1991-03-12 14:55:24+00:00,185.4281298770614,133.99111130505193,83.83013772329562,63.58821171589343,30.665340242793214,23.138378965546273,40.86808350785092,75.62311700788278,117.65375480599731,129.22918990798195,130.06280618943018,120.76178454125058,104.35968303179133,86.5405726633277,84.26070317526602,98.19070627866587,101.99761607275784,113.80155897741301,132.3190176368033,124.31884641795413,114.587625140687,109.9589283330098,103.9569585310175,93.07543214526027,109.91598612354463
10,1991-03-28 14:55:37+00:00,183.28273370175557,133.00390164233872,89.35273958444327,65.68172652745973,36.41460667775473,31.61063017882152,46.55961720642324,78.11610229050945,118.89256075313612,131.2423956823168,127.46203609845541,125.66601519841757,111.49706986397052,93.2586858616629,89.84320361041017,101.88220073585224,110.22504132370986,116.67528671523813,134.4419702092049,125.45537143886511,117.57150227335178,108.51676289566358,106.50209439071254,100.12192381553702,105.99313376297832
11,1991-04-13 14:55:59+00:00,196.98069847034427,147.41904320142598,99.9969428456113,72.37851574968049,43.673832237646636,39.219303295454154,52.37777641034049,85.83931011968751,123.4099614663183,130.2941990783693,128.31013925127297,120.31036105066603,110.79292485502565,96.03060487912413,92.6386187368333,107.41155251981698,112.15008407735316,120.56472607051415,133.8077876652617,128.15157532621942,116.93824474442914,111.96668914336527,109.12678484018927,100.44063373512755,113.94316840452139
