dates,nzd0139-0000,nzd0139-0001,nzd0139-0002,nzd0139-0003,nzd0139-0004,nzd0139-0005,nzd0139-0006,nzd0139-0007,nzd0139-0008,nzd0139-0009,nzd0139-0010,nzd0139-0011,nzd0139-0012,nzd0139-0013,nzd0139-0014,nzd0139-0015,nzd0139-0016,nzd0139-0017,nzd0139-0018,nzd0139-0019,nzd0139-0020,nzd0139-0021,nzd0139-0022,nzd0139-0023,nzd0139-0024,nzd0139-0025,nzd0139-0026,nzd0139-0027,nzd0139-0028,nzd0139-0029,nzd0139-0030,nzd0139-0031,satname
1999-07-18 21:58:25+00:00,,361.93,,367.74,358.78,,364.35,374.35,365.60,,,,,368.31,368.12,363.56,365.43,364.30,360.53,361.63,362.07,365.56,363.38,361.22,367.34,362.34,363.49,368.52,366.78,370.24,382.34,365.97,L7
1999-09-20 21:58:32+00:00,375.16,373.45,373.55,386.28,377.96,387.07,383.92,389.17,375.34,371.91,377.77,378.95,384.23,378.42,373.50,372.12,372.00,370.43,374.25,373.34,367.85,374.75,373.64,382.78,385.03,385.71,377.12,384.32,382.96,375.27,396.53,380.66,L7
1999-10-22 21:58:28+00:00,378.98,379.59,377.99,385.01,382.36,388.77,395.42,399.28,391.04,376.25,382.42,385.82,388.50,383.97,373.65,368.25,368.14,369.46,369.90,367.93,364.43,372.08,370.98,372.55,378.06,372.99,377.95,383.64,378.68,378.42,392.03,383.96,L7
1999-12-09 21:58:33+00:00,393.79,383.96,380.31,400.86,389.96,369.08,360.54,374.59,374.97,379.15,373.29,378.36,372.52,371.97,373.94,366.55,367.14,371.16,367.76,366.12,366.08,375.47,377.58,372.80,378.28,377.47,374.91,380.00,375.40,380.51,394.64,362.32,L7
2000-01-10 21:58:28+00:00,394.84,,,,,,,,,,,,,,,371.47,,,,,,,,,,,,,,,,,L7
2000-03-14 21:58:11+00:00,384.13,372.59,373.20,386.19,391.97,379.94,390.64,395.34,383.02,383.20,384.58,385.09,383.86,383.07,380.62,377.85,376.82,378.72,380.32,377.75,377.70,382.49,385.66,385.59,386.24,386.47,389.56,390.87,387.28,379.62,390.32,377.50,L7
2000-09-06 21:56:22+00:00,,,,,,,,,,360.61,357.69,369.67,374.56,368.92,375.23,364.92,363.67,370.26,370.47,367.38,367.89,367.36,373.09,370.13,371.53,378.74,378.97,378.75,389.22,385.60,391.52,369.75,L7
2000-12-11 21:56:00+00:00,,,,,,,,345.95,355.78,353.46,355.78,359.49,363.38,360.90,362.96,360.12,357.08,362.48,366.18,360.51,358.05,361.20,358.93,362.35,367.61,367.68,368.70,372.40,374.91,370.69,385.40,370.06,L7
2001-01-12 21:56:06+00:00,378.97,367.75,358.99,,,,,349.57,363.70,365.53,359.22,368.12,370.84,364.54,368.03,367.01,366.64,368.32,374.52,361.01,362.69,366.20,359.95,366.71,373.68,376.23,380.76,387.93,387.90,378.33,406.04,401.62,L7
2001-06-05 21:55:16+00:00,,364.32,,351.13,348.76,355.62,346.56,315.45,353.02,366.99,362.85,363.36,376.85,370.10,373.64,371.10,371.02,372.18,372.45,361.71,369.81,372.21,368.66,375.67,373.44,378.95,378.67,383.23,385.41,377.33,393.59,373.13,L7
2001-08-24 21:54:24+00:00,367.28,363.32,357.96,366.99,364.41,375.87,369.71,372.10,375.26,370.39,362.86,366.26,373.38,368.59,367.45,368.59,369.35,369.22,372.69,368.37,365.92,374.30,368.50,375.50,377.48,375.22,382.52,382.14,385.68,371.90,384.04,377.84,L7
2001-09-09 21:54:12+00:00,371.64,371.42,353.52,368.85,371.96,375.01,373.58,334.91,379.57,374.92,363.47,365.78,,,,,,,,,,,,,,,,385.46,394.76,387.29,399.59,386.06,L7
2001-10-11 21:53:46+00:00,380.12,370.93,358.07,384.41,401.71,421.67,,368.29,372.40,361.47,363.55,359.32,366.00,369.27,363.48,363.16,368.02,366.12,367.77,367.60,367.29,366.93,366.56,372.66,375.23,380.76,391.32,397.56,396.23,388.42,398.38,382.26,L7
2002-01-31 21:54:26+00:00,381.44,370.92,363.78,,377.38,,,,361.77,,,,,,,,,,,,,,,371.45,377.28,375.30,377.07,381.42,381.57,384.34,400.30,383.99,L7
2002-05-23 21:54:18+00:00,,,,,,,,,,,,,,371.71,370.87,356.23,357.58,364.52,367.35,370.82,365.72,378.69,376.13,372.06,377.76,362.88,368.95,369.26,355.32,363.71,363.56,355.88,L7
2002-08-27 21:53:36+00:00,395.43,390.38,386.55,405.29,396.83,411.22,407.00,366.33,368.31,376.77,379.34,378.58,385.14,381.67,390.39,387.96,383.61,382.53,381.53,373.23,382.95,388.89,388.35,390.32,385.98,394.24,391.11,394.40,390.40,389.02,402.72,373.05,L7
2003-01-18 21:54:06+00:00,383.30,376.79,370.09,389.00,383.62,382.93,377.29,350.10,372.38,378.01,375.01,374.44,379.42,377.75,375.92,374.42,374.28,373.59,376.17,371.80,370.80,371.82,371.58,375.71,378.95,377.29,385.17,382.46,387.96,384.37,401.75,388.00,L7
2003-05-26 21:54:19+00:00,,,,,,,,,,,,,,372.67,367.50,364.47,368.09,369.34,371.74,373.35,362.64,365.96,374.01,365.53,368.28,369.03,374.53,370.45,377.02,372.79,382.68,365.85,L7
2003-07-21 21:42:09+00:00,,,,,,,,,,,,,382.85,383.30,381.50,380.61,384.86,388.56,386.07,381.25,380.74,384.63,382.09,380.40,383.00,390.56,388.69,391.32,394.09,389.71,398.56,388.38,L5
2003-08-06 21:42:27+00:00,372.52,363.21,365.74,375.38,383.59,386.61,376.70,372.87,379.34,372.43,360.68,358.30,365.92,370.30,368.58,366.49,366.82,379.26,379.82,375.42,376.28,378.54,374.35,375.00,377.90,377.68,379.50,379.03,379.54,376.73,390.85,375.23,L5
2003-08-30 21:53:59+00:00,,,,,,,,,,,,,,,,373.12,371.19,376.19,373.71,370.08,366.47,371.07,,,,,,,,,389.73,371.00,L7
2003-10-17 21:53:51+00:00,376.17,373.61,366.75,379.62,385.08,382.43,338.53,376.59,368.42,371.05,369.73,372.95,380.47,376.33,379.83,378.47,376.29,376.67,377.57,376.67,369.44,373.71,370.11,371.50,374.71,387.12,392.70,399.23,390.91,394.30,392.41,373.88,L7
2003-10-25 21:43:40+00:00,377.52,371.97,365.15,392.80,395.58,382.37,343.57,365.45,381.38,377.66,370.83,368.57,375.12,375.82,374.76,373.82,373.63,372.04,383.53,383.45,379.85,380.89,380.72,372.37,386.22,379.82,389.60,390.23,389.35,384.27,390.85,366.78,L5
2004-02-06 21:54:44+00:00,385.19,384.34,379.04,400.56,404.89,406.97,366.65,399.15,386.91,381.77,378.90,379.63,377.99,379.64,379.44,379.84,378.70,380.64,384.41,381.40,381.86,388.61,385.07,385.70,388.70,388.21,394.94,395.99,395.65,392.19,405.51,390.94,L7
2004-02-14 21:44:33+00:00,378.27,382.96,385.25,404.26,405.23,406.78,371.11,377.44,378.36,377.68,374.13,376.17,382.77,384.00,385.33,382.66,385.65,387.92,387.11,384.95,385.01,382.87,386.30,386.54,388.11,389.91,393.74,393.38,392.08,389.82,400.96,381.48,L5
