,dates,aus0019-0000,aus0019-0001,aus0019-0002,aus0019-0003,aus0019-0004,aus0019-0005,aus0019-0006,aus0019-0007,aus0019-0008,aus0019-0009,aus0019-0010,aus0019-0011,aus0019-0012,aus0019-0013,aus0019-0014,aus0019-0015
0,1987-05-22 23:05:44+00:00,239.86556079169986,234.35068556210396,226.27945385524635,225.01747591506918,228.95162527672466,218.73018717250054,218.77706306616327,218.92371048622817,221.13330059712956,226.11875129572093,231.95258145314114,224.54641971238254,220.79556552347034,225.63762447572276,232.19577141986085,224.7096421228003
1,1987-09-11 23:08:29+00:00,232.30235790351924,229.01154501935181,224.51560061887957,207.65792339064075,218.01852739204315,222.91892403129557,232.60537450758406,230.61185853010593,224.37785739311772,228.0620954391513,239.9796434310646,227.9985250035288,222.31667647157974,226.4430343210069,222.4059842066774,203.71623599022533
2,1987-12-16 23:10:17+00:00,235.61985012963024,237.83822836032394,233.97513669389394,231.46828076162248,246.08745717333164,243.420676632891,249.3488745064206,250.5239768090467,252.3074691736065,251.28221999458324,235.65211659999653,236.29248641365436,234.82851045917647,242.01465334714285,245.47151501465927,227.6164305006734
3,1988-01-01 23:10:34+00:00,210.45879806834577,214.20429250205865,215.05894186613295,211.30283530035533,206.75213550242756,214.1086745282927,214.41594231825079,218.6799473155104,220.22961280681062,225.2161719795389,217.96489325221222,211.05804189149242,212.93718350245064,211.84050861325002,209.43878275390688,197.44620271211087
4,1988-01-17 23:10:50+00:00,210.6454086828135,199.81728173647178,201.39043444101824,197.07458488004178,201.55141417496156,207.52079314867993,208.90812417375395,209.1119122138113,213.18969547907508,207.0916239677384,203.45335605652457,202.30606124555285,203.9647032845141,204.06706063569223,202.5822473838569,188.09275692765115
5,1988-02-18 23:11:23+00:00,187.17904180813204,196.56230716522595,194.70970944264684,189.64671693307673,196.29443045830982,198.34006454097215,196.3808095883856,202.03354503471007,200.39439399192645,198.24104719929795,195.2281883147566,196.23469087107912,197.07471281901624,196.86420091361992,194.3569875598493,182.63478534809735
6,1988-03-05 23:11:33+00:00,189.91110934609165,193.57390311184326,186.5437632798439,187.6345586743793,193.40500463360476,193.88451500544537,197.7871181038031,201.72516828928903,200.27162503866904,197.045333265576,190.59103971278077,196.43736549137256,189.88625579363998,195.30111421274043,190.83177418287158,170.8674252493855
7,1988-04-06 23:11:48+00:00,197.5672522119612,206.25260394397822,203.51122046011812,194.96449649876263,192.12310037364398,187.19748342030113,196.44029349332592,206.41618322713748,198.20356872789398,209.58094819223868,204.4362592044934,202.3291432296784,207.64665685380754,196.94804703213967,186.25401667979068,183.29545871649225
8,1988-04-22 23:11:53+00:00,218.3734691729816,219.87161606247997,215.54444394720238,212.7541364629283,207.60945293935396,211.59056980824295,214.77583011815167,216.13584626520827,206.95465173094718,227.12218670432546,233.5044936471862,211.37500526729806,209.61344210878994,204.18871214724604,222.9267380377892,216.86689209130446
9,1988-05-08 23:12:02+00:00,227.74974082097148,221.9134300931395,223.8834947068332,214.27107755332602,216.58237634611157,212.9538015228954,209.69281675843123,220.25975204927516,222.59323442433003,226.0693012086629,227.04354190891397,201.9040150085154,205.88764726110833,216.4461266679919,233.52140438104848,214.82557490058034
10,1988-05-24 23:12:10+00:00,230.36908777170808,226.59724977288442,227.71607717560897,225.8002111466668,222.92262920246773,224.94330607876898,228.06771044306538,244.71758023298574,237.47787786115788,243.90155486856864,227.16661864838102,214.285883076336,210.4186936700863,227.6729075962742,238.11373018382474,226.14715433343105
