dates,nzd0556-0000,nzd0556-0001,nzd0556-0002,nzd0556-0003,nzd0556-0004,nzd0556-0005,nzd0556-0006,nzd0556-0007,nzd0556-0008,nzd0556-0009,nzd0556-0010,nzd0556-0011,nzd0556-0012,nzd0556-0013,satname
1999-11-05 22:13:40+00:00,284.92,295.29,289.98,282.05,273.94,270.90,264.83,253.59,245.38,255.32,276.74,300.02,312.80,313.82,L7
1999-12-07 22:13:41+00:00,287.53,302.30,298.02,297.65,289.41,295.44,293.75,280.91,280.94,266.62,290.00,310.52,324.12,340.89,L7
2000-01-24 22:13:35+00:00,289.71,314.27,317.51,319.06,284.62,276.17,287.71,275.56,268.03,261.70,280.06,297.31,329.76,344.59,L7
2000-05-31 22:12:42+00:00,,,,281.13,279.33,271.06,259.46,262.78,265.38,268.93,277.76,285.92,311.70,326.95,L7
2000-09-04 22:11:34+00:00,303.57,304.89,298.51,288.62,284.11,269.32,269.98,259.26,244.46,261.69,264.72,276.63,294.28,305.36,L7
2000-09-20 22:11:14+00:00,300.31,302.14,291.82,271.44,277.29,273.34,266.98,261.03,245.89,263.63,267.58,281.72,300.35,309.81,L7
2000-10-06 22:11:11+00:00,306.20,309.45,296.63,281.75,282.31,266.19,265.21,260.03,252.74,271.88,266.31,305.22,310.08,310.91,L7
2001-02-11 22:11:12+00:00,303.69,310.24,315.71,318.22,304.86,294.56,273.22,261.97,251.28,238.47,271.47,284.85,293.69,306.12,L7
2001-02-27 22:11:06+00:00,336.70,336.73,332.79,337.85,323.29,304.17,293.95,279.20,273.81,263.77,291.71,302.85,327.50,337.95,L7
2001-04-16 22:10:54+00:00,333.87,329.80,317.36,303.28,297.51,289.93,280.39,274.84,266.84,281.68,287.20,308.66,317.99,321.24,L7
2001-07-05 22:10:09+00:00,,,,,,311.01,295.85,275.68,278.11,255.55,279.87,308.51,323.15,329.14,L7
2002-05-21 22:09:29+00:00,,,,,,,,,,,,,310.87,307.35,L7
2002-06-22 22:09:15+00:00,,,,,267.37,266.66,269.27,266.29,257.40,270.61,280.73,296.43,,,L7
2002-07-08 22:09:12+00:00,,,,,,276.12,277.43,276.96,267.56,271.29,284.88,300.73,313.21,302.38,L7
