,dates,chi0337-0000,chi0337-0001,chi0337-0002,chi0337-0003,chi0337-0004,chi0337-0005,chi0337-0006,chi0337-0007,chi0337-0008,chi0337-0009,chi0337-0010,chi0337-0011,chi0337-0012,chi0337-0013,chi0337-0014,chi0337-0015,chi0337-0016,chi0337-0017,chi0337-0018,chi0337-0019,chi0337-0020,chi0337-0021,chi0337-0022,chi0337-0023,chi0337-0024,chi0337-0025,chi0337-0026,chi0337-0027,chi0337-0028
0,1985-01-25 14:04:03+00:00,229.0593040545111,225.6100734230023,236.76406875281225,242.31812433239398,195.16795012819225,175.26368026174265,180.12457845683434,207.97401455888772,223.437497894324,213.95142845630312,208.11321646503333,210.92149501653722,,197.3637100848851,191.30624391408782,208.43353258903971,242.45755248735807,242.8492237340261,214.25205016093153,207.06619398606966,213.9447129682008,202.71187534122345,203.9635976424438,193.11939492326488,190.46728758046237,192.3288111855392,184.95849338337501,186.2770231945802,217.20044552524138
1,1986-01-28 14:00:46+00:00,221.3643535771368,217.0584167269036,226.4545041665479,211.6241139612246,188.84378813412962,169.20242551789045,188.20944687320423,220.92430177549966,218.77144440312952,212.11708003419068,221.10586029621476,186.9195282098046,162.38437202497343,181.52941623604747,231.21059135636008,237.2245391764506,225.57360779737394,219.06850862130017,206.16628241255145,205.07795759623048,192.5973673490813,180.92507410295983,202.97405566526328,204.58892700613097,188.7966382720638,181.73544007456368,181.1364646258647,192.17905402002918,209.9947713951404
2,1986-02-04 14:06:47+00:00,243.94637008142175,235.14696641827308,226.9270996913882,220.1734535394309,199.60782136590677,182.208322596301,189.840407578635,219.34193939151308,227.75195275242544,221.93567699619922,234.07009451447234,210.52335349582103,177.21834955528516,185.4924362400095,227.7427812492157,240.68102730112315,235.57127840623536,226.82299837144996,211.67353741688402,212.6016834712791,193.79921478228107,186.23572605169812,213.5704530984988,216.2879994333099,197.83573466124287,185.0599948530057,186.530016951943,199.78014099154996,221.17284259905307
3,1986-03-01 14:00:01+00:00,242.03107620249153,237.85721963625446,220.15583673742537,220.68152232274394,214.50319324270907,204.29143747745798,197.15457713922697,198.37643053596486,214.94066437140134,203.58641287204654,222.70875985464335,205.73742397655514,173.01349786823977,183.07410253683588,231.62132653244936,243.72343399349955,249.94999905351983,246.09622055703366,238.00432685738133,228.1078904356267,191.45800025455318,175.7228752469262,180.02649039039682,203.77434841650162,205.3406301537347,182.45459765981138,196.6416076552373,204.28888405019714,229.63564978076528
4,1986-05-04 13:58:38+00:00,210.24048072748795,203.29131574653715,201.4058937959647,195.20572245649643,178.4619003733138,179.31551077249367,191.77586895762232,192.36467727795528,201.0585978720224,200.0125550330081,195.06991792215211,187.85947582888886,172.20143430089024,179.0580043785473,197.82351455120724,211.33062326176332,205.97050977469797,207.30791706967156,206.4659467236087,206.193254682339,192.94670365277625,175.4550658043505,176.0824929550312,188.93452508889717,182.39425042671468,182.98581890337886,180.28737273445495,191.18863004278177,203.99992087805055
5,1986-05-20 13:58:12+00:00,203.67207514651372,189.87264491267726,199.31509000204244,190.60220743389098,182.8955562934508,177.58734565767128,181.72936339659805,184.15143183400966,187.32947482910663,188.2317623833192,184.5674299595014,176.7195555269827,177.73258551166523,179.84621147764068,186.16964486293242,202.81681102359533,199.67149970593297,198.3607034711448,187.51926722629236,188.62925032258732,179.06657280374583,173.32598136231556,171.89907873907399,173.72843208038057,171.3823276960942,170.2033695945147,164.3012826198201,180.7774734775507,182.651478985165
6,1986-06-05 13:57:43+00:00,202.38290717880554,202.39157560166998,184.49079487368775,163.93506821376806,164.1313448865159,168.2076102766012,170.4212655904152,165.57050752299114,181.40313967213498,190.34197192678113,190.09729498760055,179.5127819634863,179.94245789804287,183.99836372806988,192.68109138637652,181.40744980584972,185.42089724900003,185.83453921383628,179.53799605283874,177.05130628625147,179.44938834047525,178.65563055359692,167.00601922028315,155.3887726053093,165.48223512428535,164.66790800559278,166.8785799255698,181.1114486308797,192.5884501082271
7,1986-07-30 14:02:04+00:00,227.52280659083854,207.90884431062176,208.24459820471725,191.8334915673827,204.48804155728553,186.14235239472444,182.5035239452611,192.8364282741228,200.0855795145974,190.70755490798297,192.5325570878697,189.51921523031345,195.82448347213713,185.82127775280156,189.0599182260562,208.90159172929066,212.3483529883389,218.53406201006797,186.23181260986763,191.2488585667346,209.21584964112336,181.76482058294326,177.85400430070746,183.00637119435345,165.43857119368764,165.35178325735905,175.5353279471647,187.47705272858562,217.17803347928043
8,1986-08-15 14:01:29+00:00,236.95479626701194,221.39730864174493,209.209062334174,204.51901578859264,218.29927708487583,199.67937302499223,189.20035762091652,196.32513048863566,206.95281565720109,204.54994796944118,195.38902731242692,195.53823986831736,206.19580928215007,174.54139581243294,188.18363587409317,216.68859143685626,217.51993744576976,215.2638506428183,180.61885161142305,192.36082298203235,218.07353520233625,178.78789580937652,182.15349808520662,194.2966212014657,168.8764901898537,164.66099472823834,183.1939111006331,188.69948987778758,213.9020105914229
9,1986-08-31 14:00:53+00:00,218.85577128085905,205.18922772321082,208.41872803069026,203.66782552896876,201.25037272855604,195.4951232900861,182.99396393984068,183.34176368741828,203.3948473371442,199.07967795367693,192.3383459532092,184.50298956986643,177.7037979377535,171.63872890666758,198.25237783923842,216.14742169553136,201.18344573996,188.67273767090757,187.36671656187303,194.80750608784658,191.1310174134337,176.1054347576446,172.31090949430586,178.70576983340732,167.06576987120442,167.9157476467385,182.65417295920977,190.87523842624157,211.1120821503778
