,dates,nzd0023-0000,nzd0023-0001,nzd0023-0002,nzd0023-0003,nzd0023-0004,nzd0023-0005,nzd0023-0006
0,1999-08-17 22:10:26+00:00,223.70577988697084,223.66694318263583,233.37477453436367,230.3664868599584,223.58625424763537,215.5875026083022,216.8346558969934
1,1999-10-04 22:10:38+00:00,228.93831774812764,,233.88333001362557,231.40696227249938,225.34586257747918,227.76357374272865,228.01606505623712
2,2000-02-09 22:10:19+00:00,,225.09693257376148,232.1769561567713,234.92876991733942,237.21305532384773,246.06246977739488,241.70880182626195
3,2000-03-28 22:10:07+00:00,223.0821808973962,222.87588460881568,229.23001967645473,234.34490099520477,230.18551119365932,226.87853343594114,229.14218186366728
4,2000-04-29 22:09:53+00:00,224.01586444160057,,235.9125667380957,234.4384669890583,231.69520790944907,228.70722110719245,230.26764905026872
5,2000-05-15 22:09:42+00:00,212.77893960217347,215.20784126246807,219.51000671339213,223.25481554069313,221.30930152932018,220.2837787398699,224.16417384562445
6,2000-08-03 22:08:44+00:00,269.84298673909774,,,,,199.34086857449765,199.96730970772268
7,2000-08-19 22:08:38+00:00,194.33380439603735,209.46626210428778,214.742377102589,217.5909449870022,208.79920590692478,215.66111793244397,
8,2000-09-20 22:08:03+00:00,,213.31132162498656,217.33072293191785,220.7735995746982,218.56338634245986,215.715244485323,223.25450728728757
9,2000-10-06 22:07:59+00:00,215.02663675586547,215.52918047397512,216.87662984225176,217.28121899377828,,217.30658792553407,224.85653898269922
10,2000-11-07 22:07:53+00:00,211.42185051912256,215.58707541333123,223.93649690367977,220.696946601737,,219.36555039058635,224.1119242546327
11,2001-01-26 22:08:07+00:00,,225.69456240069806,231.23123631484302,231.6305882321266,224.95412207623735,232.5207264659472,232.98422641570428
12,2001-03-15 22:07:52+00:00,,217.21364522236075,219.70105893987062,224.20965996177014,216.95388323888335,217.83224929905265,219.29010270737518
13,2001-04-16 22:07:42+00:00,221.42483859188962,219.74157458369595,223.42259529765892,226.14061210499443,,224.17217873250075,223.76575724615114
14,2001-06-03 22:07:16+00:00,220.20365193042346,217.05366311931976,220.5821983633376,228.01786458305799,222.96016108677534,223.0582917501772,231.56913937167707
15,2001-09-07 22:06:11+00:00,213.21212563548812,216.94361977487787,215.76680429915933,206.06211942526016,198.4125381215811,200.5483464262756,213.69242724046683
16,2001-11-26 22:06:09+00:00,,204.04151111953803,205.54694262391482,,207.80924936421468,205.4793825591537,216.5775609908104
17,2002-02-14 22:06:29+00:00,,219.12936698323034,226.44452561860692,226.29725974516498,228.72163893677643,222.71883929769314,232.85705752280626
18,2002-03-18 22:06:22+00:00,,211.0516612005577,213.31200377864405,215.6437022086684,210.7455438598446,215.83302343445447,223.09377946092872
19,2002-04-03 22:06:21+00:00,222.10967608018237,218.38370118209264,222.52322459768592,230.7558862384044,228.93018442385318,225.07255181324786,232.23875590965395
20,2002-06-22 22:06:03+00:00,214.42261448261206,213.64250880217733,221.40309213817068,224.60504214607968,218.58473936457924,216.1901899108249,230.39336682271008
21,2002-07-24 22:05:50+00:00,,,,228.89302137838797,241.89630919868898,,
22,2002-11-13 22:05:30+00:00,224.0020704202518,225.44031858964328,232.12320818885465,238.77241075220505,216.15992521094856,230.9287222685034,234.26822197353715
23,2002-12-31 22:05:56+00:00,198.5068779568337,207.36249985320757,201.63024165175523,,213.18440958847503,210.40484747672403,218.55273462097114
24,2003-01-16 22:06:02+00:00,217.2223838269703,226.81002776203422,223.45363323816676,225.22283459672002,226.81354249537088,223.5806050137498,230.06520353995862
25,2003-05-24 22:06:17+00:00,209.80995017738556,224.6249245018762,217.94853851417295,226.95572966818295,216.887633150172,215.835365618489,224.92176541312188
26,2004-01-19 22:06:35+00:00,230.18875303608715,,,238.58924562072644,233.64654935390308,231.4531677971218,231.6230467646559
27,2004-02-04 22:06:41+00:00,230.90165969980248,226.7986429175514,227.05723665944382,215.89749843865712,228.57160049177247,,
28,2004-04-08 22:06:49+00:00,,,205.77848621129766,194.69842744845974,,,
29,2004-04-16 21:57:19+00:00,,215.63599597768143,218.04232422352638,226.16384497234748,224.88358379451256,226.7386560894917,227.25832022625642
30,2004-04-24 22:06:43+00:00,,218.24098248893145,220.02817216859228,227.04829491312057,219.8378206848537,216.83852030911257,218.78544969384106
31,2004-05-18 21:58:14+00:00,207.4597278925718,219.1397828346009,217.96886811116227,,223.82621338192493,218.90833433653893,223.1671701820102
32,2004-06-11 22:06:38+00:00,,,239.21562871844583,240.36340801935222,236.9374878879744,233.22305713822544,239.3830447433598
33,2004-07-13 22:06:34+00:00,,213.75362226318688,216.80074149722637,217.5653775478486,219.80471386518363,216.5237398408698,225.35799874928662
34,2004-07-29 22:06:27+00:00,213.25149676417797,217.77838603097123,222.93685388321552,223.08672633110774,220.74329336076295,218.64031294459738,224.63482075816745
35,2004-08-30 22:06:20+00:00,227.53534109874232,,,239.9320700592147,235.3443815695696,228.5171020281411,238.90036120685323
36,2004-10-17 22:06:14+00:00,,,,239.0265521857335,,231.73681335998185,232.62891591607126
37,2004-11-02 22:06:28+00:00,,218.91962301690455,225.25630187122326,228.68398080609717,225.1772916136938,226.04262236679753,
38,2004-11-10 22:02:36+00:00,,215.0802383968958,223.29348385955436,227.7523439733292,223.26346287968704,213.31532674648383,216.62394243408846
39,2004-11-18 22:06:34+00:00,202.1011778587538,,,,224.61888646813432,216.37874160191677,231.30752084978883
40,2004-12-04 22:06:44+00:00,,223.51132814377868,231.66198948932325,232.75960990633877,231.58159390629874,228.0885992014888,230.43481064838684
41,2005-01-13 22:03:41+00:00,216.06752048912406,219.49536703920685,250.604666328915,251.9103522985358,248.6995417838831,,243.76922213700647
42,2005-01-21 22:06:59+00:00,225.89379419178115,225.48633421879993,232.66357825558293,241.16798995058002,235.75207574071422,236.25109213599296,232.9105772384913
43,2005-02-14 22:04:09+00:00,229.3698835363654,219.3435641726567,221.78482169350647,215.009685309036,217.7080916375114,208.35613284612256,202.9921691091599
44,2005-02-22 22:07:14+00:00,,203.2247630712676,210.81502275111933,213.97730805122572,214.25217373341542,212.8667813357979,212.31609334706877
45,2005-04-03 22:04:40+00:00,222.72621337528597,225.2699504481167,229.78442124436458,229.77793614536392,233.70675150600138,231.5772623060104,239.66287902561527
46,2005-04-19 22:04:43+00:00,224.03444513222172,,237.91558357086416,241.73076752125635,231.41387711355875,230.04504253131498,232.31031978779518
47,2005-06-06 22:05:05+00:00,,223.29356679565294,223.85652562867187,231.36260343457974,229.67895991880076,,233.4195024486963
48,2005-06-14 22:07:02+00:00,200.47754990965362,206.75530610614302,212.378951018602,218.4618994000414,218.35869698178996,219.7078666983112,223.39565226649128
49,2005-06-30 22:06:59+00:00,227.93119077074257,238.16938705116996,242.79642025752688,226.872866157974,225.9740090667729,,
50,2005-08-01 22:06:59+00:00,224.94890909888812,228.66106729295484,239.16575723624325,231.0652536439075,230.70108305406995,224.6840329568995,228.48738793486083
51,2005-09-02 22:06:46+00:00,,218.7358018712409,220.64309948803302,227.47844477589052,222.69240544924406,222.47574335260418,225.44533582893737
52,2005-09-26 22:05:42+00:00,224.9686298191126,227.744737092499,235.14030639341092,233.09308842697678,228.87903731257867,222.94546012706834,233.1697906143701
53,2005-11-13 22:05:57+00:00,220.9548400186706,227.76739572667762,230.505965305923,231.07650288458348,222.96831543555842,208.83474363381106,215.9668382279214
