,dates,nzd0416-0000,nzd0416-0001,nzd0416-0002,nzd0416-0003,nzd0416-0004,nzd0416-0005,nzd0416-0006,nzd0416-0007,nzd0416-0008
0,1999-07-18 22:00:25+00:00,,,,,,,,,
1,1999-08-26 22:06:44+00:00,,,,,,,,,
2,1999-09-04 22:00:33+00:00,110.7274032601454,,,,,,89.08308964305904,87.73567751303153,80.54212346134968
3,1999-09-27 22:06:48+00:00,,173.58471664999672,167.50282042931775,165.96411493504638,163.03268694205556,161.97549901254183,160.55667899495933,159.51827260133933,166.84951121117552
4,1999-10-13 22:06:48+00:00,126.56349674152835,147.1917477315416,148.96260458125917,152.32822251104514,143.66978844084,140.35672395377435,133.49229243888536,141.5220418553041,146.1755327514577
5,1999-10-22 22:00:28+00:00,221.9247860957521,206.01857070047515,208.078816485739,204.72374371660183,197.28608514972527,192.23743880877595,184.82840400303616,180.6143079348289,208.26175992046984
6,1999-11-30 22:06:35+00:00,143.49585208905313,125.73259745272904,136.57635444989936,144.5759241299205,141.52296064766446,141.53686704929245,141.34834141162136,143.79721419051137,142.02568066723205
7,1999-12-09 22:00:33+00:00,179.2863545873392,170.33665063755038,173.22035590523404,173.81470931542654,172.23019887929297,169.78042324940486,169.0454861770583,167.3292273307611,170.51529409796615
8,1999-12-16 22:06:45+00:00,143.436315944481,131.76836492522074,139.00623265520247,146.38158697292985,145.6273858648632,140.81211324675357,143.67539160418082,138.36202135217795,143.4466001098045
9,1999-12-25 22:00:28+00:00,156.21911189761153,141.9262377631347,149.08872698819357,155.56952031681703,150.94784809734583,147.00310591771557,147.34111162484757,151.9703679678212,149.6850302381195
10,2000-01-26 22:00:26+00:00,130.41185298197453,130.3381295312548,139.23921157070484,136.82363103005673,137.00125099146504,139.65544138496324,140.52586646609396,138.7854399081417,140.95667571629428
11,2000-02-11 22:00:21+00:00,139.91057100301734,146.65862257984347,149.24395286730615,152.77291549867485,144.07784324953633,148.1425781704496,142.6275944129122,144.28812707813682,146.11386742449557
12,2000-02-27 22:00:16+00:00,127.26993431523094,156.53076625625582,157.38542718187293,160.6708796975853,157.90833803631304,159.77079172653225,147.55043134350078,148.135201334018,154.91139722038162
13,2000-03-30 22:00:09+00:00,,,167.76158183690495,167.48167063363218,169.66123312935645,168.4279245481482,169.7546281864208,172.27448379006512,163.92267888023196
14,2000-04-15 21:59:55+00:00,,,,186.68854774657808,,,,,
15,2000-05-01 21:59:54+00:00,115.21397059558242,,,,,,,,
16,2000-05-08 22:05:56+00:00,113.75362599510883,102.43351024339292,59.39621697563319,77.40042240714597,74.85314120993222,88.5378876375114,84.31076208226358,87.56827134561273,77.4914350926453
17,2000-05-24 22:05:46+00:00,113.15077191974515,96.67330375176589,61.563741536953216,80.47186114058294,75.22348628435668,99.42139731197432,87.8201179980834,85.0473868295564,86.2275897083916
18,2000-06-18 21:59:27+00:00,99.68076828282818,,60.860612237472985,75.74044802795135,73.07957547236575,84.8242085219565,86.14361784530965,85.40429677789305,78.43575469363383
19,2000-07-11 22:05:17+00:00,105.66974570558976,83.98037628837639,58.593601328191,79.48367651200348,74.39016417121184,107.60031571742245,100.88054266919023,87.82190766982484,87.31775238142191
20,2000-07-27 22:05:00+00:00,109.37931872355138,102.16633828123264,,101.76403202473853,102.2057576316754,122.98472748625476,119.18127134008677,,116.18487364360348
21,2000-08-05 21:58:44+00:00,117.74283488836876,,60.44726665863463,83.90628096121424,76.98399567443934,89.67654339427565,86.64335859176973,87.17032415337357,79.20296301457422
22,2000-08-12 22:04:53+00:00,114.85467106061724,102.33425357508467,59.778351567263925,78.01085702819046,77.88217289356987,90.77367809953824,94.09725020045332,81.8669072340013,84.86568029227772
23,2000-09-06 21:58:22+00:00,121.44730149239514,111.77202239426698,132.68837944046524,136.33590828352524,143.09129212308014,138.42730681265894,119.44669059198183,,100.43438510125377
24,2000-10-08 21:58:00+00:00,155.36500462388778,158.90337517135458,153.02880813453396,158.30236116111482,156.99960176495233,156.71704143773815,157.0821648810148,157.748386078216,162.3978657865993
25,2000-10-15 22:03:56+00:00,168.0589169065829,,142.47100697960934,138.3796541239676,151.06709014296987,147.00078872441094,152.72717488100767,152.045935918902,160.4532637742283
26,2000-11-09 21:57:57+00:00,218.9812428024576,193.1231982252825,184.89477913474747,184.63740621018977,177.006990609149,177.68672017159724,177.85912034429683,183.4617449259876,213.13861739433884
27,2000-11-25 21:57:58+00:00,204.88249143809048,192.1972389106474,186.3749621683442,184.59226909725763,179.82826037250993,174.12027954104926,170.25432163361896,169.37042342707218,194.6169113241096
28,2000-12-18 22:04:13+00:00,159.39718800039932,133.21940361539814,140.12006799183433,137.8211591195715,140.76707698295326,142.46025455713752,146.76349572589592,143.4869367276795,146.0492647736917
29,2001-04-18 21:57:44+00:00,116.79960757986014,,,,,,,,
30,2001-05-20 21:57:28+00:00,112.3470181782232,,59.218771281020935,75.49608864633159,73.0092676498954,90.35448538827342,94.9885254697612,82.26190224366377,83.35898731875707
31,2001-06-05 21:57:16+00:00,,,63.057670865543,75.47064875346607,62.90833416636705,85.50481492875532,90.71958199819692,80.46175276346453,81.5414710067799
32,2001-06-12 22:03:24+00:00,111.59707152921555,,62.90075001838531,79.398546128129,74.78664834266353,106.25669549605448,87.29155027308954,99.43863133842213,84.65883516799222
33,2001-07-07 21:57:00+00:00,111.53245995284917,,57.63644182012781,73.26483804894795,70.06102240072897,85.14588165524293,89.29840181197218,82.7050358098195,80.25509842110347
