dates,nzd0360-0000,nzd0360-0001,nzd0360-0002,nzd0360-0003,nzd0360-0004,nzd0360-0005,nzd0360-0006,nzd0360-0007,nzd0360-0008,nzd0360-0009,nzd0360-0010,nzd0360-0011,nzd0360-0012,nzd0360-0013,nzd0360-0014,nzd0360-0015,nzd0360-0016,nzd0360-0017,nzd0360-0018,nzd0360-0019,nzd0360-0020,nzd0360-0021,nzd0360-0022,nzd0360-0023,nzd0360-0024,nzd0360-0025,nzd0360-0026,nzd0360-0027,nzd0360-0028,nzd0360-0029,nzd0360-0030,nzd0360-0031,nzd0360-0032,nzd0360-0033,nzd0360-0034,nzd0360-0035,nzd0360-0036,nzd0360-0037,nzd0360-0038,nzd0360-0039,nzd0360-0040,nzd0360-0041,nzd0360-0042,nzd0360-0043,nzd0360-0044,nzd0360-0045,nzd0360-0046,nzd0360-0047,nzd0360-0048,nzd0360-0049,nzd0360-0050,nzd0360-0051,nzd0360-0052,nzd0360-0053,nzd0360-0054,nzd0360-0055,nzd0360-0056,nzd0360-0057,nzd0360-0058,nzd0360-0059,nzd0360-0060,nzd0360-0061,nzd0360-0062,nzd0360-0063,nzd0360-0064,nzd0360-0065,nzd0360-0066,nzd0360-0067,nzd0360-0068,nzd0360-0069,nzd0360-0070,nzd0360-0071,nzd0360-0072,nzd0360-0073,nzd0360-0074
1999-07-02 21:59:57+00:00,,,,,,,99.44194647005537,95.14630173003992,66.15211138923371,,,,,76.68421493233957,78.83286471149238,,,,,,188.75732005337136,188.39633555878427,,97.61812183942484,,212.95094561568976,224.42295223398227,205.27075409808458,185.16172438502002,167.07309073181526,157.0881877295396,,,,,,,,,,,,,,,,,119.49056152764935,161.52999045145737,,,,,,,,,,,,,125.99632267746432,,,,,,,,,,,,,
1999-09-04 22:00:09+00:00,150.32103448601913,157.33714420617454,154.84915534913168,156.41578671241737,147.56767452465004,143.4118122434561,142.00907285306604,144.4338476531949,162.50040271568292,157.1794220157033,146.61610995863654,147.26950933382653,146.75779343733362,151.0292803912399,147.62391934778694,144.41301558912872,143.5824918659419,150.58118580835782,158.17725510746598,166.77583963467706,166.42532326334205,171.89045170756845,173.7043249601494,170.85494971089668,169.40224442870232,163.65011773373493,159.47770333048337,161.06555959296531,154.09386640261664,155.00171199955344,153.86485784701887,154.87058799352522,159.82442667604252,167.71207353616114,171.59134355260196,166.43466135965932,165.3631648037635,169.2351440657517,176.4806650118605,180.95250304783647,177.72926791321078,182.46374795433442,174.0368330450474,167.36517874022243,166.5023313389167,172.88738620370447,169.2481957336099,170.55020136458236,168.30902385031382,176.09351382129626,164.8680257644871,170.66844089636788,172.90196250947398,179.8109388424194,184.57582781923597,164.55639524796783,162.13327749779734,164.3497702942015,161.37122844220897,164.91057027312021,160.80642930171769,151.7634999900919,147.91695621762662,152.42081539462163,157.4386001208642,153.14087543079853,149.27553929952234,150.0223821091351,151.35817059772805,139.82629718947993,103.28450858594596,97.7114568663475,118.5916175387899,131.89188778270508,129.94543388212065
1999-10-22 22:00:04+00:00,145.62010807587004,153.36087124881126,146.62372865393138,151.5788999022264,146.68905025522193,143.5906183307737,139.33563053902918,145.52249402380392,156.01233115649964,150.0186075520141,140.29724589043923,143.4023899532433,141.89982808389314,144.51108225277952,143.09273502641142,144.02168743902368,142.81183931142024,148.39839510349123,154.08742466969912,162.85873593150413,159.88846105481977,161.4065670104851,170.6153544181957,168.82050156176834,164.91784440953953,160.36685781746013,158.217997626026,158.17626657805687,148.45250252343132,150.1528790196293,148.3073884059975,150.87195812155608,153.57611148333785,160.00839922826736,170.53041073121034,162.04622335787894,157.48411967584943,160.44823665364476,167.30588945528498,169.6541166877089,166.43729521961987,178.09060116414906,169.54819367804265,166.28078005141955,169.7488323997245,176.69127126349085,177.9172683190065,172.77677872083012,171.29433171186164,174.87179745079,168.17706350203835,171.05551834407908,170.36273767305966,172.5491379628267,171.91365938436152,158.6552005388955,155.42297637439782,155.48325429784907,150.2943935684004,165.5280150720842,164.17292039371802,155.84586217730617,147.50195203310236,150.8924143586189,151.58724022356904,144.51692743686957,140.19550268710117,142.72475195847196,133.18999169608747,79.60892500169027,80.00261888168664,89.16750264890813,115.3210035861522,117.24520860909834,96.62387568197676
1999-12-09 22:00:09+00:00,138.98743879291078,148.6181473777677,145.63778753912567,144.29127760198412,135.10525995780958,131.32497295329827,134.2349906655545,131.97261101937139,141.5849657835625,139.7784877799216,133.74229701358527,135.23609741850476,134.69384666780948,143.32346443778772,140.41119820330815,140.51500229808252,142.69489932473556,143.50645599343616,145.62297748335087,150.85874820827962,152.2880599082762,153.71684336783113,157.9547642170307,155.73714582357434,156.24397702162574,153.73390619449938,147.65301199885081,147.17541917844306,145.80888563616665,142.21908727858212,141.9182312094051,140.4085333215912,145.8342917307268,158.42751741199044,160.9440847479377,156.9104297932312,145.27427739035963,152.74313639697525,158.57249592817013,163.52411493375462,166.37936991422038,169.83047242119926,163.2056704738372,156.38555774195464,158.69861116889012,167.45379244220405,165.58909389687238,164.24610936505,162.50575542419344,172.65399982115454,167.23780929636177,170.36593324392348,164.47081282971158,168.0998646081788,157.7692940440939,149.43840948907896,150.00347095961425,144.81169191236154,147.47170319359117,153.57216474437794,157.38632159393077,149.0175666197237,137.01127138713662,137.42897765031034,144.4526566868604,143.2736283043264,142.17365856029303,139.663162004124,130.83261244503214,93.18143664143408,76.10266788269165,,,,
2000-01-26 22:00:02+00:00,140.69178840751144,151.06126254111882,148.47419800763876,151.54696509623264,143.91579333030776,142.02615239549343,139.1536131156992,142.96204201824474,152.83375383913818,145.26134087919363,138.17345402064646,140.60643478787532,135.5434297203956,142.66531913460113,140.72084749374852,138.84435241529172,139.5822748554063,148.1599610948446,157.21977510342836,160.07843329102562,164.38386627110413,166.34113901333347,172.29436482779533,164.88895577644377,162.52756657399718,162.49568478462956,157.3130418095819,159.0970099977737,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.54038942707157,165.10436720352345,159.77151194581236,167.44699656774046,172.76325027778915,169.7784000612126,159.1613547090485,152.49567788169668,150.93899222955335,157.57074249662142,149.29881838819085,142.66564205975197,144.99543309987175,139.7252474295369,109.78170990483733,88.20210011611636,,,,
2000-02-11 21:59:57+00:00,,,,,,,138.47926200821257,140.6709890050316,146.49198042192415,147.71395012733967,139.05931316710172,138.42841884256248,140.14410164866646,141.49350560462682,145.4440927013866,138.31960011712573,141.89809155801595,146.69609943688,149.54227190671656,161.5901807303179,155.25207367229004,164.47982139278244,168.63780272905518,164.53908824354443,157.35641295799272,156.28080370432102,150.3001394572358,149.60822549341998,148.99707078820086,145.93427199181383,143.4085835546855,149.13722856805114,152.50165082806612,163.9181642951619,165.30192612440027,160.7978246629321,157.50342651673003,159.28489278009607,165.23839389672435,166.00341545377574,166.81379201396288,170.26036733393587,166.66306429345818,160.29753189631194,165.62251592256374,174.39299589498603,173.4880060722668,177.9839789666677,178.38500140229291,180.24089804018746,178.61864015514502,170.2219595069811,168.18605825907878,172.5516054374336,166.9996700962166,152.30612360657423,155.96041338045328,157.17872985656413,161.3871558797516,168.21317572927344,165.34970379227298,159.818878105367,147.06110979471953,147.1460424832233,150.61939897898176,148.34044043199026,138.43543627816265,138.9970117277945,,,,,,,
2000-02-27 21:59:52+00:00,149.54237024267115,152.3882471560979,150.81897334676233,151.7661774901793,146.2475855290515,144.30841931495704,146.107890105927,140.19882194490745,146.80314460721857,144.0872242630761,136.1342746745607,139.26226709421874,137.6400192550238,142.68835614763407,147.5665763524274,141.92130073716302,145.51153760471203,149.44657714728112,156.441021153679,163.77294278271086,156.91299176038407,161.37119188248266,166.43152130544055,163.61627304443988,158.16980181587934,159.74436063075544,151.75604738045533,158.48519862750865,152.49583204308195,151.37117809723856,152.04105476098925,151.72272641816198,158.19782771621115,165.79691916552596,171.3378732215958,164.0157226685412,157.8546865452974,163.33264839605914,167.20037600798156,166.87684887688195,170.1744733656158,173.81741795970012,169.4951199296893,169.54062872766437,172.4296112498,181.96926800834936,183.63552372307598,182.67583257951736,179.82927237741077,185.27407978160704,178.74263819379416,174.62945423778888,166.7951512627754,170.5889753593743,161.3234606864079,153.02835596413195,156.65051657311153,156.79198529169514,159.479571298473,170.9319791546055,167.66361730073953,158.696143047743,150.3281318802205,148.82325540983322,152.26187583609575,147.4518101064235,145.60586005285475,142.17950985358044,142.0945504213629,106.64038456556648,85.43830660679978,78.65177959153866,70.7342190007814,,
2000-03-30 21:59:45+00:00,143.9679256261828,148.5593763989604,144.93852002341345,147.62579061681726,142.09972338288352,141.73634978425292,140.66881509625716,138.39374970719672,149.32577586072762,145.58694371819183,135.98121052831,137.30701354027232,134.03443570490197,139.04390476170548,138.94726911195676,138.08115496082544,137.9108561750211,142.73927958108874,151.9607834138312,155.94165767558712,160.39824091480665,160.87615516383346,167.45936940924585,163.16910564683602,164.76673955418795,160.53044059401216,157.45616692876453,158.89881762099125,152.82725838511692,151.15833278508134,149.30125085067414,150.87679215462128,154.11075138464196,162.59051846653995,168.66603927015373,160.3211547483367,156.78780310071977,159.58730679355835,166.83153166837968,169.0890440741811,172.5655609165241,180.97969529453582,172.55422798483568,166.1883043342823,168.01007380203274,178.2251597735883,178.59161815426432,177.80223663745784,175.85799171086504,182.78038342912174,169.5512339002726,165.4970287947162,162.30670170093902,166.89595318005473,166.3518210016685,153.21965294417348,155.24850021324758,155.7439491357585,157.99872179559344,166.52034748117103,158.49144399060833,151.31214386853162,142.5866884688298,140.6699923609196,147.67444025245982,143.1229212816758,141.52336296377993,138.67220570573315,123.30900034267502,89.67604835279447,81.46743404424214,74.9746057808093,59.737045691433494,116.58699446664,102.06565932763843
2000-04-15 21:59:31+00:00,131.29584842117256,137.97795010311413,135.0551407646861,137.72774204970023,133.6160266000451,130.94864359219608,129.49856810271697,127.9066832238709,136.92566331765968,130.99618461766846,118.87289358408064,121.85508638623615,128.5062362586846,131.80280789696135,129.15565936094552,131.16743649919826,128.88474950301006,132.14488252399087,140.89251241275147,147.19208449527176,148.49932214048258,151.53458342756278,154.1635790783527,157.1065611161634,151.91643386289982,150.86260027473125,142.59671553841446,144.69957242754555,139.88798091697365,138.07793084215422,135.02861920005557,138.1518152319491,138.89033405546832,152.41817429570867,156.56176145332722,144.3622746474617,140.5282818794285,144.0772670097717,152.72287831985463,153.90839892630018,152.85948576407523,161.5526987692719,151.2490542148517,151.22854736493636,153.73136226217073,161.85693486061976,159.73408080442852,163.7454263811278,162.001805062514,164.66925336805554,153.0925577974782,149.8421430233618,151.5573994382548,157.1790628338786,150.65519580662504,138.26664868696093,133.82336397962308,135.75688462167398,128.68732873780368,143.40191116395377,140.9275996157517,135.95231294998422,127.47465666526466,127.18783961299948,136.4591724095077,127.74568792649433,132.35348859893745,129.56332993788112,105.97249738634001,74.72862805274067,48.878563349221096,,,,
2000-05-01 21:59:30+00:00,140.8896992557435,145.84287722180554,145.09757062905283,144.3885038579783,138.38511712636634,136.7756037740374,142.36995704076966,136.84658536663147,145.01953402345384,138.35370434819998,133.63469324860043,132.08063302202646,134.36089892716063,129.13527800853245,136.3838485565933,134.77508256090525,136.58831211773477,136.96498257202623,145.50452201924895,151.13041195101732,152.5086444768209,161.01405171026397,165.79824279775872,164.6222379400925,162.14900586409988,156.59055405384237,153.85799258263586,154.6746435807675,146.48623942746727,143.950539481424,139.00734355784343,141.61214395925046,147.5489683752991,155.58261805029696,161.5351344734004,151.95226025506526,147.04314329167795,154.23425864298983,161.70407236650973,161.90109882075143,159.3811084003057,169.6675242452643,162.282168983356,160.91688360118647,163.03237591406287,169.94223709469586,169.36227755692678,171.33478951007493,169.19409005396648,172.24361329161087,164.1580404837025,160.8967004192632,158.67726411532448,162.92470967322006,155.97972904626468,147.77569862644296,141.9845895587787,144.26062976094124,140.31514637662548,153.79707010869768,151.7645467955502,145.17071829152522,136.28177819347195,138.6761587944799,143.60793699384527,137.4770569665466,136.34530442875,138.2092644157006,111.49835334265838,,,,,,
