dates,satname,nzd0360-0000,nzd0360-0001,nzd0360-0002,nzd0360-0003,nzd0360-0004,nzd0360-0005,nzd0360-0006,nzd0360-0007,nzd0360-0008,nzd0360-0009,nzd0360-0010,nzd0360-0011,nzd0360-0012,nzd0360-0013,nzd0360-0014,nzd0360-0015,nzd0360-0016,nzd0360-0017,nzd0360-0018,nzd0360-0019,nzd0360-0020,nzd0360-0021,nzd0360-0022,nzd0360-0023,nzd0360-0024,nzd0360-0025,nzd0360-0026,nzd0360-0027,nzd0360-0028,nzd0360-0029,nzd0360-0030,nzd0360-0031,nzd0360-0032,nzd0360-0033,nzd0360-0034,nzd0360-0035,nzd0360-0036,nzd0360-0037,nzd0360-0038,nzd0360-0039,nzd0360-0040,nzd0360-0041,nzd0360-0042,nzd0360-0043,nzd0360-0044,nzd0360-0045,nzd0360-0046,nzd0360-0047,nzd0360-0048,nzd0360-0049,nzd0360-0050,nzd0360-0051,nzd0360-0052,nzd0360-0053,nzd0360-0054,nzd0360-0055,nzd0360-0056,nzd0360-0057,nzd0360-0058,nzd0360-0059,nzd0360-0060,nzd0360-0061,nzd0360-0062,nzd0360-0063,nzd0360-0064,nzd0360-0065,nzd0360-0066,nzd0360-0067,nzd0360-0068,nzd0360-0069,nzd0360-0070,nzd0360-0071,nzd0360-0072,nzd0360-0073,nzd0360-0074
1999-07-02 21:59:57+00:00,L7,,,,,,,500.81,622.16,322.03,314.80,,234.95,,286.75,313.46,356.20,261.02,,,,368.78,368.86,,,,,412.11,401.55,373.24,357.25,,,,,580.94,579.98,,,,,159.22,155.99,183.03,205.82,248.86,,,,,,,,,,25.39,42.11,57.82,,,,,,,,,,,,,,,,,,
1999-09-04 22:00:09+00:00,L7,350.47,357.47,354.85,356.56,347.70,343.52,343.97,344.99,363.57,359.92,346.75,347.51,347.13,351.13,348.23,345.29,346.73,350.79,358.08,366.93,366.43,371.98,373.84,370.93,369.45,363.74,359.55,361.19,354.15,355.23,354.33,355.03,359.90,367.80,371.58,366.53,365.45,369.50,376.39,381.15,377.82,382.64,374.22,367.60,366.60,373.16,369.40,370.63,368.27,376.26,365.06,370.67,371.98,379.97,384.81,364.70,362.43,364.52,361.79,364.99,361.04,351.91,348.13,352.41,357.61,353.44,349.40,350.21,351.48,340.29,303.72,298.03,318.86,332.28,330.48
1999-10-22 22:00:04+00:00,L7,348.51,356.21,349.40,354.50,349.62,346.84,342.43,348.26,359.10,353.07,344.19,346.15,344.71,347.45,346.02,347.11,346.01,351.94,357.59,366.24,363.18,364.74,373.69,371.92,367.91,363.32,361.12,360.99,352.11,353.18,351.27,354.12,356.95,363.66,373.39,365.49,361.42,365.09,371.09,373.71,372.66,380.94,374.70,370.78,374.18,382.18,383.44,378.09,376.53,379.07,372.79,375.49,373.96,377.13,380.63,363.24,362.49,360.61,359.24,372.50,371.15,362.87,355.12,356.76,356.17,351.19,345.76,349.34,341.29,294.95,292.97,299.48,330.38,330.70,319.92
1999-12-09 22:00:09+00:00,L7,338.30,347.64,344.67,343.31,334.29,330.31,333.07,331.02,340.66,338.69,332.78,334.65,333.92,340.75,339.81,339.60,341.54,342.48,344.59,349.69,351.32,352.80,357.10,354.80,355.33,352.84,346.67,346.44,344.81,341.22,340.99,339.53,344.69,356.98,359.98,356.04,343.85,350.98,357.44,362.01,364.11,368.97,361.31,354.80,356.81,365.35,362.79,362.08,360.64,371.29,365.49,368.65,363.02,366.42,354.37,348.06,347.42,342.87,343.82,350.80,354.56,346.20,334.13,335.02,342.79,340.58,340.16,337.00,327.32,286.24,270.21,267.77,260.15,251.49,244.40
2000-01-26 22:00:02+00:00,L7,337.15,347.47,344.73,347.84,341.14,337.87,335.57,339.15,348.83,341.40,333.61,337.34,332.15,339.06,338.26,335.30,335.46,343.63,352.97,356.04,360.16,362.49,368.74,360.72,358.97,358.82,353.61,355.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.61,355.90,353.82,355.88,363.74,360.55,351.58,342.56,343.33,351.68,342.22,335.24,336.25,325.79,291.74,270.11,261.94,261.90,262.73,259.86
2000-02-11 21:59:57+00:00,L7,,,,,,,334.83,337.15,342.75,343.97,334.23,335.02,336.61,337.98,341.86,334.66,337.86,342.38,345.35,357.29,351.04,359.01,365.33,360.76,353.67,352.48,346.76,346.23,345.41,342.22,339.64,345.22,348.35,359.61,361.70,356.48,352.58,353.84,360.63,360.82,358.37,366.75,360.28,354.82,359.98,367.63,366.78,371.58,372.05,375.40,373.13,364.88,363.73,367.04,357.21,347.39,347.48,350.89,350.61,359.77,356.76,351.25,337.94,340.07,345.10,340.38,331.75,330.97,,,,,,,
2000-02-27 21:59:52+00:00,L7,349.89,353.44,351.56,352.64,347.07,344.86,345.33,340.14,347.73,344.94,336.04,340.35,338.98,343.54,348.29,342.26,346.26,349.05,357.35,365.13,358.36,362.94,366.79,364.12,359.05,360.33,352.16,358.95,353.84,353.03,353.93,352.35,359.85,366.71,372.52,364.27,358.91,363.52,367.71,367.49,370.61,374.73,370.75,369.84,371.96,382.45,384.05,383.12,380.20,386.24,379.72,376.00,367.03,370.02,368.40,354.20,356.12,357.88,358.72,371.08,367.89,358.72,350.16,349.12,353.58,348.09,345.54,342.32,342.22,301.73,284.04,277.25,268.04,328.91,317.89
2000-03-30 21:59:45+00:00,L7,348.66,353.54,350.15,353.03,347.17,347.20,348.23,344.05,355.10,352.27,340.16,343.19,340.32,344.50,345.45,343.87,344.51,348.53,358.00,362.96,367.12,368.81,372.71,367.85,371.81,365.06,364.44,363.84,357.98,358.04,355.10,356.45,362.49,368.32,375.64,367.68,365.64,365.22,372.51,376.26,381.74,387.28,380.86,374.27,374.96,386.55,386.12,385.46,383.43,389.28,377.29,372.89,367.22,375.74,375.43,362.66,362.86,364.91,367.57,375.43,366.01,358.74,351.63,348.57,354.38,351.43,347.70,345.07,335.98,305.83,298.68,284.85,272.24,333.83,327.40
2000-04-15 21:59:31+00:00,L7,339.16,348.22,344.94,346.91,344.25,339.65,339.41,338.11,350.01,342.32,335.66,334.82,337.93,342.22,341.01,341.61,340.44,345.54,350.70,358.55,359.19,362.22,365.53,366.09,361.63,360.24,350.40,353.36,348.46,347.89,346.67,348.33,350.12,360.93,366.41,357.59,352.74,356.36,362.96,365.84,366.74,372.65,366.53,364.30,365.39,377.44,376.30,376.40,375.03,377.07,366.59,360.79,362.01,370.38,371.81,351.05,352.11,350.51,349.06,358.06,356.96,351.92,343.65,342.49,347.05,342.10,344.05,343.85,324.25,299.01,269.44,271.66,260.81,251.40,250.33
2000-05-01 21:59:30+00:00,L7,347.60,351.22,350.63,349.76,343.86,342.20,349.41,342.61,351.73,345.64,340.60,338.02,340.23,339.54,342.84,342.03,343.54,345.93,352.58,357.18,360.93,367.87,370.57,370.55,367.95,361.56,359.29,359.53,351.68,349.48,345.73,347.01,353.80,361.50,366.89,360.18,354.45,361.02,367.18,369.73,369.39,375.73,372.65,369.26,371.25,379.26,380.38,380.96,378.15,379.60,371.14,368.44,365.31,370.26,371.47,355.63,357.14,354.40,354.95,364.85,362.53,355.51,347.33,347.31,351.17,347.57,344.34,347.51,322.25,305.77,,,,,
