,dates,nzd0420-0000,nzd0420-0001,nzd0420-0002,nzd0420-0003,nzd0420-0004,nzd0420-0005,nzd0420-0006,nzd0420-0007,nzd0420-0008,nzd0420-0009,nzd0420-0010,nzd0420-0011,nzd0420-0012
484,2017-10-23 22:10:16+00:00,114.22295991250466,104.17304181758297,103.26964072295655,106.34073898148267,112.82076451721787,118.24433644569392,112.98886744705558,115.47028855946243,120.88703335410858,121.99108422432886,113.20151415602614,106.15831593508693,104.09472057940988
485,2017-10-30 22:16:26+00:00,124.3599018082422,116.30278889507684,114.08077995308346,114.35862888900549,120.48545120477107,129.2011549129107,124.6489001065716,124.42753751937553,125.33100908206043,,,,
486,2017-11-08 22:10:14+00:00,119.76028273941179,108.24647946584973,112.62342143573494,108.76306369570192,120.53082721353869,128.64116139115202,125.08816447474285,117.99688291105309,,,,,112.33348420181852
487,2017-11-15 22:16:24+00:00,116.83939285529411,111.75750102529408,120.47989289707266,119.61847546360801,125.34092361157951,124.46646192037123,123.0184046976081,,,,,,
488,2017-12-01 22:16:17+00:00,,,,,,129.25226696929536,117.68677163051309,120.276680332748,128.19477287507152,124.64582944155796,118.02601676224519,112.46950296236875,104.85981228150398
489,2017-12-09 22:13:57+00:00,115.48793293303234,103.74093650039843,108.56400520005681,110.00032579687974,117.1407775214577,123.6089684143011,117.9140702649367,115.05880636620253,115.52329232170152,123.25377648647572,117.9375545233326,106.82509160125676,112.25765748371839
490,2017-12-10 22:10:02+00:00,132.54925476873518,117.06149080788644,116.14003333897837,110.25436216425517,119.70833418971048,130.84952297263655,122.83977526876872,117.5336040877597,124.85677633285577,,,,
491,2018-01-19 22:07:38+00:00,,,106.03046947016529,105.9135683912404,115.86694029790563,123.04747881140631,105.47798066326379,100.63750599527235,103.25414490959494,112.60819545679674,108.01256834133571,97.49937131825911,92.99661915254372
492,2018-02-03 22:15:27+00:00,,,,,99.827001053788,115.51225109230373,106.21517109345552,102.5879356636211,106.71832142484531,113.98282658196595,108.6520733492061,100.84544713948013,97.06092012474411
493,2018-02-11 22:13:38+00:00,116.83141382759139,105.89686915974198,102.40631912695558,106.57209482391761,112.28171685992739,118.9291585657302,113.32360739945842,109.32129230741812,117.72233530778115,119.55865183268578,121.1570263466575,113.8941811260475,102.85121401795386
494,2018-03-15 22:13:22+00:00,99.174314776548,85.82608377015191,89.83333200478887,100.63821266331273,102.03062961840538,108.61975860951921,106.01964795997657,104.96852720462384,112.11651431280646,118.29440228122353,111.62931285048813,104.17251206081733,97.89566985785791
495,2018-03-31 22:13:15+00:00,91.10881919571318,100.1538550983351,105.69386530952728,109.41235018721017,114.42873055183962,115.96327474583964,120.30434288914812,115.80844199979397,117.0505610649007,123.60249841013703,119.66624105301446,119.4846357285725,115.29383777316319
496,2018-04-16 22:13:06+00:00,64.34235275686838,73.99163445280064,87.82032174188579,94.23869381074731,104.63505106675979,110.11495738418299,102.79113112869312,98.8063507560688,103.3522541191135,112.07887073084096,107.4360181577778,94.86792497301444,94.1314511903078
497,2018-04-17 22:08:19+00:00,69.77315907154727,73.6686225686203,96.62294309111883,102.86323823262484,,,,,,116.8985618796903,110.91105481212284,107.78036991786445,104.32607871292244
498,2018-04-24 22:14:23+00:00,,68.36897829840264,100.84687211147386,101.33611705391974,111.47750516781706,119.07732555942911,118.20739311623882,117.49386150706606,116.84895371941982,119.87574854960623,114.91981447464795,105.1670893417935,
499,2018-04-25 22:06:50+00:00,,,,,,,112.32361931264023,105.21176355327601,109.78023350327793,109.49459331184245,107.94117420377984,100.74336636421029,97.73338279994687
500,2018-05-02 22:12:57+00:00,56.98943054430677,60.908043359439134,90.23712929324468,94.07406131617962,99.03087820173182,113.81535040878278,114.27030041485976,109.98572952911648,106.33678159071707,113.5687788899008,106.39031583267715,88.40889656987758,94.26355775801436
501,2018-05-18 22:12:46+00:00,-10.659031969357162,42.115966548979614,,91.0664014421574,96.91008374157407,110.68620599247267,106.39120326497992,106.48293018297429,100.11225645464992,100.60390706553461,100.12048642605988,87.42168723391629,81.63419990801218
502,2018-06-20 22:07:13+00:00,,,,,,,,,,,,,
503,2018-06-28 22:06:40+00:00,-27.354665013425723,-24.346420168223208,,54.277609632168286,93.15678498789737,111.65433679579513,112.01208005643262,113.89531801227274,113.13791673810624,111.741411720658,107.20981770834777,89.5220376884271,92.02422640126026
504,2018-07-05 22:12:54+00:00,12.891464883431677,19.198459444412368,,91.51230997412495,103.12706380386564,111.91006874171039,102.06809951371335,106.54778493183164,105.22595909618965,114.19524036360922,,,
505,2018-07-06 22:06:54+00:00,,45.701524621421434,,95.29192541016099,113.02901621408044,128.62724096704218,107.50427601857595,,,,,95.59344377045662,92.21845721756698
506,2018-07-13 22:12:57+00:00,-32.22254944782676,3.9513280781446163,,,,,,,,109.85022177221444,113.9964627786278,98.58495892225707,89.54258290800905
507,2018-07-21 22:13:01+00:00,-8.672250528408323,29.16693894840835,,100.84378933089292,108.94838768234563,119.84869053073825,106.60179799237555,114.26945377631336,115.00973740646756,112.852456541622,108.1107799287606,92.5226696748268,91.3397781640028
508,2018-07-29 22:12:41+00:00,,,,,115.80274479980874,122.43856290625642,126.98269236725123,120.13936266640853,119.08146514918374,115.05481294206666,109.0858892129264,93.88210493777254,87.61964667256537
509,2018-08-06 22:13:10+00:00,,55.90805979663806,94.65404661487008,97.4691315884037,105.0913131244566,118.63195061037443,109.9547720412774,113.22612131141348,112.72160557738185,112.71219204372763,107.59690409663195,92.82779332676392,91.46717337776045
510,2018-08-31 22:07:11+00:00,95.54667810441694,95.78242852164513,98.70862366415287,97.73923364178867,104.29922240037938,112.24996932147225,107.78342266773413,103.08677175173763,107.48253939918317,111.12770006005506,108.14361918626233,97.50810818829974,93.24312851763932
511,2018-09-15 22:11:42+00:00,107.66003289597955,107.10100478319082,117.27445686803601,108.41620332208291,118.91899277213513,123.6895505612333,121.21846151201906,114.50904266446524,,,,,
512,2018-10-02 22:07:23+00:00,103.19548843021116,100.04778766334343,98.23760169528266,91.66837071855095,111.37258421934324,128.69978259602,123.89072547175793,119.9364866055751,124.96406296028657,123.33350128133003,121.33921651749148,117.3756428833825,
513,2018-10-18 22:07:29+00:00,106.37836683995572,98.73623888624444,102.2013641094097,104.65078909298191,113.14018845901609,121.53324156410483,115.52461770917336,110.17960035501702,112.52246639583986,113.6208186768377,109.64624750771688,100.4426511633651,95.13132091376346
