,dates,nzd0499-0000,nzd0499-0001,nzd0499-0002,nzd0499-0003,nzd0499-0004,nzd0499-0005,nzd0499-0006,nzd0499-0007,nzd0499-0008,nzd0499-0009,nzd0499-0010,nzd0499-0011,nzd0499-0012,nzd0499-0013,nzd0499-0014,nzd0499-0015,nzd0499-0016,nzd0499-0017,nzd0499-0018,nzd0499-0019,nzd0499-0020,nzd0499-0021,nzd0499-0022,nzd0499-0023,nzd0499-0024,nzd0499-0025,nzd0499-0026,nzd0499-0027,nzd0499-0028,nzd0499-0029,nzd0499-0030,nzd0499-0031,nzd0499-0032,nzd0499-0033
0,1999-08-26 22:07:32+00:00,153.17610801094875,157.81873830241534,152.94349036897157,165.2482473951589,149.29986500400628,154.46079219657696,147.96312791799963,145.97330100559378,148.33379010749312,146.01666606828383,148.24587853748244,157.55409099809788,158.50650489398237,164.61953051921114,163.8569806781914,169.33701410481535,169.9128119871911,176.9328110586057,180.76610998082992,172.43774049896547,167.431412079601,166.04422734275192,164.7039023864466,164.25318875600567,174.91972253428628,177.758386101452,183.38477282393643,180.3387103510728,176.54212504605164,177.1394676247166,163.1621143660118,159.79948381492363,151.8903487206925,143.8861495308654
1,1999-09-27 22:07:36+00:00,,155.39056583469895,149.45590585929935,143.45633382076014,134.1381321212228,129.2727113242588,128.53441835876188,134.20973683125322,130.93661717500643,130.77116189282168,130.06228859664577,133.79688898361545,145.59319272462866,154.79040735286148,161.7097113071358,175.09169221006113,151.88456782393058,169.8355355642558,168.00075774508656,161.5558531145295,160.81088599754293,156.93462145101876,159.51544405950406,167.7237854423853,176.37725577154282,181.91016069786872,193.98522784658238,184.3351058547587,179.10418684344663,173.02349603856035,165.0340472569294,160.17102254036075,148.11513661663906,
2,1999-10-20 22:13:38+00:00,123.10205477322408,120.15869440156077,117.47625738831191,113.73251618287142,110.1899598177909,109.63798927716755,112.93807044516188,114.352993430262,118.65087223874235,120.36633255835707,122.7961066772024,128.61846006524408,129.20173792930154,136.63524224866097,142.42600466260677,146.8998758359747,145.07436196850495,153.07578067467682,149.27453036032432,141.51157018533598,138.32960459514504,132.96164328516227,138.56305345571303,140.0862605138555,139.72418953836885,152.33505876873227,153.5106925988995,153.78687647776536,153.1245677812125,144.42235971213563,141.92390325496197,136.6372418024908,131.45283967041343,142.79630035473238
3,1999-12-16 22:07:33+00:00,136.27103414768445,132.27355120005802,129.09073128074073,127.73218641610829,126.29669878580644,127.04477117153144,123.95258126222242,124.4207067841818,126.56205457734407,129.27458265646317,134.34232188291628,139.9529450697967,143.90045849367309,147.21156602758654,154.2662552023623,166.0602196147549,164.27199826684543,164.04529669313183,163.82188896812931,156.98609728961915,153.9312800212914,152.76760547996048,148.4799882886791,154.08573498269251,157.02545837573143,163.3091447659782,167.51503893320987,161.46498362307375,161.27825791574597,161.74029200014746,150.61019109327177,149.14559167644475,139.1251134569399,139.99268986545832
4,2000-02-18 22:07:16+00:00,175.89088990473192,166.17409695206496,163.62369975015818,161.33830071935893,156.97485231896752,159.72606329070362,164.66646464291563,159.89623880696283,159.2544940119164,160.47099774426746,164.44110699900756,172.9883161350949,178.29354164325483,183.29548137976005,191.43658273657874,197.8936772157681,193.5268840393033,197.11303077660745,198.07266918611018,191.44115000172738,190.89352630468534,187.5395968573119,185.27697213906842,188.21001418697278,189.1249251937761,194.80184796317423,196.4684889277147,193.50361857987474,197.4000698467701,198.99107205249732,194.2370233288607,193.14553206751248,185.83818883414563,189.7727364280452
5,2000-02-25 22:13:25+00:00,143.56423368598058,140.37280513187827,138.38694293056926,136.49621960641863,134.24856553888296,133.2702405362666,131.89364346590182,132.78118877572297,136.37365775077959,135.30976325229085,139.98798555058133,147.2678072787141,151.61375776058117,155.02103148033177,163.62186914822712,168.0136203007097,168.78323438771469,172.64974232345173,172.87648212718352,168.36658112298664,161.3240130633102,161.80606075259678,160.93144864659814,159.83229559933727,166.46129923586085,170.6291931707185,172.3099758771763,174.9608737218415,171.20575939493173,170.39890219953233,164.35930320845716,157.7892068090609,157.93470123174302,156.31366100614957
6,2000-03-21 22:07:12+00:00,181.64953121467624,172.73860568373405,168.9651401413023,171.05235140353994,164.56076110056057,170.78894925792213,,,,,,,,,,,,,,,184.5345034422552,195.74189472406198,198.00147414156885,190.1682792206107,167.58614305760494,153.53144465851648,113.88158044180653,116.41053385107611,164.61249229623198,196.01918978461973,197.31565498523716,197.1457174887347,195.24424083030928,195.54981177817507
7,2000-03-28 22:13:18+00:00,128.3063206961404,128.31674775811356,125.21588649331825,123.06286060197164,123.16655180823184,120.34736113359956,118.56722252720627,118.73463512354536,122.0702596570057,122.36441787154297,128.38333457092602,131.47633833127435,136.82294614325622,141.32044388706737,147.64373679806164,155.98823701256737,151.1428221688966,161.26326912140544,159.57806948810844,153.7695357237295,146.4368712501028,150.48678121729685,145.00935647138027,147.62145859830116,153.43633279614295,151.70911284797097,153.67157366398794,153.14086074152496,150.94294235453322,152.80203219033723,144.44270514835597,145.0144315501691,143.02276590878762,142.87985827987353
8,2000-05-08 22:06:44+00:00,147.66124554186996,149.119346629265,144.35007420684872,146.82467359903646,146.30088133009644,143.16847321840305,145.07499638239142,143.30603543610823,144.00201851704708,146.10742722478193,150.57315632958344,154.25350996897257,155.84198311977093,161.61737715683086,170.5028775138792,176.054708844208,177.67117434993273,179.27406050311495,176.86562107942083,173.53057072265125,169.96760750071024,172.5020788013464,171.28477353850923,171.25982473009518,176.96989345318732,181.83589186379885,182.74822742746278,181.9796397320473,178.78356508033386,179.25645055349395,174.77866735372118,170.78216697543405,165.32839969113087,168.78900877175928
9,2000-05-15 22:12:54+00:00,134.68842099739697,139.415723517719,135.9154022378612,,,,135.55195177556698,136.3045442400988,139.18233084147732,142.28323202710874,148.26288962704598,149.17155761936735,152.31333161093005,156.64816738918677,167.67115522121856,173.40103490276175,172.08995005517212,177.92348915545787,175.34256083282787,168.87989523402956,168.23132714679596,164.25899402584616,167.4623439474258,165.14009561762063,170.79982964730732,179.73232064635795,175.59020381072628,174.71581595556876,174.6429574976445,169.07536915933474,169.30001571566316,162.57470180404815,165.00799462211228,165.24847162929
