dates,nzd0166-0000,nzd0166-0001,nzd0166-0002,nzd0166-0003,satname
1999-07-18 21:58:49+00:00,,,,363.50,L7
1999-09-20 21:58:56+00:00,342.83,340.26,332.19,370.00,L7
1999-10-22 21:58:28+00:00,341.34,339.02,338.44,383.14,L7
1999-12-09 21:58:33+00:00,340.90,334.58,334.00,362.61,L7
2000-02-27 21:58:16+00:00,351.59,331.92,,338.95,L7
2000-03-14 21:58:35+00:00,340.34,326.97,334.08,336.29,L7
2000-03-30 21:58:09+00:00,338.66,327.01,333.10,,L7
2000-05-01 21:58:18+00:00,344.64,349.69,339.87,,L7
2000-08-05 21:57:08+00:00,310.43,302.91,299.59,330.73,L7
2000-09-22 21:56:05+00:00,338.02,321.04,317.97,378.06,L7
2000-10-24 21:55:53+00:00,335.17,303.77,307.07,359.87,L7
2000-12-27 21:56:05+00:00,306.71,293.72,311.83,343.14,L7
2001-01-12 21:56:30+00:00,314.80,304.62,306.11,351.91,L7
2001-06-05 21:55:40+00:00,319.47,329.10,337.90,355.83,L7
2001-06-21 21:55:29+00:00,307.02,328.74,342.77,350.36,L7
2001-09-09 21:54:36+00:00,305.23,313.06,317.66,354.83,L7
2001-10-11 21:53:46+00:00,325.38,323.55,325.56,370.54,L7
2001-12-30 21:54:37+00:00,,,331.94,,L7
2002-01-15 21:54:47+00:00,353.20,354.17,352.60,380.99,L7
2002-01-31 21:54:26+00:00,321.61,329.05,330.50,372.11,L7
2002-02-16 21:54:54+00:00,318.87,305.82,299.30,338.27,L7
2002-04-05 21:54:49+00:00,352.45,,349.41,384.11,L7
2002-08-27 21:53:36+00:00,344.49,318.60,335.32,361.33,L7
2002-10-14 21:53:43+00:00,328.59,319.59,333.55,388.97,L7
2002-11-15 21:53:36+00:00,329.50,325.03,328.31,381.60,L7
2003-01-18 21:54:30+00:00,333.40,322.91,327.67,355.45,L7
2003-05-26 21:54:19+00:00,315.83,322.26,333.06,364.20,L7
2003-07-21 21:42:33+00:00,305.49,331.34,339.32,368.28,L5
2003-08-06 21:42:27+00:00,304.20,322.81,325.10,357.84,L5
2003-10-25 21:43:40+00:00,306.16,306.08,327.31,348.71,L5
2003-11-02 21:54:02+00:00,322.68,318.01,330.78,,L7
2003-12-04 21:54:43+00:00,332.40,322.03,332.97,,L7
2004-02-06 21:54:44+00:00,329.59,319.96,326.32,353.13,L7
2004-02-14 21:44:33+00:00,330.23,325.34,337.92,382.20,L5
2004-03-25 21:54:54+00:00,,,333.89,364.26,L7
2004-04-02 21:44:54+00:00,335.47,326.03,334.44,375.61,L5
2004-04-18 21:45:49+00:00,323.43,318.91,321.56,335.78,L5
2004-05-12 21:55:13+00:00,321.18,312.60,317.74,325.78,L7
2004-05-20 21:46:20+00:00,308.32,303.06,309.22,329.98,L5
2004-06-21 21:47:16+00:00,,278.84,280.75,337.46,L5
2004-06-29 21:55:03+00:00,269.63,304.78,316.04,348.51,L7
2004-07-23 21:48:09+00:00,324.13,325.29,322.47,356.86,L5
2004-08-16 21:54:26+00:00,333.47,324.38,327.84,345.59,L7
2004-09-25 21:50:07+00:00,330.33,327.97,328.36,329.98,L5
2004-10-11 21:50:03+00:00,335.29,335.53,336.62,371.24,L5
2004-10-27 21:50:23+00:00,329.48,336.65,337.98,344.43,L5
2005-01-15 21:52:09+00:00,359.53,346.06,352.66,373.72,L5
2005-02-08 21:55:35+00:00,330.06,,,339.04,L7
2005-02-24 21:55:17+00:00,351.28,326.07,,,L7
2005-03-04 21:52:28+00:00,349.78,329.15,337.13,355.04,L5
2005-03-12 21:55:44+00:00,334.10,327.38,323.77,355.67,L7
2005-04-13 21:55:36+00:00,318.92,330.31,305.41,338.75,L7
2005-04-21 21:53:10+00:00,345.26,341.40,341.19,372.49,L5
2005-05-23 21:53:24+00:00,328.00,344.21,345.94,371.63,L5
2005-05-31 21:55:11+00:00,,331.69,340.16,361.32,L7
2005-06-08 21:53:09+00:00,329.71,346.17,338.10,365.96,L5
2005-06-24 21:53:14+00:00,,,307.41,366.12,L5
2005-08-03 21:55:25+00:00,330.69,326.06,327.50,362.64,L7
2005-08-19 21:54:56+00:00,332.72,315.24,324.37,366.34,L7
2005-09-20 21:55:06+00:00,345.77,328.07,338.52,,L7
2005-10-30 21:53:39+00:00,346.92,332.10,340.35,374.90,L5
2006-01-10 21:55:52+00:00,317.02,310.42,323.21,363.96,L7
2006-02-11 21:56:04+00:00,,,316.39,334.40,L7
2006-02-19 21:56:15+00:00,321.70,315.89,322.53,341.45,L5
2006-03-31 21:55:42+00:00,345.27,,,371.31,L7
2006-04-08 21:57:36+00:00,339.04,338.79,337.31,386.73,L5
2006-05-02 21:55:41+00:00,335.24,329.52,324.88,356.86,L7
2006-06-27 21:58:48+00:00,322.45,328.02,322.41,348.72,L5
2006-07-05 21:55:30+00:00,318.73,333.82,328.70,362.01,L7
2006-07-13 21:59:02+00:00,337.55,332.16,337.13,359.07,L5
2006-07-21 21:55:45+00:00,306.76,317.53,322.00,362.18,L7
2006-08-22 21:55:41+00:00,,334.57,330.62,341.06,L7
2006-09-23 21:55:06+00:00,342.57,338.54,344.67,351.83,L7
2007-01-29 21:55:57+00:00,,319.94,328.56,376.96,L7
2007-03-02 21:56:31+00:00,335.76,325.36,329.64,343.45,L7
2007-03-18 21:56:09+00:00,334.29,323.33,337.88,,L7
