dates,sar2175-0000,sar2175-0001,satname
1984-05-06 09:33:27+00:00,341.77,248.38,L5
1984-07-18 09:28:46+00:00,351.23,252.89,L5
1984-08-03 09:29:20+00:00,353.93,254.10,L5
1984-08-26 09:35:45+00:00,353.93,253.10,L5
1984-09-11 09:36:14+00:00,353.93,252.08,L5
1984-09-20 09:30:04+00:00,360.21,252.23,L5
1984-10-22 09:30:00+00:00,360.21,252.19,L5
1984-11-07 09:29:53+00:00,366.36,252.27,L5
1984-12-09 09:29:58+00:00,366.36,251.65,L5
1985-02-02 09:36:32+00:00,369.11,249.51,L5
1985-02-11 09:30:23+00:00,332.67,249.50,L5
1985-03-15 09:30:22+00:00,308.74,250.32,L5
1985-04-23 09:35:59+00:00,277.17,249.58,L5
1985-05-02 09:30:07+00:00,273.46,249.29,L5
1985-06-03 09:30:04+00:00,271.44,249.29,L5
1985-06-10 09:35:50+00:00,268.27,248.77,L5
1985-06-26 09:35:47+00:00,266.63,248.34,L5
1985-07-05 09:29:57+00:00,269.63,248.34,L5
1985-07-12 09:35:41+00:00,269.63,247.56,L5
1985-08-13 09:35:25+00:00,258.94,247.61,L5
1985-08-22 09:29:32+00:00,258.96,248.03,L5
1985-09-14 09:35:25+00:00,261.61,247.35,L5
1985-10-09 09:28:59+00:00,261.57,247.78,L5
1985-11-10 09:28:33+00:00,262.16,247.39,L5
1985-12-03 09:33:55+00:00,262.58,248.48,L5
1986-01-13 09:27:22+00:00,260.87,251.06,L5
1986-03-25 09:32:01+00:00,260.48,251.70,L5
1986-04-19 09:25:17+00:00,259.38,251.61,L5
1986-05-12 09:30:53+00:00,260.78,252.23,L5
1986-05-21 09:24:27+00:00,259.87,251.67,L5
1986-07-08 09:22:57+00:00,259.85,251.22,L5
1986-07-24 09:22:23+00:00,259.07,250.20,L5
1986-07-31 09:28:19+00:00,259.19,249.94,L5
1986-08-16 09:27:20+00:00,260.23,250.18,L5
1986-09-17 09:26:37+00:00,260.53,250.83,L5
1986-12-22 09:25:09+00:00,261.97,246.49,L5
1986-12-31 09:19:14+00:00,260.40,246.42,L5
1987-01-16 09:19:41+00:00,258.92,245.85,L5
1987-02-08 09:26:15+00:00,257.91,246.40,L5
1987-02-17 09:20:35+00:00,256.50,246.43,L5
1987-03-21 09:22:02+00:00,276.26,244.99,L5
1987-04-06 09:22:36+00:00,290.48,246.53,L5
1987-04-29 09:29:30+00:00,300.54,246.79,L5
1987-05-08 09:23:35+00:00,309.98,246.85,L5
1987-06-09 09:24:23+00:00,317.19,247.68,L5
1987-06-25 09:24:44+00:00,323.15,251.38,L5
1987-07-11 09:25:03+00:00,331.00,251.69,L5
1987-07-18 09:31:20+00:00,340.36,252.04,L5
1987-07-27 09:25:25+00:00,340.36,252.12,L5
1987-08-03 09:31:25+00:00,344.22,252.91,L5
1987-08-19 09:32:18+00:00,355.83,252.77,L5
1987-08-28 09:26:22+00:00,344.42,252.18,L5
1987-09-13 09:26:45+00:00,336.04,252.25,L5
1987-09-20 09:32:42+00:00,325.92,252.66,L5
1987-10-06 09:33:02+00:00,316.54,252.34,L5
1987-10-31 09:27:40+00:00,306.54,252.68,L5
1987-11-07 09:34:02+00:00,295.10,253.01,L5
1987-11-16 09:28:03+00:00,295.10,253.17,L5
1987-12-02 09:28:18+00:00,291.99,252.73,L5
1987-12-25 09:34:25+00:00,273.36,251.78,L5
1988-01-19 09:29:05+00:00,271.79,251.71,L5
1988-02-11 09:35:17+00:00,260.31,250.68,L5
1988-03-14 09:35:39+00:00,262.38,251.64,L5
1988-04-15 09:35:50+00:00,261.74,251.03,L5
1988-05-01 09:36:21+00:00,261.63,250.63,L5
1988-05-17 09:36:08+00:00,261.71,249.94,L5
1988-06-02 09:36:14+00:00,260.89,250.53,L5
1988-06-11 09:30:29+00:00,261.96,251.13,L5
1988-06-18 09:36:43+00:00,263.65,252.32,L5
1988-06-27 09:30:35+00:00,262.88,252.63,L5
1988-07-04 09:36:48+00:00,262.81,252.42,L5
1988-07-13 09:30:39+00:00,262.37,252.33,L5
1988-07-20 09:36:51+00:00,262.46,251.95,L5
1988-07-29 09:30:42+00:00,261.80,251.58,L5
