dates,satname,sar1377-0000,sar1377-0001,sar1377-0002,sar1377-0003,sar1377-0004,sar1377-0005
1984-05-06 09:33:51+00:00,L5,200.05,225.70,240.32,210.38,172.54,188.11
1984-06-07 09:34:42+00:00,L5,204.47,219.82,242.61,208.97,164.95,176.05
1984-08-26 09:36:33+00:00,L5,,,,,,
1984-09-11 09:36:38+00:00,L5,335.95,269.56,290.40,380.81,334.35,199.04
1984-09-27 09:36:39+00:00,L5,213.70,229.03,244.81,218.71,177.17,211.90
1984-10-29 09:36:32+00:00,L5,224.74,226.64,250.99,217.21,172.69,218.81
1985-06-26 09:36:35+00:00,L5,203.16,223.35,241.94,208.76,171.11,197.19
1985-07-12 09:36:29+00:00,L5,200.44,220.43,242.01,210.89,173.70,191.13
1985-07-28 09:36:22+00:00,L5,234.60,226.60,250.39,221.12,185.76,233.65
1985-08-13 09:36:12+00:00,L5,220.41,224.26,248.56,212.77,180.63,216.93
1985-08-29 09:36:02+00:00,L5,218.89,226.26,251.52,220.35,184.31,218.23
1985-12-03 09:34:43+00:00,L5,230.34,220.97,244.93,220.57,184.51,230.55
1986-01-04 09:34:08+00:00,L5,286.66,150.41,245.14,200.65,185.55,265.08
1986-04-10 09:32:04+00:00,L5,,,,,,
1986-05-12 09:31:17+00:00,L5,257.38,238.80,249.70,221.88,186.74,260.23
1986-05-28 09:30:50+00:00,L5,218.29,228.79,239.40,208.93,172.26,209.21
1986-06-29 09:29:50+00:00,L5,236.78,225.17,249.19,222.74,184.34,236.70
1986-07-15 09:29:17+00:00,L5,202.15,219.28,236.49,213.58,169.62,190.02
1986-09-01 09:27:32+00:00,L5,205.07,222.45,239.99,212.50,180.53,199.55
1986-09-17 09:27:01+00:00,L5,232.85,225.93,249.83,221.12,180.39,232.95
1986-11-04 09:25:25+00:00,L5,,,,,,
1987-01-07 09:26:01+00:00,L5,,,,,,
1987-01-23 09:26:28+00:00,L5,214.22,226.06,249.42,221.29,185.52,209.56
1987-04-13 09:29:24+00:00,L5,370.84,412.48,-85.78,375.24,365.43,
1987-06-16 09:31:07+00:00,L5,335.89,276.62,292.53,383.83,381.45,209.21
1987-07-02 09:31:27+00:00,L5,204.33,221.07,238.82,218.04,173.35,200.08
1987-07-18 09:31:44+00:00,L5,222.80,231.20,249.88,207.22,165.06,217.80
1987-08-03 09:32:13+00:00,L5,214.83,225.23,248.70,219.68,175.91,205.45
1987-08-19 09:32:41+00:00,L5,200.39,223.01,240.88,214.51,169.01,189.53
1987-09-04 09:33:07+00:00,L5,204.70,215.49,239.58,227.85,184.39,202.96
1987-09-20 09:33:30+00:00,L5,233.83,228.23,249.14,221.21,184.99,233.88
1987-11-07 09:34:26+00:00,L5,212.76,228.23,247.35,217.93,175.46,203.27
1987-12-09 09:34:58+00:00,L5,,,,,,
1987-12-25 09:35:13+00:00,L5,213.42,226.25,244.57,227.19,184.36,214.40
1988-01-10 09:35:29+00:00,L5,218.37,226.57,259.72,219.45,181.51,199.87
1988-02-11 09:36:05+00:00,L5,194.00,210.38,234.83,221.33,180.83,185.15
1988-04-15 09:36:38+00:00,L5,214.21,230.05,248.84,219.12,177.84,204.42
1988-05-17 09:36:55+00:00,L5,235.98,238.00,258.88,219.24,177.24,227.02
1988-07-04 09:37:12+00:00,L5,,,,,,
1988-07-20 09:37:15+00:00,L5,204.71,224.58,240.09,218.82,183.35,199.19
1988-08-05 09:37:16+00:00,L5,,,,,,
1988-08-21 09:37:17+00:00,L5,207.56,226.15,255.11,205.48,165.12,195.88
1988-09-06 09:37:19+00:00,L5,209.98,218.69,236.71,218.95,174.89,207.96
1988-09-22 09:37:13+00:00,L5,210.60,223.04,243.71,228.12,183.67,210.09
1988-10-08 09:37:09+00:00,L5,,,,,,
1988-10-24 09:37:05+00:00,L5,209.66,211.41,243.26,230.66,196.35,207.41
1988-11-09 09:37:09+00:00,L5,,,,,,
1988-12-11 09:36:57+00:00,L5,201.16,206.82,236.61,217.93,179.79,185.54
1988-12-27 09:36:51+00:00,L5,224.67,226.79,236.63,219.95,196.58,225.14
1989-01-12 09:36:44+00:00,L5,236.86,221.81,251.85,218.73,184.71,232.47
1989-01-28 09:36:31+00:00,L5,211.76,227.89,243.03,220.21,187.08,206.59
1989-02-13 09:36:33+00:00,L5,211.89,226.58,245.85,212.48,179.80,199.57
1989-03-01 09:36:18+00:00,L5,,,,,,
1989-03-17 09:35:40+00:00,L5,206.48,218.73,239.24,232.85,186.48,203.84
1989-04-02 09:35:35+00:00,L5,222.11,233.28,255.03,219.06,185.53,215.44
1989-04-18 09:35:31+00:00,L5,187.18,224.56,239.57,206.72,165.63,174.49
1989-05-20 09:34:56+00:00,L5,238.08,238.53,261.45,215.75,179.20,231.03
1989-06-21 09:34:19+00:00,L5,219.52,223.83,246.65,209.12,183.48,217.33
1989-07-23 09:33:45+00:00,L5,224.47,227.67,244.99,215.87,180.78,219.03
1989-08-24 09:33:03+00:00,L5,212.28,229.06,252.54,212.03,169.94,200.87
1989-09-09 09:32:39+00:00,L5,375.49,117.11,339.76,361.33,370.81,240.06
1989-09-25 09:32:16+00:00,L5,219.57,222.69,242.85,228.44,188.32,217.06
1989-10-11 09:31:53+00:00,L5,207.68,223.77,241.79,210.56,172.80,195.20
1989-10-27 09:31:15+00:00,L5,210.87,213.27,243.37,233.20,197.95,210.27
1989-11-12 09:30:54+00:00,L5,229.48,220.94,252.64,221.37,195.80,229.73
1989-11-28 09:30:28+00:00,L5,204.50,209.15,235.47,232.24,189.27,204.75
1989-12-14 09:30:02+00:00,L5,332.65,151.72,250.18,217.83,171.33,185.01
1990-02-16 09:27:59+00:00,L5,335.09,275.72,268.35,386.86,371.46,188.14
1990-03-04 09:27:26+00:00,L5,224.53,231.80,252.41,221.18,178.45,213.58
1990-04-21 09:26:46+00:00,L5,210.91,226.66,241.79,221.10,178.47,203.57
1990-05-07 09:26:43+00:00,L5,231.27,218.65,240.81,236.10,196.86,240.92
