dates,satname,nzd0366-0000,nzd0366-0001,nzd0366-0002,nzd0366-0003,nzd0366-0004,nzd0366-0005,nzd0366-0006,nzd0366-0007,nzd0366-0008,nzd0366-0009,nzd0366-0010,nzd0366-0011,nzd0366-0012,nzd0366-0013,nzd0366-0014,nzd0366-0015,nzd0366-0016,nzd0366-0017,nzd0366-0018,nzd0366-0019,nzd0366-0020,nzd0366-0021,nzd0366-0022,nzd0366-0023,nzd0366-0024,nzd0366-0025,nzd0366-0026,nzd0366-0027,nzd0366-0028,nzd0366-0029,nzd0366-0030,nzd0366-0031,nzd0366-0032,nzd0366-0033,nzd0366-0034,nzd0366-0035,nzd0366-0036,nzd0366-0037,nzd0366-0038,nzd0366-0039,nzd0366-0040,nzd0366-0041,nzd0366-0042,nzd0366-0043,nzd0366-0044,nzd0366-0045,nzd0366-0046,nzd0366-0047,nzd0366-0048,nzd0366-0049,nzd0366-0050,nzd0366-0051,nzd0366-0052,nzd0366-0053,nzd0366-0054,nzd0366-0055,nzd0366-0056,nzd0366-0057
1999-08-17 22:12:26+00:00,L7,,,,,,,470.53,528.27,515.06,,425.99,412.60,402.04,399.16,390.06,383.89,384.57,390.10,386.97,387.13,385.13,375.04,368.45,370.73,384.94,379.40,374.67,379.61,373.45,377.30,378.71,377.06,381.35,388.61,382.21,382.38,385.50,389.47,385.78,386.24,396.71,399.66,389.77,,414.81,405.86,400.24,,478.26,500.81,,424.74,,,,,,
1999-08-26 22:06:20+00:00,L7,254.39,334.98,367.18,399.33,418.44,424.97,421.08,423.19,417.54,406.45,393.61,381.01,366.95,365.12,365.51,363.40,361.40,361.72,360.96,359.04,361.18,354.41,352.80,352.49,353.73,352.43,350.91,350.82,349.49,354.29,349.74,349.08,347.53,343.94,343.48,339.88,343.21,345.25,343.29,343.63,348.30,349.10,357.15,357.03,359.85,366.49,368.97,371.56,376.09,383.47,383.86,383.78,386.52,383.11,380.09,372.98,361.91,360.83
1999-09-18 22:12:27+00:00,L7,348.98,390.74,410.22,445.99,488.17,533.38,495.32,487.53,477.08,462.12,431.55,427.32,408.52,404.37,425.64,416.88,396.59,387.34,397.71,402.22,398.02,387.45,382.49,377.09,383.26,390.69,383.26,415.54,414.38,403.57,383.44,389.91,396.97,387.66,380.75,375.72,381.89,379.52,385.25,380.87,386.43,390.49,386.70,391.38,400.10,403.63,406.10,413.57,418.55,426.36,435.10,434.16,425.88,419.88,416.74,417.76,424.61,448.29
1999-10-13 22:06:24+00:00,L7,348.50,371.87,389.06,407.29,448.10,472.63,474.53,469.13,450.36,450.16,428.08,417.00,415.27,386.50,378.35,377.43,378.11,373.33,372.58,374.58,379.19,381.43,373.96,368.36,362.68,358.16,363.78,369.42,371.27,374.39,373.67,373.11,381.25,382.19,377.08,370.64,374.35,368.63,371.45,368.56,376.42,376.43,376.61,384.86,387.35,391.89,392.52,393.51,400.13,402.60,407.65,413.91,419.64,417.13,410.51,403.28,393.00,409.99
1999-11-21 22:12:24+00:00,L7,250.60,232.87,345.42,380.99,402.34,416.64,426.77,421.61,415.75,411.36,387.95,371.97,362.80,358.08,357.68,351.03,351.64,354.22,351.72,356.83,352.42,356.33,352.48,354.07,352.82,345.75,343.28,341.73,339.39,341.44,345.16,346.77,338.58,337.49,337.33,335.13,335.19,336.10,338.07,339.19,340.32,346.22,345.23,350.89,356.16,360.18,363.75,367.38,369.16,372.84,377.72,377.63,378.82,377.07,372.62,366.94,347.15,320.93
2000-01-17 22:06:11+00:00,L7,334.67,360.10,368.59,388.14,402.39,429.06,446.05,451.48,462.93,466.44,456.10,446.86,428.30,402.17,389.03,383.06,389.93,388.08,380.60,370.45,370.17,379.58,380.75,378.29,382.88,391.45,385.45,374.61,364.85,363.98,359.79,354.12,346.02,347.36,331.66,329.98,335.13,336.81,338.11,338.83,354.38,360.82,369.83,375.81,,,,,,,,,,,,,,
2000-02-09 22:12:19+00:00,L7,573.02,561.97,515.10,408.44,419.75,434.31,,452.23,451.73,463.98,466.60,463.69,454.01,447.11,442.99,427.10,417.06,427.70,444.85,,390.48,388.75,409.47,422.51,412.91,406.61,417.42,425.97,413.40,411.89,411.76,400.17,402.93,393.95,388.77,387.59,392.18,390.04,393.98,396.91,397.71,398.25,399.29,401.50,407.77,412.94,416.35,418.65,426.05,428.04,436.32,438.17,434.19,435.75,429.88,439.30,436.04,456.15
2000-03-12 22:12:09+00:00,L7,573.36,580.76,583.83,592.18,578.09,430.46,,519.42,464.20,475.74,461.95,449.71,448.23,434.88,429.35,419.87,416.25,424.22,429.25,435.47,434.68,438.38,449.07,453.32,457.63,451.97,445.34,441.13,437.04,434.95,438.24,431.52,429.98,424.32,422.80,412.97,415.15,424.53,416.24,433.57,435.23,434.45,438.56,443.39,443.18,438.15,454.52,449.67,461.22,455.08,463.59,465.62,469.94,462.90,471.07,465.79,470.84,515.20
2000-03-21 22:06:01+00:00,L7,320.86,343.14,357.43,374.42,391.28,411.52,422.21,435.56,433.23,433.03,434.40,420.41,408.55,404.88,398.18,387.32,384.86,375.01,379.52,377.57,379.15,373.68,374.93,371.85,367.33,364.32,362.15,362.06,360.29,357.32,355.72,352.76,350.83,349.26,349.59,348.81,345.43,344.95,346.01,352.13,354.41,356.23,361.33,362.39,364.60,371.47,372.27,370.96,375.41,377.55,381.70,380.40,381.10,382.08,379.45,370.47,359.43,353.10
2000-04-13 22:11:54+00:00,L7,524.95,360.55,367.88,375.23,404.40,421.79,,,,,,,,,,,,393.92,394.03,397.68,400.00,404.93,411.66,421.20,414.51,412.03,418.99,401.75,397.97,393.13,386.15,378.10,378.52,378.06,374.71,374.18,366.55,366.31,373.74,372.09,377.95,380.61,381.37,385.42,392.55,395.03,402.17,405.52,406.45,406.66,412.12,413.67,414.63,417.65,411.07,405.94,399.89,408.24
2000-05-24 22:05:22+00:00,L7,,,,,,,,,,,461.93,454.86,447.27,427.25,415.43,409.51,402.06,401.76,399.41,391.78,390.07,392.22,399.53,402.08,407.40,409.13,407.78,406.54,410.00,403.03,402.53,405.84,409.50,411.94,413.34,408.57,402.62,394.17,394.52,395.91,401.79,409.88,404.23,403.49,418.88,421.81,429.23,430.81,428.12,430.89,,,,,,,,
2000-05-31 22:11:30+00:00,L7,261.10,237.66,203.07,192.24,363.09,380.93,399.63,413.82,420.74,421.85,402.00,386.20,384.12,375.99,367.43,364.83,360.73,351.65,346.59,346.65,359.07,356.87,350.91,356.71,357.08,354.52,349.02,343.00,344.33,348.40,346.38,345.35,341.80,333.66,334.87,333.65,336.97,329.53,333.17,344.38,359.03,,374.13,350.61,368.46,356.28,365.99,348.24,353.03,357.31,359.64,364.54,366.35,368.32,253.41,234.30,223.85,255.88
2000-08-03 22:10:43+00:00,L7,,,,,,,,,,,,,,449.06,435.55,413.65,397.03,383.47,381.32,381.56,378.22,375.95,388.13,416.77,395.95,393.09,412.99,400.34,394.36,420.07,429.37,423.47,408.59,397.32,388.29,399.66,400.79,398.85,411.88,428.04,423.86,424.08,409.15,404.34,418.12,429.08,429.59,432.71,446.53,448.44,439.33,435.93,,,,,,
2000-08-19 22:10:38+00:00,L7,525.59,522.90,470.49,373.44,411.51,435.79,437.57,441.10,445.19,448.62,449.06,440.19,457.84,456.17,440.65,412.30,396.55,388.95,375.20,366.22,373.92,377.63,370.63,375.13,388.05,395.50,391.23,391.85,397.26,392.55,395.92,396.97,396.54,392.99,382.54,378.43,384.06,385.02,385.68,389.00,406.05,403.06,399.35,398.81,405.61,400.71,402.53,409.77,413.81,419.61,419.31,416.83,420.17,,,,,
2000-09-13 22:04:02+00:00,L7,246.05,230.03,193.53,309.71,347.47,371.67,399.69,406.28,410.20,408.07,400.17,387.73,375.49,383.20,373.33,361.81,352.71,349.96,343.78,339.00,336.59,338.49,337.26,337.70,338.00,341.18,342.48,346.07,343.12,340.39,339.44,340.20,333.86,331.84,332.52,329.12,325.93,324.62,327.44,327.82,328.74,333.03,337.15,341.27,345.13,348.09,352.01,351.96,351.95,358.08,355.89,358.45,363.71,360.14,346.97,338.67,319.20,291.97
2000-09-20 22:10:03+00:00,L7,525.41,545.73,558.89,559.08,421.79,,503.28,,562.33,,,437.68,444.79,436.11,436.03,424.71,414.20,398.25,391.21,387.59,385.39,382.39,378.38,381.93,394.28,408.29,411.00,417.68,416.47,422.16,418.15,414.66,404.85,396.24,385.42,390.88,386.22,380.29,386.14,387.13,394.11,391.79,388.08,402.09,424.76,431.62,430.52,419.44,417.22,416.67,419.37,427.32,424.12,424.04,417.98,417.99,396.85,455.63
2000-11-07 22:09:53+00:00,L7,251.42,234.81,294.41,324.68,368.64,385.18,414.00,428.62,447.53,450.78,450.17,436.38,424.68,413.90,408.83,403.45,391.75,386.48,372.51,366.98,365.94,367.65,363.89,361.41,358.43,357.68,361.07,368.10,368.19,366.34,368.90,371.49,367.93,366.46,358.58,354.26,346.29,345.83,342.44,338.36,343.22,347.57,354.61,359.48,364.37,371.26,376.09,380.63,383.35,387.77,386.86,378.98,377.91,379.09,374.16,362.40,345.76,337.50
