dates,nzd0366-0000,nzd0366-0001,nzd0366-0002,nzd0366-0003,nzd0366-0004,nzd0366-0005,nzd0366-0006,nzd0366-0007,nzd0366-0008,nzd0366-0009,nzd0366-0010,nzd0366-0011,nzd0366-0012,nzd0366-0013,nzd0366-0014,nzd0366-0015,nzd0366-0016,nzd0366-0017,nzd0366-0018,nzd0366-0019,nzd0366-0020,nzd0366-0021,nzd0366-0022,nzd0366-0023,nzd0366-0024,nzd0366-0025,nzd0366-0026,nzd0366-0027,nzd0366-0028,nzd0366-0029,nzd0366-0030,nzd0366-0031,nzd0366-0032,nzd0366-0033,nzd0366-0034,nzd0366-0035,nzd0366-0036,nzd0366-0037,nzd0366-0038,nzd0366-0039,nzd0366-0040,nzd0366-0041,nzd0366-0042,nzd0366-0043,nzd0366-0044,nzd0366-0045,nzd0366-0046,nzd0366-0047,nzd0366-0048,nzd0366-0049,nzd0366-0050,nzd0366-0051,nzd0366-0052,nzd0366-0053,nzd0366-0054,nzd0366-0055,nzd0366-0056,nzd0366-0057,satname
1999-08-17 22:12:26+00:00,,,,,,,451.20,,,,404.24,387.74,382.71,377.41,368.31,366.49,367.17,372.70,372.47,373.75,370.63,357.64,351.05,354.91,365.61,360.07,355.34,362.21,354.12,357.97,359.38,357.73,362.02,371.21,364.81,363.05,363.75,367.72,368.38,368.84,374.96,377.91,370.44,,393.06,381.00,375.38,,453.40,,,402.99,,,,,,,L7
1999-08-26 22:06:20+00:00,325.39,391.78,380.70,418.26,450.00,,452.64,454.75,443.36,447.02,429.11,421.58,398.51,400.62,401.01,391.80,389.80,390.12,384.63,380.89,384.85,382.81,381.20,378.31,385.29,383.99,382.47,379.22,381.05,385.85,381.30,380.64,379.09,372.34,371.88,371.44,378.71,380.75,371.69,372.03,383.80,384.60,388.71,388.59,395.35,407.06,409.54,412.13,416.66,424.04,424.43,419.28,422.02,418.61,420.66,413.55,402.48,408.16,L7
1999-09-18 22:12:27+00:00,320.98,368.34,404.89,438.52,475.73,,482.88,475.09,466.90,446.12,417.55,411.32,396.08,390.37,411.64,405.68,385.39,376.14,388.38,393.60,388.69,376.25,371.29,366.91,370.82,378.25,370.82,404.34,401.94,391.13,371.00,377.47,384.53,376.46,369.55,363.28,367.89,365.52,374.05,369.67,372.43,376.49,374.26,378.94,386.10,387.63,390.10,397.57,402.55,410.36,419.10,420.16,411.88,405.88,400.74,401.76,408.61,429.62,L7
1999-10-13 22:06:24+00:00,341.50,366.27,387.73,405.42,444.99,469.13,471.42,466.02,447.81,446.16,424.58,413.00,412.16,383.00,374.85,374.63,375.31,370.53,370.25,372.43,376.86,378.63,371.16,365.81,359.57,355.05,360.67,366.62,368.16,371.28,370.56,370.00,378.14,379.39,374.28,367.53,370.85,365.13,368.65,365.76,372.92,372.93,373.50,381.75,383.85,387.89,388.52,389.51,396.13,398.60,403.65,410.41,416.14,413.63,406.51,399.28,389.00,405.32,L7
1999-11-21 22:12:24+00:00,322.10,,359.04,400.06,434.12,452.39,458.55,453.39,441.75,452.22,423.70,412.83,394.58,393.83,393.43,379.63,380.24,382.82,375.55,378.83,376.25,384.93,381.08,380.07,384.60,377.53,375.06,370.33,371.17,373.22,376.94,378.55,370.36,366.09,365.93,366.91,370.94,371.85,366.67,367.79,376.07,381.97,377.01,382.67,391.91,401.04,404.61,408.24,410.02,413.70,418.58,413.38,414.57,412.82,413.48,407.80,388.01,368.60,L7
2000-01-17 22:06:11+00:00,353.67,375.30,372.21,393.21,410.83,438.56,454.49,459.92,469.84,477.30,465.60,457.72,436.74,411.67,398.53,390.66,397.53,395.68,386.93,376.30,376.50,387.18,388.35,385.20,391.32,399.89,393.89,382.21,373.29,372.42,368.23,362.56,354.46,354.96,339.26,338.42,344.63,346.31,345.71,346.43,363.88,370.32,378.27,384.25,,,,,,,,,,,,,,,L7
2000-02-09 22:12:19+00:00,,,,403.91,412.19,425.81,,444.67,445.55,454.27,458.10,453.98,446.45,438.61,434.49,420.30,410.26,420.90,439.18,,384.81,381.95,402.67,416.33,405.35,399.05,409.86,419.17,405.84,404.33,404.20,392.61,395.37,387.15,381.97,380.03,383.68,381.54,387.18,,389.21,389.75,391.73,393.94,399.27,403.23,406.64,408.94,416.34,418.33,426.61,429.67,425.69,427.25,420.17,429.59,426.33,,L7
2000-03-12 22:12:09+00:00,,,,,,404.21,,,445.11,445.74,435.70,419.71,424.90,408.63,403.10,398.87,395.25,403.22,411.75,419.32,417.18,417.38,428.07,434.23,434.30,428.64,422.01,420.13,413.71,411.62,414.91,408.19,406.65,403.32,401.80,389.64,388.90,398.28,395.24,,408.98,408.20,415.23,420.06,416.93,408.15,424.52,419.67,431.22,425.08,433.59,439.37,443.69,436.65,441.07,435.79,440.84,,L7
2000-03-21 22:06:01+00:00,366.36,379.54,366.10,386.55,411.50,434.27,442.43,455.78,449.78,459.03,457.15,446.41,428.77,427.63,420.93,405.52,403.06,393.21,394.69,391.57,394.32,391.88,393.13,388.40,387.55,384.54,382.37,380.26,380.51,377.54,375.94,372.98,371.05,367.46,367.79,369.03,368.18,367.70,364.21,370.33,377.16,378.98,381.55,382.61,387.35,397.47,398.27,396.96,401.41,403.55,407.70,403.15,403.85,404.83,405.45,396.47,385.43,383.43,L7
2000-04-13 22:11:54+00:00,,361.35,368.07,375.50,404.84,422.29,,,,,,,,,,,,394.32,394.36,397.99,400.33,405.33,412.06,421.56,414.95,412.47,419.43,402.15,398.41,393.57,386.59,378.54,378.96,378.46,375.11,374.62,367.05,366.81,374.14,372.49,378.45,381.11,381.81,385.86,393.05,395.60,402.74,406.09,407.02,407.23,412.69,414.17,415.13,418.15,411.64,406.51,400.46,408.91,L7
2000-05-24 22:05:22+00:00,,,,,,,,,,,445.18,435.72,432.38,410.50,398.68,396.11,388.66,388.36,388.24,381.47,378.90,378.82,386.13,389.90,392.51,394.24,392.89,393.14,395.11,388.14,387.64,390.95,394.61,398.54,399.94,393.68,385.87,377.42,381.12,382.51,385.04,393.13,389.34,388.60,402.13,402.67,410.09,411.67,408.98,411.75,,,,,,,,,L7
2000-05-31 22:11:30+00:00,333.10,,,,395.09,416.93,431.63,445.82,446.92,462.99,438.00,427.34,416.12,411.99,403.43,393.63,389.53,380.45,370.59,368.80,383.07,385.67,379.71,382.89,389.08,386.52,381.02,371.80,376.33,380.40,378.38,377.35,373.80,362.46,363.67,365.65,372.97,365.53,361.97,373.18,395.03,,406.13,382.61,404.46,397.42,407.13,389.38,394.17,398.45,400.78,400.54,402.35,404.32,,,,,L7
2000-08-03 22:10:43+00:00,,,,,,,,,,,,,,440.06,426.55,406.45,389.83,376.27,375.32,376.02,372.22,368.75,380.93,410.22,387.95,385.09,404.99,393.14,386.36,412.07,421.37,415.47,400.59,390.12,381.09,391.66,391.79,389.85,404.68,420.84,414.86,415.08,401.15,396.34,409.12,418.79,419.30,422.42,436.24,438.15,429.04,426.93,,,,,,,L7
2000-08-19 22:10:38+00:00,,,,369.17,404.40,427.79,430.46,433.99,439.37,439.48,441.06,431.05,450.73,448.17,432.65,405.90,390.15,382.55,369.87,361.30,368.59,371.23,364.23,369.31,380.94,388.39,384.12,385.45,390.15,385.44,388.81,389.86,389.43,386.59,376.14,371.32,376.06,377.02,379.28,382.60,398.05,395.06,392.24,391.70,397.61,391.57,393.39,400.63,404.67,410.47,410.17,408.83,412.17,,,,,,L7
2000-09-13 22:04:02+00:00,310.05,,,,375.91,403.67,428.13,434.72,433.47,444.64,432.17,424.30,403.93,415.20,405.33,387.41,378.31,375.56,365.11,358.69,357.92,364.09,362.86,360.97,366.44,369.62,370.92,371.67,371.56,368.83,367.88,368.64,362.30,357.44,358.12,357.56,357.93,356.62,353.04,353.42,360.74,365.03,365.59,369.71,377.13,384.66,388.58,388.53,388.52,394.65,392.46,390.45,395.71,392.14,383.54,375.24,355.77,,L7
2000-09-20 22:10:03+00:00,,,,,398.46,,,,,,,407.68,421.46,409.86,409.78,403.71,393.20,377.25,373.71,371.44,367.89,361.39,357.38,362.84,370.95,384.96,387.67,396.68,393.14,398.83,394.82,391.33,381.52,375.24,364.42,367.55,359.97,354.04,365.14,366.13,367.86,365.54,364.75,378.76,398.51,401.62,400.52,389.44,387.22,386.67,389.37,401.07,397.87,397.79,387.98,387.99,366.85,420.63,L7
2000-11-07 22:09:53+00:00,264.92,245.61,296.98,328.28,374.64,391.93,420.00,434.62,452.44,458.49,456.92,444.09,430.68,420.65,415.58,408.85,397.15,391.88,377.01,371.13,370.44,373.05,369.29,366.32,364.43,363.68,367.07,373.50,374.19,372.34,374.90,377.49,373.93,371.86,363.98,360.26,353.04,352.58,347.84,343.76,349.97,354.32,360.61,365.48,371.12,378.97,383.80,388.34,391.06,395.48,394.57,385.73,384.66,385.84,381.87,370.11,353.47,,L7
2000-12-25 22:10:02+00:00,291.11,268.53,281.72,328.81,375.26,387.74,399.71,429.56,439.19,455.93,455.27,448.48,434.72,415.14,409.70,397.42,385.86,377.57,368.82,365.92,363.02,366.73,363.03,358.36,364.20,362.92,364.83,365.82,369.39,368.75,368.15,367.14,363.55,362.60,360.62,357.99,360.72,352.32,344.22,345.35,353.28,353.97,354.68,363.07,370.67,372.83,378.54,380.75,380.83,380.30,383.00,383.40,384.67,382.16,380.10,370.83,326.91,,L7
2001-01-10 22:10:03+00:00,310.09,279.02,275.41,344.37,385.33,396.39,419.65,443.63,452.75,471.97,463.95,471.77,458.38,457.21,447.31,434.93,425.01,416.57,399.31,384.23,382.98,380.33,378.87,375.81,381.93,381.78,383.76,383.82,385.42,383.75,386.44,386.09,387.22,381.67,377.63,383.04,378.85,373.32,365.04,360.26,366.96,371.49,373.72,382.05,390.08,394.82,399.66,406.90,401.38,406.24,408.32,405.32,407.46,404.58,405.17,391.76,372.78,365.04,L7
2001-01-19 22:03:55+00:00,,,,,,,406.40,434.81,455.11,457.73,450.70,448.80,446.28,444.30,438.53,422.41,420.53,409.78,408.67,408.04,401.23,395.48,394.52,384.07,387.46,394.46,393.08,392.01,392.72,395.47,399.40,402.08,403.29,404.50,,,,,,,,,,394.15,400.47,396.17,399.26,399.51,403.52,412.25,418.53,418.57,415.58,412.79,406.33,398.11,390.03,395.31,L7
