dates,nzd0366-0000,nzd0366-0001,nzd0366-0002,nzd0366-0003,nzd0366-0004,nzd0366-0005,nzd0366-0006,nzd0366-0007,nzd0366-0008,nzd0366-0009,nzd0366-0010,nzd0366-0011,nzd0366-0012,nzd0366-0013,nzd0366-0014,nzd0366-0015,nzd0366-0016,nzd0366-0017,nzd0366-0018,nzd0366-0019,nzd0366-0020,nzd0366-0021,nzd0366-0022,nzd0366-0023,nzd0366-0024,nzd0366-0025,nzd0366-0026,nzd0366-0027,nzd0366-0028,nzd0366-0029,nzd0366-0030,nzd0366-0031,nzd0366-0032,nzd0366-0033,nzd0366-0034,nzd0366-0035,nzd0366-0036,nzd0366-0037,nzd0366-0038,nzd0366-0039,nzd0366-0040,nzd0366-0041,nzd0366-0042,nzd0366-0043,nzd0366-0044,nzd0366-0045,nzd0366-0046,nzd0366-0047,nzd0366-0048,nzd0366-0049,nzd0366-0050,nzd0366-0051,nzd0366-0052,nzd0366-0053,nzd0366-0054,nzd0366-0055,nzd0366-0056,nzd0366-0057,satname
1999-08-17 22:12:26+00:00,,,,,,,445.67,503.41,490.20,,401.13,387.74,380.29,379.83,370.73,364.56,365.24,370.77,369.57,367.80,365.80,355.71,,351.40,365.61,357.65,355.34,357.86,351.70,,356.96,355.31,359.60,366.86,360.46,360.63,363.75,367.72,366.45,364.49,374.96,377.91,370.44,,393.06,384.11,375.38,,453.40,,,399.88,,,,,,,L7
1999-08-26 22:06:20+00:00,,,,,,,453.66,483.59,474.15,441.95,417.65,404.66,391.37,388.25,383.90,379.76,379.10,382.02,379.47,379.20,379.27,370.84,388.30,367.73,375.45,372.79,368.90,372.09,368.35,394.86,371.10,369.94,371.31,373.15,369.72,368.00,371.23,374.24,370.65,371.81,379.38,381.25,379.57,392.53,394.21,393.05,392.46,412.13,435.03,418.97,424.43,412.12,427.09,423.68,420.66,420.31,418.71,431.83,L7
1999-09-18 22:12:27+00:00,,334.74,354.22,389.99,450.84,,462.21,479.57,469.80,445.03,416.95,406.88,392.42,389.48,393.67,387.99,380.78,379.65,381.81,382.73,381.37,372.23,378.39,366.70,373.91,374.09,369.54,381.91,379.02,391.22,370.55,371.93,375.20,373.32,368.73,365.91,370.12,371.33,371.37,370.16,377.06,379.67,377.80,384.95,391.50,391.91,391.67,404.85,424.20,415.67,421.76,414.13,418.49,413.78,410.70,409.70,410.46,426.06,L7
1999-10-13 22:06:24+00:00,,346.31,364.64,391.64,444.80,467.96,464.29,475.96,463.94,445.58,418.74,408.41,397.26,387.96,389.06,384.57,379.34,377.29,378.81,379.91,380.05,373.75,375.75,366.34,370.32,369.23,367.32,377.91,376.21,384.27,370.45,371.35,375.84,374.66,369.94,366.22,370.30,369.78,370.61,368.89,376.03,377.98,376.73,383.76,389.59,391.03,390.88,399.74,417.19,410.14,415.73,413.08,417.54,413.56,409.30,406.00,402.77,418.37,L7
1999-11-21 22:12:24+00:00,393.60,356.16,364.64,391.64,444.80,466.13,464.96,473.26,462.47,445.96,420.75,409.29,397.52,388.34,389.14,384.22,380.15,379.03,379.11,381.65,380.88,376.62,378.87,370.24,373.18,371.69,368.87,377.82,376.00,383.78,372.54,373.59,375.54,374.38,370.57,367.15,370.43,370.19,370.46,370.10,376.04,378.78,376.78,384.48,390.05,392.01,393.63,401.86,415.75,409.75,416.44,414.16,418.07,414.65,410.35,408.15,403.17,411.88,L7
2000-01-17 22:06:11+00:00,383.13,366.64,378.62,403.14,439.11,458.00,463.62,471.44,464.36,451.96,428.45,417.37,404.23,392.05,390.53,385.43,383.19,381.95,380.62,381.19,380.50,378.52,381.15,372.99,376.20,376.56,373.04,378.87,375.72,381.99,372.00,371.93,372.20,371.46,365.67,362.54,366.13,366.21,366.47,366.47,374.01,377.37,377.03,384.64,390.05,392.01,393.63,401.86,415.75,409.75,416.44,414.16,418.07,414.65,410.35,408.15,403.17,411.88,L7
2000-02-09 22:12:19+00:00,383.13,366.64,378.62,403.14,428.60,449.25,463.62,467.31,461.17,452.54,432.51,422.60,410.13,398.84,396.94,390.30,386.95,387.40,388.83,381.19,380.85,378.90,384.45,378.98,380.37,379.64,378.30,384.39,379.89,385.36,376.47,374.75,375.38,373.46,367.75,364.90,368.64,368.40,369.32,369.60,376.18,379.14,379.13,386.04,391.59,394.08,395.80,403.28,415.85,411.71,418.47,416.54,419.35,416.93,412.31,412.12,407.02,411.88,L7
2000-03-12 22:12:09+00:00,383.13,366.64,378.62,403.14,428.60,438.49,468.60,465.57,452.34,453.80,437.37,428.09,418.35,404.48,402.80,394.86,390.56,391.44,395.18,388.18,386.46,387.62,390.20,391.24,390.99,389.61,388.72,393.57,388.89,387.04,384.18,381.43,381.45,377.66,371.90,367.51,371.15,371.44,372.81,375.16,380.58,383.28,385.00,390.14,395.61,398.06,402.88,404.79,411.25,413.68,420.31,422.13,421.92,418.78,416.39,414.21,409.05,405.24,L7
2000-03-21 22:06:01+00:00,392.71,391.50,390.82,428.28,421.19,439.05,460.82,463.91,452.04,455.08,444.85,433.94,424.48,410.01,403.67,395.38,394.05,394.83,397.05,389.78,388.76,390.77,395.07,395.81,393.78,391.34,390.64,390.78,386.00,386.33,385.68,381.37,379.89,377.39,372.83,369.14,371.20,371.80,371.72,376.49,381.37,383.69,386.21,391.43,395.86,398.98,404.51,404.66,411.02,411.27,418.03,419.78,421.37,419.62,417.34,414.56,407.77,398.01,L7
2000-04-13 22:11:54+00:00,392.71,402.70,388.24,445.78,410.18,431.46,457.58,463.66,453.17,456.76,449.00,438.13,427.03,415.33,409.36,399.59,397.86,398.86,401.16,395.11,392.81,395.27,402.02,405.20,403.01,400.98,400.44,396.83,391.12,390.21,388.43,382.87,380.10,377.37,373.10,370.40,370.56,372.08,372.69,377.75,382.29,385.06,387.60,392.19,397.70,400.40,407.36,407.98,413.20,412.88,419.83,420.64,421.28,420.63,418.36,416.16,410.43,400.09,L7
