dates,nzd0390-0000,nzd0390-0001,nzd0390-0002,nzd0390-0003,nzd0390-0004,nzd0390-0005,nzd0390-0006,nzd0390-0007,nzd0390-0008,nzd0390-0009,nzd0390-0010,nzd0390-0011,nzd0390-0012,nzd0390-0013,nzd0390-0014,nzd0390-0015,nzd0390-0016,nzd0390-0017,nzd0390-0018,nzd0390-0019,nzd0390-0020,nzd0390-0021,nzd0390-0022,nzd0390-0023,nzd0390-0024,nzd0390-0025,nzd0390-0026,nzd0390-0027,nzd0390-0028,nzd0390-0029,nzd0390-0030,nzd0390-0031,nzd0390-0032,nzd0390-0033,nzd0390-0034,nzd0390-0035,nzd0390-0036,nzd0390-0037,nzd0390-0038,nzd0390-0039,nzd0390-0040,nzd0390-0041,nzd0390-0042,nzd0390-0043,nzd0390-0044,nzd0390-0045,nzd0390-0046,nzd0390-0047,nzd0390-0048,nzd0390-0049,nzd0390-0050,nzd0390-0051,nzd0390-0052,nzd0390-0053,nzd0390-0054,nzd0390-0055,nzd0390-0056,nzd0390-0057,nzd0390-0058,nzd0390-0059,nzd0390-0060,nzd0390-0061,nzd0390-0062,nzd0390-0063,nzd0390-0064,nzd0390-0065,nzd0390-0066,nzd0390-0067,nzd0390-0068,nzd0390-0069,nzd0390-0070,nzd0390-0071,nzd0390-0072,nzd0390-0073,nzd0390-0074,nzd0390-0075,nzd0390-0076,nzd0390-0077,nzd0390-0078,nzd0390-0079,nzd0390-0080,nzd0390-0081,nzd0390-0082,nzd0390-0083,nzd0390-0084,nzd0390-0085,nzd0390-0086,nzd0390-0087,nzd0390-0088,nzd0390-0089,nzd0390-0090,nzd0390-0091,nzd0390-0092,nzd0390-0093,nzd0390-0094,nzd0390-0095,nzd0390-0096,nzd0390-0097,nzd0390-0098,nzd0390-0099,nzd0390-0100,nzd0390-0101,nzd0390-0102,nzd0390-0103,nzd0390-0104,nzd0390-0105,nzd0390-0106,nzd0390-0107,nzd0390-0108,nzd0390-0109,nzd0390-0110,nzd0390-0111,nzd0390-0112,nzd0390-0113,nzd0390-0114,nzd0390-0115,nzd0390-0116,nzd0390-0117,nzd0390-0118,nzd0390-0119,nzd0390-0120,nzd0390-0121,nzd0390-0122,nzd0390-0123,nzd0390-0124,nzd0390-0125,nzd0390-0126,nzd0390-0127,nzd0390-0128,nzd0390-0129,nzd0390-0130,nzd0390-0131,nzd0390-0132,nzd0390-0133,nzd0390-0134,nzd0390-0135,nzd0390-0136,nzd0390-0137,nzd0390-0138,nzd0390-0139,nzd0390-0140,nzd0390-0141,nzd0390-0142,satname
1999-07-02 21:59:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-07-18 22:00:25+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.26,,,,,,,,,,,,,,,,,,,,,L7
1999-08-03 22:00:32+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.46,341.46,334.44,,,344.96,352.95,362.38,356.77,341.03,328.76,332.99,322.89,323.17,325.38,323.96,328.14,326.71,341.89,339.40,338.06,353.47,360.17,354.51,364.49,364.36,345.79,352.20,L7
1999-09-04 22:00:09+00:00,325.14,,335.46,341.23,341.56,343.58,342.12,350.43,352.23,350.48,347.84,342.60,333.86,330.47,329.83,329.30,336.98,338.44,337.65,337.49,336.14,345.21,347.58,347.49,351.58,356.46,357.98,362.21,360.56,367.96,370.55,365.65,363.36,363.12,362.97,359.17,361.28,366.80,365.64,372.48,372.60,368.11,362.71,359.31,358.12,358.85,355.44,361.25,357.10,352.53,355.14,351.95,348.05,344.87,347.40,346.77,348.87,347.98,348.94,354.27,358.66,366.34,368.60,369.91,369.70,373.57,370.97,371.88,370.50,374.75,373.91,375.82,383.17,381.48,373.65,374.89,376.62,379.00,378.81,378.35,376.92,379.36,362.62,377.40,374.56,,372.31,375.62,383.87,384.41,392.39,381.14,377.19,378.34,376.68,378.88,378.08,372.17,370.71,381.04,382.56,382.91,381.50,382.62,386.36,388.98,381.00,382.95,381.21,379.00,376.30,371.18,370.62,364.40,364.73,348.80,351.77,349.96,360.47,363.19,352.27,356.81,361.33,358.21,349.16,336.02,335.65,328.12,329.37,329.65,335.88,333.94,335.65,340.56,338.94,337.38,348.40,352.82,352.47,359.23,362.26,343.57,353.49,L7
1999-10-22 22:00:04+00:00,324.06,329.81,336.20,341.28,341.12,339.54,339.24,346.72,348.60,347.69,344.41,341.72,331.63,333.71,334.00,337.45,342.52,344.02,345.50,346.23,345.69,348.11,354.04,356.38,357.21,362.68,362.33,366.05,367.07,370.70,371.34,368.73,369.71,369.94,364.92,362.64,363.36,367.16,369.60,375.81,374.08,373.46,367.77,364.79,362.85,363.80,362.25,363.40,363.00,360.23,359.56,358.79,355.88,354.93,357.73,357.64,359.90,358.57,358.00,362.58,367.04,372.91,375.79,378.34,378.70,381.52,380.45,381.66,378.43,379.91,377.00,381.47,384.29,386.96,381.38,380.28,381.34,386.58,386.11,384.26,378.94,383.10,370.05,383.94,380.22,386.15,376.68,380.78,384.28,385.00,390.01,390.98,383.64,381.79,382.28,381.91,381.28,377.25,376.32,382.79,384.71,383.75,383.57,386.77,387.06,388.18,385.04,386.97,382.95,382.48,379.30,375.27,371.21,366.98,363.59,353.09,354.40,355.07,361.86,364.54,356.50,358.32,362.13,358.87,350.99,340.88,336.93,330.29,331.50,331.62,337.83,337.34,338.51,342.35,341.52,339.82,350.42,353.95,351.88,358.88,362.12,346.66,352.70,L7
1999-12-09 22:00:09+00:00,325.04,329.06,336.20,343.89,343.22,341.44,340.50,345.28,346.90,345.73,342.44,338.85,331.27,331.48,334.43,337.97,342.94,345.55,346.68,346.49,346.54,346.17,352.31,354.04,355.01,358.92,360.28,364.08,364.64,367.69,369.19,365.93,367.80,368.15,363.21,360.91,362.17,363.73,367.60,372.89,372.13,370.09,364.91,361.94,360.10,359.13,358.90,357.77,360.44,358.77,357.93,356.95,355.48,355.05,355.88,354.73,356.78,354.82,356.18,360.29,364.61,365.99,373.05,376.15,376.93,378.84,378.88,378.32,375.70,375.67,372.29,377.18,377.44,383.69,377.53,377.20,377.11,382.86,380.24,378.85,375.94,379.30,371.50,378.85,373.49,372.13,373.34,375.11,376.59,377.97,383.37,387.88,381.56,377.73,378.09,377.70,375.68,371.77,371.91,378.05,380.30,378.27,379.98,381.65,383.86,382.02,381.95,381.31,379.00,376.44,373.73,369.51,364.88,363.06,360.47,351.85,353.40,355.20,359.84,362.34,356.61,355.19,360.15,356.77,347.42,339.00,335.15,330.12,330.06,329.52,338.65,337.60,337.03,340.78,339.98,338.70,348.99,352.17,348.25,355.77,362.13,343.61,351.07,L7
1999-12-25 22:00:04+00:00,323.17,329.06,331.57,342.72,341.19,340.19,339.44,343.38,345.94,344.05,341.06,338.00,331.05,332.23,334.05,337.39,342.90,345.17,344.63,344.87,345.27,344.91,350.78,352.23,353.63,357.13,359.16,362.31,363.29,366.98,367.42,363.48,365.62,366.33,361.30,360.02,360.87,362.25,366.30,371.32,369.31,367.36,363.64,360.67,358.43,357.25,357.06,357.22,359.63,358.81,360.07,356.72,355.91,353.06,353.86,353.38,355.73,354.69,355.46,358.28,363.38,364.90,372.46,375.15,374.75,377.27,375.61,375.81,374.71,374.28,371.01,374.43,374.27,380.73,374.49,373.00,374.55,381.50,378.59,375.74,373.98,377.85,372.12,377.89,370.67,369.39,370.82,371.81,373.58,375.34,380.99,386.06,380.30,376.99,375.23,375.44,373.31,370.67,369.65,377.31,378.45,376.30,378.91,379.27,381.91,379.09,378.43,378.46,376.54,374.72,369.87,367.13,363.31,361.56,357.27,352.41,353.91,355.50,358.06,362.10,357.79,355.06,358.73,356.45,346.98,339.92,335.54,330.49,329.84,330.76,339.67,338.90,335.87,340.94,340.20,339.44,349.26,351.94,348.71,356.25,363.07,342.87,350.81,L7
2000-01-26 22:00:02+00:00,321.14,323.98,330.29,341.06,340.01,339.65,338.69,342.90,346.47,345.14,341.87,338.85,332.43,332.88,334.34,337.59,342.55,345.95,345.08,345.30,344.95,344.82,351.54,352.49,353.42,356.22,358.27,361.87,362.63,366.82,366.83,362.75,364.64,365.22,360.52,359.86,359.89,361.18,365.02,370.48,368.87,367.97,363.34,360.32,357.81,356.32,356.17,356.20,358.62,357.76,358.90,356.93,355.02,352.89,353.55,352.87,354.21,354.82,355.32,359.11,363.28,365.64,371.86,374.73,372.89,376.82,374.68,374.68,373.08,373.65,370.69,373.65,374.26,380.83,374.89,371.77,373.93,380.43,377.88,374.45,373.15,376.22,378.18,376.16,370.34,369.92,368.95,371.50,374.27,376.21,381.23,385.62,380.54,375.81,373.53,373.07,370.35,369.30,369.23,375.23,378.16,374.85,379.64,378.63,379.85,378.75,377.89,378.47,375.00,373.56,369.15,366.98,362.34,360.79,358.45,354.00,355.47,357.23,357.97,361.57,356.87,354.46,355.77,355.52,347.31,340.78,335.88,332.35,330.82,331.40,340.76,340.62,337.66,341.68,340.92,340.56,350.63,352.63,349.75,358.45,364.87,346.86,353.19,L7
2000-02-11 21:59:57+00:00,319.28,323.98,328.49,339.64,338.33,338.01,337.09,341.57,345.32,344.79,342.26,338.56,332.61,332.13,333.25,335.97,340.17,343.59,344.04,343.06,342.84,343.43,348.61,350.17,351.99,355.20,357.35,360.14,361.07,365.18,365.70,361.18,361.81,363.02,358.32,357.54,356.06,358.52,362.79,368.21,366.23,365.32,360.60,357.06,354.43,353.83,353.24,352.53,354.52,355.46,356.38,353.66,351.69,350.71,350.56,349.66,351.46,352.38,353.48,355.47,359.38,361.54,368.10,371.41,369.65,373.36,372.28,370.84,369.72,371.27,368.05,371.35,371.73,376.96,371.64,366.79,370.62,376.60,374.41,372.03,369.99,372.19,374.33,372.55,369.22,364.42,363.64,364.75,372.48,374.33,378.75,382.07,376.02,371.57,369.77,369.47,367.34,366.18,365.88,371.30,374.74,372.74,375.82,375.63,375.95,373.56,371.88,373.78,370.77,369.03,366.11,364.37,359.35,355.65,354.75,353.78,353.45,357.68,353.38,355.99,355.43,350.21,351.91,350.61,345.19,341.12,333.54,331.44,329.66,329.32,340.03,338.99,335.71,337.13,338.35,337.60,345.30,346.53,345.35,354.89,361.41,342.29,349.90,L7
2000-02-27 21:59:52+00:00,318.36,323.98,327.12,338.97,337.09,336.42,335.97,341.22,345.48,344.75,342.02,338.62,332.56,331.99,332.49,335.35,339.38,342.62,343.90,342.74,342.58,342.95,347.11,348.74,351.38,354.71,356.37,359.54,360.69,364.76,365.10,360.73,360.90,361.01,356.74,356.80,355.89,358.15,361.97,366.39,365.47,364.34,359.96,356.24,353.02,352.33,350.52,350.75,352.05,353.85,355.17,352.17,350.68,350.86,350.62,349.12,351.03,352.82,353.79,355.08,358.04,360.72,366.21,369.93,367.44,371.59,370.90,370.16,369.35,369.90,367.33,370.52,371.45,375.73,370.36,366.41,369.22,375.52,373.53,371.38,369.82,371.78,374.05,371.02,368.46,361.86,362.13,362.75,371.34,373.06,377.68,380.66,374.40,371.09,368.82,368.67,366.94,365.34,365.70,370.47,373.41,371.13,374.93,374.20,374.15,372.30,371.06,372.98,369.73,368.57,364.72,363.99,358.97,355.20,354.21,353.09,353.59,356.40,352.40,355.09,353.35,349.04,350.68,348.62,342.48,339.28,332.38,331.13,328.46,327.90,337.64,337.05,334.08,336.11,337.08,336.04,343.33,345.13,343.83,353.62,360.00,340.41,348.43,L7
