dates,satname,nzd0390-0000,nzd0390-0001,nzd0390-0002,nzd0390-0003,nzd0390-0004,nzd0390-0005,nzd0390-0006,nzd0390-0007,nzd0390-0008,nzd0390-0009,nzd0390-0010,nzd0390-0011,nzd0390-0012,nzd0390-0013,nzd0390-0014,nzd0390-0015,nzd0390-0016,nzd0390-0017,nzd0390-0018,nzd0390-0019,nzd0390-0020,nzd0390-0021,nzd0390-0022,nzd0390-0023,nzd0390-0024,nzd0390-0025,nzd0390-0026,nzd0390-0027,nzd0390-0028,nzd0390-0029,nzd0390-0030,nzd0390-0031,nzd0390-0032,nzd0390-0033,nzd0390-0034,nzd0390-0035,nzd0390-0036,nzd0390-0037,nzd0390-0038,nzd0390-0039,nzd0390-0040,nzd0390-0041,nzd0390-0042,nzd0390-0043,nzd0390-0044,nzd0390-0045,nzd0390-0046,nzd0390-0047,nzd0390-0048,nzd0390-0049,nzd0390-0050,nzd0390-0051,nzd0390-0052,nzd0390-0053,nzd0390-0054,nzd0390-0055,nzd0390-0056,nzd0390-0057,nzd0390-0058,nzd0390-0059,nzd0390-0060,nzd0390-0061,nzd0390-0062,nzd0390-0063,nzd0390-0064,nzd0390-0065,nzd0390-0066,nzd0390-0067,nzd0390-0068,nzd0390-0069,nzd0390-0070,nzd0390-0071,nzd0390-0072,nzd0390-0073,nzd0390-0074,nzd0390-0075,nzd0390-0076,nzd0390-0077,nzd0390-0078,nzd0390-0079,nzd0390-0080,nzd0390-0081,nzd0390-0082,nzd0390-0083,nzd0390-0084,nzd0390-0085,nzd0390-0086,nzd0390-0087,nzd0390-0088,nzd0390-0089,nzd0390-0090,nzd0390-0091,nzd0390-0092,nzd0390-0093,nzd0390-0094,nzd0390-0095,nzd0390-0096,nzd0390-0097,nzd0390-0098,nzd0390-0099,nzd0390-0100,nzd0390-0101,nzd0390-0102,nzd0390-0103,nzd0390-0104,nzd0390-0105,nzd0390-0106,nzd0390-0107,nzd0390-0108,nzd0390-0109,nzd0390-0110,nzd0390-0111,nzd0390-0112,nzd0390-0113,nzd0390-0114,nzd0390-0115,nzd0390-0116,nzd0390-0117,nzd0390-0118,nzd0390-0119,nzd0390-0120,nzd0390-0121,nzd0390-0122,nzd0390-0123,nzd0390-0124,nzd0390-0125,nzd0390-0126,nzd0390-0127,nzd0390-0128,nzd0390-0129,nzd0390-0130,nzd0390-0131,nzd0390-0132,nzd0390-0133,nzd0390-0134,nzd0390-0135,nzd0390-0136,nzd0390-0137,nzd0390-0138,nzd0390-0139,nzd0390-0140,nzd0390-0141,nzd0390-0142
1999-07-02 21:59:57+00:00,L7,,,,433.50,,,,,,,,,,,,,,,,,,,,635.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.98,562.09,,,,,,,,,,,,,,,,,,,,,,,,,340.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.24,
1999-07-18 22:00:25+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.31,,,,,,,,,,,,,,,,,,,,
1999-08-03 22:00:32+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.60,332.84,325.24,,,336.84,345.28,344.24,348.65,334.13,321.86,326.42,315.99,316.60,319.38,316.70,321.57,320.71,336.96,335.57,334.00,348.87,356.54,348.24,356.82,353.74,334.29,338.40
1999-09-04 22:00:09+00:00,L7,321.98,,332.73,338.07,338.23,340.42,339.72,347.82,349.50,347.98,345.11,339.60,330.86,327.86,326.97,326.30,333.98,335.58,334.92,334.33,333.53,342.60,345.08,345.49,349.18,353.96,355.12,359.35,357.03,364.63,367.39,362.49,360.75,360.62,360.47,356.17,359.06,364.30,363.77,369.98,370.20,364.78,359.55,356.31,355.12,355.99,352.71,358.52,354.60,350.22,352.53,349.55,345.65,342.80,345.26,345.27,347.16,346.31,346.33,351.77,356.16,363.61,366.10,367.77,367.48,371.43,368.97,369.66,368.36,372.14,371.18,372.82,380.56,378.62,370.32,372.03,373.46,376.00,375.81,375.19,373.92,376.20,377.42,374.40,370.81,,368.78,371.33,379.25,380.12,388.10,377.61,374.19,375.48,373.82,375.72,374.75,369.01,367.55,377.88,379.03,379.58,377.97,379.29,382.61,384.98,377.67,380.09,377.88,375.84,373.30,368.02,367.29,361.24,361.40,355.85,358.34,361.48,356.47,359.44,356.06,357.34,356.06,356.12,354.29,340.29,335.46,330.35,332.71,331.32,344.65,336.89,341.98,337.09,336.80,334.94,341.34,343.89,347.69,350.64,355.54,336.35,348.78
1999-10-22 22:00:04+00:00,L7,328.98,334.19,342.12,347.33,347.01,341.51,340.91,347.97,350.15,349.65,346.16,346.53,335.10,341.91,343.60,351.30,353.76,355.04,358.53,360.96,360.21,355.97,365.25,369.06,367.40,373.65,372.10,375.33,380.29,379.78,378.12,377.80,381.02,381.52,371.61,371.82,369.65,372.28,377.11,383.88,380.11,385.13,378.84,375.97,373.28,374.17,374.25,370.73,373.64,372.30,368.93,370.19,368.26,368.92,372.13,371.36,374.20,372.33,372.01,375.64,380.16,384.66,387.72,390.84,391.93,393.54,393.72,395.66,390.42,390.03,385.28,392.81,390.37,397.87,395.44,391.10,392.06,399.86,399.10,396.17,386.66,392.83,393.03,396.18,392.99,392.15,387.75,394.08,393.47,393.74,395.77,407.52,395.80,390.67,393.32,390.94,390.82,388.34,387.94,390.54,393.57,390.93,392.35,397.26,394.87,394.98,395.42,396.42,391.03,391.95,387.99,385.37,378.12,375.55,368.77,369.82,366.78,372.90,370.85,373.02,371.65,367.67,370.55,366.90,360.35,356.30,344.91,340.34,341.19,340.50,347.73,349.56,349.20,350.00,349.85,348.04,358.24,359.20,355.89,364.52,370.61,362.34,362.53
1999-12-09 22:00:09+00:00,L7,328.05,329.07,,350.17,348.52,346.27,343.84,343.28,344.42,342.65,339.40,334.13,331.56,327.90,336.25,340.00,344.79,349.55,349.95,348.07,349.11,343.15,349.67,350.03,351.41,352.23,357.15,361.07,360.96,362.78,365.96,361.38,364.84,365.40,360.62,358.43,360.54,357.69,364.25,367.89,369.04,364.48,360.22,357.25,355.59,350.75,353.11,347.41,356.16,356.64,355.54,354.07,355.48,355.97,352.90,349.40,351.11,347.89,353.43,356.55,360.60,353.07,368.42,372.47,374.12,374.19,376.43,372.38,370.96,368.06,363.76,369.60,364.61,378.09,370.95,372.00,369.70,376.42,369.52,369.08,370.94,372.75,377.31,369.68,361.29,359.17,367.85,365.20,362.73,365.34,371.52,382.87,378.40,370.56,370.65,370.32,365.57,361.85,364.14,369.63,372.66,368.40,373.98,372.51,378.73,371.02,376.86,370.95,372.20,365.43,363.60,359.04,353.33,356.27,355.35,349.53,351.65,356.90,357.12,359.18,358.14,346.93,353.25,351.64,337.72,334.35,330.77,330.59,326.70,324.10,342.15,339.32,333.45,336.77,335.92,335.95,345.39,347.38,338.28,347.56,363.72,336.13,348.17
1999-12-25 22:00:04+00:00,L7,313.56,,318.87,335.18,330.87,332.44,333.21,334.39,339.59,335.84,333.49,331.63,326.57,331.15,329.26,331.88,338.96,340.40,335.04,336.00,338.15,337.84,343.03,344.26,346.45,348.61,352.16,353.41,354.77,360.60,358.09,352.15,355.79,357.70,352.41,353.56,354.14,354.66,360.00,363.46,357.81,354.93,355.84,353.06,349.62,347.98,348.08,352.11,354.03,355.98,363.21,353.00,354.18,344.49,345.09,347.45,350.38,352.18,349.98,349.06,356.50,358.18,367.52,369.47,365.41,369.84,363.25,365.48,369.02,366.80,363.72,362.40,361.45,368.23,361.15,356.76,362.88,373.60,369.82,362.41,364.30,369.52,369.16,371.19,357.47,359.89,358.78,356.49,358.72,362.01,368.42,376.14,372.71,371.13,363.03,364.69,362.01,363.36,358.87,371.09,368.44,366.19,371.23,367.93,371.30,365.25,363.67,366.29,364.95,365.55,354.47,355.99,354.38,353.05,343.44,349.22,351.20,351.64,347.65,356.63,358.02,350.30,347.63,350.70,341.42,339.79,333.48,328.17,325.35,332.40,339.77,340.48,327.92,338.86,338.98,340.14,347.79,349.03,347.11,353.93,360.97,333.58,342.17
2000-01-26 22:00:02+00:00,L7,304.71,307.75,319.27,326.13,326.52,329.20,329.36,334.11,341.43,342.92,337.90,334.37,330.07,328.62,328.01,330.48,333.27,341.55,339.67,338.72,336.81,337.60,348.02,348.29,346.27,345.98,347.20,352.58,350.68,357.44,356.18,351.50,353.83,354.21,350.80,351.33,350.16,350.32,354.97,360.52,360.78,361.62,353.84,351.03,347.43,345.11,345.44,344.96,347.98,347.48,347.32,351.46,345.14,346.74,346.68,346.85,343.66,350.93,347.90,355.87,356.29,361.39,362.86,367.39,359.57,369.38,365.71,364.32,360.95,364.25,362.26,362.64,367.36,373.70,367.71,359.32,363.11,368.29,367.16,360.97,361.94,361.39,362.56,361.33,359.11,363.19,352.17,358.95,364.89,368.38,370.90,374.54,373.61,363.57,359.22,355.26,349.73,355.49,359.20,358.60,367.72,360.27,373.25,367.26,361.72,366.83,366.95,370.96,360.06,360.58,358.39,358.07,349.67,349.42,354.42,350.68,353.38,355.35,347.09,349.59,342.96,342.67,347.18,341.60,341.06,337.20,330.02,333.78,328.17,327.75,337.85,341.69,339.77,339.75,340.11,341.49,352.21,351.88,347.73,360.66,361.72,353.64,349.29
2000-02-11 21:59:57+00:00,L7,302.62,,314.92,325.19,322.15,322.40,323.52,328.81,333.23,337.22,337.86,330.07,326.51,322.33,321.12,320.84,321.24,325.15,332.50,324.46,326.21,330.40,328.10,333.90,339.25,344.27,346.10,344.83,345.05,349.20,352.66,345.97,341.57,346.16,341.52,338.92,331.69,339.34,347.28,351.06,347.42,344.29,339.52,333.71,330.51,334.70,332.22,327.83,328.19,338.59,337.72,331.69,329.42,334.99,330.60,330.14,333.72,336.34,338.18,331.41,334.04,334.70,343.47,349.82,348.28,351.06,355.62,346.44,347.90,353.28,348.45,352.83,352.99,350.94,347.62,335.25,346.74,350.42,350.04,352.55,347.19,344.65,345.07,347.51,354.87,335.06,328.89,320.98,352.75,354.95,356.36,356.11,346.39,343.70,344.30,344.09,344.46,343.24,341.77,344.27,349.38,354.42,348.48,352.87,347.70,338.27,334.04,343.66,341.84,339.02,343.93,343.93,336.65,322.56,328.47,326.16,320.62,327.79,321.11,319.33,328.12,319.66,321.01,319.08,321.27,323.77,312.31,310.44,309.54,306.83,312.22,311.71,308.88,309.58,320.09,316.22,316.81,319.90,321.78,335.38,332.85,306.72,318.48
2000-02-27 21:59:52+00:00,L7,309.48,,317.36,331.54,326.10,323.54,326.65,336.34,343.51,341.79,337.67,335.80,329.03,328.35,324.85,328.45,331.46,333.75,340.17,337.47,338.21,337.25,335.46,338.03,345.16,349.12,347.39,352.85,354.62,358.63,358.10,354.63,352.70,346.29,344.61,349.19,352.49,353.32,355.07,352.76,358.39,354.89,352.74,348.18,341.37,340.28,331.30,337.18,334.60,341.71,345.11,340.66,342.05,349.55,348.68,344.27,346.57,353.68,352.85,350.11,347.34,352.89,352.21,358.74,351.81,358.72,360.46,363.73,364.83,358.93,360.14,362.35,367.02,365.31,359.10,361.05,357.41,365.88,365.08,364.09,365.59,365.97,367.78,358.66,359.94,345.71,349.29,346.20,359.57,360.86,366.71,368.43,361.48,365.20,360.06,360.50,361.00,356.92,361.27,362.13,361.66,357.90,365.86,362.06,359.34,360.50,362.59,365.17,359.95,362.45,353.19,358.35,353.09,349.16,347.36,344.36,350.44,344.46,342.27,345.69,337.08,338.47,339.91,332.91,323.08,325.08,322.38,326.07,318.19,316.61,319.97,322.33,321.55,327.74,327.72,324.77,329.42,335.03,331.77,342.39,346.62,323.80,333.16
