,dates,nzd0300-0000,nzd0300-0001,nzd0300-0002,nzd0300-0003,nzd0300-0004,nzd0300-0005,nzd0300-0006,nzd0300-0007,nzd0300-0008,nzd0300-0009,nzd0300-0010,nzd0300-0011,nzd0300-0012,nzd0300-0013,nzd0300-0014,nzd0300-0015,nzd0300-0016,nzd0300-0017,nzd0300-0018,nzd0300-0019,nzd0300-0020,nzd0300-0021,nzd0300-0022,nzd0300-0023,nzd0300-0024,nzd0300-0025,nzd0300-0026,nzd0300-0027,nzd0300-0028,nzd0300-0029,nzd0300-0030,nzd0300-0031,nzd0300-0032,nzd0300-0033,nzd0300-0034,nzd0300-0035,nzd0300-0036,nzd0300-0037,nzd0300-0038,nzd0300-0039,nzd0300-0040,nzd0300-0041,nzd0300-0042,nzd0300-0043,nzd0300-0044,nzd0300-0045,nzd0300-0046,nzd0300-0047,nzd0300-0048,nzd0300-0049,nzd0300-0050,nzd0300-0051,nzd0300-0052,nzd0300-0053,nzd0300-0054,nzd0300-0055,nzd0300-0056,nzd0300-0057,nzd0300-0058,nzd0300-0059,nzd0300-0060,nzd0300-0061,nzd0300-0062,nzd0300-0063,nzd0300-0064
0,2000-01-26 21:59:38+00:00,154.92562429566428,141.04481873811363,147.15557427539466,,,143.379261969093,146.19283415274717,145.07668388053753,150.85016858943357,138.9950574975699,,127.58773611321982,,,,,,175.6628918252936,168.17642201876194,179.91542629486958,,,,,,,,145.51487133105715,,,155.3127777099627,149.57847196597456,133.16976725930226,113.47069406138715,,107.59845496933423,118.68939024956745,,161.33435483377843,152.57842515461203,162.50227606405477,168.76092831863474,146.66604068697472,149.35295486901617,,,,126.68225021337511,114.71953088097271,146.6888180919939,182.9718088654359,,173.20637295363548,153.27246410126924,133.77097542744437,,120.02722258259065,143.7201402100681,153.9559517241241,169.3545982874345,175.2179326963732,171.26299746813334,140.94667091324172,155.53329890634882,180.73778250403174
1,2000-03-14 21:59:23+00:00,161.59749268608994,,156.83411155458234,158.02753671556704,184.04949284160466,163.13189385147234,125.81259961178392,155.40351435352864,148.32913410505083,,,,,,4.457180443376545,48.56384307148603,,178.48538920787377,168.6196188257512,168.6037013625329,,,,,,98.55478687832432,131.3410047580763,128.83069780347657,122.61649934356241,123.16078779882382,149.81738401662943,130.7983427166252,136.4340104696858,109.80467116076464,,124.83997284233702,136.72335312928953,,158.66840316473275,156.33658181315428,144.72512768635232,148.59495071260818,130.4054949534506,152.449669189348,,,,128.57719671106327,126.22147127296499,148.3979015403405,161.71362962368636,143.63398197495985,135.23375195825653,132.8265049860306,122.54986734118532,,150.20163763281957,158.1879925490768,175.301807828091,176.53905843589564,186.83968912362388,177.57852971426763,152.9451708013354,177.6943457497677,204.1096846649723
2,2000-03-30 21:59:21+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2000-07-04 21:58:26+00:00,150.23218375384923,157.64687263538747,,,,156.31075779857298,131.1101984173812,151.29402652777745,143.3643065310298,142.5747981941531,124.2701060578677,123.84573535002471,107.11369216448364,94.29435165534997,50.90648957256754,82.2752902895049,74.82838350188784,,87.4665349973243,,100.88260525493804,98.56991235745014,98.90685857490848,139.14660165576456,134.61200759731,119.10538264855423,122.38932070071043,129.06425284437637,,94.19936800499566,,,,,38.268500527888655,,,45.3299642219182,,,,,70.894819396722,63.193087840649795,68.85242179170602,61.79612548356881,71.70984356728545,,,,137.21316785540031,135.01732457732737,117.65393012663435,100.54077047067877,,,,,,,,,87.2392916445059,,
4,2000-08-05 21:57:56+00:00,149.79507436187086,146.06786187529414,153.1490042150047,122.13184034089335,,,122.93385184405153,145.5889113323834,139.9501198145758,128.35346717171996,121.77799082650654,112.95013930845374,106.68767876646281,75.24322662705615,37.748592245390284,62.211694814656916,65.74552520473748,,77.80432559617023,89.35122813869918,89.98750649179229,84.48987537086202,97.50419966873778,118.71757094008846,124.1936877039362,111.45122846684473,104.32315267009693,116.32617302778823,109.44313839452252,84.87516360820555,,,,,12.348278241055148,,,49.775429927150384,,73.49204877611848,,,,61.31652908718473,73.33149507588372,52.26258205593261,58.96648310776195,,,,130.55789024422904,126.74770609042912,124.10284406199517,110.97906555136497,,,,,,172.50935614874808,,,67.60268701111725,,
5,2000-09-22 21:57:17+00:00,,,,99.29970163101133,158.26288060406418,176.19067573549606,,168.81977600859565,151.28714795920428,151.71805411390187,156.4725409583281,140.18745356219307,128.056579739993,85.13816010001973,,,86.7410956030817,,117.88465243184834,113.00643284522637,117.06040468383489,,,,,,,,,,,,97.29972314184339,,,,,148.8502236090036,,96.13595189264943,174.48138585975155,154.23811844025084,97.30812375648671,104.01424149197474,90.80513334890597,,,,,,148.2671112147479,137.60987410181983,139.06245597302797,129.82200943655877,122.10470602776579,,153.77186664777182,150.7815103917796,162.69119588683625,170.15804049916085,165.8281360489452,,108.27510942467993,155.69695613116673,
6,2000-11-25 21:57:10+00:00,,175.97895652575502,176.5267011198151,,173.6255495247293,178.18604931679482,174.7985854728047,176.647328182463,164.19984330305485,155.12119908130205,152.77892754037373,147.46387177783325,144.08762600185278,142.32795951228493,,,111.61124132676417,,,131.61712614278892,,142.75219660370016,,,155.5016915037266,155.21918544298566,149.21172982403885,144.5706423326403,151.3067138951874,136.03480338878825,158.50648491557064,139.22341957188513,143.1264580028737,150.79145275281215,,152.91914676902127,121.6028352812096,130.8821914028936,,123.88591309747,,,112.26560302729132,,88.56994381421673,97.99501652172961,,,,137.91725751651785,144.7610608214179,141.8063102411163,147.00223145157966,135.82829357479056,,127.21950337284035,,,,,,,,,
7,2000-12-11 21:57:12+00:00,148.3973995489344,142.09764003539297,,126.43677323630659,,,,,,119.75172386944129,,,,,91.47528984202923,87.10626053449322,,,,,93.19421993824456,105.69808130477026,117.59008211135934,133.094108864972,125.41004747439773,,,,,99.08558575652489,,110.98048793836689,108.51493524141245,,107.45810613285983,,,,,,,,77.83419364996008,,,,,,,,107.55505952326817,,,100.83565143246686,,,,,,,,,,,
8,2001-01-12 21:57:18+00:00,,,192.92106534325953,,183.5518272325075,182.6304025144935,170.53565102510382,173.92455628045565,170.29840075346402,,161.1247387187527,150.21973323727548,157.46056442012193,155.98880339389862,,,136.13369088700654,,133.8750258727417,131.77210419702476,,,,,,,149.7277327377022,150.87778211398683,149.87761006378278,,151.57299194823503,127.95057568819868,,128.9323280782062,,142.48731485912384,141.98091241908844,153.26128847397354,147.9503452621537,139.61730118080288,133.19946736489692,121.84675674224198,,104.44912795248729,,,111.22717890103746,,,141.32919001493548,,145.36572705710265,152.8738783656276,,138.89252141477914,145.57209327502892,147.62289150013984,142.7041260018981,148.5941788839454,161.25977659152176,154.61308640138068,,,159.1822347414124,175.2685981219733
9,2001-02-13 21:57:15+00:00,,,,,,202.26807706122776,192.508435697458,193.6591654596925,,,,,,,,,,,,,,,,,,,,,,,172.04190513518657,,,,,139.97730591084968,156.39308690539022,148.36928253559014,145.24627774406343,,154.91633613280683,129.47056044253827,,118.8360741719719,,,,116.18204758472771,116.22033923540768,160.577294960009,,169.15617968910828,167.71199064348576,,,,157.9593296186309,162.14233651376588,,,,202.7357836568458,,157.56429927783307,
