,dates,chi0394-0000,chi0394-0001,chi0394-0002,chi0394-0003,chi0394-0004,chi0394-0005,chi0394-0006,chi0394-0007,chi0394-0008,chi0394-0009,chi0394-0010,chi0394-0011,chi0394-0012,chi0394-0013,chi0394-0014,chi0394-0015,chi0394-0016,chi0394-0017,chi0394-0018,chi0394-0019,chi0394-0020,chi0394-0021,chi0394-0022,chi0394-0023,chi0394-0024,chi0394-0025,chi0394-0026,chi0394-0027,chi0394-0028,chi0394-0029,chi0394-0030,chi0394-0031,chi0394-0032,chi0394-0033,chi0394-0034,chi0394-0035,chi0394-0036,chi0394-0037,chi0394-0038,chi0394-0039,chi0394-0040,chi0394-0041,chi0394-0042,chi0394-0043,chi0394-0044,chi0394-0045,chi0394-0046,chi0394-0047,chi0394-0048,chi0394-0049,chi0394-0050,chi0394-0051,chi0394-0052,chi0394-0053,chi0394-0054,chi0394-0055,chi0394-0056,chi0394-0057,chi0394-0058,chi0394-0059,chi0394-0060,chi0394-0061,chi0394-0062,chi0394-0063,chi0394-0064,chi0394-0065,chi0394-0066,chi0394-0067,chi0394-0068
0,1986-02-04 14:07:35+00:00,,,239.77178862540458,285.6762283696693,290.3660268347169,,,,223.07335447052964,241.777336969296,223.19767054370922,202.51033529770078,176.5438476347267,164.05183133720882,153.43923917519732,159.7447321307172,168.21874813742528,169.1654585344884,173.39615307151863,178.9024522473614,172.53552049460697,182.36507510734722,178.6443351432111,187.0142135802958,201.15370137586902,208.71676699825895,210.01915901928342,197.2657693264139,196.7812454904709,184.8796949330129,187.34025392118704,189.5726634877233,185.5000308600306,189.72364341031076,193.2456951983369,196.51195036605208,,,196.93531720511285,201.99231750042262,203.28903577193526,213.15259989111206,217.42275347438115,204.9686839522724,206.71933134726194,206.762152347235,208.32951787553145,206.00969258546039,203.12499066450331,205.35757371762344,205.60338065266936,205.33223468710344,213.14347444877583,206.08029414267315,200.10619316958125,196.158477283295,196.98556298355237,187.29446427890704,197.94793712360777,186.73330558717396,195.75280893019078,203.36583095459983,201.76922180295085,,204.06863453590626,204.89261478890037,199.8127263943041,197.79694388782207,204.77542349725337
1,1986-08-15 14:02:17+00:00,,,,,,,,284.7956971427755,244.70616804254615,220.24079033016457,203.5648221410072,174.53484237363037,150.26306516744955,136.35207749481367,136.4308279957944,143.10369040780597,150.09180144242228,133.20566552749676,144.49567926292184,172.96251148162014,165.1406328894201,150.85997301041874,158.69475135182174,170.66032380667744,,177.7459916566886,193.9304530365487,187.97589718852777,173.63692495783735,157.29382877654731,181.96364865109115,171.99521699829907,166.5294047684673,,187.59789497635623,186.18422304491446,139.7981435704985,145.05505545674097,167.35044061350408,172.66300663470648,188.0676272700983,196.42253397537138,200.56977072462522,187.66539493174992,191.79700445060217,201.1236920355371,194.77990091802891,199.53742231230888,193.4366540450214,190.12781175117732,195.92305550903217,196.07981791966307,193.45249532890196,184.78665502763133,194.82363324698292,171.10040310535575,182.70579428560347,175.5200339310965,182.38713483444562,174.61528403706345,171.97850496620174,189.89045907111512,192.55457315330926,,197.1184138912481,195.50048553662012,,188.54557986432604,197.64790305627724
2,1986-12-21 13:59:37+00:00,,155.30874323990696,218.72836752863856,294.3894850361692,309.69424884681206,325.1015459876845,307.5401194397762,263.27886401264755,252.39141447306727,247.35462518594028,220.1440362109099,202.55686811253753,184.78816181798004,173.3848422150628,154.40958832818455,145.54299848701007,158.24646160657062,164.3265587631633,160.76064948593773,168.93999981184203,170.2988717457527,164.97696481450322,172.85128015263246,182.98237727459502,193.82778804958974,190.26258069824505,202.72375623427965,193.83063750337402,194.78867147566876,176.8775033926214,185.08715987713038,166.42491702671654,171.31150381166907,176.07779933056887,177.20360582274884,191.35876330280067,161.9664699697972,155.49663349829132,178.95337246778465,174.4025644233175,181.07679327836598,201.9649795034656,193.95194966706654,196.7217416125042,194.3274320052837,202.79441765840375,202.94840144728997,202.4814377959449,203.44112771412313,201.8060114007363,207.48810120506002,205.26651026162492,201.6453929192346,202.8733263124482,197.95417630638033,193.025323469029,193.0940501973488,192.69241805386915,194.85996362648675,186.60567728631446,186.60711351616771,202.23462482972144,193.3428385575784,199.66584736340334,191.9528098620364,201.35894672309954,193.42019229372238,190.70662015360733,195.9395617709741
3,1987-01-06 14:00:06+00:00,,181.84145364434457,229.74683708304804,283.3045419281941,311.21920257840765,356.13234863667907,301.8255139009843,267.9114714980558,252.62956124068916,251.83168883304472,220.50298874688679,201.1836990090277,173.6131779366893,161.89735073862133,154.55422390305904,151.49775844647348,163.3147979913733,161.74050016783906,159.17575137081718,156.98078300375343,153.5627476806414,161.94844179116964,171.9041031606057,177.0569322763685,192.8898402151847,195.8248945157782,196.63210799852257,186.19616793147344,185.261470767381,175.14013077738798,176.16728476651224,168.67282545201394,176.16009829923894,183.7585008781599,180.56488164321786,190.14564105143313,174.6571836550614,172.0305181870986,189.26271116372334,185.72920567540066,182.7200020677528,207.90629038240536,201.53555014964545,193.69571127118004,191.26291593118464,208.2477490095593,192.0608313406699,207.30061901374273,199.9377293053388,199.7607472516251,198.3209930195248,192.36604420641095,197.2873770676606,197.43356487335566,199.71852795629107,194.13728254655368,190.17449736646367,187.65919267387784,191.55272113802573,184.44748310884734,187.1124312322071,200.45695671732156,194.42239764882217,194.84972263261415,203.8185034580977,197.28050113921682,196.33111662261712,194.267862253123,198.9426337683436
4,1987-01-22 14:00:34+00:00,,194.97585785253068,252.44887125946678,296.5577276355607,305.5151001549184,312.6708240912836,299.49599310818826,256.91063394479454,252.1839237562809,281.43047813233363,236.8695318071056,192.77400720303146,166.7309267558811,157.45114639479803,152.35955982168582,142.12976518982683,145.40120540458554,158.67129918977687,165.85147462976764,152.68194365407228,164.09660364221395,157.22691490173918,160.06133453188684,169.70490736938913,187.3098720287349,192.24368536192316,198.5279119921503,183.24064466998604,188.93939165652822,171.36508441618355,181.99538614621244,168.51659155749667,171.04320813197512,180.61800532060573,178.84105394951223,193.9478175126796,185.42472025553383,189.6647589920756,192.1619406953034,198.8781834305797,190.6178558434629,203.4086854380437,198.7323829515577,197.20590834948632,182.13856573389003,205.8841946290045,208.27341425092644,193.01561170766922,196.23377078983935,199.79416824619926,204.19443064287015,205.72027248890313,199.3008846226524,199.95460160575826,195.96483876966408,191.44882602856998,195.9464488077652,191.93623452328154,193.45676133756632,181.30850367600635,188.604351691228,199.4336539977834,194.00466881903048,193.08981281944665,195.39348109616938,193.756326638765,195.54385416101152,193.65294415360384,209.56287597126268
5,1987-02-07 14:01:09+00:00,,222.319930463317,279.8864781513648,307.955567185785,316.9392101823621,319.3509998128136,299.23701712577997,283.39790485988703,283.3109680370457,278.09596353552223,,208.9987609496908,178.94061883918187,171.26391766871996,165.890967382126,148.99119702066145,163.8725091298975,166.26768283923394,173.95129069019603,169.04757127285362,162.60956236882996,179.56870461445885,176.46904443570102,184.02130800016252,195.13968240750344,197.80012742450762,203.84594414797715,193.46049290668938,192.75297399560577,181.0636471153693,183.4527181569016,184.8397451370174,191.64576504933993,184.67507268386169,185.61305651728105,200.80833799677134,203.74448750278177,210.69361282256975,207.910509367417,218.89896067196167,200.6098613621448,223.7660962945725,211.17514021934278,203.0389101852502,198.7971780088439,208.45023913133224,213.843866342564,207.0942492495748,203.88457997419096,201.29234570969962,206.9517023066036,197.4485862860833,204.9125688943911,199.49713480244017,205.86804303184252,201.74510513757647,198.47545955367747,198.08644242720905,199.33268312713142,192.68492131709996,190.72576220485772,201.51925179447898,198.66000997840308,199.98802145259253,205.2958615280668,206.0043914967033,197.88159135158162,200.18297513604358,208.62053293307022
6,1998-02-21 14:16:53+00:00,,,,225.97356754882426,261.0361600995039,281.25059565041033,,,168.89172131641283,159.93833155902902,175.01469647221822,189.9758369067812,192.63066009101092,185.7056478720602,185.32336901988222,164.89117560779306,165.064678567991,155.45971031989663,146.93664583622282,151.6003316521658,136.71979969876674,130.9901729264245,133.79604715855407,150.87974982372356,175.12712822765613,187.602468032643,190.8382583406494,184.47840924369402,177.3319822811402,168.22090827647403,169.51627077035667,168.72982275416902,170.23921518524526,173.4227299236655,180.56487072625745,203.69439194866607,237.36459117736734,239.11365469121466,246.6718507911748,,258.2792923357539,252.88896848425807,252.5439251202714,238.8378194771315,246.5515612900966,235.4358553858226,231.5699640008923,232.7151674338048,225.95378302751527,218.93266787401504,221.79513393133442,213.14129888275244,202.3514146634544,191.9953363737628,189.24210048401955,183.89680247265383,198.18392315945502,200.63752062121105,204.88053465767106,189.5794767217676,195.37588226847723,199.40505135885797,191.96634632688722,192.2308775713715,192.98169823069767,194.57018491562042,192.4704554189981,206.447364558645,213.8591713491163
7,1998-03-09 14:17:09+00:00,,,,252.53840577517158,272.00507558656324,275.5787306026465,280.9089056774815,246.38650687948078,204.99137789279024,199.75107474102555,206.01105363682123,199.53535435076597,198.33536930948063,184.88903692828373,191.46632860384258,183.3288637361164,182.2513810725974,169.29283787700558,165.2837651656971,161.25382041719678,152.5611401075437,139.08806998083125,147.39331827787368,155.98707246964318,178.17038758867778,189.9639896474693,200.84314588865632,193.48410251317688,187.10097596234255,185.74147138259804,194.08285217054873,175.2993010909719,172.71845551318057,181.7341857764421,183.83628197004143,204.93421786312646,252.632833060711,270.2072241700801,,,282.5066677411544,283.85849967093037,282.21117958250954,272.25283535978383,267.94063879836614,260.38656922409655,246.883091362647,244.56449905784388,241.41681318564346,229.7298525492032,229.349057983224,224.68144215209173,216.9274302731035,220.13628931992443,211.39655536037668,199.99633627472295,203.96657829283282,204.15178203448596,203.94380543582506,191.11370790387357,196.0786777321414,203.30368232186274,195.75589468042432,208.56127965529134,208.3460229096793,201.92256400842484,199.81074632519585,204.8451313457901,216.9235476491571
8,1998-03-25 14:17:23+00:00,288.9844459067061,268.19805774148415,,251.52258106589548,271.15405324622185,253.1900753984213,261.7045147133754,252.0364752895576,238.03201087809313,218.98396683583073,202.64014609987908,189.07382031417518,191.80857003395883,176.1185639325551,171.11436291692348,166.33858121597336,162.4096765025414,159.76463961063806,157.13207060591418,156.33236861866862,156.48624385304637,152.18659083535843,153.11783511950375,161.70734033945686,182.01292806211038,187.3207322827257,203.52953190752098,199.28796845160943,187.4190944355739,178.6853615034077,194.8606325700585,191.52729811115697,192.51312940765445,193.67874952876267,198.86051303408618,209.9919105060759,254.36562130920422,264.357219046175,,,273.54055008012114,269.55480949646073,259.824811805936,253.19208836277818,254.3830600489772,248.11220207559415,245.72918949366468,230.43477540606736,224.4467726114058,226.38732859475078,225.82945819147724,220.3166930185094,207.4084444042045,201.63242877234933,202.8436872913386,199.2940514586581,200.49174733669602,200.30844147139823,195.66617567568605,187.8264616669565,186.27268568577495,201.14895741671435,198.30878955365515,190.11502955359694,204.2815013218217,204.67213639986116,212.76009579723166,208.64645190957646,207.74400879042432
9,1998-09-17 14:19:26+00:00,266.0087504943468,269.1603054727099,282.50187209231075,234.57923788656896,,202.49324817748953,257.8124717101225,242.10294205914926,221.68112677906004,203.30654426153086,184.90382039723937,170.71139669585511,173.21697989252417,182.6730483627385,187.59519996285425,186.82958523182418,197.06194504175235,188.53178686526581,181.74219173674766,190.31540379888287,195.76569663158656,188.695556107105,208.5814894663624,204.1395843270986,203.78519481002195,200.3428460834126,208.51420667340358,197.52644321912996,193.676460511968,192.83533821530253,199.9729296572561,195.81471976629678,196.37731519475602,191.86856323407326,191.63497031445945,201.65482705624288,172.86686782964847,186.65045218899172,198.83230231420956,217.97104771449463,226.4796883514628,230.71310466990812,242.8991405118535,239.62126588919472,235.19565401064807,240.97254440383023,244.18593285302566,224.22259933232021,213.2868039144105,214.68051140951115,218.1286020231426,210.49850619377278,207.00370469463078,214.03479199689139,208.9448716170124,204.81230106662025,211.5569744692515,201.66258412264523,193.14097744365264,202.14417588890618,193.4289313484565,204.76429449230312,198.00593540084225,199.83727055856502,211.11509805737202,210.02276405018173,215.86273622663208,216.30246799305198,213.85493353286495
