dates,ber0001-0000,ber0001-0001,ber0001-0002,ber0001-0003,ber0001-0004,ber0001-0005,ber0001-0006,ber0001-0007,ber0001-0008,ber0001-0009,satname
1999-08-14 14:45:41+00:00,166.96,157.54,154.32,159.88,160.59,163.65,160.90,163.56,168.42,164.49,L7
2000-01-05 14:45:38+00:00,168.97,164.60,164.57,164.93,165.38,164.98,159.97,160.36,169.86,174.57,L7
2000-03-25 14:45:24+00:00,166.49,160.57,158.55,159.83,160.40,161.08,161.09,162.76,168.80,170.00,L7
2000-06-13 14:44:40+00:00,180.07,167.35,166.59,165.41,166.06,164.05,157.86,158.19,165.51,162.45,L7
2000-06-29 14:44:28+00:00,176.65,175.55,172.29,162.64,160.94,155.58,155.65,159.22,169.27,170.92,L7
2000-07-31 14:43:59+00:00,169.69,164.99,160.77,157.50,159.63,159.58,153.88,158.11,165.89,165.39,L7
2000-11-20 14:43:07+00:00,174.66,172.79,172.78,171.03,171.04,165.49,164.00,166.44,170.71,169.62,L7
2001-02-08 14:43:13+00:00,165.01,162.31,162.87,164.50,165.96,166.02,160.73,162.00,167.82,169.15,L7
2001-05-15 14:42:40+00:00,168.29,163.12,161.09,162.42,163.30,160.38,158.78,159.98,166.11,160.42,L7
2001-06-16 14:42:22+00:00,174.32,173.07,172.83,166.37,166.16,165.82,163.98,166.92,167.89,165.25,L7
2001-08-03 14:41:54+00:00,175.33,161.96,163.26,165.87,167.58,165.65,163.59,163.96,169.04,168.36,L7
2001-09-20 14:41:16+00:00,165.55,154.18,153.86,153.19,154.75,155.85,158.35,163.94,169.90,172.73,L7
2001-12-09 14:41:25+00:00,162.82,158.53,159.60,162.41,165.10,163.23,154.35,156.11,166.38,167.54,L7
2002-03-15 14:41:40+00:00,173.00,164.27,164.03,165.16,166.61,162.30,160.31,165.49,167.05,166.86,L7
2002-05-02 14:41:40+00:00,170.45,163.02,162.46,159.48,159.19,151.49,153.57,159.05,165.92,166.34,L7
2002-05-18 14:41:31+00:00,173.77,162.19,161.49,161.88,162.39,159.99,155.60,158.95,166.06,166.92,L7
2002-07-21 14:41:05+00:00,178.33,165.06,163.95,163.82,164.02,162.88,157.31,158.83,167.90,164.88,L7
2002-08-06 14:40:58+00:00,176.03,168.71,168.26,166.06,166.07,164.27,157.77,158.58,167.61,174.20,L7
2002-08-22 14:40:54+00:00,173.34,158.71,156.93,156.97,159.07,158.95,149.51,150.57,143.11,140.77,L7
2002-09-23 14:40:35+00:00,157.89,144.11,143.42,143.99,143.02,140.42,139.33,149.14,157.12,157.91,L7
2002-11-26 14:41:01+00:00,175.57,165.38,165.21,163.22,163.05,160.71,146.90,143.67,154.63,154.72,L7
2003-04-03 14:41:33+00:00,165.80,160.54,159.32,162.25,163.56,160.35,159.18,164.31,164.84,162.56,L7
2003-04-19 14:41:33+00:00,165.34,151.03,150.79,152.79,152.57,155.86,157.48,161.28,160.57,158.17,L7
2003-05-05 14:41:34+00:00,157.25,152.19,151.95,152.03,152.36,152.74,153.60,157.23,159.19,160.20,L7
2003-08-01 14:29:32+00:00,172.69,161.18,161.70,164.57,165.86,167.65,168.96,172.64,172.21,174.17,L5
2003-08-17 14:29:50+00:00,177.87,160.76,159.43,160.99,165.17,162.98,165.07,169.85,172.25,172.31,L5
2003-08-25 14:41:12+00:00,169.28,163.75,164.34,165.38,164.50,162.18,157.76,157.63,164.46,163.23,L7
2003-09-02 14:30:06+00:00,168.07,166.24,166.88,166.90,169.41,162.25,161.55,166.57,167.49,166.48,L5
2003-09-18 14:30:22+00:00,169.42,164.49,164.42,166.00,170.81,163.70,164.86,168.77,169.79,169.60,L5
2003-10-20 14:30:47+00:00,174.58,163.50,163.65,163.91,167.22,159.99,156.68,159.34,163.59,164.65,L5
2003-10-28 14:41:13+00:00,173.17,157.65,156.47,159.15,159.16,155.40,156.08,163.99,171.02,174.15,L7
2003-11-13 14:41:22+00:00,171.96,159.02,156.75,156.15,155.67,154.34,152.61,160.50,171.54,175.49,L7
2003-12-31 14:41:43+00:00,170.36,164.88,164.75,165.61,166.26,164.45,157.66,158.29,166.13,169.26,L7
2004-03-04 14:41:59+00:00,169.98,167.09,165.62,167.63,170.09,170.25,170.70,171.60,172.47,167.41,L7
2004-04-21 14:41:55+00:00,163.12,155.34,153.10,158.83,163.45,161.07,155.98,157.54,160.34,160.32,L7
2004-05-07 14:42:00+00:00,163.55,161.17,160.53,159.70,155.89,154.52,156.01,160.32,164.01,165.17,L7
2004-09-28 14:41:24+00:00,161.95,156.88,156.67,157.24,157.09,156.91,157.12,159.32,166.83,167.67,L7
2005-04-08 14:42:25+00:00,172.28,169.09,169.77,171.33,171.12,166.36,165.84,166.66,169.98,168.09,L7
2005-04-24 14:42:22+00:00,163.00,144.23,137.47,135.38,131.92,134.83,139.34,154.64,158.97,153.35,L7
2005-10-09 14:40:51+00:00,,,,,149.71,143.03,143.65,150.99,,153.24,L5
2005-11-18 14:42:19+00:00,168.47,160.55,160.79,161.10,159.92,157.34,158.75,163.73,170.94,173.76,L7
2006-04-19 14:44:34+00:00,151.74,148.32,147.09,151.80,151.81,148.26,146.86,152.14,155.61,154.40,L5
2006-04-27 14:42:50+00:00,163.23,159.27,158.54,161.25,162.14,160.26,159.79,161.70,164.31,159.92,L7
2006-05-21 14:44:59+00:00,161.00,159.35,155.42,155.24,154.31,152.70,153.44,154.92,154.17,151.03,L5
2006-09-18 14:42:19+00:00,168.94,166.48,164.97,165.14,166.04,165.85,164.24,163.75,167.44,166.40,L7
2006-09-26 14:46:44+00:00,167.07,161.54,161.64,163.34,164.38,164.50,166.59,171.19,172.90,175.40,L5
2006-11-05 14:42:37+00:00,161.78,154.33,154.56,154.93,153.03,152.38,153.49,158.24,166.65,167.71,L7
2007-04-30 14:43:16+00:00,164.23,161.23,160.85,162.01,162.64,161.90,162.36,163.37,166.29,165.95,L7
2007-05-24 14:47:12+00:00,166.67,164.06,161.19,159.87,159.88,157.28,158.24,159.84,160.33,158.50,L5
2007-06-25 14:46:40+00:00,170.82,169.76,164.75,163.08,165.18,159.22,157.78,158.25,160.16,158.26,L5
2007-11-08 14:42:52+00:00,166.35,159.79,159.14,159.03,159.04,157.98,155.30,158.22,167.69,170.31,L7
2007-12-10 14:43:06+00:00,172.92,166.43,166.39,165.45,164.82,162.68,158.36,160.06,167.79,169.66,L7
2008-06-03 14:42:39+00:00,175.09,172.28,166.56,162.85,162.37,159.59,157.02,158.75,164.00,163.04,L7
2008-10-09 14:41:23+00:00,176.64,173.17,172.70,168.46,167.94,164.62,157.13,157.47,165.19,165.43,L7
2009-04-19 14:43:10+00:00,176.63,167.78,167.12,160.96,156.68,154.52,152.13,154.22,154.48,152.07,L7
2009-05-21 14:43:15+00:00,178.80,167.68,167.08,164.47,162.83,159.30,156.00,155.86,163.18,163.32,L7
2009-08-09 14:42:59+00:00,170.55,155.56,152.17,150.35,151.99,153.19,150.36,157.80,159.53,159.77,L7
2009-08-25 14:42:59+00:00,164.56,161.69,154.61,157.65,158.07,157.55,150.60,157.95,161.12,162.55,L7
2009-10-12 14:42:54+00:00,170.54,168.94,169.31,171.10,171.77,165.72,163.82,165.03,171.73,172.40,L7
2010-03-21 14:44:58+00:00,162.89,162.26,162.66,162.81,164.00,167.31,169.61,171.58,169.11,163.39,L7
2010-04-06 14:45:01+00:00,163.95,159.42,157.09,156.83,159.50,161.85,164.27,164.36,162.01,157.57,L7
2010-06-25 14:44:59+00:00,169.73,161.64,161.83,162.81,164.84,164.85,162.78,162.47,161.67,158.46,L7
2010-11-16 14:45:33+00:00,173.63,167.10,166.06,168.58,169.42,165.23,159.08,158.85,163.26,161.61,L7
2010-12-18 14:45:51+00:00,164.78,161.65,162.41,164.64,166.09,164.12,160.75,161.06,160.91,157.03,L7
2011-01-19 14:46:08+00:00,162.05,155.41,155.38,159.58,160.95,163.14,163.13,164.18,166.75,165.04,L7
2011-03-24 14:46:23+00:00,163.66,158.45,156.19,156.52,159.71,157.81,158.00,159.23,155.72,155.19,L7
2011-04-25 14:46:25+00:00,171.71,166.15,165.01,165.78,165.75,164.62,164.95,167.01,165.23,164.87,L7
2011-11-03 14:46:12+00:00,164.60,153.45,151.09,156.65,156.65,150.16,148.62,149.53,149.97,149.84,L7
2012-01-06 14:46:50+00:00,161.50,159.79,160.59,161.20,161.64,159.38,154.55,156.24,163.90,165.01,L7
2012-02-07 14:46:55+00:00,169.98,168.12,168.16,168.13,168.13,164.69,161.17,165.41,170.33,170.75,L7
2012-08-01 14:47:45+00:00,174.35,160.52,160.32,160.01,158.23,155.89,150.71,153.59,156.18,155.74,L7
2012-10-20 14:48:36+00:00,173.48,165.51,167.12,169.62,170.32,163.15,160.91,169.00,169.66,163.39,L7
2012-11-05 14:48:39+00:00,174.51,168.04,168.84,167.35,166.59,163.35,161.70,164.29,170.18,170.54,L7
2013-01-24 14:49:00+00:00,170.24,161.69,161.17,161.74,162.59,159.67,154.52,156.00,158.22,157.36,L7
2013-02-09 14:49:01+00:00,173.52,162.90,163.86,165.23,166.20,164.62,159.50,161.98,168.96,168.92,L7
2013-03-29 14:48:51+00:00,161.49,151.82,151.74,157.65,157.77,155.20,156.16,160.30,160.64,159.62,L7
2013-05-16 14:48:41+00:00,182.04,168.89,167.80,168.91,170.55,169.64,168.07,168.29,166.97,165.92,L7
2013-06-01 14:48:33+00:00,168.63,162.18,161.44,162.26,163.28,162.74,157.80,158.23,160.67,158.98,L7
2013-06-09 14:54:50+00:00,164.11,155.36,158.17,165.96,166.77,164.18,152.20,152.02,156.09,157.79,L8
2013-06-17 14:48:28+00:00,172.63,162.62,163.48,164.60,165.43,163.51,158.90,159.21,162.07,159.54,L7
2013-07-03 14:48:18+00:00,168.46,163.94,163.83,162.23,,,,,,,L7
2013-07-11 14:54:48+00:00,174.53,165.16,166.51,166.45,165.43,159.04,159.91,163.95,162.37,162.19,L8
2013-09-13 14:54:48+00:00,179.79,174.11,173.68,174.31,173.07,159.33,152.61,154.59,159.35,164.07,L8
2013-10-31 14:54:32+00:00,175.28,167.89,167.23,172.45,175.54,165.77,159.62,160.13,165.91,162.94,L8
2013-11-08 14:48:58+00:00,171.53,165.35,165.89,166.69,166.42,159.16,158.59,163.27,170.32,171.71,L7
2014-01-03 14:54:11+00:00,,154.60,153.48,156.91,155.77,153.11,150.80,159.63,161.39,165.86,L8
2014-02-04 14:53:50+00:00,148.11,144.54,144.39,147.38,144.70,144.85,142.83,145.46,150.48,150.13,L8
