dates,ber0001-0000,ber0001-0001,ber0001-0002,ber0001-0003,ber0001-0004,ber0001-0005,ber0001-0006,ber0001-0007,ber0001-0008,ber0001-0009,satname
1999-08-14 14:45:41+00:00,166.96,157.54,154.32,159.88,160.59,163.65,160.90,163.56,168.42,164.49,L7
2000-01-05 14:45:38+00:00,167.97,161.07,159.44,162.41,162.99,164.31,160.43,161.96,169.14,169.53,L7
2000-03-25 14:45:24+00:00,167.73,162.58,161.56,162.38,162.89,163.03,160.53,161.56,169.33,172.29,L7
2000-06-13 14:44:40+00:00,171.84,164.17,163.24,163.39,163.95,163.37,159.64,160.44,168.06,169.01,L7
2000-06-29 14:44:28+00:00,173.05,167.02,165.50,163.21,163.19,161.42,158.64,160.13,168.36,169.49,L7
2000-07-31 14:43:59+00:00,173.23,167.11,164.55,161.35,161.76,160.07,157.12,159.57,167.37,167.19,L7
2000-11-20 14:43:07+00:00,175.27,170.17,168.11,164.15,164.42,161.18,157.85,160.49,167.84,167.09,L7
2001-02-08 14:43:13+00:00,169.84,167.55,167.82,167.77,168.50,165.76,162.37,164.22,169.26,169.39,L7
2001-05-15 14:42:40+00:00,169.32,166.07,165.58,165.98,166.77,163.96,161.17,162.81,168.21,166.40,L7
2001-06-16 14:42:22+00:00,169.21,166.17,165.59,164.43,165.14,164.07,161.16,162.97,167.27,164.94,L7
2001-08-03 14:41:54+00:00,170.74,165.12,165.01,164.79,165.75,164.47,161.77,163.21,167.72,165.80,L7
2001-09-20 14:41:16+00:00,170.87,163.09,162.76,161.96,162.95,161.92,161.17,163.70,168.24,166.69,L7
2001-12-09 14:41:25+00:00,169.51,161.94,162.39,161.96,163.40,162.64,160.07,162.73,168.30,168.47,L7
2002-03-15 14:41:40+00:00,167.12,158.99,159.16,160.26,162.15,160.46,157.67,161.85,167.78,169.04,L7
2002-05-02 14:41:40+00:00,168.76,161.94,162.03,162.35,163.63,159.01,156.08,160.22,166.45,166.91,L7
2002-05-18 14:41:31+00:00,170.01,162.00,161.89,162.23,163.32,159.25,155.96,159.90,166.35,166.92,L7
2002-07-21 14:41:05+00:00,173.89,163.64,162.98,162.59,163.05,159.17,156.70,160.58,166.73,166.25,L7
2002-08-06 14:40:58+00:00,174.32,164.65,164.04,163.28,163.65,160.19,156.91,160.18,166.91,167.84,L7
2002-08-22 14:40:54+00:00,174.15,163.66,162.85,162.23,162.89,159.98,155.68,158.58,162.94,163.33,L7
2002-09-23 14:40:35+00:00,171.63,160.30,159.42,158.70,158.96,156.34,152.18,155.85,161.29,161.84,L7
2002-11-26 14:41:01+00:00,172.23,160.39,159.56,158.81,159.04,157.45,150.16,152.16,158.08,158.50,L7
2003-04-03 14:41:33+00:00,170.69,162.96,162.27,162.73,163.30,160.53,153.04,153.99,159.74,158.64,L7
2003-04-19 14:41:33+00:00,168.91,158.98,158.44,159.42,159.73,158.97,154.52,156.42,160.01,158.49,L7
2003-05-05 14:41:34+00:00,165.99,157.28,156.82,157.57,157.88,157.41,154.29,156.62,159.81,158.91,L7
2003-08-01 14:29:32+00:00,165.27,156.23,155.94,157.91,158.59,159.15,159.81,163.87,164.20,163.77,L5
2003-08-17 14:29:50+00:00,167.79,157.14,156.64,158.52,159.90,159.92,160.86,165.06,165.81,165.48,L5
2003-08-25 14:41:12+00:00,168.04,158.24,157.92,159.67,160.67,160.29,160.34,163.83,165.58,165.11,L7
2003-09-02 14:30:06+00:00,168.04,159.38,159.20,160.70,161.92,160.57,160.51,164.22,165.86,165.30,L5
2003-09-18 14:30:22+00:00,168.21,160.02,159.85,161.36,163.03,160.96,161.06,164.79,166.35,165.84,L5
2003-10-20 14:30:47+00:00,169.88,161.73,161.77,162.82,165.05,161.64,161.21,164.58,167.00,167.23,L5
2003-10-28 14:41:13+00:00,170.29,161.22,161.10,162.36,164.31,160.86,160.57,164.50,167.50,168.10,L7
2003-11-13 14:41:22+00:00,172.13,162.07,161.70,162.88,164.73,161.06,160.45,164.91,169.04,170.01,L7
2003-12-31 14:41:43+00:00,171.93,162.39,162.04,163.18,164.90,161.44,160.14,164.18,168.72,169.93,L7
2004-03-04 14:41:59+00:00,171.58,162.77,161.94,163.07,164.87,161.35,159.76,163.75,169.09,170.09,L7
2004-04-21 14:41:55+00:00,169.72,160.80,159.34,161.47,162.92,161.10,158.61,162.38,168.30,169.33,L7
2004-05-07 14:42:00+00:00,167.79,161.50,160.15,161.58,162.27,160.92,158.59,161.65,166.90,167.53,L7
2004-09-28 14:41:24+00:00,162.88,157.80,156.77,158.59,158.81,157.50,156.37,159.06,163.72,164.39,L7
