dates,satname,ber0001-0000,ber0001-0001,ber0001-0002,ber0001-0003,ber0001-0004,ber0001-0005,ber0001-0006,ber0001-0007,ber0001-0008,ber0001-0009
1999-08-14 14:45:41+00:00,L7,165.07825863062345,155.51167513505158,152.43716663775115,158.00058320730716,158.70914003933865,161.502661335575,157.4828530007807,159.38447767010808,166.21109268575333,161.7082625585204
2000-01-05 14:45:38+00:00,L7,168.81138290495605,164.42735989053756,164.41161682302607,164.77254839934852,165.22310271382426,164.79388052074577,159.6716280076767,160.00555633362669,169.66880495102163,174.33111448559623
2000-03-25 14:45:24+00:00,L7,165.62240849898177,159.62440645247426,157.67887944167248,158.96089687716756,159.52814213457816,160.080082045506,159.51096679947685,160.8271552414492,167.77960236792387,168.71428287810923
2000-06-13 14:44:40+00:00,L7,181.60753730009043,169.01774743366656,168.12848868748753,166.95129472937322,167.59557013413354,165.81199425782737,160.65434940488555,161.61575651815826,167.32627491678414,164.72675135610862
2000-06-29 14:44:28+00:00,L7,178.59527110862288,177.64813687401994,174.23368883404646,164.58717698696637,162.87949440642547,157.80451077281907,159.1799546339243,163.53776687242586,171.5525476016795,173.80013117948278
2000-07-31 14:43:59+00:00,L7,169.47701158327726,164.7575381451889,160.55729787175164,157.29329589651178,159.42330180157967,159.33788476446279,153.4955459946552,157.64412587534932,165.64032490765925,165.07802903138838
2000-10-19 14:43:00+00:00,L7,,,,,,,,-13.818637944712954,,
2000-11-20 14:43:07+00:00,L7,175.9913907054057,174.22165745449752,174.10762583037985,172.3588635623152,172.3648624249797,167.00945876779286,166.4159994472824,169.38860384750032,172.26992873568764,171.58833397470866
2001-02-08 14:43:13+00:00,L7,163.77951544523282,160.9822681097196,161.63594688043793,163.27018686592376,164.7323827728038,164.61379536351546,158.49502256462497,159.2627491763824,166.36890409873354,167.32850687912975
2001-05-15 14:42:40+00:00,L7,168.83733258984907,163.70753801953072,161.6338207372749,162.96240448611854,163.8419570193007,160.99545461005113,159.76282533084427,161.1870775324782,166.74602730617923,161.22297414603622
2001-06-16 14:42:22+00:00,L7,175.64995472154067,174.51639439294144,174.15971753489384,167.7022415099632,167.4978230563009,167.34178804294783,166.40915923664895,169.87999263312892,169.4618022819277,167.22756093716245
2001-08-03 14:41:54+00:00,L7,175.59757091810334,162.2530723503276,163.532109661348,166.14259546244125,167.84782427715837,165.95775536246572,164.07936535138776,164.55515443200426,169.3596773019851,168.76236794205326
