,dates,chi0357-0000,chi0357-0001,chi0357-0002,chi0357-0003,chi0357-0004,chi0357-0005,chi0357-0006,chi0357-0007,chi0357-0008,chi0357-0009,chi0357-0010,chi0357-0011,chi0357-0012,chi0357-0013,chi0357-0014,chi0357-0015,chi0357-0016,chi0357-0017,chi0357-0018,chi0357-0019,chi0357-0020,chi0357-0021,chi0357-0022,chi0357-0023,chi0357-0024,chi0357-0025,chi0357-0026,chi0357-0027,chi0357-0028,chi0357-0029,chi0357-0030,chi0357-0031,chi0357-0032,chi0357-0033,chi0357-0034,chi0357-0035,chi0357-0036,chi0357-0037,chi0357-0038,chi0357-0039,chi0357-0040,chi0357-0041,chi0357-0042,chi0357-0043,chi0357-0044,chi0357-0045,chi0357-0046,chi0357-0047,chi0357-0048,chi0357-0049,chi0357-0050,chi0357-0051,chi0357-0052,chi0357-0053,chi0357-0054,chi0357-0055,chi0357-0056,chi0357-0057,chi0357-0058,chi0357-0059,chi0357-0060,chi0357-0061,chi0357-0062,chi0357-0063,chi0357-0064,chi0357-0065,chi0357-0066,chi0357-0067,chi0357-0068,chi0357-0069,chi0357-0070,chi0357-0071,chi0357-0072,chi0357-0073,chi0357-0074,chi0357-0075,chi0357-0076,chi0357-0077,chi0357-0078,chi0357-0079,chi0357-0080,chi0357-0081,chi0357-0082,chi0357-0083,chi0357-0084,chi0357-0085,chi0357-0086,chi0357-0087,chi0357-0088,chi0357-0089
0,1985-01-25 14:04:27+00:00,252.080528276464,161.9032927538332,142.2977364492576,143.47032932632104,149.1115121534927,164.22246733583447,169.689051966448,167.8406754505102,167.07417694717998,171.3275213366728,184.10517884419897,163.37540676876517,185.19674216728114,181.38548165699416,197.5775912345598,198.77844643315674,203.74896723063273,240.55781112000037,210.04579095650445,222.82681063903055,215.3303738524883,205.1432319921383,206.39384789841853,207.3493549081057,206.0997578209477,200.29138590680262,201.20291470607825,194.7376424135934,199.79780423901713,217.86329669279965,224.90370907575578,213.96956431286088,191.45105233305298,,204.77412438061887,207.3507346549734,,211.15285253303327,207.71262189086872,219.79140812312835,,208.47459578822952,207.32147196724767,231.80829396782835,200.2269090271673,215.40575657317095,221.89388816754956,235.82650454362152,224.8642999422259,221.6552765665392,232.25325794561252,215.09425189174303,228.66330940659844,213.24028983751313,212.1710576853524,217.1916514828266,218.17050214410676,206.93663637808618,218.30018402310643,217.3409323956878,204.0739215141243,,200.7166555551997,209.34044627092365,205.07243088680218,195.13144568764798,176.4177389207862,194.84165975787937,221.52776253048228,230.87312084864988,203.7909840476778,199.91475905272642,207.54459110737898,,198.4167873428962,193.4585539181182,173.82739210124782,169.05539818463438,185.93813146722235,209.37978681010836,204.5360893344535,211.0527222135336,201.24245879144854,201.59058673064789,211.84408318196841,223.2281679034311,212.67688857593805,215.63376276167128,203.25526586256078,203.01374449478453
1,1986-01-28 14:01:10+00:00,255.2564139663837,162.75224609912107,130.60644459386722,134.9618349889483,153.5172689444041,161.8077859684366,154.25677803432166,145.3706234651439,129.71052323580918,145.25045704667178,177.15107453923528,161.08972320658154,172.65340182507626,179.92408793834088,202.16361094225627,190.73423768282407,171.60196251690917,234.43660354986972,189.86710789766155,207.99980001597507,211.2663441927924,202.72655805083704,197.3960147948211,208.24081890521617,208.3250464608461,194.12347275457842,192.6170866822937,200.34866213857788,195.1168675140342,209.69416458092655,208.61461691083852,219.80429035046222,223.09447953382292,237.24378306407075,235.35078871499869,221.3098088074827,220.22825731690153,214.0068220592463,206.72302301667074,198.3228409499594,183.01001256512532,194.01768388849754,210.85476997169647,213.7860032754478,212.506251390809,206.19430048113156,198.43740199879264,200.67513868575122,207.25861738564964,198.18132392395748,209.65646458471159,205.85721047767075,209.36773496790636,189.8399360385492,194.36304795344736,197.41422106595473,201.57885966844717,196.26384839012493,196.02896763964304,191.56860585571147,182.70868019468583,171.4558817304533,169.2457613480907,180.817298162719,176.5216386849302,188.04178486794768,190.9869388074488,183.51570624652248,186.1366537838327,193.137219376038,190.76834014167204,184.35041088262778,184.61259717528313,180.24320323955166,181.73304555464196,174.7967115792596,173.84543176422605,182.0585901922786,186.87791081030286,185.88557950793478,188.4737009321686,191.40244320812332,195.4254440889387,188.72826635258073,197.3443326036856,198.69274358362432,185.62377720395824,181.42639387010144,189.14197172322494,208.94208445428305
2,1986-05-04 13:59:02+00:00,251.0702832067974,171.08664664420104,155.08024406806143,148.33564235871773,134.301783445305,128.95931004781505,131.80901744990555,130.35015042658125,138.38618144139258,143.93875615103153,179.2201171055381,138.68056430881413,164.12888718499977,159.04431235878974,181.1940563773796,178.47206743695926,177.2687309081176,211.03902666873597,197.35311559163313,205.8395692459011,215.49339779534364,194.96711175621334,181.57936058837004,208.70076741483402,200.27600967017588,184.90046080926723,175.5249687441818,194.46449847339812,196.31739598320272,220.9227215717718,216.589515518557,208.93602877186936,202.37256346123297,211.8851277406349,204.99871182904917,208.5776686378342,222.1313980302333,226.13937530794144,223.8869302142531,213.36425390454053,209.3824389286625,199.9677364282376,201.9228842519654,201.74785667538532,200.20657456956775,198.7985402899044,198.47483440462898,193.3479957282805,191.77336650854113,181.27775213211538,191.41784416631324,189.34820370489552,192.53473405128696,199.57281648259772,202.28304659112817,199.67576767544398,191.1317084211615,195.56767860094672,191.06650546228153,185.6245459300933,182.63907614502423,176.02804471084696,179.16832759362848,177.80886428746433,178.5901882383444,187.48770607666725,190.95501502783839,183.59385555791624,175.20077429976234,178.64641826803262,185.91657223877368,188.78581462681925,191.0767914346486,186.0812644629462,184.47190147062423,185.46606848180343,176.86058206689987,167.70606312962943,174.90213614708387,175.98486338412903,196.0022661198787,190.37138196464375,188.11645509369137,187.68466848280232,188.9034369983254,192.52064031300597,185.69532063944675,176.2974489704356,171.98949212578677,180.88013972862677
3,1986-08-15 14:01:53+00:00,244.14944141963488,170.95293848252837,162.83817531284348,147.70280882637303,154.2441204883815,160.10792762530303,145.31283716447263,137.02585274540388,,,200.9168164466143,,,174.63769129110358,212.63016521888522,199.9157662152596,168.8121042734431,232.82401237995435,185.9134892615772,210.08982997654707,213.0704504386086,,,192.08159455237882,206.9439276540204,194.53564509796612,,192.77145884221824,205.31246098104882,214.30658515973906,219.75171013528882,229.3552005786365,209.0321215152125,196.8561051843151,172.16858403694795,,,152.56443106042565,178.05475419653968,179.74975594343167,172.24688715312317,192.22268625838447,199.20751409661096,203.05974616256682,196.84608347111583,195.08267813928853,178.72912700907114,187.68455860227652,209.16113223015714,202.0367305669794,212.23577218953122,218.3647359705422,215.80179093823313,212.12493768168173,199.309375152273,176.3624334152487,166.8565509573543,174.76963998014236,186.83111206780427,200.73187304894574,181.89558788219585,171.83678556996878,173.3082590044688,179.81255254924156,171.6175764878574,158.0132787133191,183.04955081820856,199.83075754305128,182.57811456110656,169.31465805999719,171.03646498851433,195.16266740572232,196.97504866473872,189.30023395726434,192.1190614773321,175.68391671219555,184.55797712595202,193.64538152831494,175.1121405892705,180.40987305779913,180.95546002077907,175.78266460161962,177.21359170514685,164.27139159931275,142.0395532889577,156.09291992292555,200.20808866216166,196.45218037176838,158.1555834914686,137.87121596684273
4,1986-09-16 14:00:46+00:00,236.23236435923408,153.10181847081816,146.3253867461998,138.39045821776352,,,120.72726237351281,113.03929044315055,113.85669264729243,134.0901766972278,180.9626496463832,147.8958696744097,170.83761119180465,162.54126210518598,,189.68366332041947,157.4230401665948,,194.16717926332822,200.961026032293,207.01830390093437,196.09359812490794,192.2915359025211,200.39589381891253,199.49636678570295,195.12768258095815,181.08489932361323,177.82493095408367,199.7212726688881,205.55258590985684,203.6249032565188,200.8339305936194,187.4580697169444,176.17942370472878,,,,144.19746283515332,169.6533303449744,154.27278382455688,156.04259592320935,170.65746922562835,190.93325292474464,197.78100259142175,197.6447845452599,184.8766820269806,186.4249145153793,186.3927933264754,176.89053554000094,171.3760760395006,186.92084029043698,,207.57112496749812,195.627351379785,182.80997640270047,184.54248554201263,173.3495065425158,156.47433648684776,157.72607074583038,170.57094846812475,175.60896504644091,165.18297427631302,157.6455290436913,,160.04192820281654,162.94377824968515,175.00773728198774,170.4671649172577,165.12350370944105,165.43636287513007,160.27712128167937,181.88618686945676,177.246745140167,173.40097900487842,166.81308115203146,179.14514232280249,173.01867962358898,165.06849004983368,172.54535580384658,175.47964082032192,159.28808139785102,160.11130357095047,148.94516377197453,149.18474897956463,142.14802715890627,162.05842979779163,,,152.6165688046034,137.91998771034037
5,1986-09-25 13:54:18+00:00,238.923657192776,152.862099475867,179.72861240610905,,165.80743524057235,180.69062636125543,125.64351544217988,111.1974383635748,79.62178815164951,131.2243478760279,,102.35582096702787,145.88648716350698,158.01644616765054,,169.9990457944815,163.88390908288025,,186.81847204748368,189.07997972203324,192.33881283398108,198.44831871660213,203.89930394419994,,255.8200748952356,,,137.7158666422246,194.95049503845954,218.91593583113112,217.3720645547962,,,,137.2079091235989,,111.64342426142063,154.5488202408339,169.87605428824267,160.0684069945792,147.86711879026575,157.47092608973227,153.8213099144314,176.44411681078077,184.1732579854686,172.56956955078857,163.07120539795784,164.06471181375667,158.29613480195917,157.7239200118754,,,,,143.44608418807772,,135.25419026285428,137.90249926564871,141.0065706487255,156.64923736407368,157.3466077398863,147.45992972510393,,,,,145.80414701356636,,,145.20388829646865,155.0711595868442,,,162.6686866917068,134.53618347627796,,145.1320247207532,116.20720488120067,,130.57049426001828,,,113.45307210204143,,,,,,99.23866699692097,115.71981848403925
6,1986-10-11 13:53:47+00:00,236.70511332465867,163.82525474115494,155.8432547854673,152.6313699421349,154.49571770446303,150.50698162163897,145.47229365143465,134.4217914109197,137.49954574805668,152.87311121914215,193.414949972474,171.0923376313076,184.9379037321485,166.8393753089409,,193.39782956940604,168.71606328344643,237.41649107228093,200.2592917781293,199.67658491190682,207.9740608479082,201.92323920526835,196.8293909480177,205.3886467744816,216.9705704500473,210.0805869897817,200.15711832315108,195.3807772465867,208.5025915746765,216.2320836372665,214.54756190615757,202.63794570786365,161.40228453319418,165.74262420819656,191.21407721542386,183.8184562062876,112.84675530417387,191.72694176352508,203.86900881166562,184.40286323074838,167.29187166392427,170.62850931797064,184.31243408132914,189.81095416774968,204.25461585287852,211.50390597844682,207.1366598506954,198.91725343459356,199.61257793077482,190.48588884413394,199.45182466142973,208.44231227795692,220.8526082252367,214.54623599122255,179.25090923528566,185.8749437074512,204.32542507610174,177.77832498179748,164.56758784385448,174.42447353709562,195.74130853378492,177.79425516088287,176.2387269915727,172.2449969394252,163.72513082527377,159.46519445798762,190.15012563453422,196.7350414315029,184.48444107953694,173.45472370946396,180.1093960386663,205.014523257602,195.4861803664244,194.44104444336529,172.08138123876623,170.21364881623575,181.81387995974316,184.09095601342386,197.323708896133,185.28891833604666,162.06505765196286,178.83733902218185,177.28809291551806,175.9922778103109,163.03037791838952,168.28493196696954,161.12653069770516,160.14304046627262,137.83155391891506,152.58665786920275
7,1986-11-03 13:59:10+00:00,259.7417502660931,166.5230386152616,157.9276947655958,145.31938897868994,145.00698939196664,152.83740372800494,146.94001337083304,144.13510715462658,144.9196017370158,164.08551252381932,195.93975106740731,175.07967899491155,186.9260444334929,179.04394547667602,195.3304435675215,205.41930042563675,168.35094770976923,242.198876894356,197.8407159166006,217.91223166231123,220.03196665985288,207.78527583788622,208.3162218380544,212.68518771477397,208.47338848269635,199.88615406301025,203.07890268442,195.70743313766738,204.74493857695882,222.6740892056375,213.69050144241444,198.1269370550107,177.13450530256748,169.7328556037574,178.30857090786893,175.83712992173946,,184.1396628079857,190.29809181058056,195.85257574297339,172.6316836248511,167.04654307443064,193.04107061970228,199.23983493365384,201.75541590442393,210.5969220439698,202.3756357708827,189.93409400165152,182.11421313663675,175.84317164654163,196.81711501799043,217.24892350188682,218.98266940326664,214.07944775631938,194.7908684049549,187.8353239160627,185.92689703818982,177.65814351157138,176.64782217115078,162.67606939731732,177.95860900578467,179.13994837247688,184.16439646696057,172.16964031449604,174.05308916532857,173.03890201887262,197.5833512383285,187.00355780163952,170.05951835109855,170.749897226329,175.4598259108307,179.6485724331119,202.21923275893698,204.53140980533226,182.1602735260872,176.51948787284604,181.25596596411515,173.00856051085992,185.5639021548439,191.89372895284077,184.2301734312859,174.15388755383617,165.68521043508218,162.588257651376,168.6440134492221,167.55949355585193,180.28180173227298,169.2611343635626,148.66082284124562,163.51889341064808
8,1986-11-12 13:52:38+00:00,248.24617003681777,163.08631561743655,152.3379479752515,151.5041346885621,150.7374217155264,135.13670821726464,136.33746303717757,135.63432069749317,137.65898047299314,154.24067526051175,194.2835682695698,169.6917877636337,182.59010639605958,175.51755870475753,198.50334340237634,185.89934951533283,163.57778116173765,203.81867482126373,190.95785680617539,207.0781166076801,219.7810848580057,209.23066651240597,200.32185283045942,208.64182794830432,210.8564521645364,192.03205332280837,195.54969281933228,190.40071816689843,195.6594086403124,218.2192621850002,215.41560975110787,210.7222603560698,184.2198563026919,178.5374886490372,181.1424639313549,160.0405953749435,,180.31185905374727,181.6771017740311,175.65322605022646,186.55853582373172,188.28583372005178,206.56814207076408,204.22323613971434,199.89155192684515,209.8768661537697,198.91756610619424,185.29261635868826,183.53004250143428,179.04901857754064,189.99248732891064,205.21456509973802,215.1568748575999,207.26928223652524,202.47299018369225,194.22267088831396,189.77965655804067,176.35302794116672,169.82725365203805,177.53769774622867,177.9733072026641,177.23703538245348,185.0234904767628,188.85369740341682,184.50843165137718,182.41899342633005,194.9211747917463,197.6874198838767,167.45427953425744,170.36765389037745,168.40764975277375,183.5685421426823,198.60035283098617,197.88539022945398,189.1972912517928,177.64337269230015,180.59512004164992,176.9535586689377,187.3722049775126,186.4707935112792,171.79327042773542,169.74879386978313,163.2185741226405,155.56848820949742,163.35593671306717,183.22310179836072,177.35010060015495,177.56442980795538,165.20876867872846,166.0514020942521
9,1986-12-21 13:59:13+00:00,248.25248618332904,155.00553863946712,151.1480273573317,145.78671948451506,151.09990328034604,161.09746837412095,157.69024443046936,141.9981296715392,144.13382832514475,149.39028779256367,177.1655170554251,168.28574061053385,180.05173490042318,171.06277031035825,187.58509902163175,185.3067206141821,185.07968080466532,240.0173546129086,203.73655089470972,226.92274852067342,225.57120627203892,206.4171511265612,210.73555533375637,209.0457564367004,208.816943702587,200.66008667217096,203.424261398575,195.10507355777025,192.85703085620963,215.7266816928664,227.2774049214333,231.6275026126136,227.7343716562232,188.62005093056263,151.08927430929373,160.05270789085975,,197.3930564451645,197.81197421374335,178.36997713764538,188.32329972336575,194.4517339246916,207.55262537934118,213.18587169727564,220.5254247500003,204.71392616836994,210.83517887337527,200.61705359943787,195.2029577231284,191.23608177623342,213.93381561343415,220.8584751826033,205.59670543938108,211.05168246369598,210.82947754475995,211.3759384522534,199.77064874885778,206.5208812257845,197.94413957343974,197.5277103290019,182.12413686145607,180.76986830963872,186.0335955060213,183.3331124558289,188.4247156812422,174.759274660872,200.08581179803417,186.04847086809414,189.26168507732362,198.27058441347026,203.3755778655983,196.8141642891435,204.45083360069842,196.3147132950733,200.9668397466459,175.77234777226911,173.3428560623539,185.96407684566762,188.3431935659875,179.95390837094124,174.72179042712892,177.07074763317675,185.357459018974,185.89024120946732,177.8672847946139,180.31453485518782,175.21751701705008,180.33060764079846,172.22562227309894,169.28375718938176
