,dates,nzd0032-0000,nzd0032-0001,nzd0032-0002,nzd0032-0003
0,1999-07-25 22:04:15+00:00,171.387155657191,168.3484652680635,163.45886575899735,154.80758456500143
1,1999-08-26 22:04:21+00:00,162.70154039501287,150.9270714605585,141.23911859764982,141.58088843049595
2,1999-09-27 22:04:25+00:00,143.5379223802158,141.61121928666657,136.5721083691783,124.7531546173244
3,1999-11-14 22:04:18+00:00,142.21886292066654,138.09678743438832,123.07017273239993,122.3472365799062
4,1999-11-21 22:10:24+00:00,165.24274914644673,149.6148088808907,130.40306043946137,118.91426972057933
5,2000-01-17 22:04:11+00:00,,,,
6,2000-02-09 22:10:19+00:00,150.03149137144868,148.436044639339,134.82554702754908,123.4036115101943
7,2000-03-28 22:10:07+00:00,165.4593267335159,159.53610258591658,154.5829354596353,147.920550795108
8,2000-04-13 22:09:54+00:00,160.90725598194368,160.6175402524057,156.69227086199513,148.08299819977248
9,2000-04-29 22:09:53+00:00,162.02964115952898,161.17906541880097,161.32515537493424,151.92301523290365
10,2000-05-24 22:03:22+00:00,138.0435021774224,142.58003493797662,137.85938186065096,129.14573357887153
11,2000-08-03 22:08:44+00:00,129.9009116906694,128.95185554305266,118.25796671537891,114.09408788512488
12,2000-08-12 22:02:30+00:00,183.00586114428944,162.22447961896737,138.77285150555815,117.06029963967636
13,2000-09-04 22:08:22+00:00,157.5971083380971,145.35433767210478,125.4090660084813,114.97364999025253
14,2000-09-13 22:02:02+00:00,159.1205988026152,144.84944694299173,123.19040828296843,123.46576430654665
15,2001-01-26 22:08:07+00:00,149.47839599104003,146.82170372911077,130.99635661016077,122.72944720862554
16,2001-02-11 22:08:01+00:00,145.7863101940207,126.76203745475196,116.73823417989212,176.36833084914682
17,2001-03-24 22:01:35+00:00,147.7190923902296,142.385955289337,132.9614230066279,128.4040352684845
18,2001-06-03 22:07:16+00:00,178.99458668670852,181.39955908186465,153.5416462904353,133.44389289487276
19,2001-06-19 22:07:05+00:00,168.2697649003469,158.3392823166838,135.9929149316922,125.6892704944744
20,2001-06-28 22:00:45+00:00,168.92076202196117,170.2059750194815,144.6356829291765,134.50645167068535
21,2001-08-15 22:00:14+00:00,167.53744395915666,156.10724851327143,124.97867695539588,109.3680436037518
22,2001-08-31 22:00:05+00:00,156.73328308172526,139.57644199928396,111.47308236812636,
23,2001-09-16 21:59:53+00:00,,,,
24,2001-10-18 21:59:42+00:00,132.81956255087684,126.47914718041513,115.22304486999782,114.2073777760352
25,2001-12-28 22:06:14+00:00,157.21877117963132,152.79595033132384,136.20103262993132,124.2669491417262
26,2002-01-22 22:00:16+00:00,153.973052509092,145.8302284576741,138.96140517137582,136.0457255438767
27,2002-01-29 22:06:21+00:00,136.72024514260437,125.04118771098292,119.60947849148192,112.83156888230737
28,2002-02-14 22:06:29+00:00,141.75219669617178,133.36982453319098,124.98613152015292,119.66105239158632
29,2002-03-27 22:00:13+00:00,146.10012394921313,143.00760414841238,136.73343905114325,124.42507234795345
30,2002-04-12 22:00:13+00:00,142.89998183214234,137.7621947961831,124.172788922793,113.45738117769623
31,2002-06-15 21:59:55+00:00,136.48173227510506,137.65776252960234,138.18461805270002,129.52655941915043
32,2002-06-22 22:06:03+00:00,163.76724867863882,173.7814515951473,142.14873873807926,139.15180518599965
33,2002-08-09 22:05:46+00:00,144.7203039313852,142.4331713829942,128.41463586863915,122.5850237695428
34,2002-08-18 21:59:33+00:00,183.2232371325048,178.08358406606936,150.49106804512138,139.50989010979634
35,2002-10-28 22:05:22+00:00,145.2901696170575,146.7837115405776,126.64228809455189,120.4898169723613
36,2002-11-06 21:59:17+00:00,,,,
37,2002-11-13 22:05:30+00:00,157.50055381020388,149.09200975655858,146.30984634685151,130.77206353456057
38,2002-11-22 21:59:33+00:00,144.94446851736024,138.09897793379798,130.08857074210073,
39,2002-12-31 22:05:56+00:00,145.11058641145638,144.55465699060363,128.62273924329605,127.07634471015083
40,2003-01-09 21:59:45+00:00,145.6131219538565,141.66324801247657,137.75755690444166,129.0650385283531
41,2003-02-26 22:00:04+00:00,,,,
42,2003-04-06 22:06:21+00:00,132.51805254934928,144.7735000439851,134.56733024860426,123.23913895297407
43,2003-04-22 22:06:19+00:00,162.20931079595175,146.7230472990089,127.7149893011642,117.81327195212435
44,2003-05-08 22:06:20+00:00,160.5136740465044,148.7954098318496,127.79317706498117,116.18382324418812
45,2003-05-24 22:06:17+00:00,194.75084417508168,182.18093561814365,152.37952562205015,116.27254622674585
46,2003-07-28 21:48:04+00:00,131.35643910493536,130.59363555527045,114.41703852363882,104.20670282756416
47,2003-08-29 21:48:38+00:00,139.1196478290001,120.85573504936085,122.22893000923672,110.21088237923811
48,2003-09-30 21:49:06+00:00,159.01875087537672,140.6971032762412,120.25614744108736,120.69418644962856
49,2003-11-16 22:06:11+00:00,153.69559860676304,138.631086201248,122.41767444638832,
50,2003-12-18 22:06:24+00:00,,,,
51,2003-12-19 21:50:03+00:00,163.37201491004774,154.00257218172254,139.04182591644113,134.6429051715848
52,2003-12-26 21:56:18+00:00,133.7399422846592,125.90671798580895,118.45047735121624,114.5571305342935
53,2004-01-19 22:06:35+00:00,,,,
54,2004-02-04 22:06:41+00:00,147.86288138165708,127.6783737973334,130.61013725173115,123.46573102389424
55,2004-03-07 22:06:48+00:00,,,126.00770236644962,118.77066552948486
56,2004-03-23 22:06:52+00:00,,139.683868574722,129.3638931086704,120.93058991460568
57,2004-04-01 22:00:40+00:00,,,,
58,2004-04-08 22:06:49+00:00,143.5865799277965,142.1886224384987,127.22602136270964,123.24897997090008
59,2004-04-16 21:57:19+00:00,,,,
60,2004-04-17 22:00:33+00:00,,,137.43640621963402,130.26709931624004
61,2004-04-25 21:51:23+00:00,,,,
62,2004-05-03 22:00:35+00:00,165.63501688078554,156.99599079574597,140.00050949936033,134.43302334430405
63,2004-06-11 22:06:38+00:00,,,,
64,2004-06-12 21:52:47+00:00,154.68776744115007,163.9420733607797,151.8377261870619,141.8314500227169
65,2004-07-14 21:53:43+00:00,228.4311913692101,231.78680304511417,,
66,2004-07-21 22:00:04+00:00,139.44028631224165,135.75226122511884,125.03528070783432,109.55417468122776
67,2004-07-22 22:00:20+00:00,,,,
68,2004-07-29 22:06:27+00:00,148.31142256131182,148.89381612060313,134.88768569635022,129.37493665671423
69,2004-07-30 21:54:04+00:00,158.1111382369776,149.46043161907227,138.26503919792856,130.4938218311151
70,2004-08-07 22:00:13+00:00,163.4652738053459,152.85819397510053,144.7957558302878,139.0776283239313
71,2004-08-15 21:54:25+00:00,,,,
72,2004-09-16 21:55:17+00:00,148.6204687269289,141.7569621978483,128.5631472351238,130.19728113574982
73,2004-11-03 21:56:19+00:00,157.38838809361857,154.68911237554175,146.08170870830898,132.64562582327272
74,2004-11-18 22:06:34+00:00,154.36348950653257,151.17269719663167,,
75,2004-11-19 21:56:31+00:00,,,,
76,2004-12-13 22:00:36+00:00,,,,126.58658834887598
77,2005-01-13 22:03:41+00:00,139.3608547287121,133.4085122501644,146.66527430439234,143.3804188494138
78,2005-01-14 22:00:49+00:00,,,142.9958493897517,139.6223642595897
79,2005-01-21 22:06:59+00:00,155.3371172134555,148.33535112835654,144.9382773023853,140.1805987985784
80,2005-02-15 22:01:01+00:00,148.24472095164077,142.09703941386718,134.9343354436339,
81,2005-02-22 22:07:14+00:00,135.10989157691208,133.8371156242908,117.4040224596954,106.73480396331816
82,2005-03-03 22:01:06+00:00,153.49017307211997,142.00116432488102,137.63115226945035,127.01250642514404
83,2005-03-19 22:01:06+00:00,160.8065727858638,148.4798482757973,142.7238357596688,136.66433436084583
84,2005-03-27 21:58:27+00:00,145.81274466304117,142.75173549663043,126.75625551912616,122.90634547998464
85,2005-04-03 22:04:40+00:00,,,,
86,2005-04-12 21:58:31+00:00,151.0048094867556,140.91288656487885,133.44129736267627,130.0780620860429
87,2005-04-19 22:04:43+00:00,163.26002110401163,163.68803467650437,157.8785433072325,148.75978482129028
88,2005-04-28 21:58:35+00:00,146.93115435102874,146.58507584244728,142.97287706675945,133.10227564206065
89,2005-05-06 22:01:01+00:00,151.86542785158878,154.74401156769096,142.9576257158495,133.79091071964257
90,2005-05-22 22:01:00+00:00,,,,137.14477702293826
91,2005-06-06 22:05:05+00:00,,,,
92,2005-06-07 22:00:55+00:00,153.64947709188482,161.65663305356017,149.186584358423,155.14230932230308
93,2005-06-14 22:07:02+00:00,,,130.41542364898626,117.51155824129307
94,2005-06-30 22:06:59+00:00,150.3671994111082,147.36388846432402,132.2729779793281,122.91635319542958
95,2005-07-08 22:05:15+00:00,137.02439370713486,127.17689051430771,110.38898291866592,101.33026517597736
96,2005-07-17 21:59:11+00:00,160.0065803398499,166.58313285401476,136.47769781175865,126.99343673430208
97,2005-07-24 22:05:27+00:00,134.53259093981876,131.77336062059703,111.58105536503302,108.43184086647668
98,2005-07-25 22:00:49+00:00,,,,121.55868980163604
99,2005-08-01 22:06:59+00:00,,,,
100,2005-08-10 22:00:46+00:00,,,118.16974507823888,115.42178384179483
101,2005-08-25 22:05:41+00:00,150.02797968039715,139.1249057080209,124.56372071281754,112.20198315732384
102,2005-09-02 22:06:46+00:00,151.0394784091545,141.38815642623533,123.20270232416767,102.30880142194096
103,2005-09-03 21:59:32+00:00,168.83570171032866,146.14264244390412,133.45262576151214,120.83102598664804
104,2005-09-10 22:05:43+00:00,159.7541568724141,137.4345564970934,126.54845069504776,116.22851304364562
105,2005-09-18 22:06:39+00:00,145.75642153042762,137.9402300931676,122.9458100820478,112.36364857192422
106,2005-09-19 21:59:32+00:00,150.176437642487,137.9474723174974,128.25014313815865,114.1425763213562
107,2005-09-26 22:05:42+00:00,,,137.5263079765907,132.11117148587678
108,2005-09-27 22:00:29+00:00,,,,
109,2005-10-28 22:05:36+00:00,172.83792712220824,154.27602539204457,135.7175155783527,122.0965742986681
110,2005-11-21 22:07:07+00:00,150.41436208546992,141.2400197896991,,
111,2005-11-30 22:01:00+00:00,145.69677481462435,135.4449368146578,132.94590360369608,123.92134318297218
112,2005-12-16 22:01:02+00:00,147.52119918357184,137.4578886356913,139.99725541426395,128.59661626922576
113,2006-01-01 22:01:10+00:00,,,,
114,2006-01-08 22:07:25+00:00,161.50302363193836,160.37060903496092,153.91176131471892,149.45451985520907
115,2006-01-17 22:01:19+00:00,137.263146501572,129.94759617049428,132.86711275781394,126.89646647076636
116,2006-02-09 22:07:38+00:00,163.42743587589047,158.73946622190408,,
117,2006-02-18 22:01:29+00:00,139.65672173601212,126.34143741375786,124.40633781481542,
118,2006-03-05 22:08:31+00:00,,,,
119,2006-03-14 22:02:31+00:00,142.1637257378941,135.72678090814074,118.95936428289016,103.85245484234107
120,2006-03-22 22:01:30+00:00,,,137.76283051328835,128.46671579976956
121,2006-04-06 22:09:08+00:00,156.19454115947812,167.59502609965233,146.8215152485214,137.08326115470413
122,2006-04-14 22:07:36+00:00,150.41711263015625,149.69072843358717,123.74620210730546,122.70255828740292
123,2006-04-30 22:07:38+00:00,136.31904736056728,127.54747493761676,123.56409546479593,106.4206933637931
124,2006-05-09 22:01:28+00:00,171.17866830845944,164.6562278008546,138.5781174617901,130.76933763622563
125,2006-05-16 22:07:40+00:00,,,126.92839265941004,119.08397454026785
126,2006-05-17 22:03:33+00:00,152.1958145900397,144.02733091523078,125.8166271071125,124.46439873623385
127,2006-06-10 22:01:26+00:00,164.4264660054449,155.6027207915042,139.36779092123018,128.24747380851633
128,2006-06-17 22:07:34+00:00,150.23326190925772,147.25385398926295,128.3392337528975,120.49563767511498
129,2006-06-25 22:10:20+00:00,153.77115079867485,150.55753268004088,137.08480631751297,119.01798145874348
130,2006-06-26 22:01:20+00:00,,,122.86605122239726,109.38985819575464
131,2006-07-03 22:07:28+00:00,,147.30604562231105,130.490987886891,120.1878395751718
132,2006-07-27 22:10:47+00:00,153.3544585002201,135.30734953747003,128.92603344807662,126.23535658301954
133,2006-08-28 22:11:11+00:00,160.3097844587789,150.34001188747095,135.4497429390134,131.12473490875087
134,2006-09-05 22:07:11+00:00,,160.6043972039296,138.0128661475763,125.47428316826276
135,2006-09-13 22:11:23+00:00,158.49005894321445,150.60239567254,185.5387545621684,126.89299265049584
136,2006-09-21 22:07:05+00:00,157.88408714100052,156.2605569728014,141.0806845191231,128.9052691297873
137,2006-09-29 22:11:34+00:00,165.53813981475426,156.8472400514585,145.364035538887,134.60388627518745
138,2006-10-16 22:00:55+00:00,154.10853127384306,161.49429939548648,146.60972468416696,137.42331898498634
139,2006-11-24 22:07:37+00:00,136.52384947293433,148.89142727295282,146.02405714396988,145.72853101944597
140,2006-11-25 22:06:19+00:00,250.5221536995141,93.79464294319828,92.09254556755454,
141,2006-12-02 22:12:34+00:00,261.76459905867006,110.2859172255972,104.5822009906026,104.77034708581364
142,2006-12-10 22:07:44+00:00,,,152.8038528537432,148.13254261417276
143,2006-12-11 22:06:28+00:00,,,,
144,2007-01-03 22:12:49+00:00,,,,
145,2007-01-20 22:01:39+00:00,,,,
146,2007-02-12 22:08:00+00:00,,,,129.52826047375643
147,2007-02-13 22:06:23+00:00,158.8924171773783,161.69520611012493,146.49350717344555,136.199014991274
148,2007-03-16 22:08:07+00:00,,,166.98787537893026,152.37235855246806
149,2007-04-01 22:08:07+00:00,135.13281485539449,146.84753701215308,127.38229689430968,121.563792793299
150,2007-05-03 22:08:02+00:00,,157.278948763246,148.3752153050976,145.97181674856023
151,2007-05-12 22:01:48+00:00,172.12019903331543,,,
152,2007-05-28 22:01:40+00:00,166.0606161515974,167.0049319094709,166.2964192058914,159.7248163248915
153,2007-06-13 22:01:40+00:00,172.35375956568487,170.87661182082516,156.25597790312318,161.0561561148072
154,2007-07-22 22:07:45+00:00,152.3888674771255,161.89556139638418,152.00095338605695,136.61180008057948
155,2007-08-07 22:07:40+00:00,,,183.12005941994772,152.34471447678527
156,2007-09-24 22:07:22+00:00,,,,
157,2007-09-25 22:04:24+00:00,,,,
158,2007-10-02 22:10:31+00:00,155.71111860117833,150.6804003592988,133.6389594297106,
159,2007-11-27 22:07:48+00:00,,,,101.5600458969276
160,2007-12-22 22:01:44+00:00,,,,
161,2007-12-29 22:07:56+00:00,149.20180319544377,144.26900008567935,124.91509446816993,111.98160236704572
162,2008-01-23 22:01:45+00:00,132.01064535238743,137.10880653916513,,
163,2008-02-24 22:01:38+00:00,111.43619514252224,,,
164,2008-03-18 22:07:44+00:00,,,130.5780021514009,121.6783862047002
165,2008-04-28 22:01:29+00:00,161.7982495750768,145.88808491587906,127.42568173210566,116.19905075833604
166,2008-05-05 22:07:38+00:00,147.55614021720993,146.74983449275217,124.71093454223548,115.62667496786028
167,2008-06-06 22:07:24+00:00,149.6983423212318,148.10376342872968,129.9106953512866,
168,2008-08-02 22:00:39+00:00,,,124.35463865080004,107.21021407177432
169,2008-08-09 22:06:47+00:00,,,,
170,2008-09-19 22:00:16+00:00,,,132.43422804088493,114.0431994980677
171,2008-09-26 22:06:23+00:00,174.1996331033912,153.57310657964092,134.68818530661514,128.09584902090927
172,2008-10-21 22:00:12+00:00,159.32857029461118,144.944170016082,128.3953467718791,121.64255521783076
173,2008-11-06 22:00:27+00:00,163.84036709434167,157.31072252008016,134.94727469535965,126.24007557270008
174,2008-11-13 22:06:43+00:00,145.10561000573156,133.97516357802783,116.2179239658361,102.15445519619009
175,2008-11-21 22:01:05+00:00,155.1271041995606,160.27211163048926,135.5209781111938,127.06268582680536
176,2008-11-29 22:06:55+00:00,144.46555099516988,146.4774030493785,125.42835443373028,113.27707282428584
177,2008-12-31 22:07:13+00:00,155.72573291590533,151.91836539414822,132.68883277528258,
178,2009-01-01 21:56:07+00:00,160.58593433050228,151.74033225346392,139.0635935244104,131.51640231065073
179,2009-01-17 21:56:32+00:00,159.9575113288136,149.25629106093217,143.83224634396322,142.48994182768843
180,2009-01-24 22:02:55+00:00,149.22886267929604,153.22879628180138,145.67117616090104,137.21243768228828
181,2009-01-25 22:01:10+00:00,158.60613210621662,147.41947366635443,,
182,2009-02-17 22:07:31+00:00,,152.20423201969308,149.24069646528358,137.8079685868151
183,2009-03-21 22:07:47+00:00,161.64098459241092,164.37607616492258,155.3570302254261,144.31572706211736
184,2009-03-30 22:01:40+00:00,157.71320358538483,153.2972165154085,143.83935629906583,129.5549232435117
185,2009-05-01 22:01:49+00:00,,,,
186,2009-05-08 22:08:01+00:00,153.82240208452205,148.51964441729575,132.60658957527795,120.80857937674388
187,2009-06-02 22:01:51+00:00,,162.9314752141506,150.5261732651049,144.6934151527226
188,2009-07-04 22:01:47+00:00,,155.12794532614998,143.815466979374,139.9307210855312
189,2009-07-20 22:01:42+00:00,,,,
190,2009-09-06 22:01:35+00:00,143.5212585210482,139.57975361832663,122.58669247357771,107.81618000856776
191,2009-11-25 22:02:09+00:00,171.76508270013233,168.94526279250124,149.98259298035111,135.72359766315674
192,2009-12-18 22:08:39+00:00,156.68224737858998,146.11501857094743,124.07850162048676,114.86888312066654
193,2009-12-27 22:02:38+00:00,,,,
194,2010-02-04 22:09:23+00:00,141.46570803263535,135.60655169787867,123.47565003341164,110.78945404234004
195,2010-02-05 22:02:17+00:00,,,,
196,2010-02-12 22:08:30+00:00,165.76139133411672,155.82363766183823,145.75529283143084,130.83843925707785
197,2010-02-20 22:09:33+00:00,,,138.71849460067665,133.41904735220805
198,2010-02-21 22:02:20+00:00,162.99710551100642,152.47861384503474,145.4615985271486,134.88166057259593
199,2010-03-08 22:09:41+00:00,,,,
200,2010-03-17 22:03:33+00:00,135.6500398622565,140.9871987309624,134.81095454284403,122.99460390445208
201,2010-03-24 22:09:46+00:00,155.5851303201803,150.87302504012837,143.1687414068699,
202,2010-05-04 22:03:35+00:00,,,148.21981882516357,146.9179688027606
203,2010-05-27 22:09:43+00:00,,,,
204,2010-07-14 22:09:48+00:00,124.56946789569646,125.83932291705658,121.58485377244584,106.275448778528
205,2010-07-23 22:03:38+00:00,182.0419304178285,,,
206,2010-08-08 22:03:37+00:00,176.4732579054752,177.1387076452399,165.89398650938398,147.72789312321115
207,2010-10-02 22:09:49+00:00,184.69837855136367,188.16590549027228,179.66124353919886,159.4078743489419
208,2010-10-26 22:07:27+00:00,159.352143986567,148.254647816267,128.74087711191774,119.11209589288512
209,2010-11-12 22:04:06+00:00,158.4925511869102,154.2867073785353,141.42310913778246,133.69435928813576
