dates,nzd0221-0000,nzd0221-0001,nzd0221-0002,nzd0221-0003,nzd0221-0004,nzd0221-0005,nzd0221-0006,nzd0221-0007,nzd0221-0008,nzd0221-0009,nzd0221-0010,nzd0221-0011,nzd0221-0012,nzd0221-0013,nzd0221-0014,nzd0221-0015,nzd0221-0016,nzd0221-0017,nzd0221-0018,nzd0221-0019,nzd0221-0020,nzd0221-0021,satname
1999-07-18 21:58:49+00:00,,,,,,290.11,294.81,,,,,,,,,,,,,,,,L7
1999-10-06 21:59:04+00:00,337.37,322.82,336.48,337.32,327.24,318.54,315.48,323.28,326.58,333.31,334.53,334.26,333.68,338.10,341.84,339.17,337.80,329.23,329.71,329.04,337.00,336.72,L7
1999-12-25 21:58:52+00:00,333.38,324.64,344.10,343.82,341.96,329.18,322.17,325.02,326.09,334.52,342.05,345.17,346.00,344.87,346.79,353.27,352.97,355.45,352.92,335.91,348.03,346.51,L7
2000-03-30 21:58:33+00:00,332.12,345.38,348.73,341.73,356.33,329.88,336.02,339.99,331.07,,337.82,346.51,357.25,361.60,369.72,363.75,366.03,365.74,370.81,363.62,355.51,357.96,L7
2000-07-04 21:57:38+00:00,330.73,296.46,,,,286.15,,,,294.67,323.22,,,,,320.40,,321.15,,315.45,,336.42,L7
2000-08-05 21:57:08+00:00,319.70,311.65,,,,296.54,,,,,325.43,,360.10,359.54,,,346.36,331.73,,314.64,,355.78,L7
2000-11-09 21:56:21+00:00,341.28,338.66,347.88,342.40,338.78,331.72,322.45,330.63,328.93,329.97,337.55,347.00,352.05,352.60,356.33,349.96,350.51,344.35,343.95,344.65,357.60,355.71,L7
2001-03-17 21:56:16+00:00,371.33,364.30,362.06,377.14,,,356.48,345.14,342.67,338.35,342.87,362.26,377.30,388.41,382.94,381.06,364.67,369.09,,,380.01,377.77,L7
2001-06-21 21:55:29+00:00,327.35,304.31,279.57,,,296.08,,293.23,289.71,304.15,322.95,,307.85,,,328.87,327.51,331.78,357.09,325.07,,334.23,L7
2001-08-08 21:55:01+00:00,325.06,301.05,315.29,,299.18,277.59,,267.04,272.62,287.57,329.60,,340.92,347.94,,333.89,296.05,303.05,,333.23,342.94,328.23,L7
2001-08-24 21:54:48+00:00,323.37,306.72,309.11,,284.61,297.09,,273.12,266.34,,338.44,,347.15,352.89,,343.35,338.96,326.89,,319.47,321.18,329.98,L7
2001-09-09 21:54:36+00:00,367.97,371.96,359.91,361.47,370.95,376.81,380.13,375.39,356.13,355.77,359.96,395.35,385.59,365.76,375.34,377.51,368.94,371.05,374.73,369.97,358.42,375.52,L7
2001-09-25 21:54:28+00:00,387.12,385.47,369.40,365.76,368.18,375.05,375.80,368.62,363.85,363.06,359.09,371.38,377.80,376.86,380.52,377.61,374.34,381.10,381.15,377.04,356.72,370.05,L7
2002-02-16 21:54:54+00:00,393.93,392.21,389.65,379.91,370.92,381.06,385.85,381.05,366.10,362.20,359.94,373.22,373.87,372.17,371.79,382.25,386.63,377.85,361.51,351.14,376.09,397.99,L7
2002-03-20 21:54:48+00:00,362.83,361.08,366.26,366.44,360.29,357.70,331.50,349.50,348.92,347.22,340.93,349.32,350.31,358.52,360.58,365.71,352.49,342.47,345.26,347.26,347.97,365.43,L7
2002-08-11 21:54:12+00:00,327.33,296.48,296.15,291.81,293.70,292.54,271.32,289.64,288.20,295.66,311.14,,,317.31,,326.96,312.14,317.90,319.73,324.89,330.89,331.46,L7
2002-08-27 21:54:00+00:00,340.12,322.35,328.33,312.26,314.16,312.45,298.10,325.65,291.02,308.29,329.68,,346.16,343.67,,331.76,320.55,343.80,351.90,354.85,365.54,365.80,L7
2002-12-01 21:54:16+00:00,344.12,336.92,343.99,342.71,344.32,328.63,322.73,329.54,330.25,330.86,335.79,336.96,343.69,350.76,347.54,344.42,346.74,343.13,346.89,345.39,351.51,356.80,L7
2003-01-18 21:54:30+00:00,342.94,328.49,352.73,342.94,342.40,328.78,325.56,337.93,338.73,337.75,337.14,342.29,346.65,345.54,354.63,343.40,352.67,346.67,350.70,331.55,359.77,344.07,L7
2003-04-08 21:54:47+00:00,364.92,,351.92,347.46,340.79,353.99,335.04,333.74,348.31,365.63,366.94,373.08,362.53,359.02,359.42,364.45,348.27,352.62,363.27,,376.76,366.03,L7
2003-04-24 21:54:46+00:00,359.55,367.80,352.07,343.97,301.96,298.83,331.12,330.80,,355.42,352.80,358.30,354.70,351.12,353.76,352.59,331.67,351.24,350.14,,371.04,367.63,L7
2003-05-26 21:54:43+00:00,,,351.98,,309.73,305.17,,,320.98,317.56,,339.43,338.67,348.80,352.63,341.07,349.19,348.49,357.75,331.65,382.76,379.79,L7
2003-07-21 21:42:33+00:00,366.30,376.22,343.42,,,270.75,,,,,,,365.84,371.38,,,,,,334.66,,360.62,L5
2003-07-29 21:54:29+00:00,336.45,,,306.40,295.70,296.33,,,,302.87,323.25,,,,325.75,330.61,324.28,324.24,325.13,316.53,,,L7
2003-08-06 21:42:51+00:00,377.62,388.21,373.02,368.09,,281.81,,,,,363.85,364.90,360.20,371.65,375.15,370.82,342.61,332.09,313.23,317.64,,370.25,L5
2003-10-25 21:44:04+00:00,345.56,332.08,352.83,333.40,321.60,314.49,305.60,322.69,327.00,329.99,341.47,348.34,344.15,344.03,355.92,351.01,349.31,340.92,348.48,323.72,358.96,345.64,L5
2003-12-04 21:54:43+00:00,,,341.48,341.51,336.38,335.29,332.15,347.92,346.84,347.70,342.49,352.83,361.55,,,,347.47,350.50,360.43,354.90,353.45,352.01,L7
2004-03-01 21:45:02+00:00,344.67,337.48,334.05,338.31,333.71,314.46,317.55,322.38,336.91,338.80,338.63,337.44,343.86,342.22,340.86,341.62,347.00,350.65,356.69,344.75,340.28,351.77,L5
2004-03-09 21:55:15+00:00,339.04,327.57,340.33,330.89,318.33,314.60,316.47,,,,346.40,337.96,335.00,335.21,335.46,338.50,347.33,362.36,355.89,331.49,352.11,,L7
2004-03-17 21:45:08+00:00,,,,,,,,,,,,,,330.76,333.63,330.31,331.93,331.68,339.88,328.79,338.51,339.31,L5
2004-03-25 21:55:18+00:00,330.17,317.53,324.51,316.38,314.55,,,315.60,319.35,303.81,327.90,332.49,326.03,326.64,324.44,329.78,338.45,344.09,349.86,,,339.47,L7
2004-04-18 21:45:49+00:00,332.13,320.47,334.68,319.04,313.29,310.89,299.85,327.57,308.74,317.26,334.50,,307.54,319.93,324.65,333.34,345.42,353.20,365.51,338.96,348.97,348.10,L5
2004-05-04 21:46:16+00:00,318.06,300.57,305.84,288.01,289.27,291.19,270.36,302.75,304.09,314.95,327.29,300.61,312.96,313.94,322.03,325.96,332.32,323.66,330.34,310.62,328.80,320.11,L5
2004-05-12 21:55:13+00:00,,287.16,254.63,289.96,292.40,286.09,275.95,319.36,274.36,,330.95,,,,,330.46,340.12,338.19,348.92,,340.37,331.46,L7
2004-07-07 21:48:09+00:00,312.29,279.51,227.31,,,253.52,,,255.97,269.27,288.20,246.56,258.10,,,287.39,,,,298.16,,313.20,L5
2004-07-23 21:48:33+00:00,307.31,297.57,247.39,,,270.55,,,267.22,276.73,323.17,255.99,268.80,312.87,,286.65,,,331.03,354.95,356.40,359.97,L5
2004-07-31 21:54:51+00:00,334.97,317.99,,298.35,,,276.04,299.64,297.09,307.16,326.18,289.48,305.96,326.50,318.62,323.03,326.30,325.22,,,343.15,330.84,L7
2004-08-08 21:48:50+00:00,304.40,303.11,244.07,,265.48,267.95,247.24,262.44,268.61,278.76,300.62,261.26,270.09,306.90,282.63,284.07,,,292.86,326.24,,319.12,L5
2004-09-09 21:49:43+00:00,337.16,337.25,,,,,,336.95,351.21,,350.55,347.80,,,343.57,343.40,359.84,,,,,,L5
2004-09-17 21:54:39+00:00,,,240.37,,,237.17,,,,,,,,,,,,,,,,,L7
2004-09-25 21:50:07+00:00,329.71,319.98,332.66,328.28,324.96,309.08,302.05,312.94,314.94,311.28,327.29,335.41,336.19,337.02,324.62,326.75,331.27,334.85,333.87,325.81,344.82,340.04,L5
2004-10-27 21:50:47+00:00,333.57,322.66,351.26,338.24,330.52,317.03,310.57,317.97,316.40,320.56,326.25,337.70,340.82,338.25,340.46,340.69,343.67,340.11,335.35,319.69,339.77,,L5
2005-01-15 21:52:09+00:00,358.29,343.81,333.23,337.97,335.96,329.04,326.99,338.12,335.77,334.18,335.21,344.72,348.06,356.83,339.54,325.67,313.07,308.78,312.66,348.22,341.98,,L5
2005-02-08 21:55:35+00:00,332.52,,,324.13,318.35,311.78,303.52,319.85,320.48,324.15,327.79,335.42,334.06,322.35,336.06,,,329.20,340.35,319.63,350.18,330.46,L7
