dates,satname,nzd0221-0000,nzd0221-0001,nzd0221-0002,nzd0221-0003,nzd0221-0004,nzd0221-0005,nzd0221-0006,nzd0221-0007,nzd0221-0008,nzd0221-0009,nzd0221-0010,nzd0221-0011,nzd0221-0012,nzd0221-0013,nzd0221-0014,nzd0221-0015,nzd0221-0016,nzd0221-0017,nzd0221-0018,nzd0221-0019,nzd0221-0020,nzd0221-0021
1999-07-18 21:58:49+00:00,L7,,652.28,500.82,417.70,444.51,293.35,297.81,,,,,,618.25,632.42,,,,94.84,106.51,103.44,,647.61
1999-10-06 21:59:04+00:00,L7,330.62,318.96,325.68,333.46,324.06,315.62,312.78,316.53,319.38,325.00,326.82,325.95,325.37,332.10,332.02,329.35,324.30,315.73,316.21,326.34,326.20,334.02
1999-12-25 21:58:52+00:00,L7,324.63,319.64,330.10,338.82,337.84,325.40,318.67,316.27,316.76,323.75,332.05,334.40,335.23,337.09,334.06,340.54,335.47,337.95,335.42,332.41,334.03,343.01
2000-03-30 21:58:33+00:00,L7,333.87,346.38,351.53,342.73,357.15,330.64,336.72,341.74,332.94,,339.82,348.66,359.40,363.16,372.27,366.30,369.53,369.24,374.31,364.32,358.31,358.66
2000-07-04 21:57:38+00:00,L7,322.48,291.75,254.24,157.90,175.78,282.58,236.12,269.11,270.62,284.52,313.79,261.54,304.02,308.40,291.16,308.40,,304.65,296.34,312.15,,333.12
2000-08-05 21:57:08+00:00,L7,328.33,316.58,279.04,284.60,293.93,300.27,268.71,296.47,280.93,,335.29,271.98,370.72,367.21,304.17,,363.61,348.98,319.79,318.09,,359.23
2000-11-09 21:56:21+00:00,L7,332.28,333.52,333.48,337.26,334.54,327.83,318.85,321.63,319.33,318.89,327.26,335.92,340.97,344.60,343.24,336.87,332.51,326.35,325.95,341.05,343.20,352.11
2001-03-17 21:56:16+00:00,L7,378.46,368.37,373.46,381.21,387.54,378.17,359.33,352.27,350.27,347.12,351.01,371.03,386.07,394.74,393.30,391.42,378.92,383.34,406.47,398.42,391.41,380.62
2001-05-20 21:55:53+00:00,L7,,,134.21,149.71,,214.13,133.20,,167.60,,,,232.16,231.84,,,,,,,,
2001-06-21 21:55:29+00:00,L7,308.60,293.60,249.57,155.77,176.04,287.97,268.21,274.48,269.71,281.07,301.52,260.95,284.77,286.45,290.96,301.60,290.01,294.28,319.59,317.57,,326.73
2001-08-08 21:55:01+00:00,L7,322.31,299.48,310.89,286.70,297.89,276.40,257.60,264.29,269.69,284.19,326.46,268.97,337.54,345.50,,329.89,290.55,297.55,,332.13,338.54,327.13
