dates,nzd0221-0000,nzd0221-0001,nzd0221-0002,nzd0221-0003,nzd0221-0004,nzd0221-0005,nzd0221-0006,nzd0221-0007,nzd0221-0008,nzd0221-0009,nzd0221-0010,nzd0221-0011,nzd0221-0012,nzd0221-0013,nzd0221-0014,nzd0221-0015,nzd0221-0016,nzd0221-0017,nzd0221-0018,nzd0221-0019,nzd0221-0020,nzd0221-0021,satname
1999-07-18 21:58:49+00:00,,,,,,290.11,294.81,,,,,,,,,,,,,,,,L7
1999-10-06 21:59:04+00:00,337.37,322.82,336.48,337.32,327.24,304.33,305.14,323.28,326.58,333.31,334.53,334.26,333.68,338.10,341.84,339.17,337.80,329.23,329.71,329.04,337.00,336.72,L7
1999-12-25 21:58:52+00:00,335.38,323.73,340.29,340.57,334.60,312.61,310.82,324.15,326.33,333.91,338.29,339.72,339.84,341.49,344.31,346.22,345.38,342.34,341.31,332.48,342.51,341.62,L7
2000-03-30 21:58:33+00:00,334.29,330.95,343.10,340.96,341.84,325.87,324.56,329.43,327.91,333.91,338.13,341.98,345.64,348.19,352.78,352.06,352.27,350.14,351.15,342.86,346.85,347.06,L7
2000-07-04 21:57:38+00:00,331.43,320.92,348.73,341.73,356.33,308.01,336.02,339.99,331.07,294.67,330.52,346.51,357.25,361.60,369.72,342.07,366.03,343.44,370.81,339.53,355.51,347.19,L7
2000-08-05 21:57:08+00:00,327.52,317.83,348.73,341.73,356.33,304.19,336.02,339.99,331.07,294.67,328.82,346.51,358.68,360.57,369.72,342.07,356.19,339.54,370.81,331.24,355.51,350.05,L7
2000-11-09 21:56:21+00:00,330.57,315.59,347.88,342.40,338.78,304.80,322.45,330.63,328.93,312.32,328.73,347.00,356.08,356.07,356.33,335.18,348.44,332.41,343.95,324.91,357.60,349.30,L7
2001-03-17 21:56:16+00:00,356.30,351.48,354.97,359.77,338.78,331.72,339.47,337.88,335.80,334.16,340.21,354.63,364.68,370.50,369.63,365.51,357.59,356.72,343.95,344.65,368.81,366.74,L7
2001-06-21 21:55:29+00:00,349.34,334.31,320.81,377.14,,296.08,356.48,319.19,316.19,321.25,332.91,362.26,342.58,388.41,382.94,354.97,346.09,350.43,357.09,325.07,380.01,356.00,L7
2001-08-08 21:55:01+00:00,341.25,323.22,318.97,377.14,299.18,286.83,356.48,301.80,301.67,310.02,331.81,362.26,342.02,368.18,382.94,347.94,329.41,334.64,357.09,329.15,361.48,346.74,L7
2001-08-24 21:54:48+00:00,336.78,319.10,316.51,377.14,291.89,290.25,356.48,294.63,292.83,310.02,333.47,362.26,343.31,363.08,382.94,346.79,331.80,332.70,357.09,325.92,348.04,342.55,L7
2001-09-09 21:54:36+00:00,343.02,329.67,325.19,369.31,318.25,311.89,368.31,310.78,305.49,321.46,338.76,378.81,351.76,363.75,379.14,352.94,339.23,340.37,365.91,336.94,350.64,349.15,L7
2001-09-25 21:54:28+00:00,346.17,333.90,326.66,363.62,330.73,324.52,377.97,315.48,309.73,327.64,342.01,383.37,351.86,360.86,377.93,352.25,341.16,342.77,370.99,344.96,344.81,347.60,L7
2002-02-16 21:54:54+00:00,368.10,364.09,357.02,369.05,348.66,357.50,380.59,349.54,338.11,360.34,354.36,379.98,371.10,366.92,375.88,370.18,367.22,364.22,372.46,354.41,353.10,368.38,L7
2002-03-20 21:54:48+00:00,381.29,379.59,375.10,370.70,366.46,371.27,364.38,366.39,359.62,357.49,353.32,364.64,367.33,369.18,370.96,375.19,371.15,367.14,362.64,358.48,360.26,377.82,L7
2002-08-11 21:54:12+00:00,361.36,349.92,350.69,346.05,341.64,343.77,329.56,340.06,334.41,335.03,337.34,361.27,362.09,349.33,366.19,358.31,350.42,346.07,342.17,341.10,351.65,364.96,L7
2002-08-27 21:54:00+00:00,343.43,326.64,330.25,323.50,322.72,320.90,300.31,321.60,309.38,317.06,327.25,349.32,348.24,339.83,360.58,341.48,328.39,334.72,338.96,342.33,348.13,354.23,L7
2002-12-01 21:54:16+00:00,337.19,318.58,322.82,315.59,317.39,311.21,297.38,314.94,303.16,311.60,325.54,336.96,344.93,337.25,347.54,334.38,326.48,334.94,339.51,341.71,349.31,351.35,L7
2003-01-18 21:54:30+00:00,338.63,321.06,330.30,322.43,323.64,315.60,304.43,320.69,312.05,318.14,328.44,339.62,345.50,339.32,351.09,336.63,333.03,337.88,342.30,339.17,351.93,349.53,L7
2003-04-08 21:54:47+00:00,350.66,332.70,349.55,344.37,342.50,337.13,327.78,333.74,339.10,344.75,346.62,350.78,350.96,351.77,353.86,350.76,349.23,347.47,353.62,338.47,362.68,355.63,L7
2003-04-24 21:54:46+00:00,352.88,344.40,350.18,344.27,332.37,327.56,328.61,333.00,339.10,347.42,348.17,352.66,351.89,351.61,353.84,351.21,344.84,348.42,352.75,338.47,364.77,358.63,L7
2003-05-26 21:54:43+00:00,352.88,344.40,350.54,344.27,327.84,323.08,328.61,333.00,334.57,341.44,348.17,350.01,349.25,351.05,353.60,349.19,345.71,348.43,353.75,336.20,368.37,362.86,L7
2003-07-21 21:42:33+00:00,363.59,372.01,349.85,345.71,317.49,307.19,333.08,332.27,334.64,346.20,359.87,356.94,355.44,357.58,355.27,352.70,343.04,350.78,357.05,333.15,376.85,368.52,L5
2003-07-29 21:54:29+00:00,356.81,372.01,349.85,332.61,312.05,305.01,333.08,332.27,334.64,335.37,347.66,356.94,355.44,357.58,347.89,347.18,338.35,344.15,349.07,327.61,376.85,368.52,L7
2003-08-06 21:42:51+00:00,360.97,377.41,354.48,341.48,312.05,301.15,333.08,332.27,334.64,335.37,351.71,358.93,356.39,360.39,353.34,351.91,339.20,341.74,341.90,325.12,376.85,368.86,L5
2003-10-25 21:44:04+00:00,356.48,365.50,355.31,335.96,309.01,293.71,305.60,322.69,323.99,316.81,342.86,350.89,352.21,358.96,352.36,348.38,341.35,336.44,336.15,324.84,370.86,364.07,L5
2003-12-04 21:54:43+00:00,356.48,365.50,352.69,337.35,317.89,299.73,318.88,335.31,336.92,326.85,342.76,355.36,357.94,362.35,352.27,350.81,340.92,336.94,336.82,329.49,356.20,357.13,L7
2004-03-01 21:45:02+00:00,345.12,334.78,342.79,337.74,330.56,321.41,318.43,331.00,336.92,338.83,340.86,346.20,349.85,343.12,348.39,346.31,347.93,347.36,355.20,341.12,350.90,349.81,L5
2004-03-09 21:55:15+00:00,343.09,332.38,342.17,336.03,327.50,319.71,317.94,331.00,336.92,338.83,342.25,344.14,346.14,340.49,344.08,343.71,347.78,351.11,355.37,338.71,351.20,349.81,L7
2004-03-17 21:45:08+00:00,343.09,332.38,342.17,336.03,327.50,319.71,317.94,331.00,336.92,338.83,342.25,344.14,346.14,338.06,341.47,340.36,344.61,347.22,352.27,336.73,348.66,347.18,L5
2004-03-25 21:55:18+00:00,339.86,328.66,338.64,332.10,324.91,319.71,317.94,327.15,332.52,330.08,339.38,341.81,342.12,335.77,338.06,338.24,343.58,346.70,351.87,336.73,348.66,345.64,L7
2004-04-18 21:45:49+00:00,338.31,327.03,337.98,329.92,322.98,317.95,314.32,327.23,327.77,327.51,338.56,341.81,336.36,333.13,335.83,337.43,343.84,347.63,353.82,337.10,348.71,346.05,L5
2004-05-04 21:46:16+00:00,332.81,320.72,330.15,322.36,317.59,313.29,307.28,323.24,323.19,324.50,336.20,332.27,331.16,328.12,330.18,333.25,341.42,345.16,351.23,334.92,343.69,341.80,L5
2004-05-12 21:55:13+00:00,332.81,315.13,319.36,317.73,313.99,308.75,302.06,322.60,315.05,324.50,335.45,332.27,331.16,328.12,330.18,332.85,341.25,344.29,350.94,334.92,343.21,340.32,L7
2004-07-07 21:48:09+00:00,329.39,310.04,303.05,313.76,310.26,295.12,296.04,317.53,299.90,308.82,327.70,311.01,313.92,328.12,330.18,327.17,340.37,343.40,349.58,325.46,341.51,334.77,L5
2004-07-23 21:48:33+00:00,326.24,308.48,296.09,313.76,310.26,291.61,296.04,317.53,295.23,303.47,327.13,301.84,307.47,325.94,330.18,322.67,340.37,343.40,347.26,329.67,343.63,337.92,L5
2004-07-31 21:54:51+00:00,327.33,309.54,296.09,311.56,310.26,291.61,292.70,314.55,295.47,304.00,327.02,300.08,307.28,326.01,328.53,322.70,338.61,341.13,347.26,329.67,343.57,337.14,L7
2004-08-08 21:48:50+00:00,324.78,308.90,290.31,311.56,303.86,288.66,286.21,307.11,292.48,300.84,324.38,295.22,303.15,323.89,322.79,319.19,338.61,341.13,341.22,329.25,343.57,335.33,L5
2004-09-09 21:49:43+00:00,322.06,306.80,276.92,302.35,295.00,280.03,273.89,309.19,294.07,295.42,323.26,290.60,292.78,319.65,321.37,317.44,339.20,336.01,336.91,326.29,342.70,333.51,L5
2004-09-17 21:54:39+00:00,322.06,306.80,272.35,302.35,295.00,273.91,273.89,309.19,294.07,295.42,323.26,290.60,292.78,317.80,319.32,316.01,340.41,336.87,336.42,325.79,343.54,332.78,L7
2004-09-25 21:50:07+00:00,322.00,307.07,273.37,304.73,297.08,278.31,278.58,308.81,293.58,296.49,323.19,291.02,294.23,319.53,319.35,315.67,339.21,335.02,333.75,325.79,343.75,332.86,L5
2004-10-27 21:50:47+00:00,322.18,307.31,275.44,308.57,300.53,279.07,280.37,307.44,294.43,296.96,322.28,296.85,298.99,322.58,321.99,316.49,338.92,332.41,328.73,322.58,342.22,330.68,L5
2005-01-15 21:52:09+00:00,329.34,320.34,291.50,325.71,314.23,288.47,292.58,311.34,307.32,304.78,327.04,310.34,311.65,329.73,324.91,318.61,334.83,327.24,321.15,334.98,345.22,337.49,L5
2005-02-08 21:55:35+00:00,338.25,330.93,314.38,332.15,327.45,300.82,310.78,325.17,327.76,322.54,333.42,340.21,339.78,338.61,336.85,334.13,336.96,328.24,330.56,328.34,344.19,335.25,L7
2005-02-24 21:55:41+00:00,338.25,330.93,321.41,332.65,326.87,303.52,310.70,325.23,328.33,324.75,333.11,338.72,338.31,338.61,336.85,334.13,337.42,329.16,333.54,329.43,346.93,338.63,L7
2005-03-04 21:52:52+00:00,340.89,333.70,326.04,337.43,332.53,308.23,314.69,326.01,330.48,329.33,333.91,337.87,338.15,339.48,337.28,335.69,337.26,328.83,334.87,333.77,348.61,344.87,L5
2005-03-28 21:55:42+00:00,342.96,333.94,345.67,337.12,332.09,322.27,317.22,325.70,327.37,331.87,333.13,336.00,335.12,337.73,337.66,336.00,334.67,328.79,336.02,335.36,349.37,346.48,L7
2005-04-05 21:53:07+00:00,334.23,328.38,341.66,334.76,329.27,317.00,312.96,325.20,324.57,329.95,334.53,336.05,333.51,335.45,332.80,330.95,328.62,323.03,329.70,328.73,347.36,344.34,L5
2005-04-13 21:55:36+00:00,333.23,325.38,337.71,330.58,329.27,317.00,309.55,323.89,319.70,325.67,333.12,332.33,332.44,334.56,330.08,329.93,329.34,323.03,329.70,328.73,347.36,344.18,L7
