dates,nzd0606-0000,nzd0606-0001,nzd0606-0002,nzd0606-0003,nzd0606-0004,nzd0606-0005,nzd0606-0006,nzd0606-0007,nzd0606-0008,nzd0606-0009,nzd0606-0010,nzd0606-0011,nzd0606-0012,nzd0606-0013,nzd0606-0014,nzd0606-0015,nzd0606-0016,nzd0606-0017,nzd0606-0018,nzd0606-0019,nzd0606-0020,nzd0606-0021,nzd0606-0022,nzd0606-0023,nzd0606-0024,nzd0606-0025,nzd0606-0026,nzd0606-0027,nzd0606-0028,nzd0606-0029,nzd0606-0030,nzd0606-0031,nzd0606-0032,nzd0606-0033,nzd0606-0034,nzd0606-0035,nzd0606-0036,satname
1999-08-03 22:00:08+00:00,227.08,217.96,213.28,216.08,211.85,222.71,220.88,218.80,226.04,215.80,216.29,213.77,210.46,213.91,209.11,203.07,201.17,208.46,209.53,210.78,209.96,216.66,214.94,216.58,210.47,217.71,210.60,216.88,218.48,224.22,220.10,213.11,210.09,216.33,219.66,224.04,220.91,L7
1999-08-12 21:53:56+00:00,,,,,,,,,,215.41,218.63,218.43,219.56,217.26,210.54,211.33,213.97,210.56,219.10,226.52,226.19,224.36,222.15,215.46,226.84,221.93,217.83,216.62,220.75,228.93,226.23,216.93,209.49,217.29,221.73,215.62,215.18,L7
1999-09-29 21:54:04+00:00,,,,,,,,,,227.84,212.58,226.62,216.11,221.32,222.13,204.56,209.97,214.23,222.19,217.28,223.95,210.52,219.30,210.89,222.17,208.68,214.48,215.85,216.50,224.34,225.02,211.80,209.90,214.56,217.71,221.32,224.81,L7
2000-01-26 21:59:38+00:00,241.33,241.16,226.89,239.67,243.79,230.97,243.79,238.35,247.51,236.29,235.25,236.77,232.15,226.23,227.62,223.89,229.20,226.75,234.44,235.55,237.34,236.70,,,,202.58,218.83,221.37,229.98,223.09,217.19,205.71,223.16,228.55,233.28,234.60,241.61,L7
2000-02-27 21:59:52+00:00,240.76,234.89,227.40,227.03,238.88,226.47,238.82,222.71,231.19,225.75,217.40,226.63,223.38,223.44,226.18,210.73,228.22,220.08,223.82,232.09,223.95,230.52,219.83,223.60,219.32,228.54,223.91,219.87,227.26,226.45,234.68,221.60,225.43,214.82,223.44,221.07,228.13,L7
2000-03-30 21:59:45+00:00,,,,,,,,,219.09,226.42,231.49,229.09,223.02,227.82,227.78,225.21,,,240.13,,,,,,,,,,,,,221.06,222.30,220.70,226.77,226.13,231.66,L7
2000-05-01 21:59:30+00:00,230.72,228.14,233.63,230.65,229.91,231.80,229.66,243.18,,227.16,226.10,223.04,222.86,221.94,219.10,221.87,222.54,226.84,231.44,238.12,235.63,235.46,231.46,227.51,230.53,233.16,225.69,224.77,222.19,230.33,223.62,221.78,219.54,218.58,222.96,224.18,227.84,L7
2000-05-17 21:59:19+00:00,,,,214.27,227.56,222.81,224.00,219.52,214.07,212.62,206.01,221.63,219.01,221.15,217.52,216.20,231.06,224.64,227.45,223.25,216.59,230.61,221.67,224.73,225.00,229.67,224.64,223.34,229.16,228.08,231.88,218.63,219.52,218.39,221.71,216.49,224.44,L7
2000-05-26 21:53:00+00:00,,,,,,,,,,,,,,,,,225.60,214.88,226.25,228.68,232.94,232.09,230.69,221.16,226.10,230.29,221.63,221.74,223.64,228.70,225.07,218.85,212.30,213.36,205.62,219.82,228.30,L7
2000-06-18 21:59:03+00:00,238.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.05,205.92,217.19,218.28,219.25,L7
