dates,nzd0275-0000,nzd0275-0001,nzd0275-0002,nzd0275-0003,nzd0275-0004,nzd0275-0005,nzd0275-0006,nzd0275-0007,nzd0275-0008,nzd0275-0009,nzd0275-0010,nzd0275-0011,nzd0275-0012,nzd0275-0013,nzd0275-0014,nzd0275-0015,nzd0275-0016,nzd0275-0017,nzd0275-0018,nzd0275-0019,nzd0275-0020,nzd0275-0021,nzd0275-0022,nzd0275-0023,nzd0275-0024,nzd0275-0025,nzd0275-0026,nzd0275-0027,nzd0275-0028,nzd0275-0029,nzd0275-0030,nzd0275-0031,nzd0275-0032,nzd0275-0033,nzd0275-0034,nzd0275-0035,nzd0275-0036,nzd0275-0037,nzd0275-0038,satname
1999-08-21 21:46:56+00:00,342.18,325.46,323.01,308.78,299.23,278.85,279.14,304.71,293.09,294.76,312.07,318.33,310.98,300.97,297.65,290.37,284.04,290.16,302.75,291.68,298.55,306.05,311.59,318.89,310.81,322.92,321.61,330.05,332.71,317.91,328.23,324.08,327.00,340.63,347.52,337.25,337.00,336.54,332.33,L7
1999-09-22 21:47:00+00:00,338.51,309.19,325.27,304.99,302.43,290.98,291.23,306.46,297.52,298.07,312.43,314.64,303.40,297.54,290.83,290.77,283.85,290.56,295.91,292.28,304.44,311.44,314.33,311.96,307.84,317.26,321.21,329.09,328.90,317.24,324.77,326.81,328.25,338.90,344.69,338.69,336.90,334.69,329.70,L7
1999-10-08 21:47:06+00:00,338.51,309.19,325.27,304.99,302.43,290.98,291.23,306.46,297.52,298.07,309.91,310.78,301.49,297.91,288.49,287.97,283.67,290.56,295.91,292.28,304.44,311.44,314.33,311.96,307.84,317.26,321.21,329.09,328.90,317.24,321.14,321.41,325.03,331.73,337.38,332.88,336.90,334.69,329.70,L7
1999-10-24 21:46:56+00:00,342.58,322.46,329.98,316.93,314.04,299.05,299.22,309.64,301.24,303.85,312.37,311.64,304.38,300.13,292.87,293.00,287.76,289.58,294.41,292.96,303.72,309.31,312.97,312.08,306.49,317.32,321.46,330.51,327.84,323.28,323.24,322.56,325.69,331.59,336.89,333.99,333.81,331.57,327.11,L7
2000-02-13 21:46:48+00:00,346.01,326.92,326.48,319.35,315.93,303.55,302.31,307.56,299.61,307.28,314.76,313.58,304.47,300.32,294.13,291.70,286.99,288.14,293.11,291.52,298.30,304.06,307.75,308.19,303.71,311.77,318.62,327.02,324.36,320.66,320.81,320.86,323.14,327.68,333.92,332.63,331.98,329.81,325.24,L7
2000-05-03 21:46:19+00:00,349.15,345.78,309.63,312.75,314.71,317.02,310.48,300.85,297.10,311.83,326.25,322.31,307.11,298.52,297.05,290.28,286.35,284.33,287.33,284.92,283.20,292.63,296.52,296.54,292.57,301.59,311.85,314.31,312.61,317.58,321.44,319.60,319.45,320.25,325.03,330.02,330.12,330.13,325.91,L7
2000-05-19 21:46:07+00:00,350.16,344.22,309.20,311.71,315.33,318.69,313.46,300.83,301.51,316.97,329.61,325.79,309.62,297.32,296.51,290.69,287.54,284.86,285.14,285.60,285.38,292.11,299.31,298.58,293.98,303.74,312.54,314.82,314.09,316.77,321.95,321.03,321.28,324.41,327.38,333.56,332.85,332.55,329.36,L7
2000-08-07 21:45:08+00:00,345.04,344.22,306.48,310.94,314.65,316.05,308.48,297.76,299.00,313.93,327.07,322.58,306.88,297.60,296.06,290.32,287.23,284.24,284.99,286.41,287.12,293.94,300.16,300.24,296.08,306.45,316.05,318.60,319.10,316.85,321.73,321.27,320.50,323.20,327.27,336.30,335.16,334.27,331.11,L7
2001-04-04 21:44:06+00:00,315.77,313.71,311.36,319.79,322.03,312.00,306.94,302.80,301.81,304.17,316.18,311.48,298.96,290.69,287.54,283.28,278.72,288.32,291.12,297.38,303.22,303.58,300.34,293.37,301.23,311.99,320.76,320.33,319.56,318.70,313.43,326.46,330.68,327.77,331.58,338.29,335.99,330.58,336.62,L7
2001-04-20 21:44:10+00:00,322.96,325.48,318.75,326.27,324.51,315.28,309.53,309.81,310.66,308.85,318.96,313.09,304.37,303.89,297.84,287.85,279.92,284.49,286.96,299.51,308.30,310.28,301.44,297.13,301.78,313.91,322.06,322.30,321.14,320.18,317.62,331.02,330.85,330.00,334.45,341.71,338.40,331.50,335.77,L7
2001-05-22 21:43:54+00:00,328.19,330.10,313.82,325.71,324.36,314.62,308.43,308.71,309.84,312.42,322.46,314.85,306.74,306.12,303.00,295.19,283.00,284.55,286.74,299.06,307.80,310.91,306.29,303.19,306.90,314.20,321.70,323.45,323.58,323.11,320.79,331.06,333.50,331.14,334.75,341.29,337.99,333.19,335.84,L7
2001-07-25 21:43:18+00:00,327.49,330.10,309.68,322.57,323.23,314.88,309.04,309.25,310.24,312.74,320.83,313.53,305.79,305.27,301.64,295.41,286.73,287.72,288.44,297.62,305.57,309.32,306.94,304.64,306.66,315.01,322.00,323.43,323.35,323.17,322.04,330.42,331.70,332.22,335.19,341.90,339.22,333.19,338.52,L7
2001-08-10 21:43:00+00:00,328.28,330.10,308.55,321.15,320.99,313.59,309.57,308.48,309.68,312.80,320.31,313.10,304.92,304.20,300.98,295.73,288.58,288.51,288.80,295.68,303.83,307.87,306.76,305.05,306.37,313.95,321.48,324.39,323.90,322.70,321.16,329.24,330.25,331.82,335.24,341.91,339.34,334.63,339.07,L7
2001-09-11 21:42:38+00:00,333.80,332.83,310.90,322.31,320.95,314.40,310.41,309.38,310.22,313.31,320.11,314.05,306.14,303.49,298.69,294.21,289.00,289.16,287.56,293.27,301.68,307.26,305.56,304.46,304.54,312.46,319.39,323.68,323.75,322.90,320.81,327.80,327.87,331.57,335.27,340.59,337.41,334.10,336.85,L7
2001-09-27 21:42:29+00:00,341.60,332.83,310.90,325.24,323.72,317.39,312.40,308.03,309.37,312.27,320.00,314.73,307.34,305.23,300.58,294.62,289.11,289.09,287.92,294.40,302.78,307.92,306.70,304.06,303.51,314.24,320.89,324.41,323.80,323.62,322.00,329.13,329.13,332.79,336.81,342.73,337.86,334.58,336.16,L7
2001-10-13 21:42:15+00:00,347.06,332.63,311.51,326.41,325.48,319.69,314.65,308.23,306.51,312.00,319.18,314.02,307.07,305.94,302.80,296.47,289.92,287.54,286.00,291.77,301.23,307.94,306.90,304.21,302.54,313.68,319.53,323.84,323.01,323.77,323.32,328.77,328.51,334.48,337.94,343.12,337.16,334.80,335.16,L7
2001-10-29 21:42:21+00:00,352.12,331.09,313.32,326.76,326.99,322.13,315.63,306.08,303.73,311.53,318.10,311.80,305.79,303.54,301.64,297.72,291.50,289.02,285.56,289.52,299.10,306.47,308.58,303.67,302.85,312.81,317.80,323.67,322.81,324.56,325.43,328.45,329.01,335.36,338.74,344.02,337.16,336.28,335.12,L7
2001-12-16 21:42:43+00:00,354.36,326.97,315.19,327.12,327.48,323.60,317.20,306.02,303.83,312.19,317.17,311.60,305.98,302.36,299.36,295.33,292.26,289.74,285.44,288.08,297.82,305.52,307.34,301.73,300.47,312.49,317.28,323.32,321.87,323.82,325.15,328.00,327.38,332.80,336.80,342.42,336.17,334.58,332.97,L7
2002-02-02 21:42:54+00:00,357.45,326.97,315.06,328.92,329.34,327.51,321.78,309.89,305.48,313.12,317.66,314.03,307.26,302.25,301.11,296.96,292.36,289.68,285.34,287.16,296.94,305.08,306.85,300.75,300.39,312.15,316.61,323.37,322.90,323.88,325.06,328.31,327.31,332.36,336.66,342.16,335.85,335.63,330.79,L7
2002-02-18 21:42:54+00:00,358.66,326.42,309.84,329.38,332.24,331.27,324.21,311.94,305.02,311.91,316.64,314.24,307.63,302.03,299.78,295.74,290.14,288.11,283.40,286.17,295.29,304.03,305.31,298.58,298.29,311.21,315.99,322.75,322.33,323.39,325.33,327.84,326.75,331.90,335.74,341.26,335.56,334.36,329.10,L7
2002-04-07 21:42:52+00:00,351.23,329.02,307.14,324.35,328.80,327.47,319.67,308.04,300.36,307.49,311.89,308.37,302.09,297.09,295.62,293.39,287.24,284.37,280.97,282.52,290.62,298.36,300.82,296.00,296.79,306.87,311.85,320.92,320.78,321.68,324.54,325.26,325.35,329.73,332.80,339.95,335.61,333.28,328.84,L7
2002-09-14 21:41:55+00:00,352.99,337.85,302.47,316.38,302.18,300.73,286.30,278.45,278.44,289.03,295.13,291.21,287.73,283.69,277.81,274.19,270.60,275.37,280.18,279.63,285.13,287.91,290.62,293.92,288.28,294.34,302.22,312.40,315.16,311.51,311.41,311.52,314.09,319.16,324.31,330.84,326.84,322.71,324.15,L7
2002-09-30 21:41:47+00:00,352.94,335.75,303.56,297.46,303.65,301.95,286.35,276.62,278.54,290.92,294.77,294.02,290.83,286.38,282.27,279.02,275.32,279.35,284.01,282.47,286.74,289.48,293.80,296.78,289.99,294.72,302.98,311.12,315.52,311.49,312.85,313.29,314.51,318.48,325.27,330.13,327.45,320.63,323.39,L7
2002-11-01 21:41:54+00:00,358.37,336.44,314.00,307.78,309.26,302.59,279.85,273.80,285.62,298.77,302.84,300.76,298.12,290.11,289.67,285.45,275.37,282.07,285.68,280.09,285.59,288.79,292.85,295.13,287.84,290.70,300.88,307.12,310.89,301.69,306.94,309.44,309.89,315.81,324.13,325.01,325.26,315.44,321.63,L7
2003-01-20 21:42:33+00:00,358.92,343.27,323.50,319.51,313.23,307.43,286.40,279.52,291.10,301.84,306.45,304.53,299.89,289.63,288.96,287.34,279.81,283.90,284.37,281.61,286.89,290.89,294.11,296.25,291.30,293.32,302.36,308.72,309.73,300.89,307.70,310.32,310.13,316.23,324.90,325.69,325.57,316.89,323.96,L7
2003-02-05 21:42:41+00:00,362.50,346.07,330.71,323.82,316.49,312.88,293.68,286.37,296.65,306.34,309.57,307.92,300.71,292.35,290.53,289.77,283.86,286.21,287.70,285.55,289.92,293.76,296.77,298.48,295.17,295.52,304.45,310.71,311.14,302.11,309.89,312.79,312.77,318.18,326.91,327.69,326.74,318.29,324.97,L7
2003-02-21 21:42:44+00:00,362.50,346.07,330.71,323.82,316.49,312.88,293.68,286.37,291.91,303.47,305.72,303.44,295.55,292.35,284.05,283.62,280.11,280.32,282.93,285.55,285.26,290.72,297.47,298.53,296.61,297.36,305.69,311.51,311.27,301.76,310.63,313.93,314.90,319.96,327.89,329.68,327.90,320.56,325.81,L7
2003-04-10 21:42:49+00:00,363.63,353.86,348.50,337.54,323.79,317.22,300.05,301.00,301.29,306.88,309.63,305.79,296.21,295.16,284.15,284.71,282.83,280.80,283.16,287.58,285.33,291.24,297.96,298.00,298.46,298.80,307.03,313.04,310.10,301.44,310.35,315.04,315.16,322.17,327.43,331.25,328.11,320.08,325.79,L7
2003-05-12 21:42:48+00:00,356.00,349.65,343.78,331.66,313.57,313.95,302.86,305.76,299.34,304.82,306.20,301.00,291.98,293.51,281.87,281.43,283.85,279.68,283.19,293.94,289.67,294.50,300.95,299.46,299.99,299.68,306.86,313.66,311.69,307.20,312.59,316.34,315.96,322.94,326.30,332.12,328.72,321.96,326.65,L7
2003-08-08 21:30:55+00:00,343.33,338.77,331.78,323.46,299.80,299.58,291.30,306.32,290.10,296.24,297.23,289.23,283.59,291.31,275.24,271.54,275.35,271.17,278.17,283.84,279.91,285.23,292.18,293.11,290.16,297.40,304.88,311.38,311.39,307.22,311.97,314.34,314.99,326.38,326.80,335.20,332.24,325.14,326.71,L5
2003-08-16 21:42:28+00:00,332.92,321.26,331.78,323.46,299.80,290.42,289.68,298.10,288.25,295.56,298.34,290.93,282.13,284.91,274.39,272.28,274.90,271.79,278.03,282.98,282.02,286.75,291.67,291.35,288.86,295.86,303.53,310.96,309.89,304.36,311.12,313.75,314.10,324.10,326.68,332.91,330.87,323.17,326.84,L7
2003-09-25 21:31:42+00:00,328.78,317.91,324.37,317.51,301.40,295.49,297.26,298.67,297.96,303.37,307.01,298.48,288.00,286.66,284.60,283.01,281.64,278.39,290.30,285.09,288.15,291.88,292.12,293.11,288.86,296.92,304.76,311.08,310.61,304.73,308.31,311.32,312.32,322.80,325.16,331.85,330.24,319.57,325.86,L5
2003-10-19 21:42:20+00:00,325.37,313.52,318.36,310.26,300.25,293.96,292.87,292.53,301.23,310.58,312.14,302.95,290.68,289.88,288.49,287.15,283.14,280.89,297.92,289.14,289.35,295.95,297.02,296.82,291.05,299.79,307.42,314.74,313.45,307.77,312.68,313.84,316.11,325.18,328.28,334.14,332.52,322.44,326.92,L7
2003-11-04 21:42:27+00:00,324.43,315.26,315.27,308.88,301.92,296.02,292.31,289.75,303.31,313.80,313.57,304.23,294.07,291.96,291.01,290.71,283.80,283.31,301.41,292.80,290.06,296.87,300.19,299.68,292.11,301.15,307.03,315.08,313.90,308.99,314.53,314.80,316.44,325.13,328.38,333.82,332.28,320.50,325.55,L7
2003-11-20 21:42:43+00:00,319.59,311.41,310.73,306.79,306.65,296.39,292.80,289.91,306.94,319.01,316.89,309.48,294.99,292.41,294.05,296.25,287.04,287.47,306.80,294.97,291.15,297.21,301.98,302.97,294.47,303.72,309.28,316.92,315.16,308.17,315.93,316.44,318.25,325.91,330.12,334.74,332.77,321.45,325.54,L7
2003-11-28 21:32:34+00:00,321.19,313.97,312.81,310.28,310.10,299.79,294.95,289.91,311.64,323.89,321.21,314.69,297.75,295.12,296.61,297.41,288.89,289.90,308.24,298.54,294.81,300.38,305.66,305.96,298.03,304.79,310.29,317.46,316.25,309.80,316.52,319.32,319.97,327.35,331.51,336.55,334.74,321.97,325.78,L5
