dates,sar2332-0000,sar2332-0001,sar2332-0002,sar2332-0003,satname
2001-10-04 09:53:59+00:00,228.27375,199.4257142857143,212.14875,243.29500000000002,L7
2001-11-05 09:54:07+00:00,228.4811111111111,200.0125,213.29555555555555,242.10444444444445,L7
2001-11-29 09:45:17+00:00,227.3185714285714,205.82285714285715,217.99375,242.70714285714286,L5
2001-12-07 09:54:17+00:00,229.0325,205.6875,218.7277777777778,241.51875,L7
2001-12-23 09:54:25+00:00,229.82000000000002,205.75875,217.92333333333332,247.43875000000003,L7
2002-01-08 09:54:28+00:00,230.2475,207.0675,220.38,248.21,L7
2002-01-25 09:38:54+00:00,234.22999999999996,207.0675,225.408,248.21,L5
2002-03-13 09:54:38+00:00,237.55875,207.24875,228.08555555555554,237.99571428571426,L7
2002-03-21 09:43:47+00:00,235.1875,209.3975,228.10222222222222,234.25,L5
2002-04-30 09:54:34+00:00,232.26875,209.62875,227.14555555555555,228.1885714285714,L7
2002-05-16 09:54:27+00:00,232.57,209.66875,225.88,229.24857142857144,L7
2002-05-17 09:36:49+00:00,233.4188888888889,210.3411111111111,226.14299999999997,230.85,L5
2002-06-01 09:54:21+00:00,233.18099999999998,206.01333333333335,223.00500000000002,231.03111111111107,L7
2002-06-17 09:54:14+00:00,232.36700000000002,205.64222222222222,222.012,231.77333333333334,L7
2002-06-18 09:35:40+00:00,233.2409090909091,205.795,222.52727272727273,233.18800000000002,L5
2002-07-03 09:54:10+00:00,230.76272727272726,205.527,222.32818181818178,229.43111111111114,L7
2002-07-19 09:54:03+00:00,229.9590909090909,205.186,219.05090909090907,226.17555555555555,L7
2002-08-04 09:53:55+00:00,226.7818181818182,204.6936363636364,213.74363636363634,228.512,L7
2002-08-20 09:53:52+00:00,227.4666666666667,204.53250000000003,215.29583333333332,229.83727272727273,L7
2002-10-07 09:53:26+00:00,228.2972727272727,203.07636363636365,215.5,231.504,L7
2002-10-23 09:53:32+00:00,227.205,202.705,214.62250000000003,227.40090909090907,L7
2003-01-27 09:54:14+00:00,226.46599999999998,201.128,216.48200000000003,216.78000000000003,L7
2003-02-12 09:54:24+00:00,225.654,200.75,217.776,213.738,L7
2003-04-01 09:54:27+00:00,225.28400000000002,200.41199999999998,214.016,213.352,L7
2003-04-17 09:54:29+00:00,225.76399999999998,201.12400000000002,211.33599999999996,217.41800000000003,L7
2003-05-03 09:54:30+00:00,228.036,200.642,214.474,223.15,L7
2003-11-27 09:54:24+00:00,223.48,203.82,217.64,210.47,L7
2003-12-13 09:54:30+00:00,228.45,208.425,223.8,229.065,L7
2004-01-30 09:54:48+00:00,229.43999999999997,207.92,220.36666666666667,240.73666666666668,L7
2004-07-24 09:54:39+00:00,221.65499999999997,202.095,211.715,264.08,L7
2004-11-13 09:54:40+00:00,211.89,212.51,209.93,,L7
2005-04-06 09:55:22+00:00,236.95,216.97500000000002,215.76,247.27,L7
2005-04-22 09:55:16+00:00,224.265,213.16333333333333,217.08999999999997,240.265,L7
2005-05-08 09:55:21+00:00,216.45666666666668,213.16333333333333,217.08999999999997,260.79333333333335,L7
2005-08-29 09:47:39+00:00,216.45666666666668,205.875,217.08999999999997,262.6475,L5
2005-10-31 09:55:04+00:00,216.995,202.7,231.7,276.2633333333333,L7
2005-12-18 09:55:21+00:00,233.15,202.7,224.435,263.46999999999997,L7
2006-01-19 09:55:39+00:00,220.32,202.7,228.40666666666667,250.89333333333335,L7
2006-06-12 09:55:45+00:00,217.425,200.07,224.04999999999998,228.5,L7
2006-07-14 09:55:32+00:00,221.77333333333334,199.49,223.59333333333333,231.03,L7
2006-07-30 09:55:25+00:00,225.79,198.63333333333333,213.34333333333333,223.04999999999998,L7
2006-08-15 09:55:24+00:00,227.0575,199.7525,212.87,228.425,L7
2006-10-10 09:59:49+00:00,229.85999999999999,201.314,215.748,232.39600000000002,L5
2006-11-03 09:55:31+00:00,231.995,202.14666666666668,217.605,233.44833333333335,L7
2007-01-06 09:55:57+00:00,231.67,203.71166666666667,220.28,234.42,L7
2007-07-01 09:55:58+00:00,227.235,203.4,225.17000000000002,232.44,L7
2007-07-17 09:55:55+00:00,226.885,199.98000000000002,214.93,228.785,L7
2007-07-25 09:59:19+00:00,240.89666666666668,208.27666666666667,214.93,243.06333333333336,L5
2007-08-02 09:55:51+00:00,238.7775,207.7,214.41666666666666,241.625,L7
2008-01-25 09:56:04+00:00,229.065,205.485,213.39,236.075,L7
2008-02-10 09:56:02+00:00,230.60000000000002,204.54000000000002,221.82,237.615,L7
2008-03-13 09:55:52+00:00,222.70333333333335,198.6833333333333,204.34,237.615,L7
2008-04-15 09:49:15+00:00,222.70333333333335,198.6833333333333,204.34,251.24666666666667,L5
2008-07-19 09:55:05+00:00,222.70333333333335,201.0225,204.34,255.37,L7
2008-08-04 09:54:58+00:00,221.44999999999996,200.7275,205.34333333333333,249.775,L7
2009-02-28 09:55:46+00:00,234.19,203.98,229.11,238.5,L7
2009-03-08 09:52:07+00:00,231.95,203.98,240.47500000000002,246.10500000000002,L5
2009-03-16 09:55:54+00:00,230.07333333333335,203.98,248.16333333333333,232.91333333333333,L7
2009-05-03 09:56:09+00:00,227.11,201.225,238.695,227.8725,L7
2009-05-19 09:56:10+00:00,227.42399999999998,200.52999999999997,235.77800000000002,229.95,L7
2009-06-04 09:56:10+00:00,224.54833333333332,200.3275,229.77833333333334,229.95,L7
2009-10-26 09:56:03+00:00,223.02749999999997,200.61249999999998,214.185,229.73333333333335,L7
2009-11-11 09:56:18+00:00,225.3775,203.41750000000002,214.9675,236.76666666666665,L7
2010-05-22 09:57:50+00:00,231.39,198.01,196.23,259.48,L7
2010-06-23 09:57:54+00:00,222.595,201.555,199.01,259.48,L7
2010-09-19 09:55:54+00:00,222.595,214.25666666666666,199.01,259.48,L5
2011-01-25 09:55:40+00:00,244.16,223.405,236.99,254.09,L5
2011-04-07 09:59:21+00:00,244.16,207.15,230.31,254.09,L7
2011-08-13 09:59:08+00:00,229.48,203.96,223.64,236.19,L7
2011-08-29 09:59:06+00:00,225.94,197.85500000000002,223.64,230.975,L7
2011-09-14 09:59:00+00:00,230.61666666666667,200.15,223.39333333333335,234.30999999999997,L7
2011-09-30 09:58:59+00:00,231.2575,201.07750000000001,221.12,240.8525,L7
2011-12-03 09:59:29+00:00,230.368,201.644,223.825,243.65,L7
2012-04-09 09:59:47+00:00,230.885,203.91,234.45,270.875,L7
2012-04-25 10:00:02+00:00,221.98000000000002,197.39499999999998,234.45,286.2633333333333,L7
2012-05-11 10:00:25+00:00,224.5275,199.85333333333332,224.415,277.445,L7
2012-08-15 10:00:52+00:00,223.76666666666665,196.37,213.14,271.3975,L7
2012-09-16 10:01:10+00:00,224.7925,196.37,212.60666666666665,263.788,L7
2012-10-02 10:01:21+00:00,224.7925,197.98250000000002,212.4525,255.0,L7
2013-01-06 10:01:54+00:00,229.155,201.56333333333336,213.01749999999998,225.01999999999998,L7
2013-04-12 10:01:45+00:00,228.32,206.38,214.345,217.89,L7
2013-05-14 10:01:36+00:00,227.08333333333334,205.05666666666664,211.64666666666668,213.01,L7
2013-06-15 10:01:24+00:00,227.08333333333334,203.3175,208.6175,212.85333333333332,L7
2013-07-01 10:01:15+00:00,227.3325,202.286,209.32600000000002,219.1325,L7
2013-08-02 10:00:59+00:00,227.76000000000002,199.93800000000002,208.546,224.926,L7
2013-08-10 10:07:45+00:00,227.76000000000002,201.16,214.49333333333334,224.926,L8
2013-08-18 10:01:03+00:00,228.50799999999998,202.1157142857143,214.05714285714288,227.16333333333333,L7
2013-09-03 10:01:15+00:00,229.82500000000002,202.46125,215.4,230.74857142857144,L7
2013-12-16 10:07:15+00:00,232.17200000000003,203.14333333333332,222.965,243.06799999999998,L8
2014-01-25 10:02:30+00:00,233.19500000000002,204.14,226.72166666666666,248.17600000000002,L7
