,dates,jap0252-0000,jap0252-0001,jap0252-0002,jap0252-0003,jap0252-0004,jap0252-0005,jap0252-0006,jap0252-0007,jap0252-0008,jap0252-0009,jap0252-0010,jap0252-0011,jap0252-0012,jap0252-0013,jap0252-0014
0,1984-08-16 00:46:00+00:00,,,,,,,,,169.5475390377401,160.53502409245365,161.15357651982674,158.7149179371654,166.03252358520527,169.64277378134074,182.2082335041801
1,1984-09-17 00:46:20+00:00,277.15620616691683,356.7548722842285,,,,,234.89025408142888,208.3638480131851,191.6185443488351,180.0908050433595,163.09283666734592,157.90488870259912,162.55285048959342,174.45649197884742,167.76672347405417
2,1984-11-04 00:46:10+00:00,258.8614066504609,310.61409639081114,,,,,234.40695049106728,193.0106420696602,175.32500783335786,168.1115088589726,162.77089893541654,164.5681874484401,170.87137543172395,170.63974338087232,170.24881012420946
3,1985-08-19 00:45:50+00:00,,,219.75879136241673,235.30754579489988,249.20139712753596,,243.418079261816,223.89889664054047,222.09995283414065,214.2523558497241,195.94018318819366,187.37123982357264,189.112461756815,188.60904794022244,184.13948063215858
4,1985-12-09 00:44:17+00:00,,,,212.74683540080187,212.3487082751329,200.8862343202176,181.05934701941464,184.2606040438762,199.84218299082661,193.4396979507472,193.13186877515918,180.5176475385202,184.72539742111152,188.47803807217568,184.58699812133455
5,1986-01-10 00:43:42+00:00,,,,234.93246524451266,241.49812812567214,211.49064233758818,202.5920217424426,194.0864546273478,200.84023086138598,197.10984947522115,179.93908854954725,190.13616422129363,201.57461288266936,199.78246048363405,201.70269266400578
6,1986-08-22 00:37:37+00:00,,,228.467766101221,225.21738972302666,222.0038809974794,211.03294799163183,200.73133060006842,191.4778977792026,193.3803488714119,189.54959574262415,188.29198272212972,178.67871755081114,196.18775613037354,192.20330891650008,186.80662033962187
7,1986-11-10 00:34:53+00:00,,,,,,187.16266533721182,186.90766506995834,186.8067465995277,182.97593159947414,178.10654341685085,173.75511315797877,181.16176061833934,189.45836577718447,200.30936622887538,210.33647022439766
8,1986-11-26 00:34:27+00:00,,183.78403391700104,198.15172348811953,199.35903394188827,193.43627064372834,193.0451715012857,181.50716786853405,184.38512228746868,181.600361460238,182.39880010159524,176.54587727790766,180.21511049052353,183.97710580541792,182.08737543190622,187.86298388798176
9,1986-12-12 00:34:54+00:00,,183.17097259514364,198.24468946172004,197.10462496007779,203.0076724374868,196.30104831422923,196.39093111776407,195.43831279248576,193.39127078818981,190.32797569674963,186.8338441079934,181.78719616861568,187.52135410031252,192.2213177389307,198.35010259843733
10,1987-02-14 00:36:58+00:00,141.97556175863818,181.3511980557202,197.44720871197927,198.95438825277984,206.7837574080734,205.1660493603778,,192.2418736806329,191.1638980468478,191.25815806069755,188.98929407299636,185.0968439725672,182.9784753046482,193.36665532597016,190.87318304535216
11,1987-04-19 00:39:16+00:00,133.77540821783754,223.3221594274904,214.64709814169825,211.6351539593732,208.6760609561296,196.17557477250497,184.24895724539763,178.17739902926067,181.25378030553298,175.00943741629357,178.2892219273523,174.20858022833667,186.5939113473557,184.11205919549408,183.4247584580904
12,1987-05-21 00:40:11+00:00,105.18970050759643,209.48933287835348,223.16657596069413,215.33244637069714,217.64786618015256,199.99667528772778,191.12247358887527,183.62779065265462,182.55901048058973,177.16871858965652,177.27058119728588,179.28408714406126,190.23168729100638,189.3411979867264,196.63275611555667
13,1987-09-10 00:42:57+00:00,-2.3885888653394,138.59937051096665,171.17609900853512,,193.08008263214163,194.63228929508733,195.85384356249142,190.84991184030076,193.046739471466,184.6236915029364,170.71411180091906,164.60428723801934,182.04913198162137,186.56665242373916,187.5030563791764
14,1988-11-15 00:46:49+00:00,,145.2344269223274,185.43456242079415,,202.9750508753863,193.1244388566472,202.42355222585687,214.441949586495,213.5409516460555,200.24809789524403,193.49909964110103,197.69738244876302,204.49033003998883,185.94619818174198,204.1176217003484
15,1988-12-17 00:46:33+00:00,,,,,187.11839410763878,184.5058145691173,184.0107563482239,194.62518267477776,193.9681246564761,184.51068768937782,181.37605505250485,181.0558336462339,183.19204102875844,175.9273295900833,181.37658413922975
16,1989-08-14 00:42:57+00:00,,90.66857926748077,146.0155144107228,145.42853504263186,140.24271937300347,140.086198916824,152.66306943810048,162.35613606504106,168.23096823625568,167.2805938366537,166.09341316375537,159.07661595504692,167.50767903548797,181.64857480455365,189.25856380696595
17,1989-11-02 00:40:56+00:00,,82.07123582499173,171.3616693780869,187.88386307672826,168.56552519074992,163.5521347652084,,182.70906383383095,185.8456862139955,187.52858149615088,176.78117679603875,179.2856853113633,188.88768368622894,190.79526464736145,190.228076418539
18,1989-11-18 00:40:18+00:00,,72.22097173788737,177.82491279778026,192.71078851067446,168.02882144183053,154.9261839965604,155.06835966464675,172.18667665328203,176.56141511364345,179.63962309944947,181.81398976881133,181.53818277134084,189.89581860142764,196.48387688367814,190.12653449990256
19,1989-12-20 00:39:32+00:00,38.93067712212905,81.94568780701299,172.77109089983705,169.98826037187882,172.29989470045635,170.67634292378892,170.7169442264567,161.5856637483019,163.9384862258917,,,185.099120122716,180.7494113754948,191.91020389663453,167.16338371669696
20,1990-01-05 00:38:57+00:00,,104.63728981288973,178.04061914924065,188.2951659170563,179.50045873817803,170.454952470294,169.79243088153004,176.53816591450493,180.15350405961036,186.20557338143317,184.57498165911673,193.99287698096367,214.43601072715472,206.77763797696556,193.7218098278087
