dates,nzd0358-0000,nzd0358-0001,nzd0358-0002,nzd0358-0003,nzd0358-0004,nzd0358-0005,nzd0358-0006,nzd0358-0007,nzd0358-0008,nzd0358-0009,nzd0358-0010,nzd0358-0011,nzd0358-0012,nzd0358-0013,nzd0358-0014,nzd0358-0015,nzd0358-0016,nzd0358-0017,nzd0358-0018,nzd0358-0019,nzd0358-0020,nzd0358-0021,nzd0358-0022,nzd0358-0023,nzd0358-0024,nzd0358-0025,nzd0358-0026,nzd0358-0027,nzd0358-0028,nzd0358-0029,nzd0358-0030,nzd0358-0031,nzd0358-0032,nzd0358-0033,nzd0358-0034,nzd0358-0035,nzd0358-0036,nzd0358-0037,nzd0358-0038,nzd0358-0039,nzd0358-0040,nzd0358-0041,nzd0358-0042,nzd0358-0043,nzd0358-0044,nzd0358-0045,nzd0358-0046,nzd0358-0047,nzd0358-0048,nzd0358-0049,nzd0358-0050,nzd0358-0051,nzd0358-0052,nzd0358-0053,nzd0358-0054,nzd0358-0055,nzd0358-0056,nzd0358-0057,nzd0358-0058,nzd0358-0059,nzd0358-0060,nzd0358-0061,nzd0358-0062,nzd0358-0063,nzd0358-0064,nzd0358-0065,nzd0358-0066,nzd0358-0067,nzd0358-0068,nzd0358-0069,nzd0358-0070,nzd0358-0071,nzd0358-0072,satname
1999-09-29 21:54:04+00:00,344.31,320.20,315.71,309.79,313.60,304.80,297.72,299.14,301.04,,,,,,,,,,316.48,312.28,306.09,308.23,300.77,292.32,278.41,275.23,285.20,280.62,288.29,282.79,285.63,399.35,389.85,343.37,357.91,361.32,360.21,340.01,326.85,315.55,297.92,302.07,298.99,292.97,293.84,290.91,299.79,298.29,301.17,306.76,323.18,327.94,323.17,324.47,322.38,321.48,331.56,332.07,318.11,314.34,295.15,290.39,295.38,300.04,310.59,310.68,302.72,303.73,302.83,306.99,306.59,300.69,305.88,L7
2000-01-19 21:53:49+00:00,349.36,329.91,321.11,311.50,312.10,308.07,303.48,303.95,306.03,313.42,324.79,,,,,,,,318.79,310.08,306.64,305.12,296.20,285.90,283.61,281.21,286.62,282.93,287.86,286.31,292.11,401.75,399.50,354.31,357.91,361.32,360.21,339.16,325.22,314.18,297.28,293.12,291.46,290.72,292.89,294.43,301.94,300.84,295.22,300.78,316.60,321.41,321.02,327.64,324.00,329.31,333.34,327.78,314.63,300.53,291.42,291.99,295.75,297.76,307.82,308.24,304.81,304.35,301.29,301.57,301.43,299.64,308.07,L7
2000-02-20 21:53:41+00:00,348.40,330.18,318.32,310.84,309.78,303.32,300.49,302.26,306.03,304.21,323.14,326.38,,,,,,,313.96,312.52,307.28,304.38,296.90,291.12,288.18,285.22,291.41,287.45,290.22,291.61,296.17,404.97,399.50,358.88,365.97,367.24,359.25,341.82,329.42,317.93,302.97,296.28,294.04,294.91,295.67,298.41,305.65,303.51,297.88,306.61,322.11,326.91,327.54,331.99,328.59,334.44,337.33,328.50,313.55,302.27,296.00,297.49,297.87,299.54,308.41,309.64,307.08,305.62,301.67,303.28,300.72,297.87,307.55,L7
2000-05-26 21:53:00+00:00,350.45,335.17,319.62,311.36,307.87,302.58,301.88,303.82,311.03,304.21,323.14,326.38,,,,,,,312.71,312.63,307.87,302.46,294.96,290.52,293.07,290.22,294.51,290.86,291.18,296.02,301.44,407.79,409.16,366.64,374.02,373.16,363.46,343.44,330.03,318.89,305.50,293.38,291.57,295.88,296.59,302.16,308.58,306.12,296.24,306.53,321.57,326.39,329.73,335.75,331.69,337.96,336.80,326.58,313.20,299.85,294.93,297.44,298.32,297.63,306.83,311.44,308.28,305.33,303.35,303.80,299.88,298.38,312.40,L7
2000-07-29 21:52:14+00:00,346.48,330.72,312.74,309.50,305.13,293.81,294.52,298.88,,294.99,321.49,326.38,,,,,,,304.31,317.39,308.54,302.91,298.29,301.56,297.33,293.24,301.00,296.49,294.93,302.22,304.29,411.42,,368.02,374.02,373.16,363.46,346.00,333.25,321.94,314.36,302.58,299.22,303.31,301.23,306.38,313.07,308.87,303.22,318.26,333.13,337.90,340.58,340.68,337.77,333.80,329.70,322.12,313.33,301.11,298.91,301.20,300.79,297.80,306.65,312.39,309.60,306.10,306.91,309.93,306.74,303.30,317.89,L7
2000-08-14 21:52:08+00:00,346.48,330.72,312.74,309.50,305.13,293.81,291.14,295.12,297.07,298.35,312.84,321.70,,,,,,,303.62,305.75,300.86,297.52,290.47,291.95,288.31,284.88,285.70,283.89,286.78,294.88,297.36,387.43,,349.66,361.08,357.52,351.02,337.86,324.64,313.98,302.31,288.36,287.07,292.25,290.41,296.03,304.34,304.32,296.65,309.19,324.64,327.29,324.10,323.35,324.23,327.28,325.24,318.17,312.06,299.07,296.16,297.14,295.50,295.74,305.39,309.40,307.08,304.95,305.45,309.66,306.74,303.30,317.89,L7
2000-12-04 21:51:22+00:00,335.18,324.10,321.05,311.29,306.03,293.62,293.16,295.86,297.32,303.11,302.85,312.72,325.47,335.19,343.75,350.51,,,315.66,308.88,304.10,300.16,293.23,294.80,287.79,280.83,279.40,283.06,283.81,282.25,282.79,381.25,403.80,346.45,357.91,349.74,335.15,325.70,313.97,304.09,296.88,288.12,285.89,288.25,287.12,292.02,295.38,296.28,290.00,301.36,318.39,315.92,315.83,315.55,319.50,318.74,317.00,314.52,312.06,297.44,295.94,292.71,289.96,293.21,304.09,304.04,302.48,302.58,302.77,308.51,307.58,305.10,319.84,L7
2000-12-20 21:51:28+00:00,337.35,326.70,318.85,311.43,306.14,296.62,297.45,301.30,302.01,305.36,306.75,316.41,329.85,338.03,344.75,352.07,,,319.34,314.42,309.28,306.18,299.75,297.89,293.01,288.77,285.79,287.89,289.49,289.58,292.53,396.20,402.99,348.87,355.92,351.22,334.25,324.35,314.11,303.23,297.32,290.11,287.55,287.42,283.28,291.34,290.94,297.92,296.37,308.27,322.04,318.73,320.99,319.41,324.08,323.68,322.53,318.40,312.51,298.46,298.22,295.44,291.86,297.93,306.95,307.61,305.44,304.16,303.80,311.59,308.81,306.50,321.25,L7
2001-01-05 21:51:28+00:00,343.62,332.30,322.07,315.89,310.92,303.06,302.65,305.34,305.36,307.70,310.55,317.62,332.71,339.93,347.03,353.70,349.96,337.47,323.39,318.40,315.13,311.93,304.50,300.93,295.57,292.47,289.64,292.45,294.75,293.81,294.74,403.96,402.99,354.39,363.16,359.76,341.38,330.87,321.24,309.34,302.88,296.20,292.40,292.89,288.83,295.96,296.05,302.37,300.10,312.19,325.05,325.26,327.89,322.86,326.84,325.64,325.09,320.50,313.77,301.51,300.83,297.19,293.27,300.42,309.81,310.77,307.57,305.01,306.04,313.44,310.71,310.28,322.43,L7
2001-04-11 21:51:09+00:00,348.01,335.51,326.38,318.95,313.60,307.49,309.79,310.14,309.87,313.48,315.67,318.17,332.34,338.01,347.03,353.70,349.96,337.47,330.22,326.50,322.45,318.53,311.78,307.13,301.00,297.78,293.12,297.04,298.43,296.23,295.67,417.79,408.55,362.56,371.81,371.84,353.42,338.05,327.64,315.38,309.46,303.68,297.41,296.35,293.74,298.81,297.91,300.91,302.30,314.34,324.77,326.25,334.65,328.47,331.94,331.05,330.28,325.70,316.23,308.50,302.67,296.54,293.34,302.33,311.55,309.72,307.12,305.38,304.44,312.43,307.25,308.69,319.77,L7
