dates,nzd0358-0000,nzd0358-0001,nzd0358-0002,nzd0358-0003,nzd0358-0004,nzd0358-0005,nzd0358-0006,nzd0358-0007,nzd0358-0008,nzd0358-0009,nzd0358-0010,nzd0358-0011,nzd0358-0012,nzd0358-0013,nzd0358-0014,nzd0358-0015,nzd0358-0016,nzd0358-0017,nzd0358-0018,nzd0358-0019,nzd0358-0020,nzd0358-0021,nzd0358-0022,nzd0358-0023,nzd0358-0024,nzd0358-0025,nzd0358-0026,nzd0358-0027,nzd0358-0028,nzd0358-0029,nzd0358-0030,nzd0358-0031,nzd0358-0032,nzd0358-0033,nzd0358-0034,nzd0358-0035,nzd0358-0036,nzd0358-0037,nzd0358-0038,nzd0358-0039,nzd0358-0040,nzd0358-0041,nzd0358-0042,nzd0358-0043,nzd0358-0044,nzd0358-0045,nzd0358-0046,nzd0358-0047,nzd0358-0048,nzd0358-0049,nzd0358-0050,nzd0358-0051,nzd0358-0052,nzd0358-0053,nzd0358-0054,nzd0358-0055,nzd0358-0056,nzd0358-0057,nzd0358-0058,nzd0358-0059,nzd0358-0060,nzd0358-0061,nzd0358-0062,nzd0358-0063,nzd0358-0064,nzd0358-0065,nzd0358-0066,nzd0358-0067,nzd0358-0068,nzd0358-0069,nzd0358-0070,nzd0358-0071,nzd0358-0072,satname
1999-09-29 21:54:04+00:00,344.31,320.20,315.71,309.79,313.60,304.80,297.72,299.14,301.04,,,,,,,,,,316.48,312.28,306.09,308.23,300.77,292.32,278.41,275.23,285.20,280.62,288.29,282.79,285.63,399.35,389.85,343.37,357.91,361.32,360.21,340.01,326.85,315.55,297.92,302.07,298.99,292.97,293.84,290.91,299.79,298.29,301.17,306.76,323.18,327.94,323.17,324.47,322.38,321.48,331.56,332.07,318.11,314.34,295.15,290.39,295.38,300.04,310.59,310.68,302.72,303.73,302.83,306.99,306.59,300.69,305.88,L7
2000-01-19 21:53:49+00:00,354.41,339.63,326.51,313.22,310.60,311.34,309.24,308.76,311.03,313.42,324.79,,,,,,,,321.10,307.88,307.20,302.00,291.63,279.48,288.81,287.19,288.03,285.23,287.43,289.82,298.58,404.15,409.16,365.26,,,,338.32,323.59,312.80,296.64,284.18,283.92,288.46,291.95,297.94,304.08,303.38,289.26,294.81,310.01,314.88,318.88,330.81,325.62,337.15,335.12,323.49,311.15,286.73,287.70,293.59,296.13,295.48,305.06,305.79,306.90,304.97,299.76,296.15,296.28,298.59,310.26,L7
2000-02-20 21:53:41+00:00,346.48,330.72,312.74,309.50,305.13,293.81,294.52,298.88,,294.99,321.49,326.38,,,,,,,304.31,317.39,308.54,302.91,298.29,301.56,297.33,293.24,301.00,296.49,294.93,302.22,304.29,411.42,,368.02,374.02,373.16,358.30,347.13,337.81,325.45,314.36,302.58,299.22,303.31,301.23,306.38,313.07,308.87,303.22,318.26,333.13,337.90,340.58,340.68,337.77,344.68,345.32,329.95,311.38,305.75,305.16,308.50,302.09,303.10,309.58,312.46,311.61,308.17,302.43,306.70,299.28,294.32,306.50,L7
2000-05-26 21:53:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.62,344.86,328.68,318.42,,,,,,,,,,,,,,,,332.06,329.96,326.31,317.06,307.06,291.92,290.23,296.73,294.32,305.84,316.07,306.33,302.85,307.87,308.56,304.08,302.23,320.45,L7
2000-07-29 21:52:14+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.67,313.83,310.10,311.55,290.51,299.65,304.86,303.56,295.98,304.52,308.63,310.85,307.28,310.43,314.52,316.85,313.36,326.71,L7
2000-08-14 21:52:08+00:00,,,,,,,287.76,291.36,297.07,301.71,304.19,317.02,,,,,,,302.92,294.11,293.18,292.13,282.64,282.34,279.29,276.53,270.40,271.30,278.64,287.55,290.43,363.43,,331.31,348.14,341.89,326.15,321.59,307.43,298.08,290.27,274.14,274.91,281.20,279.59,285.69,295.60,299.77,290.09,300.13,316.16,316.69,307.62,306.02,310.69,307.71,311.86,306.33,308.24,292.97,287.92,284.98,279.61,289.55,301.64,300.45,299.54,301.49,301.06,308.85,,,,L7
2000-12-04 21:51:22+00:00,335.18,324.10,321.05,311.29,306.03,293.62,298.57,300.35,297.58,304.50,301.51,308.41,325.47,335.19,343.75,350.51,,,328.40,323.65,315.02,308.19,303.81,307.26,296.29,285.14,288.40,294.81,288.99,276.95,275.15,399.06,403.80,361.59,367.68,357.59,344.16,329.82,320.51,310.10,303.48,302.09,296.87,295.30,294.65,298.35,295.16,292.80,289.90,302.58,320.63,315.15,324.04,325.09,328.31,323.85,325.32,327.13,316.38,308.84,300.25,288.28,286.71,294.10,306.11,303.04,297.06,298.97,296.81,302.15,298.31,296.84,312.97,L7
2000-12-20 21:51:28+00:00,339.52,329.29,316.64,311.56,306.25,299.61,306.03,312.20,311.38,309.86,314.55,323.80,334.22,340.88,345.74,353.64,,,326.69,325.49,319.65,318.21,312.80,304.08,303.45,304.64,298.57,297.56,300.85,304.24,312.00,426.12,402.18,353.70,351.94,354.19,332.43,321.64,314.38,301.52,298.22,294.10,290.87,285.75,275.61,289.99,282.05,301.19,309.13,322.10,329.32,324.36,331.30,327.13,333.23,338.49,339.11,330.04,313.86,301.51,305.04,303.62,297.55,312.09,315.55,318.32,314.33,308.89,306.90,320.85,311.26,309.29,324.07,L7
2001-01-05 21:51:28+00:00,356.16,343.52,328.51,324.81,320.47,315.94,318.23,317.46,315.41,314.74,321.94,321.25,338.45,343.71,351.61,356.94,349.96,337.47,335.56,330.35,332.68,329.19,318.73,310.04,303.27,303.57,301.18,306.14,310.50,306.51,301.38,427.24,,370.97,384.89,385.39,362.79,350.41,342.62,327.65,319.57,314.47,306.95,309.33,305.48,309.80,311.40,315.71,311.28,323.96,334.07,344.85,348.60,333.20,335.12,333.46,335.34,328.90,318.80,313.70,311.27,304.22,298.91,310.39,321.22,323.43,316.07,308.42,314.99,320.82,316.43,321.65,325.96,L7
2001-04-11 21:51:09+00:00,361.18,345.12,339.34,328.13,321.66,320.78,316.33,310.54,315.12,324.81,324.70,319.22,331.21,332.26,,,,,,,,,,,,,284.33,289.66,293.38,297.21,294.17,418.75,419.68,363.96,382.73,390.19,374.31,350.32,333.04,322.26,316.55,304.04,294.94,295.01,299.21,297.11,303.03,293.93,298.87,308.72,315.05,320.63,,,331.11,328.39,321.37,316.75,315.88,309.96,294.13,290.04,290.19,292.73,303.31,294.09,301.03,305.24,299.08,305.90,303.01,306.97,316.09,L7
