dates,nzd0181-0000,nzd0181-0001,nzd0181-0002,nzd0181-0003,nzd0181-0004,nzd0181-0005,nzd0181-0006,nzd0181-0007,nzd0181-0008,nzd0181-0009,nzd0181-0010,nzd0181-0011,nzd0181-0012,nzd0181-0013,nzd0181-0014,nzd0181-0015,nzd0181-0016,nzd0181-0017,nzd0181-0018,nzd0181-0019,nzd0181-0020,nzd0181-0021,nzd0181-0022,nzd0181-0023,satname
1999-10-22 21:58:28+00:00,370.71,378.01,377.59,369.84,376.97,371.70,372.98,375.81,371.42,370.74,376.06,385.40,380.45,377.62,380.15,379.14,373.32,370.59,373.50,373.25,359.95,372.74,381.83,372.51,L7
1999-12-09 21:58:33+00:00,356.57,371.91,369.78,363.61,365.98,365.72,363.17,366.63,365.72,365.32,379.43,384.00,382.59,376.21,381.52,380.10,376.12,374.34,379.53,373.31,369.06,375.31,379.97,375.09,L7
1999-12-25 21:58:52+00:00,350.69,365.89,365.61,359.24,362.80,363.23,360.13,364.73,365.76,367.26,380.60,382.74,384.29,376.03,383.17,379.14,376.02,374.82,379.59,375.71,374.39,378.02,383.52,380.70,L7
2000-03-14 21:58:35+00:00,350.75,366.58,365.81,362.61,366.53,366.63,364.29,369.30,371.28,371.99,382.39,384.35,384.67,379.64,386.44,381.38,378.02,378.84,381.92,379.11,374.80,380.08,386.30,380.71,L7
2000-03-30 21:58:33+00:00,352.96,370.27,370.43,367.21,370.09,370.21,367.49,372.57,374.22,375.03,383.44,384.65,385.26,379.79,385.82,381.63,378.60,379.95,382.81,379.78,374.80,380.89,386.62,380.82,L7
2000-05-01 21:57:54+00:00,348.54,370.03,368.50,368.48,370.57,372.82,368.27,373.31,376.27,378.59,386.95,385.15,384.29,381.01,387.84,382.92,378.47,383.77,384.76,378.23,374.94,384.11,388.37,382.10,L7
2000-05-17 21:58:07+00:00,345.63,368.22,367.10,367.43,369.93,371.50,365.64,370.77,375.03,378.48,384.16,381.62,380.30,376.58,387.84,382.92,378.47,383.77,384.76,378.23,374.94,384.11,388.37,382.10,L7
2000-08-05 21:56:44+00:00,346.31,368.96,369.18,370.90,371.15,371.55,366.16,373.29,378.45,381.62,381.53,378.61,375.07,374.52,384.54,379.45,373.83,379.44,377.14,372.85,369.03,384.45,387.65,379.66,L7
2000-12-11 21:56:24+00:00,339.12,355.13,362.54,357.83,347.59,346.70,349.53,357.73,362.69,366.08,366.18,365.05,364.00,359.67,363.56,359.10,356.81,354.20,349.99,350.67,358.01,367.13,377.43,377.70,L7
2001-01-12 21:56:30+00:00,337.31,349.99,353.65,352.97,347.25,344.80,349.69,356.30,359.85,362.89,363.29,362.09,365.27,358.36,362.08,357.49,356.17,351.49,348.81,349.42,359.32,364.94,372.12,366.12,L7
