dates,satname,nzd0181-0000,nzd0181-0001,nzd0181-0002,nzd0181-0003,nzd0181-0004,nzd0181-0005,nzd0181-0006,nzd0181-0007,nzd0181-0008,nzd0181-0009,nzd0181-0010,nzd0181-0011,nzd0181-0012,nzd0181-0013,nzd0181-0014,nzd0181-0015,nzd0181-0016,nzd0181-0017,nzd0181-0018,nzd0181-0019,nzd0181-0020,nzd0181-0021,nzd0181-0022,nzd0181-0023
1999-07-18 21:58:49+00:00,L7,,,,,,,,,,,,,,,,,,,,,437.55,656.72,,140.49
1999-10-22 21:58:28+00:00,L7,380.71,384.20,385.24,376.34,382.39,376.34,377.98,381.72,378.64,376.93,384.18,391.05,389.74,385.74,390.98,385.98,381.45,377.43,381.15,380.90,374.39,380.86,390.50,386.95
1999-12-09 21:58:33+00:00,L7,334.12,360.67,355.62,351.97,350.49,355.88,349.20,352.54,354.01,354.76,376.05,377.91,377.02,368.04,373.89,375.37,372.18,372.41,379.21,367.02,366.18,371.12,370.90,365.66
1999-12-25 21:58:52+00:00,L7,322.47,343.67,344.68,339.81,347.51,350.62,345.83,351.19,353.96,360.95,369.55,370.91,372.41,362.32,368.63,365.96,362.43,364.52,367.12,367.91,361.26,370.06,376.35,368.15
2000-03-14 21:58:35+00:00,L7,356.01,371.78,370.29,376.03,380.49,379.20,379.31,386.00,391.51,389.31,391.89,392.05,390.52,394.58,401.75,391.56,388.16,394.38,392.79,393.18,383.34,390.40,399.03,388.07
2000-03-30 21:58:33+00:00,L7,368.56,389.24,394.07,389.99,387.99,387.63,383.69,389.68,390.85,391.38,393.17,389.67,393.91,385.88,390.67,387.30,386.41,389.02,391.53,387.66,384.60,389.62,393.79,391.05
2000-05-01 21:57:54+00:00,L7,358.32,382.81,375.38,382.49,384.62,389.28,381.70,385.23,388.71,394.53,401.46,393.37,384.60,391.63,400.74,392.19,380.55,396.32,390.67,372.93,374.63,396.73,399.00,392.92
2000-05-17 21:58:07+00:00,L7,333.86,360.89,362.19,363.96,368.21,366.21,353.88,359.69,370.80,379.64,372.48,365.58,362.90,356.69,,,,,,,,,,
2000-08-05 21:56:44+00:00,L7,331.27,350.27,356.54,352.73,343.34,343.06,340.47,355.57,362.25,363.42,362.03,361.72,358.71,357.22,359.83,356.11,351.33,347.41,344.04,348.08,353.34,372.18,370.63,366.37
2000-12-11 21:56:24+00:00,L7,,,,,,,353.82,354.25,356.23,362.83,362.59,362.99,360.42,354.36,356.97,355.56,354.54,354.47,348.65,345.98,348.92,354.34,,
2001-01-12 21:56:30+00:00,L7,318.89,334.55,332.06,337.31,337.91,335.19,341.71,343.61,342.18,346.23,344.00,346.78,352.38,342.25,341.11,342.90,341.39,334.69,333.74,334.21,337.93,347.06,352.40,330.55
2001-05-20 21:55:29+00:00,L7,,,,367.59,376.72,361.77,360.15,373.29,375.52,376.56,381.44,382.31,383.47,378.56,396.04,383.08,377.50,378.16,369.90,,374.70,369.17,380.05,378.07
2001-06-05 21:55:40+00:00,L7,323.48,369.66,363.95,358.64,367.04,352.64,353.34,366.44,372.50,375.51,383.58,376.28,377.66,372.77,383.06,378.43,370.29,370.34,369.57,,362.75,365.20,371.18,376.22
2001-06-21 21:55:29+00:00,L7,292.20,363.36,363.01,363.00,367.77,359.13,356.45,361.04,371.13,376.04,378.21,378.58,373.91,373.56,368.83,372.96,370.32,371.85,368.81,,363.27,371.58,,365.98
2001-09-09 21:54:36+00:00,L7,330.07,349.54,355.88,360.42,355.06,352.45,338.77,345.74,350.45,365.06,373.10,365.98,350.53,355.89,346.41,346.63,348.81,354.87,346.90,351.34,349.63,356.62,365.25,374.38
2001-09-25 21:54:04+00:00,L7,355.94,,,,,,,,,,,,,,371.42,371.03,369.14,376.22,366.97,362.89,367.60,368.63,389.08,390.28
2001-10-11 21:53:46+00:00,L7,354.53,364.44,363.26,368.10,369.51,362.10,360.42,359.49,367.12,371.26,382.92,384.13,374.59,364.06,368.66,372.78,370.94,378.02,366.73,357.87,362.41,365.03,371.37,384.49
2002-02-16 21:54:54+00:00,L7,308.39,326.80,332.16,330.45,327.92,327.10,323.71,331.81,338.61,346.27,345.39,347.71,348.59,344.06,350.63,347.73,342.60,341.39,333.41,329.28,334.28,343.89,355.67,350.18
2002-04-05 21:54:49+00:00,L7,348.71,359.18,362.25,364.36,357.76,359.49,362.04,374.45,371.52,379.02,,,,552.65,551.71,,,376.23,373.97,365.57,365.84,375.67,376.59,373.33
