dates,nzd0181-0000,nzd0181-0001,nzd0181-0002,nzd0181-0003,nzd0181-0004,nzd0181-0005,nzd0181-0006,nzd0181-0007,nzd0181-0008,nzd0181-0009,nzd0181-0010,nzd0181-0011,nzd0181-0012,nzd0181-0013,nzd0181-0014,nzd0181-0015,nzd0181-0016,nzd0181-0017,nzd0181-0018,nzd0181-0019,nzd0181-0020,nzd0181-0021,nzd0181-0022,nzd0181-0023,satname
1999-10-22 21:58:28+00:00,370.71,378.01,377.59,369.84,376.97,371.70,372.98,375.81,371.42,370.74,376.06,385.40,380.45,377.62,380.15,379.14,373.32,370.59,373.50,373.25,359.95,372.74,381.83,372.51,L7
1999-12-09 21:58:33+00:00,342.43,365.81,361.97,357.37,354.99,359.74,353.35,357.45,360.01,359.90,382.80,382.61,384.73,374.79,382.89,381.05,378.93,378.09,385.56,373.37,378.18,377.87,378.10,377.66,L7
1999-12-25 21:58:52+00:00,338.93,353.86,357.27,350.51,356.43,358.26,354.06,360.92,365.85,371.14,382.93,380.21,387.70,375.69,386.46,377.22,375.81,375.78,379.71,380.50,385.04,383.44,390.62,391.93,L7
2000-03-14 21:58:35+00:00,350.93,368.64,366.41,372.73,377.74,376.84,376.77,383.00,387.84,386.17,387.76,389.18,385.81,390.45,396.25,388.09,384.04,390.91,388.91,389.30,376.01,386.27,394.63,380.74,L7
2000-03-30 21:58:33+00:00,361.79,385.05,388.89,385.59,384.32,384.49,380.31,385.68,385.96,387.19,387.67,385.84,387.62,380.38,383.34,382.67,380.91,384.39,386.35,382.48,374.82,384.12,387.92,381.27,L7
2000-05-01 21:57:54+00:00,348.63,376.81,367.97,376.19,379.37,384.78,376.85,379.50,381.71,388.53,393.58,387.89,375.60,383.75,390.24,385.56,372.68,389.69,383.26,365.52,360.63,388.86,390.60,378.92,L7
2000-05-17 21:58:07+00:00,331.09,359.18,360.07,362.16,366.71,364.92,352.50,358.05,368.80,377.93,370.23,364.01,360.33,354.44,,,,,,,,,,,L7
2000-08-05 21:56:44+00:00,339.12,355.13,362.54,357.83,347.59,346.70,344.39,360.21,367.92,368.28,368.40,366.15,366.00,363.60,368.33,361.48,357.70,352.78,350.04,354.08,364.67,378.56,377.43,377.70,L7
2000-12-11 21:56:24+00:00,,,,,,,354.67,355.25,357.45,363.88,363.96,363.95,361.99,355.74,358.80,356.72,355.92,355.63,349.94,347.27,351.36,355.71,,,L7
2001-01-12 21:56:30+00:00,335.51,344.84,344.77,348.11,346.91,342.90,350.02,353.43,354.18,356.52,357.50,356.17,367.81,355.75,359.11,354.27,354.89,346.06,346.45,346.92,361.93,360.56,366.80,354.55,L7
