dates,nzd0120-0000,nzd0120-0001,nzd0120-0002,nzd0120-0003,nzd0120-0004,nzd0120-0005,nzd0120-0006,nzd0120-0007,nzd0120-0008,nzd0120-0009,nzd0120-0010,nzd0120-0011,nzd0120-0012,nzd0120-0013,nzd0120-0014,nzd0120-0015,nzd0120-0016,nzd0120-0017,nzd0120-0018,nzd0120-0019,nzd0120-0020,nzd0120-0021,nzd0120-0022,nzd0120-0023,nzd0120-0024,nzd0120-0025,nzd0120-0026,nzd0120-0027,nzd0120-0028,nzd0120-0029,nzd0120-0030,nzd0120-0031,nzd0120-0032,satname
2004-09-25 21:49:43+00:00,363.33,374.78,353.03,355.08,354.59,368.06,377.06,379.62,391.07,386.93,395.79,382.77,377.14,368.63,365.06,364.77,357.24,366.02,373.38,365.61,369.47,377.61,390.34,388.56,382.93,391.68,384.39,376.61,376.30,372.36,389.44,397.32,375.11,L5
2004-12-22 21:54:54+00:00,392.86,403.39,,380.27,367.44,374.67,388.76,402.22,418.05,417.84,414.34,398.17,403.23,406.71,398.08,398.59,397.20,394.02,391.60,400.37,401.47,401.94,411.97,414.68,420.23,409.62,405.20,394.84,393.97,389.75,403.17,,,L7
2005-01-15 21:51:45+00:00,406.43,406.72,,374.72,370.89,375.57,382.69,392.23,401.66,424.58,423.96,405.30,408.54,420.68,415.17,409.29,393.32,397.29,405.10,406.71,408.38,400.13,408.08,433.67,438.66,434.65,423.96,405.43,403.41,407.69,415.94,424.58,409.21,L5
2005-02-08 21:55:11+00:00,356.56,,338.85,333.23,341.18,,339.56,352.78,355.29,369.88,386.07,385.34,380.89,370.32,,370.18,365.78,367.79,364.83,371.82,374.97,377.52,383.13,,,,375.30,368.64,364.62,386.71,395.56,390.34,381.88,L7
2005-04-21 21:52:46+00:00,345.76,356.92,351.88,349.37,365.88,376.08,361.00,372.54,386.78,404.97,399.03,392.86,388.51,389.73,391.98,397.75,385.10,381.57,381.18,388.46,396.96,390.14,383.79,387.67,394.81,396.05,378.12,389.12,390.57,389.00,405.18,414.31,395.06,L5
2005-06-24 21:53:14+00:00,,,,,,,,,,,,,,,,,,,,,,,354.43,,404.38,,381.63,403.76,,,,,,L5
2005-08-19 21:54:56+00:00,,,,,,,,,,381.30,378.10,373.48,370.43,367.04,373.91,370.67,361.31,350.50,348.51,,366.67,367.26,368.71,378.72,381.73,375.28,378.59,373.45,377.28,379.70,389.68,392.04,381.04,L7
2005-12-09 21:55:14+00:00,347.12,348.57,355.19,352.36,349.80,355.75,375.30,383.81,386.45,384.55,383.98,,390.06,385.72,380.75,378.83,368.36,364.31,371.87,385.35,393.90,387.22,401.85,403.61,392.19,389.53,386.92,385.82,380.59,385.67,401.06,407.68,,L7
2006-01-10 21:55:28+00:00,334.42,342.77,351.18,,345.44,354.49,359.82,376.91,382.42,386.40,387.25,390.42,390.39,381.22,386.56,377.67,373.44,373.61,377.80,384.93,385.15,381.62,388.07,398.03,397.15,396.00,396.14,391.10,385.97,385.32,399.07,408.79,389.51,L7
2006-03-15 21:55:44+00:00,324.93,332.87,332.85,329.35,332.30,317.28,329.13,331.78,,,,,,,361.94,363.21,354.60,338.99,,,,,365.03,378.90,368.04,,358.62,359.15,367.22,370.21,381.25,393.07,383.37,L7
