dates,satname,nzd0120-0000,nzd0120-0001,nzd0120-0002,nzd0120-0003,nzd0120-0004,nzd0120-0005,nzd0120-0006,nzd0120-0007,nzd0120-0008,nzd0120-0009,nzd0120-0010,nzd0120-0011,nzd0120-0012,nzd0120-0013,nzd0120-0014,nzd0120-0015,nzd0120-0016,nzd0120-0017,nzd0120-0018,nzd0120-0019,nzd0120-0020,nzd0120-0021,nzd0120-0022,nzd0120-0023,nzd0120-0024,nzd0120-0025,nzd0120-0026,nzd0120-0027,nzd0120-0028,nzd0120-0029,nzd0120-0030,nzd0120-0031,nzd0120-0032
1999-10-06 21:58:40+00:00,L7,400.33,384.48,383.70,380.59,383.44,380.81,385.26,390.61,400.84,403.97,408.61,404.56,409.76,404.67,393.19,400.53,399.29,402.43,385.46,391.33,402.67,400.08,409.06,415.24,412.69,411.13,390.01,386.92,388.81,386.42,392.70,403.20,396.03
1999-10-22 21:58:28+00:00,L7,386.42,385.48,382.90,381.20,387.85,388.49,385.29,389.58,396.52,401.87,401.40,400.59,405.87,404.57,393.65,389.23,386.45,398.35,401.34,399.67,405.02,402.31,406.51,412.13,418.79,416.29,397.15,392.41,394.13,385.98,390.18,401.40,381.40
1999-12-09 21:58:33+00:00,L7,,,,351.30,359.84,370.13,353.05,357.09,364.06,383.03,386.80,395.42,394.28,388.42,385.55,372.40,372.37,387.61,393.31,391.74,392.30,385.57,389.34,388.92,390.49,392.77,382.06,364.49,366.50,359.02,368.28,377.63,367.32
2000-03-14 21:58:11+00:00,L7,,,381.24,375.88,371.14,385.84,373.65,375.35,381.43,395.23,408.93,398.49,392.92,389.08,384.37,381.32,400.68,402.59,,,,412.67,,,,,,385.18,391.34,389.98,402.70,410.37,397.71
2000-07-20 21:56:59+00:00,L7,,,,,,,,,,,,,,,,,220.97,228.10,,,,,526.87,534.21,,,,,,,,,
2000-12-27 21:56:05+00:00,L7,331.82,333.18,327.69,328.04,333.50,348.38,343.17,359.99,369.98,370.41,374.18,350.91,354.73,356.33,348.70,347.00,347.43,347.42,325.87,335.36,357.60,363.78,375.39,384.58,,,,,,,,,
2001-01-12 21:56:06+00:00,L7,313.25,300.07,308.17,311.33,322.42,319.96,324.28,345.40,343.90,353.76,344.91,329.04,339.31,341.51,333.25,323.31,321.85,331.45,328.22,339.22,337.83,342.07,350.91,361.85,353.06,358.20,350.90,357.96,351.31,346.84,357.70,377.43,371.71
2001-06-05 21:55:16+00:00,L7,,,,,,,,,,,,,,,,,,358.51,350.83,352.72,,365.68,378.69,397.02,384.02,371.76,370.94,367.42,373.66,365.37,369.73,382.91,368.63
2001-10-11 21:53:46+00:00,L7,367.42,364.46,337.27,348.94,355.15,361.49,367.60,383.15,381.54,384.07,389.64,392.72,381.92,383.51,373.29,372.84,362.63,369.37,384.06,,,,,,,,,,,370.81,377.11,387.25,389.34
2002-01-31 21:54:26+00:00,L7,330.96,328.31,323.92,322.05,316.41,318.80,329.62,339.94,352.58,360.94,366.98,364.26,354.11,353.91,359.44,359.75,352.44,339.14,364.61,366.46,367.03,364.34,373.55,379.65,379.92,372.55,353.79,347.99,351.49,349.37,357.45,372.62,351.35
