dates,satname,nzd0574-0000,nzd0574-0001,nzd0574-0002,nzd0574-0003,nzd0574-0004,nzd0574-0005,nzd0574-0006,nzd0574-0007,nzd0574-0008,nzd0574-0009,nzd0574-0010,nzd0574-0011,nzd0574-0012,nzd0574-0013,nzd0574-0014,nzd0574-0015,nzd0574-0016
1999-07-25 22:05:51+00:00,L7,232.95,233.00,248.25,243.61,242.76,243.57,235.99,237.15,236.44,229.77,233.38,233.99,242.06,239.01,244.43,243.53,238.93
1999-08-26 22:05:56+00:00,L7,228.79,224.37,241.14,235.57,234.60,233.17,228.43,226.76,225.96,224.15,221.64,226.59,221.98,231.42,231.78,233.92,225.20
1999-09-27 22:06:00+00:00,L7,221.07,222.52,235.37,232.31,231.30,231.95,225.40,226.30,221.47,223.57,217.07,227.03,223.89,229.42,226.89,224.72,221.32
1999-11-30 22:05:47+00:00,L7,258.24,249.73,255.14,249.22,251.73,256.85,261.80,270.83,277.12,279.06,288.23,291.64,303.66,308.23,322.19,327.98,368.63
1999-12-16 22:05:57+00:00,L7,246.71,246.53,250.29,246.12,245.93,257.12,260.57,266.69,276.16,278.80,287.08,293.24,304.33,308.74,319.99,325.45,367.57
2000-01-17 22:05:47+00:00,L7,224.42,228.47,246.08,239.63,241.41,240.66,242.59,246.97,249.12,250.84,253.23,257.70,262.25,264.30,266.73,263.38,256.53
2000-03-21 22:05:37+00:00,L7,219.42,218.80,232.69,225.54,218.30,218.75,215.92,214.43,213.68,210.89,212.33,220.19,216.83,224.16,223.67,214.25,217.52
2000-05-08 22:05:09+00:00,L7,231.48,,,246.90,248.11,264.06,265.53,266.42,271.32,265.24,272.11,281.68,284.75,291.81,288.74,289.47,339.44
2000-08-12 22:04:05+00:00,L7,227.11,229.26,246.46,240.13,236.28,233.61,234.43,228.53,227.14,226.32,221.53,231.17,236.90,234.96,238.30,232.73,229.92
2000-09-13 22:03:38+00:00,L7,221.72,220.19,231.88,228.28,218.41,219.10,217.87,214.41,210.02,209.38,209.87,213.66,216.64,217.95,219.34,213.85,214.16
2000-10-15 22:03:08+00:00,L7,203.77,207.67,221.36,224.20,229.86,229.78,229.10,227.73,222.06,216.23,211.95,218.92,217.92,223.47,221.53,213.73,210.34
2000-10-31 22:03:22+00:00,L7,227.91,229.94,248.89,243.66,242.52,242.59,241.46,244.36,244.79,243.66,248.09,250.97,249.75,247.85,250.52,232.53,227.53
2000-11-16 22:03:20+00:00,L7,225.59,230.10,247.33,243.34,243.48,244.69,241.69,246.39,248.55,250.28,259.70,264.11,274.67,280.21,284.15,294.72,315.34
2001-01-03 22:03:24+00:00,L7,266.73,260.20,266.06,257.00,257.10,264.47,265.78,273.80,275.56,279.16,283.75,295.77,306.57,310.02,322.32,326.28,356.68
2001-01-19 22:03:31+00:00,L7,232.25,233.67,248.99,245.23,245.18,247.51,251.46,254.88,255.65,257.20,251.80,261.16,271.28,270.20,275.88,283.90,300.09
2001-02-04 22:03:26+00:00,L7,229.23,229.14,248.46,243.02,241.19,242.79,243.90,249.86,244.11,241.95,242.43,250.04,256.25,257.21,261.64,248.40,268.08
2001-02-20 22:03:24+00:00,L7,222.15,225.26,238.92,234.97,232.76,233.82,231.96,230.04,233.25,227.96,225.08,229.60,231.83,231.75,231.51,214.61,217.40
2001-06-28 22:02:21+00:00,L7,316.09,326.61,318.98,,276.85,278.63,279.90,286.83,295.47,287.85,289.21,309.13,314.46,312.52,321.35,437.15,449.63
2001-08-15 22:01:50+00:00,L7,236.29,238.68,251.51,248.41,249.98,252.76,256.61,257.79,268.87,267.36,256.15,262.31,273.67,269.05,277.24,275.89,297.12
2001-08-31 22:01:41+00:00,L7,227.72,225.79,249.16,240.48,239.84,240.03,240.18,249.23,241.98,229.82,233.16,230.38,237.12,231.76,225.93,228.09,219.32
2001-10-02 22:01:16+00:00,L7,221.04,220.65,237.52,234.35,234.04,236.48,234.31,233.05,233.83,225.25,223.40,226.05,227.01,225.57,221.73,217.52,215.03
2001-11-03 22:01:22+00:00,L7,214.32,217.38,228.89,225.19,227.54,229.28,230.71,231.27,222.16,220.06,213.65,221.41,218.91,216.80,217.09,212.13,211.60
2001-12-21 22:01:41+00:00,L7,238.96,241.80,252.79,248.40,245.49,253.21,260.03,267.26,272.27,272.06,270.30,283.65,288.60,287.78,299.14,316.53,340.92
2002-01-22 22:01:52+00:00,L7,242.11,251.29,270.57,254.37,252.21,259.76,259.02,263.93,273.80,274.62,275.94,286.91,296.07,294.80,307.82,322.54,386.81
2002-03-27 22:01:49+00:00,L7,216.07,220.08,233.59,232.47,229.17,231.34,229.27,226.79,,222.47,215.62,223.46,218.85,217.12,218.70,213.23,213.93
2002-05-14 22:01:43+00:00,L7,227.18,231.20,246.55,241.15,242.69,239.61,239.53,243.53,241.74,230.96,233.16,230.20,228.72,229.42,228.58,228.95,223.73
