,dates,mex0531-0000,mex0531-0001,mex0531-0002,mex0531-0003,mex0531-0004,mex0531-0005,mex0531-0006,mex0531-0007,mex0531-0008,mex0531-0009,mex0531-0010,mex0531-0011,mex0531-0012,mex0531-0013,mex0531-0014,mex0531-0015,mex0531-0016,mex0531-0017,mex0531-0018,mex0531-0019,mex0531-0020,mex0531-0021,mex0531-0022,mex0531-0023,mex0531-0024,mex0531-0025,mex0531-0026,mex0531-0027
0,1986-05-14 17:36:04+00:00,189.24669774383742,189.69627047134892,184.02060381141274,184.97510417004796,193.38257428046214,194.41394209656642,198.97697778111873,199.03643582805006,199.84602331423855,194.3042235393817,192.57220770068915,200.16843817692904,211.6523373240402,218.20536732511795,197.2621701829392,197.0244937396929,188.9471369079936,185.37852286565516,198.22844686286055,196.19569723454688,202.63458351331172,215.228449426143,207.97961297551035,201.80132847239568,199.6746604045195,201.7754853783996,195.5643973574061,198.04668876180625
1,1987-07-20 17:36:38+00:00,199.27062849973402,187.79354075739195,177.67808755688276,191.79131501143382,199.07306440845193,198.97334425968563,201.38201864775198,198.94618762453933,199.51673486694904,197.3880450631686,189.40886058078115,198.13969552674112,193.9352969015217,209.2428124620416,197.41194206850258,203.21752905490104,192.19181333585195,193.25704594758048,199.89851344804757,200.40631906623375,202.30348072916362,221.17086022614802,214.40995020592237,212.62200087684948,219.97108698560558,211.42415750194598,200.68328184844975,194.69752792589395
2,1987-09-22 17:38:24+00:00,193.0707933449506,188.62162677257203,194.17714088844218,201.73557641673068,208.6627139271782,206.74363247600823,206.2496500670854,201.00556618215614,197.28079011355564,194.59670976277647,196.63321798939063,198.90398225570524,195.58091326113308,197.59276198427762,188.23121212717143,194.05070655240544,182.05247970899583,186.40904215650082,188.8208013669173,194.9759584494069,196.1529357467209,206.5646262739103,197.98409752418195,193.2400897531184,199.79638025508578,193.11067089434312,194.10044405382573,198.60414432100458
3,1989-09-11 17:37:23+00:00,194.07839228244566,189.99296578781755,190.47957220454464,195.96652611309736,202.8945181323377,205.9066073553331,207.5702627445715,201.31082903926145,201.98661902674985,193.7881208355283,194.4451293514017,203.978593510542,192.53076145957297,202.97227304341155,185.8795740291419,191.3933349617889,182.69040357999518,189.80438611557182,199.41514439137146,198.88042113292,200.39600596380387,209.28056111864316,203.56872432154427,205.44726911294066,201.4002189936313,197.949630114185,198.32224924234313,192.9748174715345
4,1990-04-23 17:31:37+00:00,189.24265159718897,187.11618305733023,178.65636713607586,177.61811479225165,186.04030431930124,192.97572974613863,195.2758659184519,194.42227520989604,196.66139684900423,190.04913056107424,190.8210768722803,202.43248751490918,195.52181521530457,195.9653171755689,186.98217854307316,193.6915457293512,180.44663757307518,184.56705324892005,201.6508995163966,200.59473407885338,201.568122337867,207.19115369173238,201.75264738184538,200.83092369641912,197.02051976292998,192.93012601286273,189.65594265322997,199.25464161920254
5,1990-05-09 17:31:36+00:00,195.85628137642937,187.29015924070055,188.95802641261278,186.10762489254597,202.42741513180584,205.19864896950745,214.89336043380567,,222.77284118835294,205.3702133485116,205.94857143862902,210.2262662306859,209.68388846316003,214.089558074166,201.54253240902926,197.09717377368264,188.43482310423278,189.8608138161723,239.59354077954063,240.05531034267455,212.3086272472307,224.61978390187548,238.96572531807178,,202.29033471925806,194.28614580331256,197.66008942872477,208.08994391245133
6,1992-01-23 17:35:38+00:00,193.96770379107238,187.73717230708309,184.05289691380875,190.1474514249924,196.52311097045526,192.90679001269285,196.7879830442037,199.5054857276696,198.08488658997322,187.2451127237729,188.66587087513724,196.99939403409493,196.21689220283696,200.2435940684585,182.91577882419557,189.52726155988663,180.36173053451117,184.44081157152388,197.8761954021393,195.04266296138533,201.2695755562688,214.33837044570234,210.92342373621557,207.34289051371945,201.33001450050165,210.59201844071484,207.06278608564293,201.6189509725126
7,1992-02-08 17:35:34+00:00,185.7888626565875,181.4603531129729,181.99333313028146,178.17864341029355,182.58889836120426,177.5029345737287,192.63581332220053,185.27564417814207,192.53576946397067,185.1956459423863,183.33101181047525,186.9254927578538,183.597482346824,196.6758256184682,183.4991342051909,184.5881625484336,173.80224053626802,176.5775345984778,184.47694589522558,188.44600520241573,194.8332311829577,206.56401592804852,201.73657433033003,191.17564152529647,193.23288615046795,194.7220974771306,193.16834716577765,189.76272134693986
8,1992-02-24 17:35:34+00:00,196.30261642025127,192.07825566925854,182.00050768232802,181.91821890653404,197.11497858538607,194.24545650933516,198.93906870231652,196.92032773096156,195.8438123517929,191.92261667968228,187.60930615750888,198.46987645632615,195.93778204965764,205.32582773497933,197.26194243395102,194.88494855183353,186.6729711949384,186.06195453129385,198.75581324000555,199.17682241851688,203.19508756295343,210.8363597432492,201.6983001644376,200.68092950989026,202.3072578700909,200.28723009790016,201.12064464833944,195.04522560259716
9,1992-03-11 17:35:33+00:00,182.0050175192092,187.8159433852346,183.16108046552802,181.17210204308756,184.10346879803586,190.42572525771072,199.5822143630197,198.87009025645546,200.22379026879338,197.0991894905473,187.41174001161596,197.96360669036866,200.21111867455684,208.045205452862,182.75562410885922,188.4315566353903,178.65975115930738,182.40633930114853,191.32548339147408,192.56209642875524,195.39380265289714,212.22444531053134,204.97638941093146,202.98486555308662,203.89072598386994,201.62107439590397,201.82639715278344,196.64172130529886
