dates,satname,sar1413-0000
1984-04-13 09:27:07+00:00,L5,
1984-07-18 09:28:46+00:00,L5,
1984-08-19 09:29:51+00:00,L5,
1984-09-20 09:30:04+00:00,L5,143.19
1984-10-22 09:30:00+00:00,L5,
1984-11-07 09:29:53+00:00,L5,
1984-12-09 09:29:58+00:00,L5,
1985-03-31 09:30:19+00:00,L5,
1985-06-03 09:30:04+00:00,L5,
1985-06-19 09:30:02+00:00,L5,
1985-07-05 09:29:57+00:00,L5,
1985-10-09 09:28:59+00:00,L5,
1985-11-10 09:28:33+00:00,L5,
1986-01-13 09:27:22+00:00,L5,
1986-02-14 09:26:39+00:00,L5,
1986-05-05 09:24:53+00:00,L5,
1986-05-21 09:24:27+00:00,L5,
1986-07-08 09:22:57+00:00,L5,
1986-07-24 09:22:23+00:00,L5,
1986-10-12 09:19:38+00:00,L5,
1986-12-31 09:19:14+00:00,L5,
1987-01-16 09:19:41+00:00,L5,
1987-02-01 09:20:12+00:00,L5,
1987-02-17 09:20:59+00:00,L5,
1987-03-21 09:22:02+00:00,L5,
1987-04-06 09:22:36+00:00,L5,
1987-05-08 09:23:35+00:00,L5,
1987-06-25 09:24:44+00:00,L5,
1987-07-02 09:31:03+00:00,L5,
1987-07-11 09:25:03+00:00,L5,
1987-07-18 09:31:20+00:00,L5,
1987-07-27 09:25:25+00:00,L5,
1987-08-03 09:31:49+00:00,L5,
1987-08-12 09:25:55+00:00,L5,
1987-08-19 09:32:18+00:00,L5,
1987-08-28 09:26:22+00:00,L5,
1987-09-13 09:26:45+00:00,L5,
1987-09-29 09:27:07+00:00,L5,
1987-10-31 09:27:40+00:00,L5,
1987-11-07 09:34:02+00:00,L5,
1987-11-16 09:28:03+00:00,L5,
1987-12-02 09:28:18+00:00,L5,
1988-02-20 09:29:38+00:00,L5,
1988-03-07 09:29:48+00:00,L5,168.66
1988-06-11 09:30:29+00:00,L5,
1988-07-13 09:30:39+00:00,L5,
1988-08-14 09:30:40+00:00,L5,
1988-09-15 09:30:41+00:00,L5,
1988-10-17 09:30:31+00:00,L5,
1988-11-18 09:30:32+00:00,L5,
1988-12-04 09:30:29+00:00,L5,
1988-12-20 09:30:18+00:00,L5,
1989-02-06 09:29:59+00:00,L5,
1989-03-26 09:28:53+00:00,L5,
1989-05-29 09:28:17+00:00,L5,
1989-06-14 09:27:46+00:00,L5,
1989-06-30 09:27:39+00:00,L5,
1989-07-16 09:27:19+00:00,L5,
1989-08-01 09:26:59+00:00,L5,
1989-09-02 09:26:17+00:00,L5,
1989-09-18 09:25:44+00:00,L5,126.28
1989-10-20 09:24:51+00:00,L5,
1989-12-23 09:23:10+00:00,L5,
1990-02-09 09:21:38+00:00,L5,
1990-02-25 09:21:09+00:00,L5,
1990-04-14 09:20:11+00:00,L5,
1990-06-01 09:20:08+00:00,L5,
1990-07-03 09:20:06+00:00,L5,
1990-08-04 09:19:56+00:00,L5,
1990-08-20 09:19:54+00:00,L5,
1990-09-05 09:19:46+00:00,L5,
1990-10-23 09:19:30+00:00,L5,
1990-12-10 09:19:16+00:00,L5,
1991-01-11 09:20:03+00:00,L5,
1991-02-12 09:20:42+00:00,L5,
1991-02-28 09:21:00+00:00,L5,173.16
1991-04-01 09:21:34+00:00,L5,
1991-04-17 09:21:56+00:00,L5,
1991-05-19 09:22:26+00:00,L5,
1991-06-04 09:22:42+00:00,L5,
1991-06-20 09:22:54+00:00,L5,
1991-07-06 09:23:10+00:00,L5,
