dates,sar1413-0000,satname
2018-07-24 09:58:55+00:00,137.13,L7
2018-08-09 09:58:38+00:00,144.58,L7
2018-08-25 09:58:19+00:00,129.79,L7
2019-03-29 09:59:30+00:00,141.46,L8
2019-05-08 09:50:57+00:00,129.21,L7
2019-07-11 09:48:34+00:00,133.79,L7
2019-07-27 09:47:56+00:00,129.61,L7
2019-08-12 09:47:17+00:00,133.24,L7
2019-09-05 10:00:10+00:00,128.01,L8
2019-09-29 09:45:13+00:00,147.74,L7
2020-02-20 09:38:18+00:00,188.08,L7
2020-03-07 09:37:27+00:00,157.49,L7
2020-03-31 09:59:39+00:00,129.91,L8
2020-04-08 09:35:39+00:00,141.65,L7
2020-04-24 09:34:43+00:00,127.29,L7
2020-05-26 09:32:46+00:00,129.15,L7
2020-06-27 09:30:54+00:00,134.37,L7
2020-07-29 09:28:57+00:00,127.54,L7
2020-08-14 09:27:56+00:00,133.84,L7
2020-09-07 10:00:09+00:00,132.4,L8
2020-09-15 09:25:51+00:00,136.07,L7
2020-10-17 09:23:47+00:00,135.25,L7
2020-11-02 09:22:43+00:00,192.58,L7
2021-03-10 09:13:23+00:00,153.99,L7
2021-03-26 09:12:06+00:00,139.58,L7
2021-04-27 09:09:25+00:00,130.38,L7
2021-05-29 09:06:44+00:00,133.54,L7
2021-06-30 09:04:05+00:00,133.48,L7
2021-08-17 08:59:55+00:00,133.89,L7
2021-09-26 10:00:16+00:00,166.86,L8
2021-10-20 08:54:17+00:00,172.3,L7
2021-12-23 08:48:11+00:00,198.02,L7
2022-02-25 08:41:53+00:00,155.59,L7
2022-03-29 08:38:46+00:00,141.16,L7
2022-06-06 08:28:00+00:00,132.05,L7
2022-06-11 08:33:32+00:00,129.17,L7
2022-07-15 08:31:18+00:00,128.06,L7
2022-07-27 08:24:33+00:00,121.33,L7
2022-08-01 08:29:56+00:00,131.62,L7
2022-08-13 08:23:07+00:00,130.56,L7
2022-09-13 10:00:34+00:00,136.58,L8
2022-09-21 10:00:17+00:00,133.19,L9
2023-03-16 10:00:06+00:00,162.47,L9
2023-04-06 07:59:39+00:00,129.85,L7
2023-04-11 08:03:49+00:00,146.37,L7
2023-04-28 07:57:55+00:00,126.04,L7
2023-06-11 07:52:29+00:00,127.86,L7
2023-06-16 07:56:13+00:00,128.67,L7
2023-07-08 07:52:33+00:00,137.33,L7
2023-07-30 07:48:23+00:00,127.34,L7
2023-08-04 07:51:50+00:00,132.13,L7
2023-08-26 07:46:57+00:00,133.24,L7
2023-08-31 09:59:57+00:00,129.25,L8
2023-09-08 09:59:59+00:00,139.91,L9
2023-09-24 09:59:59+00:00,147.78,L9
2024-09-10 09:59:45+00:00,132.9,L9
2025-03-29 09:59:36+00:00,134.55,L8
