,dates,jap0018-0000,jap0018-0001,jap0018-0002,jap0018-0003,jap0018-0004,jap0018-0005,jap0018-0006,jap0018-0007,jap0018-0008,jap0018-0009,jap0018-0010,jap0018-0011,jap0018-0012,jap0018-0013,jap0018-0014,jap0018-0015,jap0018-0016,jap0018-0017,jap0018-0018,jap0018-0019,jap0018-0020,jap0018-0021
0,1984-07-10 00:23:29+00:00,143.3797693743532,122.80781453685485,136.41389435805678,119.86370061033313,,150.79837180590073,130.6985170443014,147.06231975482814,153.35702631692322,,,,,,158.661109304496,118.61098490697167,129.10026614064714,144.64920795062773,97.99268695774423,123.70349689768373,102.9238899484404,90.46174681785239
1,1985-07-29 00:24:43+00:00,,,,,,,,,,,,,,,,,,,,,,
2,1986-05-13 00:19:38+00:00,132.6179699181465,117.78292194906919,96.97314372420561,88.35729177096009,85.52697520522592,116.94466397823723,118.78074109676243,115.03195067067392,111.02595786826544,103.19467418789098,104.00753342995829,104.49682930568538,112.86061535666144,118.12184675065532,122.924569971935,123.93561900503721,126.40030497112389,121.20339122655417,90.19747465731582,94.2448578682489,108.27730075288608,112.43651964718347
3,1986-05-29 00:19:10+00:00,,,,,,,,,,,,,,,,,,,,,,
4,1987-06-01 00:19:08+00:00,144.34518982864927,130.8653410824719,119.12535817211295,102.91083640570722,124.6063842480625,134.7842036134753,136.11988830481693,137.98269728375243,123.7468392751213,114.53129465252097,113.7217974295338,120.4978348486503,123.73065161716595,131.37603235372373,139.24110685195595,139.7527548658372,142.16124048361462,124.34796148642111,107.35433619786743,109.8735264242734,112.35000253247995,131.0331238999757
5,1987-06-17 00:19:29+00:00,145.97241347001557,128.17821932968238,117.39048064857161,112.9155328440014,127.63838677973999,142.73640510514753,140.08569374167578,141.70060282974464,134.92744580643284,128.31832013974278,125.61575340619498,127.77416316334694,126.24514420720638,132.5435498861949,141.3691928068765,142.41020844454988,139.97294042243303,123.04487192779553,108.5341090697394,115.15093952851538,119.89241301692373,129.68606927911696
6,1987-07-03 00:19:49+00:00,,,,,,,,,,,,,,,,,,,,,,
7,1987-11-24 00:23:08+00:00,,,,,,,,,,,,,,,,,,,,,,
8,1988-09-07 00:25:41+00:00,150.95352892305684,125.6118561592573,119.98376956047838,98.73801528508984,114.77247921006416,140.5623016659665,135.82429116980614,131.1783049874355,128.56379538379494,120.66937118534662,117.61339177698723,120.10250214833066,118.88668509655956,126.84239944393123,135.2161066326736,137.7971844682783,141.83753676622698,124.32403961674437,111.1088514794665,114.39110368155549,120.03941291184059,132.081425390754
9,1989-01-13 00:25:03+00:00,,,,,,,,,,,,,,,,,,,,,,
10,1989-08-09 00:21:45+00:00,,,,,,,,,,,,,,117.34747238063431,129.5232548472328,130.8717846702218,133.07241717208888,106.12315596410515,106.2629229232682,104.94541015168147,112.77895716330741,118.65182207908899
11,1989-08-25 00:21:24+00:00,143.5546076003987,115.7068129297283,109.25109500989686,97.49387273799033,104.26235490911313,127.80178661336822,130.5513406629917,136.3088959696383,131.6520621501124,122.2555925997661,120.768335462382,116.55862614880039,126.4965679226831,124.5905542840136,131.19120070571657,132.06537455017656,138.7496382462718,117.2090748284209,108.87642187386257,113.22589187757319,118.2240187128717,131.60149358901324
12,1989-11-29 00:18:49+00:00,143.0937388731535,119.4067557986115,110.73152880056392,104.28916774915882,111.57434301401626,134.244102173639,134.74617322709048,137.30316129823143,136.57634026210167,122.68429667863035,120.17801571275882,123.29208709378881,123.45172216347592,127.63407313270865,128.24878074395315,134.92672474495092,133.1822788079995,103.16705912613308,103.8573223978818,112.11705809433192,115.94085843519149,121.80468279131568
13,1990-01-16 00:17:21+00:00,,,,,,,,,,,81.87761463154811,106.03811960672769,,,,,,,,,,
14,1990-02-01 00:16:50+00:00,,,,,,,,,,,,,,,,,,,,,,
15,1990-05-24 00:15:04+00:00,144.9536909230077,130.2493242727741,123.71669039112166,108.1897544415641,130.62539411918263,140.08985094689106,141.2163488575939,130.6410985187862,120.45948942244834,115.63720316763309,115.98889993663643,114.74949474077937,120.75291400091166,128.9310369214269,135.07307113703175,139.5133709798652,142.16206776640666,134.84496129545064,112.46660666170325,119.26431949262363,122.51348898264374,132.64971832830742
16,1990-07-27 00:14:57+00:00,141.23543926738148,122.76587110206918,116.55615728450414,91.28104010946086,117.37413160444169,134.08168901774297,136.51144161933217,137.14942001762705,127.90746666325225,122.97650942402169,125.88973410846853,122.1853877739543,126.00630186488445,130.67172337403954,136.43024675680678,133.04828610685485,132.2873406337666,119.19350967414871,107.99698345713223,112.7574936537745,122.75822215132332,133.86891303412855
17,1992-04-27 00:18:45+00:00,,,,,,,,,,,,,,,,,,,,,,
18,1992-06-30 00:18:05+00:00,,,,,,,,,,,,,,,,,,,,,,
19,1992-07-16 00:17:53+00:00,,,,,,,114.64272840426511,127.062222697669,144.7662377922288,115.3546964533447,124.49502024673649,128.99601901041845,142.7938605265154,,,114.24629945093434,78.53918494455692,107.29940226798146,,,,
20,1992-11-05 00:16:07+00:00,136.93318779443388,111.55857787538217,106.24753888616901,92.25600921642875,96.8105473695337,122.18546758268748,129.49753510476313,129.80442718111635,124.14996436059559,113.60933776333518,105.23707953816017,115.97964060959187,118.98979346273741,127.39500803774978,131.77658578874656,127.81219697288981,126.58100859969879,109.22362809702393,104.14615789326947,107.98246210779979,114.65014035357171,123.1478045054347
21,1993-03-29 00:17:05+00:00,,,,49.89363679585638,63.87619123080127,87.05554817087946,104.22636493044672,102.5286362958389,87.54438213133949,,83.08139264135468,,,,,,,,,,,
22,1993-09-21 00:17:12+00:00,148.5325925517193,130.49526571687863,107.28878498689718,92.43759593742166,87.71890229931273,131.8833997037949,133.62167883429638,130.40299436569637,123.28060446875685,117.03928753011729,115.02434142392708,118.85521422769528,121.39815135845126,132.56210117942024,134.92459394241297,136.40739404466234,133.8458186242938,95.28586827432495,101.54207469746547,109.32451296075338,112.75709292356281,122.99594929905774
23,1994-01-11 00:16:20+00:00,,,,,,,,,,,,,,,,,,,,,,
24,1997-07-14 00:25:19+00:00,121.56844840083929,103.61746338906094,84.57675915499503,75.23797354985254,78.58320647864997,116.22816971196788,119.02185037553214,114.88572595095037,107.41477885537378,102.9696685193035,98.01022597106768,111.80259778796783,113.29795395381346,120.44332185511449,123.75832718760446,122.37161323121802,120.53108520195238,86.43940668118991,87.41337572250669,92.40374959014478,95.18489553589791,105.47789278182792
25,1998-01-06 00:30:10+00:00,156.90136853664586,137.9603680868924,86.60960131761391,68.92214552163634,65.2252115935096,,,,,,,,,,,,,,,,,
26,1998-03-11 00:31:25+00:00,,,,,,,,,,,,,,,,,,,,,,
27,1998-09-03 00:33:34+00:00,133.77468778812502,109.02892261062806,101.83952380843141,82.47883904834501,101.77839727669516,129.8058532866274,126.94645981021782,122.45600011089593,116.56663103325562,107.46593370767138,99.00021370097467,113.25244975297991,116.23508778546798,121.65161102705807,129.31919409196766,130.472670047621,127.34856436139032,111.93823736792712,93.97765213023891,99.54690096642113,101.67750277594178,109.53996190447707
28,1999-08-29 00:47:50+00:00,149.97932995099723,132.2898096603401,119.80049329629742,118.11520058252503,128.78748410503292,138.41278949387643,137.0961384644288,138.49475535678488,124.41770995493798,114.9215362156173,112.27534643559173,118.40795011666546,120.98922345694587,126.21195155881304,135.95606857482358,129.80499294273676,130.6062283976823,123.144257265607,104.04080170826018,99.80145754496499,110.28562933618463,115.0896361088295
29,1999-12-19 00:47:50+00:00,,,,,,,,,,,,,,,,,,,,,,
30,2000-02-05 00:47:40+00:00,,,,,,,,,,,,,,,,,,,,,,
31,2000-04-09 00:47:17+00:00,,,,,,,,,,,,,,,,,,,,,,
