dates,satname,nzd0271-0000,nzd0271-0001,nzd0271-0002,nzd0271-0003,nzd0271-0004,nzd0271-0005,nzd0271-0006,nzd0271-0007,nzd0271-0008,nzd0271-0009,nzd0271-0010,nzd0271-0011,nzd0271-0012,nzd0271-0013,nzd0271-0014,nzd0271-0015,nzd0271-0016,nzd0271-0017,nzd0271-0018,nzd0271-0019,nzd0271-0020,nzd0271-0021,nzd0271-0022,nzd0271-0023,nzd0271-0024,nzd0271-0025,nzd0271-0026,nzd0271-0027,nzd0271-0028,nzd0271-0029,nzd0271-0030,nzd0271-0031,nzd0271-0032,nzd0271-0033,nzd0271-0034,nzd0271-0035,nzd0271-0036,nzd0271-0037,nzd0271-0038,nzd0271-0039,nzd0271-0040,nzd0271-0041,nzd0271-0042,nzd0271-0043,nzd0271-0044,nzd0271-0045,nzd0271-0046,nzd0271-0047,nzd0271-0048,nzd0271-0049,nzd0271-0050,nzd0271-0051,nzd0271-0052,nzd0271-0053,nzd0271-0054,nzd0271-0055,nzd0271-0056,nzd0271-0057,nzd0271-0058,nzd0271-0059,nzd0271-0060,nzd0271-0061,nzd0271-0062,nzd0271-0063,nzd0271-0064,nzd0271-0065,nzd0271-0066,nzd0271-0067,nzd0271-0068,nzd0271-0069,nzd0271-0070,nzd0271-0071,nzd0271-0072,nzd0271-0073,nzd0271-0074,nzd0271-0075,nzd0271-0076,nzd0271-0077,nzd0271-0078,nzd0271-0079,nzd0271-0080,nzd0271-0081,nzd0271-0082,nzd0271-0083,nzd0271-0084,nzd0271-0085,nzd0271-0086,nzd0271-0087,nzd0271-0088,nzd0271-0089,nzd0271-0090,nzd0271-0091,nzd0271-0092,nzd0271-0093,nzd0271-0094,nzd0271-0095,nzd0271-0096,nzd0271-0097,nzd0271-0098,nzd0271-0099,nzd0271-0100,nzd0271-0101,nzd0271-0102,nzd0271-0103,nzd0271-0104,nzd0271-0105,nzd0271-0106,nzd0271-0107,nzd0271-0108,nzd0271-0109,nzd0271-0110,nzd0271-0111,nzd0271-0112,nzd0271-0113,nzd0271-0114,nzd0271-0115,nzd0271-0116,nzd0271-0117,nzd0271-0118,nzd0271-0119,nzd0271-0120,nzd0271-0121,nzd0271-0122,nzd0271-0123,nzd0271-0124,nzd0271-0125,nzd0271-0126,nzd0271-0127,nzd0271-0128,nzd0271-0129,nzd0271-0130,nzd0271-0131,nzd0271-0132,nzd0271-0133,nzd0271-0134,nzd0271-0135,nzd0271-0136,nzd0271-0137,nzd0271-0138,nzd0271-0139,nzd0271-0140,nzd0271-0141,nzd0271-0142,nzd0271-0143,nzd0271-0144,nzd0271-0145,nzd0271-0146,nzd0271-0147,nzd0271-0148,nzd0271-0149,nzd0271-0150,nzd0271-0151,nzd0271-0152,nzd0271-0153,nzd0271-0154,nzd0271-0155,nzd0271-0156,nzd0271-0157,nzd0271-0158,nzd0271-0159,nzd0271-0160,nzd0271-0161,nzd0271-0162,nzd0271-0163
1999-08-21 21:46:56+00:00,L7,342.92,312.18,296.08,282.74,284.24,280.68,284.91,271.84,272.98,263.31,254.65,237.40,223.04,209.33,205.56,217.47,237.05,257.09,278.98,284.12,291.85,296.52,298.31,314.95,316.60,307.08,298.30,291.29,284.34,281.47,272.89,278.79,281.07,275.49,286.96,286.65,284.24,298.61,304.23,306.77,304.98,294.10,293.88,294.33,287.20,289.17,291.70,287.51,286.21,297.34,307.14,313.53,318.02,325.04,314.81,317.46,316.02,303.40,307.63,307.45,300.74,295.69,300.71,303.77,305.62,304.94,300.03,306.78,320.59,328.25,323.02,321.56,328.34,323.40,312.35,312.67,316.59,316.73,327.49,330.89,317.30,319.65,318.91,315.33,305.99,299.37,301.44,292.12,285.20,291.97,289.13,290.26,292.13,301.26,311.43,323.96,350.58,368.39,375.11,376.98,386.16,388.46,384.40,375.49,366.08,,76.85,,,,,,,,,,,,435.58,415.84,411.53,423.68,434.42,433.14,428.27,417.60,406.61,399.80,382.21,380.30,385.83,384.42,388.73,385.26,384.76,377.69,370.32,358.75,355.34,351.50,361.01,,,,,,,,,,,,,,,,,,,,,,,
1999-09-06 21:46:59+00:00,L7,,,,,,,,,,,,,,,,,,,,,,319.88,324.23,329.28,311.87,313.58,314.59,285.70,270.27,262.36,271.24,268.14,268.34,275.41,303.33,312.23,306.15,,,,,,,,299.05,301.43,298.26,294.24,305.13,307.24,311.38,313.21,314.21,331.87,331.49,329.71,319.17,317.06,313.41,306.49,284.19,284.52,291.18,287.30,298.27,311.48,314.76,317.32,319.58,332.40,336.70,330.61,326.11,321.53,324.89,325.88,330.70,334.35,340.20,337.31,339.10,333.77,324.71,313.86,312.74,304.38,304.91,307.31,308.31,303.74,302.18,304.50,308.55,319.67,329.92,342.00,378.03,381.94,395.08,397.85,413.73,422.27,409.90,383.46,367.02,367.76,385.55,397.37,407.92,421.13,430.31,435.87,440.64,441.61,293.47,371.45,461.02,480.19,477.26,456.43,438.38,454.71,460.21,459.83,454.92,445.12,443.12,428.74,413.64,418.33,418.28,416.20,409.80,404.88,401.89,406.46,389.08,383.29,374.53,375.17,382.52,379.54,391.18,399.25,404.24,419.24,435.62,452.57,466.36,464.32,461.52,452.73,444.30,441.42,435.89,434.25,440.52,451.06,447.70,441.06,441.37,459.94,462.27,452.03
1999-09-22 21:47:00+00:00,L7,354.62,326.71,311.01,300.69,296.80,293.58,292.70,287.37,283.15,292.62,272.34,243.90,231.04,213.53,211.19,235.79,254.52,259.40,279.70,293.07,294.91,306.48,318.97,328.74,329.29,319.47,311.91,300.04,287.00,286.70,285.12,284.47,296.66,290.25,297.01,302.05,303.61,309.79,307.97,301.48,312.78,304.74,299.92,292.31,296.55,305.32,288.61,301.10,304.86,299.54,313.88,321.76,328.37,327.51,326.17,325.27,325.80,312.06,308.99,309.92,304.38,305.58,309.21,312.04,312.43,306.03,312.79,313.36,323.59,333.97,338.41,329.63,326.52,321.65,324.03,327.03,330.04,340.29,331.95,339.13,346.19,333.90,317.77,323.08,322.64,301.56,308.36,307.47,303.05,301.30,291.16,299.32,310.76,319.51,337.51,349.37,371.69,378.85,396.49,404.98,401.99,394.23,385.61,361.60,361.69,378.65,381.04,379.38,384.83,388.90,403.92,412.38,409.62,400.47,267.07,347.89,447.45,448.77,449.04,450.05,446.11,444.70,453.82,451.41,442.73,445.91,420.27,418.11,410.87,412.23,405.66,402.20,400.16,394.51,394.71,392.56,381.44,369.99,372.26,369.67,372.98,371.75,380.17,389.31,401.85,419.69,426.26,448.97,458.29,456.87,454.15,446.35,433.25,430.58,427.11,424.43,429.39,442.24,440.20,435.59,437.77,441.63,443.71,479.96
1999-10-24 21:46:56+00:00,L7,346.46,319.76,304.95,297.24,296.58,294.10,283.03,278.80,285.42,268.18,264.45,237.74,214.79,216.98,213.98,228.80,243.47,257.86,280.90,284.96,294.11,308.52,315.19,322.67,320.20,313.26,311.71,298.68,288.32,289.29,289.49,279.68,279.17,287.53,293.37,300.12,303.96,304.57,301.29,308.22,307.29,304.22,302.13,302.31,296.40,298.85,295.69,297.93,300.77,303.13,312.41,315.28,315.86,328.03,333.73,328.79,319.08,321.44,315.15,306.18,304.13,300.71,307.65,310.35,308.40,313.54,319.21,320.18,329.15,333.97,329.74,328.08,329.32,328.76,332.90,334.01,335.34,342.36,341.63,349.51,345.26,333.95,335.51,325.42,315.01,323.17,320.94,309.80,305.69,304.14,303.44,315.78,326.07,335.52,343.41,364.63,376.52,386.34,408.41,417.22,402.97,396.69,382.17,383.86,384.58,384.95,388.13,390.66,402.05,401.62,415.21,399.01,392.78,387.82,291.75,340.85,426.96,448.64,453.73,456.79,451.40,453.54,456.03,456.19,447.36,437.64,432.26,422.71,418.24,425.08,427.69,421.00,415.07,407.97,393.22,387.07,381.27,374.34,365.58,367.45,368.65,372.60,378.38,387.03,394.55,414.90,424.53,448.16,456.72,451.34,450.45,446.06,439.02,431.04,426.30,423.78,432.76,439.82,439.44,441.63,435.79,446.26,433.21,395.40
2000-02-13 21:46:48+00:00,L7,329.90,300.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.63,372.58,364.81,363.20,346.21,351.09,348.03,345.53,331.30,333.40,333.15,329.07,308.41,228.31,193.64,320.98,370.80,396.73,403.11,413.67,416.78,417.34,414.15,413.88,404.95,397.02,396.43,385.64,378.79,376.12,369.93,363.69,365.55,358.24,356.57,352.21,335.97,328.67,328.60,330.03,332.56,338.44,346.99,354.33,367.46,383.35,394.04,411.73,421.93,418.14,413.62,408.11,402.04,395.25,,,,,,,,,,
2000-05-03 21:46:19+00:00,L7,339.77,326.20,300.71,291.30,277.63,283.27,277.12,277.35,272.92,269.45,261.50,246.86,224.80,222.69,218.48,227.92,241.90,267.51,273.71,286.67,294.09,302.82,313.45,319.19,319.27,313.00,306.87,297.99,286.29,282.28,281.17,278.37,281.14,282.77,284.27,289.09,293.21,299.24,309.95,307.11,302.20,296.61,297.88,295.17,288.89,291.40,300.79,302.10,301.51,304.14,311.18,309.88,317.76,325.07,327.35,319.64,315.88,318.55,315.65,304.46,306.57,308.43,312.12,308.21,307.08,309.98,312.93,316.49,317.80,322.97,327.44,326.04,325.92,321.83,322.01,329.78,328.54,331.25,331.94,338.03,341.02,335.45,322.15,321.01,315.32,309.23,301.84,299.87,303.91,306.46,306.77,311.91,318.01,331.39,347.87,367.68,378.10,388.97,410.20,415.66,411.34,396.21,399.54,394.10,393.44,389.25,380.81,373.71,370.39,367.10,357.38,355.89,355.53,336.50,312.08,207.22,299.87,408.21,432.00,437.46,437.62,441.69,441.97,443.99,433.62,422.39,414.72,408.13,402.21,395.02,394.42,393.14,389.59,384.86,380.05,382.30,369.46,358.16,359.11,356.53,356.69,361.83,370.69,375.77,385.93,401.93,416.61,429.16,438.80,437.93,434.81,427.21,426.39,424.35,415.55,418.77,418.56,425.53,425.07,414.12,413.10,412.98,425.41,387.61
2000-05-19 21:46:07+00:00,L7,311.56,303.11,290.34,272.90,268.28,270.01,264.94,266.10,266.38,256.34,253.63,231.56,213.79,203.04,204.37,218.10,235.26,249.86,263.81,276.45,284.84,293.66,292.17,304.93,307.63,303.01,284.57,283.18,279.16,273.85,271.38,266.65,268.28,266.20,272.51,280.50,281.64,289.24,296.32,296.59,292.27,293.42,292.70,291.05,284.82,284.31,286.48,287.83,289.91,293.04,298.78,303.13,300.14,314.99,319.43,311.08,309.28,303.45,301.98,296.91,300.53,302.15,300.21,300.95,299.87,303.93,303.99,308.90,314.18,322.91,310.88,315.10,314.48,312.25,320.44,321.34,321.42,316.53,330.43,329.90,328.77,322.63,316.76,311.59,301.48,300.43,297.00,295.18,291.46,296.30,302.16,307.10,314.12,329.16,339.99,357.36,372.76,386.26,399.58,406.32,399.84,392.88,392.99,388.51,385.54,376.35,368.90,363.99,361.31,348.19,345.37,355.63,353.75,326.53,288.93,192.77,266.20,361.25,405.46,416.34,416.94,423.58,425.38,422.66,417.88,411.75,402.73,396.66,393.72,385.22,378.33,381.13,371.64,373.17,365.86,364.03,354.72,349.22,340.22,339.11,341.12,346.99,352.03,362.60,375.02,386.18,396.34,408.82,423.36,420.09,,,,,,,,,,,,,73.52,158.62
2000-08-07 21:45:08+00:00,L7,323.44,316.61,296.14,285.08,273.65,279.93,270.28,269.16,261.58,254.93,245.47,237.71,216.05,213.84,208.65,217.51,232.60,250.37,265.16,277.24,284.91,285.57,296.30,303.87,308.43,303.48,289.17,282.54,281.46,271.44,264.41,265.31,267.96,272.88,273.12,278.79,278.11,290.82,299.78,301.85,292.83,293.58,290.71,289.87,291.03,289.66,286.28,288.37,287.06,293.36,298.24,304.72,307.73,316.16,318.90,313.95,299.57,298.15,299.78,299.71,302.72,296.45,295.11,291.95,296.83,296.75,302.08,306.33,313.92,319.67,321.76,318.29,314.45,311.74,313.69,318.21,322.92,325.14,322.19,327.46,331.20,328.03,316.94,313.74,302.24,300.06,293.12,289.92,289.81,293.62,293.44,299.03,303.84,318.80,339.35,350.69,361.95,375.88,386.13,400.42,393.80,388.83,377.67,372.25,367.96,369.13,368.24,,,,,,,,,,,,,,331.17,381.98,395.56,395.76,403.05,398.75,399.55,386.58,381.36,373.53,373.61,369.82,368.00,368.42,368.94,368.64,351.00,346.29,343.42,341.83,347.09,351.35,358.92,366.00,379.48,390.48,406.84,,,,,,,,,,,,,,,,,
2001-04-04 21:44:06+00:00,L7,357.66,333.42,310.93,303.53,305.48,304.26,298.80,296.85,294.04,290.77,280.45,275.16,250.85,237.83,235.78,242.23,253.79,276.46,292.86,306.65,311.63,312.51,317.48,329.80,333.99,323.38,312.48,300.90,289.60,290.94,285.78,280.91,287.62,289.17,291.37,293.24,299.32,312.02,323.52,311.74,313.08,313.36,305.93,311.56,312.74,301.34,301.42,306.01,309.59,309.80,319.73,321.79,321.51,328.03,331.69,330.39,326.08,320.52,319.14,319.97,323.62,320.80,319.55,324.28,324.23,319.09,326.02,329.11,337.28,336.97,344.33,344.80,342.43,340.61,343.47,343.18,344.72,344.05,350.65,354.62,351.37,341.92,335.05,331.75,325.03,317.20,310.61,311.48,312.75,318.51,321.36,320.11,330.24,339.76,351.13,362.00,375.33,392.23,403.24,409.32,410.02,397.42,400.31,402.01,385.49,382.30,391.37,387.60,381.60,374.77,376.46,363.54,362.37,369.15,368.19,370.15,381.16,448.97,456.29,447.23,355.51,376.46,421.56,430.97,435.22,419.67,412.99,397.89,403.55,405.01,397.86,386.41,391.70,391.25,394.03,390.49,380.90,371.53,370.70,369.75,372.25,376.08,380.67,384.73,397.63,416.06,428.09,450.78,459.99,457.70,457.69,449.30,442.16,435.62,431.58,419.92,,,,,,,,
2001-04-20 21:44:10+00:00,L7,353.88,329.62,308.75,299.42,297.66,297.01,295.11,291.60,282.76,278.46,268.58,263.78,242.78,229.77,231.55,236.59,258.08,271.50,286.99,301.54,305.64,307.63,312.79,316.41,321.93,311.93,307.13,292.53,285.37,283.63,283.25,281.08,280.90,286.09,288.73,291.55,301.58,308.04,312.66,317.05,316.01,310.51,307.29,307.69,303.42,305.18,306.31,312.43,310.81,310.30,316.68,325.88,327.23,335.88,332.18,327.44,329.32,319.32,318.09,318.28,313.58,315.83,315.42,313.82,317.66,319.69,321.11,332.31,340.31,343.21,351.43,348.71,344.58,334.86,339.62,346.94,347.33,353.62,356.11,355.69,355.61,344.37,334.97,328.38,328.23,325.64,315.60,314.69,310.42,315.67,315.24,320.89,320.55,341.48,344.47,362.21,369.08,391.73,402.61,406.57,402.17,404.27,398.11,393.36,392.41,386.22,387.06,379.01,385.55,373.93,363.27,356.27,360.25,371.04,387.03,414.68,442.64,456.05,439.69,468.58,363.48,374.46,430.25,430.91,421.51,418.12,416.54,405.73,399.17,395.25,399.74,396.23,381.25,383.18,396.12,399.46,378.55,370.16,365.06,367.26,368.18,372.15,379.76,385.80,398.84,412.81,434.75,448.85,455.82,448.33,450.91,443.78,431.00,429.63,427.69,417.37,427.85,435.06,438.52,436.92,427.82,447.08,467.77,458.33
