,dates,chi0230-0000,chi0230-0001,chi0230-0002,chi0230-0003,chi0230-0004,chi0230-0005,chi0230-0006,chi0230-0007
0,1984-07-08 14:06:50+00:00,150.1827826392651,168.79881363856646,176.85009900022854,176.99419219205123,186.21522100129187,185.8223628830229,195.4686310117007,215.8742999597146
1,1985-07-27 14:08:05+00:00,173.06177752591682,183.7340189111911,183.34418761092962,184.8239016923288,191.49664477948502,196.76357654317835,201.98062170221934,217.99767619389237
2,1986-02-04 14:05:11+00:00,166.5144757281458,186.58510869560214,196.64745954138198,197.3337083909834,185.47338014379844,194.95370450698246,179.55488503156073,
3,1986-07-30 14:00:28+00:00,170.07873313947783,183.94989630414614,193.44106536718007,192.94943988310865,194.61171263097225,203.164355740763,208.17457812458326,227.6003784506759
4,1986-08-15 13:59:53+00:00,170.83674911439925,182.0121914981889,187.2893325907718,189.26861322453,191.26800267006354,200.1888562229971,204.72167456024067,225.1996720210794
5,1986-08-31 13:59:17+00:00,174.06541376194394,189.50604212202322,189.73756621487425,192.87632346810858,192.1632926190172,202.9427192109945,205.88585635827138,217.41211523639996
6,1986-09-16 13:58:46+00:00,177.71124562247164,191.08565537740637,193.12995566632955,198.72752680908997,201.75524006329417,205.3472066215066,211.91453537571414,
7,1987-01-22 13:58:10+00:00,178.33543857592835,185.85487103817815,188.89762359737074,180.03079852112904,183.0800691328892,187.6263166716906,188.7568129115897,210.51483616778629
8,1987-11-06 14:06:08+00:00,190.88087169785842,196.25945720935428,200.40624119025014,197.77476205674984,198.19492329978303,205.27624138803458,215.14400588952233,227.1210195975115
9,1988-08-20 14:09:00+00:00,176.67836325216967,189.85841102303203,192.03257121286742,195.6910170836814,198.51684212834175,210.77718296586988,217.07494682907412,228.650723884126
10,1988-09-05 14:09:03+00:00,170.94500571223176,181.12209279040474,184.83811731319787,190.2702124299054,193.048397487556,200.91779112208874,200.98975270487972,212.07813713278574
11,1988-09-21 14:08:58+00:00,180.41184559731275,187.81259675497088,189.12712640531308,194.42569676155395,195.8931194421153,201.6065094746525,205.02758059962846,
12,1989-05-03 14:07:01+00:00,177.0048219302483,190.00872152878637,199.7710295995505,194.4040374952713,194.4800614284774,206.7050665628132,211.43514388857122,231.46969995770547
13,1989-08-07 14:05:09+00:00,175.91194040096406,187.82822642295076,193.66534698034266,184.7456702085343,188.08616564227026,196.02602663257116,201.9953712316896,212.26750501790232
14,1989-08-23 14:04:47+00:00,180.88741335150894,188.2811104752099,191.67559671671188,194.7999436993528,196.1083864834384,204.48698112541356,212.12859788607966,
15,1989-09-24 14:03:59+00:00,179.7709965124782,182.25393303445432,189.43248154045438,189.003071608373,190.52235950562633,202.26717606763174,208.32350020677376,
16,1990-11-14 13:57:45+00:00,189.98046159494942,197.34982309675596,201.06346811972992,202.65599189103236,204.68196774509605,209.68345962757544,215.9925444447087,232.3785208539806
17,1991-01-01 13:58:07+00:00,189.58954059668852,195.58214803949423,196.72025858844015,197.24750880465376,196.61778608070964,204.03302641496785,214.62965068412763,224.16895387692816
18,1991-02-02 13:58:48+00:00,187.29907443256178,195.47763464869865,202.00598459162785,201.73856713155075,203.04031047100108,202.8895225477622,215.5945533377477,227.29893271202528
19,1991-08-29 14:01:55+00:00,,,186.09584420102757,185.4622274924488,192.9771648289892,,,209.77247985594477
20,1991-09-30 14:02:13+00:00,189.00115337453843,190.80749494563938,190.8461860748537,189.48264220364646,191.9050022942578,198.51852514208667,201.93709525786582,219.78805243681467
