dates,satname,nzd0197-0000,nzd0197-0001,nzd0197-0002,nzd0197-0003,nzd0197-0004,nzd0197-0005,nzd0197-0006,nzd0197-0007,nzd0197-0008,nzd0197-0009,nzd0197-0010,nzd0197-0011,nzd0197-0012,nzd0197-0013,nzd0197-0014,nzd0197-0015,nzd0197-0016,nzd0197-0017,nzd0197-0018,nzd0197-0019,nzd0197-0020,nzd0197-0021,nzd0197-0022,nzd0197-0023,nzd0197-0024,nzd0197-0025,nzd0197-0026,nzd0197-0027,nzd0197-0028,nzd0197-0029,nzd0197-0030,nzd0197-0031,nzd0197-0032,nzd0197-0033,nzd0197-0034,nzd0197-0035,nzd0197-0036,nzd0197-0037,nzd0197-0038,nzd0197-0039,nzd0197-0040,nzd0197-0041
1999-07-18 21:58:49+00:00,L7,372.72,356.27,350.78,350.50,363.11,337.95,315.61,300.10,296.73,284.77,291.41,300.29,302.15,309.30,329.32,322.00,323.39,324.66,318.31,311.54,312.87,321.42,326.19,321.79,295.62,309.77,339.34,,,320.73,321.65,323.45,329.37,332.63,347.38,347.24,333.59,329.35,330.40,320.21,313.19,328.32
1999-09-13 21:52:41+00:00,L7,357.44,332.90,323.02,326.70,335.88,321.59,296.29,280.09,272.56,269.36,267.65,274.23,283.09,292.29,311.25,307.97,310.12,313.43,317.79,317.00,313.20,312.21,316.51,309.75,291.24,303.01,326.73,344.71,331.44,312.97,315.89,339.98,321.29,320.71,333.89,329.01,322.40,302.95,310.95,313.36,302.13,303.05
1999-09-29 21:52:52+00:00,L7,366.35,351.79,342.73,345.82,357.42,341.00,319.14,308.23,295.90,290.28,294.80,304.59,308.69,314.88,327.34,326.19,328.40,332.04,338.10,335.59,331.63,338.78,339.83,344.38,321.48,330.57,350.36,350.53,348.05,337.13,343.34,345.32,343.98,346.43,357.63,347.76,333.42,322.87,323.19,316.79,313.25,306.32
1999-10-15 21:52:49+00:00,L7,365.73,348.29,329.45,338.44,344.00,333.67,315.78,290.55,293.04,285.41,289.69,293.35,300.59,310.20,325.68,322.74,325.70,331.10,337.43,334.10,331.65,334.89,341.79,346.38,322.09,330.02,350.72,349.68,345.34,337.43,339.62,344.72,343.85,348.41,356.86,347.10,333.91,323.49,316.54,315.01,304.50,308.83
1999-11-23 21:58:47+00:00,L7,361.77,335.65,333.79,338.63,348.22,326.14,301.09,287.27,282.93,277.03,281.20,295.52,301.94,307.92,322.29,315.95,318.05,326.54,327.29,327.91,325.61,324.28,330.85,337.47,322.94,324.72,327.63,342.55,337.18,330.50,332.56,336.24,336.75,345.56,351.13,334.30,323.08,317.13,313.42,311.04,306.43,309.29
1999-12-02 21:52:40+00:00,L7,365.48,344.81,346.82,341.85,365.48,347.07,,,,,,,83.18,,,,329.00,339.13,348.80,337.76,346.19,342.05,353.73,367.42,350.30,350.38,354.89,367.26,366.89,349.65,343.16,349.35,353.57,361.70,366.29,353.88,343.15,334.82,335.84,323.55,331.44,333.79
2000-01-19 21:52:37+00:00,L7,368.02,351.26,346.93,347.72,363.26,337.84,322.49,308.58,298.85,293.46,300.64,311.39,315.23,324.70,341.89,335.30,337.73,347.76,351.31,343.57,342.88,346.78,366.83,370.53,329.93,345.65,369.67,374.20,365.02,347.16,350.46,353.11,359.64,362.98,373.68,360.51,344.97,350.80,,,,
2000-02-04 21:52:37+00:00,L7,375.32,352.25,347.06,353.39,366.45,338.48,326.62,313.57,308.51,308.01,310.66,316.73,321.69,328.45,342.58,335.96,342.48,352.38,355.13,352.15,346.17,351.02,354.24,357.10,328.49,338.78,364.94,379.50,375.21,363.44,358.24,360.61,364.13,373.52,386.35,363.25,352.76,352.61,346.46,344.73,339.18,339.29
2000-03-14 21:58:35+00:00,L7,369.39,351.84,346.95,353.14,367.28,352.81,324.97,317.01,305.29,307.15,306.04,317.54,321.54,329.79,350.86,345.46,347.09,359.13,365.61,357.25,348.83,359.89,382.58,382.36,340.94,349.63,374.20,375.50,372.11,358.34,358.73,361.53,372.48,376.15,384.75,377.91,362.95,357.54,355.49,355.33,358.04,362.39
2000-03-30 21:58:33+00:00,L7,374.98,357.41,350.12,368.04,374.53,351.39,328.85,315.44,307.33,301.27,300.87,310.82,314.41,321.77,338.82,337.18,343.35,356.21,365.60,357.05,355.64,369.99,397.60,382.98,345.05,354.46,371.39,372.26,357.95,346.31,347.69,353.77,361.16,372.43,383.10,376.43,364.49,357.09,359.95,357.53,353.26,359.13
