dates,satname,nzd0063-0000,nzd0063-0001,nzd0063-0002,nzd0063-0003,nzd0063-0004,nzd0063-0005,nzd0063-0006,nzd0063-0007,nzd0063-0008,nzd0063-0009,nzd0063-0010,nzd0063-0011,nzd0063-0012,nzd0063-0013,nzd0063-0014
1999-08-26 22:04:44+00:00,L7,349.31,340.45,344.41,350.85,368.30,362.39,364.27,360.08,357.14,357.34,363.97,360.43,361.12,361.40,354.61
1999-09-27 22:04:48+00:00,L7,348.11,336.24,349.57,352.48,352.63,359.12,357.86,355.92,355.90,352.62,354.74,357.36,354.64,357.63,356.10
1999-11-14 22:04:42+00:00,L7,351.06,335.83,350.30,350.90,355.56,361.72,358.32,359.45,355.86,353.31,356.44,357.58,355.83,363.24,360.87
2000-01-17 22:04:11+00:00,L7,369.04,354.83,356.52,363.96,369.03,369.05,366.36,363.55,364.02,360.75,,,,,
2000-02-18 22:04:29+00:00,L7,,,,,358.70,352.32,358.48,362.77,358.22,356.38,359.61,359.16,361.02,364.09,358.75
2000-05-24 22:03:46+00:00,L7,345.40,341.04,355.44,354.26,367.04,367.35,363.69,361.13,358.96,356.89,370.15,363.41,365.36,366.80,362.76
2000-08-12 22:02:30+00:00,L7,365.88,351.53,362.11,366.97,370.95,368.10,366.40,363.23,360.69,360.21,372.32,366.12,365.57,366.68,364.08
2001-01-03 22:01:48+00:00,L7,369.53,353.28,356.70,363.55,369.03,363.97,366.19,361.58,360.30,358.03,370.23,363.68,365.89,367.68,363.78
2001-03-24 22:01:35+00:00,L7,334.88,324.28,334.41,348.32,348.72,345.90,,460.21,,360.06,353.37,361.02,382.19,378.40,359.33
2001-07-14 22:01:09+00:00,L7,371.11,366.95,371.95,374.55,379.84,375.76,373.09,373.39,369.03,377.93,380.59,374.56,377.40,382.06,372.41
2001-08-31 22:00:05+00:00,L7,,,,,467.72,440.06,483.47,,,565.27,,,,,
2001-10-02 22:00:04+00:00,L7,341.85,325.58,336.54,346.42,348.88,351.15,356.07,356.85,355.31,352.45,357.15,354.76,354.27,359.07,353.00
