dates,nzd0085-0000,nzd0085-0001,satname
1999-09-27 22:04:48+00:00,359.95,360.97,L7
1999-11-14 22:04:42+00:00,350.13,359.51,L7
2000-01-01 22:04:37+00:00,338.24,343.55,L7
2000-01-17 22:04:35+00:00,335.21,330.44,L7
2000-02-18 22:04:29+00:00,353.76,351.56,L7
2000-07-11 22:03:17+00:00,347.31,343.05,L7
2000-10-15 22:01:56+00:00,350.29,342.11,L7
2001-01-03 22:02:12+00:00,361.60,351.10,L7
2001-03-24 22:01:59+00:00,350.00,346.74,L7
2001-08-15 22:00:38+00:00,356.85,342.43,L7
2001-10-02 22:00:04+00:00,343.65,343.18,L7
2001-11-03 22:00:10+00:00,352.72,358.81,L7
2001-12-05 22:00:18+00:00,332.63,341.83,L7
2001-12-21 22:00:29+00:00,350.89,358.02,L7
2002-01-06 22:00:31+00:00,348.08,349.43,L7
2002-01-22 22:00:40+00:00,357.27,352.35,L7
2002-03-27 22:00:37+00:00,345.96,340.53,L7
2002-04-28 22:00:38+00:00,345.73,342.97,L7
2002-06-15 22:00:19+00:00,365.07,351.19,L7
2002-07-01 22:00:15+00:00,350.82,348.81,L7
2002-07-17 22:00:08+00:00,359.81,350.62,L7
2002-08-02 22:00:01+00:00,366.59,351.33,L7
2002-08-18 21:59:57+00:00,353.77,343.64,L7
2002-10-21 21:59:36+00:00,364.62,351.09,L7
2002-11-22 21:59:57+00:00,361.08,348.76,L7
2003-01-09 22:00:09+00:00,341.51,340.89,L7
2003-01-25 22:00:18+00:00,368.43,354.94,L7
2003-07-28 21:48:28+00:00,333.24,321.24,L5
2003-08-05 22:00:11+00:00,355.73,347.89,L7
2003-11-09 22:00:18+00:00,351.40,349.97,L7
2003-11-25 22:00:29+00:00,331.85,333.81,L7
2003-12-19 21:50:27+00:00,355.21,338.84,L5
2004-04-25 21:51:47+00:00,352.32,353.73,L5
2004-05-03 22:00:59+00:00,353.86,346.13,L7
2004-06-20 22:00:50+00:00,341.99,343.56,L7
2004-07-30 21:54:28+00:00,360.78,352.59,L5
2004-09-16 21:55:41+00:00,360.16,354.80,L5
2004-11-19 21:56:55+00:00,350.63,356.60,L5
2005-02-23 21:58:31+00:00,357.62,351.47,L5
2005-03-03 22:01:30+00:00,360.08,355.51,L7
2005-03-11 21:58:44+00:00,361.04,359.37,L5
2005-03-19 22:01:30+00:00,365.13,349.96,L7
2005-03-27 21:58:51+00:00,349.77,361.55,L5
2005-05-30 21:59:15+00:00,359.09,352.27,L5
2005-07-17 21:59:35+00:00,350.28,346.09,L5
2005-07-25 22:01:13+00:00,,368.08,L7
2005-08-26 22:01:03+00:00,344.48,333.89,L7
2005-10-13 22:00:54+00:00,348.04,340.85,L7
2005-11-30 22:01:24+00:00,355.28,347.90,L7
2006-01-17 22:01:43+00:00,360.06,362.37,L7
2006-02-18 22:01:53+00:00,342.62,346.56,L7
2006-03-14 22:02:55+00:00,335.84,,L5
2006-04-15 22:03:30+00:00,361.49,362.69,L5
2006-05-17 22:03:57+00:00,361.84,363.76,L5
2006-06-10 22:01:49+00:00,364.52,354.87,L7
2006-07-04 22:04:41+00:00,354.61,333.88,L5
2006-07-28 22:01:30+00:00,361.82,361.93,L7
2006-11-25 22:06:19+00:00,350.72,,L5
2006-12-03 22:01:55+00:00,350.57,349.23,L7
2007-01-04 22:02:01+00:00,362.45,350.34,L7
2007-02-13 22:06:47+00:00,354.36,344.81,L5
2007-05-12 22:02:11+00:00,355.39,347.23,L7
2007-11-20 22:01:58+00:00,352.88,343.26,L7
2008-05-30 22:01:41+00:00,367.34,353.96,L7
2008-08-02 22:01:03+00:00,337.56,330.64,L7
2008-08-18 22:00:56+00:00,351.10,346.25,L7
2008-09-03 22:00:49+00:00,322.98,325.24,L7
2008-09-19 22:00:40+00:00,357.21,353.20,L7
2008-10-21 22:00:36+00:00,354.12,351.77,L7
2009-01-01 21:56:31+00:00,353.01,357.23,L5
2009-01-25 22:01:34+00:00,348.01,348.41,L7
2009-02-02 21:57:22+00:00,353.87,349.99,L5
2009-03-30 22:02:04+00:00,343.80,347.28,L7
2009-06-02 22:02:15+00:00,362.26,,L7
2009-06-18 22:02:13+00:00,369.17,346.41,L7
2009-07-04 22:02:11+00:00,351.14,341.52,L7
2009-07-20 22:02:06+00:00,363.68,349.37,L7
2009-08-21 22:01:59+00:00,344.17,344.96,L7
2009-11-25 22:02:33+00:00,358.12,349.96,L7
2009-12-27 22:03:02+00:00,350.63,345.92,L7
2010-01-20 22:02:37+00:00,352.76,351.21,L5
2010-03-17 22:03:57+00:00,338.40,336.98,L7
2010-05-04 22:03:59+00:00,363.48,356.15,L7
2010-07-07 22:04:01+00:00,354.40,343.87,L7
2010-07-23 22:04:02+00:00,347.43,345.50,L7
2010-09-25 22:04:05+00:00,362.75,359.95,L7
2010-11-12 22:04:30+00:00,348.04,349.09,L7
2011-01-07 22:01:44+00:00,359.83,360.10,L5
2011-01-15 22:05:06+00:00,352.69,344.90,L7
2011-02-16 22:05:15+00:00,347.86,347.80,L7
2011-03-12 22:01:43+00:00,364.29,357.32,L5
2011-04-05 22:05:26+00:00,370.84,364.70,L7
2011-07-10 22:05:20+00:00,357.67,340.87,L7
2011-08-11 22:05:13+00:00,334.23,332.57,L7
2011-09-04 22:00:27+00:00,355.35,352.94,L5
2011-09-12 22:05:05+00:00,345.13,334.68,L7
2012-04-07 22:05:52+00:00,341.27,339.20,L7
2012-06-26 22:06:18+00:00,354.77,356.35,L7
2012-10-16 22:07:34+00:00,352.00,353.75,L7
2012-11-17 22:07:47+00:00,357.40,350.69,L7
2013-02-05 22:08:01+00:00,348.43,345.94,L7
2013-03-09 22:07:57+00:00,347.58,339.86,L7
2013-03-25 22:07:51+00:00,359.07,346.82,L7
2013-04-26 22:07:43+00:00,365.63,363.05,L7
2013-05-12 22:07:41+00:00,353.87,362.56,L7
2013-05-20 22:13:50+00:00,362.18,348.25,L8
2013-05-28 22:07:35+00:00,362.94,364.48,L7
2013-06-05 22:13:51+00:00,350.60,344.58,L8
2013-06-21 22:13:43+00:00,359.80,345.02,L8
2013-07-07 22:13:48+00:00,352.50,353.29,L8
2013-07-15 22:07:11+00:00,370.63,359.78,L7
2013-08-16 22:07:07+00:00,342.10,340.67,L7
2013-09-17 22:07:29+00:00,336.27,327.88,L7
2013-11-12 22:13:32+00:00,356.75,345.11,L8
2013-11-28 22:13:25+00:00,358.89,346.25,L8
2013-12-14 22:13:21+00:00,343.70,342.35,L8
2014-01-15 22:12:57+00:00,364.38,359.69,L8
2014-01-31 22:12:52+00:00,341.82,343.45,L8
2014-02-24 22:08:31+00:00,350.71,346.50,L7
2014-03-04 22:12:23+00:00,336.80,353.75,L8
2014-03-20 22:12:13+00:00,353.35,352.23,L8
2014-03-28 22:08:46+00:00,359.00,346.24,L7
2014-04-05 22:11:58+00:00,345.29,343.32,L8
2014-04-21 22:11:42+00:00,352.99,358.84,L8
2014-05-15 22:09:08+00:00,371.12,361.52,L7
2014-05-23 22:11:18+00:00,362.16,343.78,L8
2014-05-31 22:09:12+00:00,355.43,354.82,L7
2014-06-16 22:09:12+00:00,353.12,344.12,L7
2014-07-02 22:09:19+00:00,365.06,355.47,L7
2014-08-03 22:09:27+00:00,351.71,349.40,L7
2014-08-11 22:11:51+00:00,344.62,342.23,L8
2014-09-20 22:09:32+00:00,357.76,343.96,L7
2014-10-06 22:09:44+00:00,345.41,341.10,L7
2014-10-14 22:12:02+00:00,356.69,354.14,L8
2014-12-01 22:12:00+00:00,353.98,345.91,L8
2015-01-02 22:11:50+00:00,352.60,348.01,L8
2015-01-10 22:10:23+00:00,348.84,348.64,L7
2015-02-27 22:10:40+00:00,348.79,346.35,L7
2015-03-07 22:11:30+00:00,362.23,365.52,L8
2015-03-31 22:10:52+00:00,363.69,,L7
2015-04-24 22:11:08+00:00,341.96,340.52,L8
2015-05-02 22:11:08+00:00,351.76,352.06,L7
2015-05-10 22:10:52+00:00,357.06,359.64,L8
2015-05-18 22:11:16+00:00,359.36,356.08,L7
2015-06-03 22:11:21+00:00,359.13,346.14,L7
2015-06-11 22:11:04+00:00,361.51,347.67,L8
2015-06-27 22:11:10+00:00,368.69,349.65,L8
2015-07-21 22:11:34+00:00,364.75,363.09,L7
2015-07-29 22:11:25+00:00,361.68,347.90,L8
2015-08-06 22:11:37+00:00,345.56,339.40,L7
2015-08-14 22:11:31+00:00,342.07,336.11,L8
2015-08-22 22:11:39+00:00,355.16,352.18,L7
2015-12-20 22:11:57+00:00,364.19,350.69,L8
2016-02-22 22:11:42+00:00,347.83,354.58,L8
2016-03-09 22:11:40+00:00,360.63,359.80,L8
2016-03-25 22:11:32+00:00,339.69,350.03,L8
2016-04-10 22:11:25+00:00,339.19,392.23,L8
2016-04-26 22:11:21+00:00,360.77,364.82,L8
2016-05-12 22:11:20+00:00,372.83,360.08,L8
2016-05-20 22:14:14+00:00,355.00,346.73,L7
