,dates,nzd0085-0000,nzd0085-0001
0,1999-09-27 22:04:48+00:00,153.23400223761246,154.35235977369177
1,1999-11-14 22:04:42+00:00,153.91087870120168,155.6308542712045
2,2000-01-01 22:04:37+00:00,153.1319125069871,152.61867988830193
3,2000-01-17 22:04:35+00:00,159.32120354580093,154.76732752806785
4,2000-02-18 22:04:29+00:00,159.0677356783762,155.72422770838406
5,2000-07-11 22:03:17+00:00,159.97719090524663,157.68452263909288
6,2000-10-15 22:01:56+00:00,141.55767966677456,129.87869742313967
7,2001-01-03 22:02:12+00:00,169.4664538515761,157.51961745291152
8,2001-03-24 22:01:59+00:00,153.43755619457156,147.07430538317766
9,2001-08-15 22:00:38+00:00,169.94021379862156,158.4670008826678
10,2001-10-02 22:00:04+00:00,144.775580999616,147.9461922036662
11,2001-11-03 22:00:10+00:00,145.591438987654,149.67566701441274
12,2001-12-05 22:00:18+00:00,125.14667489255238,131.35805750277433
13,2001-12-21 22:00:29+00:00,151.76654519686957,156.38030850583033
14,2002-01-06 22:00:31+00:00,159.32467715390362,158.3062510983078
15,2002-01-22 22:00:40+00:00,168.84433364288938,157.79419455574634
16,2002-03-27 22:00:37+00:00,154.01595766125382,147.5292281641742
17,2002-04-28 22:00:38+00:00,140.95541372723244,134.692898240416
18,2002-06-15 22:00:19+00:00,161.02280346439966,146.47670959541804
19,2002-07-01 22:00:15+00:00,153.5439392992649,151.0752731425167
20,2002-07-17 22:00:08+00:00,166.6699859010477,157.74137560026222
21,2002-08-02 22:00:01+00:00,171.67237830486738,158.33355329159474
22,2002-08-18 21:59:57+00:00,167.72292214663426,158.74259697445513
23,2002-09-19 21:59:35+00:00,,
24,2002-10-21 21:59:36+00:00,163.20248223167394,148.61617590358094
25,2002-11-22 21:59:57+00:00,160.09390062202928,148.33630224754734
26,2002-12-24 22:00:09+00:00,,
27,2003-01-09 22:00:09+00:00,144.07834195481271,143.2992553367725
28,2003-01-25 22:00:18+00:00,171.88022669634017,160.94027654217365
29,2003-02-26 22:00:28+00:00,,
30,2003-07-28 21:48:28+00:00,,
31,2003-08-05 22:00:11+00:00,167.02943051329268,156.36576251889431
32,2003-08-13 21:48:21+00:00,,
33,2003-09-14 21:49:18+00:00,,
34,2003-11-09 22:00:18+00:00,154.73917903969436,153.721774309455
35,2003-11-25 22:00:29+00:00,124.1826985956375,123.24762309306608
36,2003-12-19 21:50:27+00:00,,
37,2004-04-25 21:51:47+00:00,,
38,2004-05-03 22:00:59+00:00,166.4564464411756,155.433860040382
39,2004-06-20 22:00:50+00:00,139.95925103936597,143.38358791305382
40,2004-07-22 22:00:44+00:00,,
41,2004-07-30 21:54:28+00:00,,
42,2004-09-16 21:55:41+00:00,,
43,2004-11-19 21:56:55+00:00,,
44,2005-01-14 22:01:13+00:00,,
45,2005-02-23 21:58:31+00:00,,
46,2005-03-03 22:01:30+00:00,166.9779551925369,156.20023156618277
47,2005-03-11 21:58:44+00:00,,
48,2005-03-19 22:01:30+00:00,170.49265758165458,157.61928172271985
49,2005-03-27 21:58:51+00:00,,
50,2005-05-30 21:59:15+00:00,,
51,2005-07-09 22:01:14+00:00,,
52,2005-07-17 21:59:35+00:00,,
53,2005-07-25 22:01:13+00:00,,157.1651159469497
54,2005-08-10 22:01:10+00:00,,
55,2005-08-26 22:01:03+00:00,155.12311190399976,139.51721377548554
56,2005-10-13 22:00:54+00:00,169.4720671934063,157.97541480854585
57,2005-11-30 22:01:24+00:00,162.28714790486774,154.88199581914438
58,2006-01-17 22:01:43+00:00,147.3837524755441,145.78319011560853
59,2006-02-18 22:01:53+00:00,140.0584462125496,137.3115774543013
60,2006-03-14 22:02:55+00:00,,
61,2006-04-15 22:03:30+00:00,,
62,2006-05-17 22:03:57+00:00,,
63,2006-06-10 22:01:49+00:00,170.28790695285767,162.6743950970822
64,2006-06-26 22:01:44+00:00,,
65,2006-07-04 22:04:41+00:00,,
