dates,nzd0538-0000,nzd0538-0001,nzd0538-0002,nzd0538-0003,nzd0538-0004,nzd0538-0005,nzd0538-0006,nzd0538-0007,nzd0538-0008,nzd0538-0009,nzd0538-0010,nzd0538-0011,nzd0538-0012,nzd0538-0013,nzd0538-0014,nzd0538-0015,nzd0538-0016,nzd0538-0017,nzd0538-0018,nzd0538-0019,satname
1999-08-17 22:13:37+00:00,326.28,314.29,323.07,331.43,350.56,345.42,352.10,374.26,365.42,346.08,347.38,360.51,369.42,,315.33,313.18,314.77,322.78,336.57,322.30,L7
1999-10-04 22:13:49+00:00,332.23,318.49,325.13,331.02,346.85,341.90,348.11,365.39,357.10,337.25,336.01,352.81,365.52,356.67,317.95,316.48,320.30,326.25,335.26,307.15,L7
1999-10-13 22:07:36+00:00,332.44,321.24,327.07,333.28,345.99,342.03,344.93,361.17,352.57,337.28,335.13,349.60,360.46,356.67,320.23,318.54,320.85,328.45,332.65,313.77,L7
1999-11-05 22:13:40+00:00,332.61,321.92,327.64,332.14,346.06,341.00,344.29,361.33,352.29,336.98,334.69,347.56,358.82,356.67,317.80,315.94,318.15,326.10,332.59,317.62,L7
1999-12-07 22:13:41+00:00,338.11,324.49,328.19,334.84,348.31,345.25,346.55,363.16,355.23,338.93,336.49,348.59,359.45,365.05,321.52,319.01,323.48,326.10,332.59,319.12,L7
1999-12-16 22:07:33+00:00,340.95,324.92,329.55,335.78,348.99,346.97,348.38,365.95,357.90,342.02,337.40,350.18,361.83,364.25,322.00,319.55,324.50,329.67,335.37,319.47,L7
2000-02-02 22:07:23+00:00,340.46,326.16,331.11,336.89,349.00,347.09,348.93,366.57,358.50,342.30,337.26,350.31,362.97,367.81,323.44,321.18,325.47,330.84,336.82,319.56,L7
2000-03-21 22:07:12+00:00,345.70,330.88,333.00,338.62,348.80,348.22,350.26,366.90,359.58,345.28,339.87,351.55,362.71,366.96,328.66,325.33,328.88,334.53,334.20,323.09,L7
2000-05-08 22:06:44+00:00,349.76,335.85,336.46,343.67,352.31,354.47,357.01,372.29,367.19,353.20,345.90,357.00,368.60,368.56,336.38,331.79,334.90,339.70,337.58,331.63,L7
2000-05-15 22:12:54+00:00,349.76,334.21,335.34,341.65,351.57,352.88,356.85,370.88,365.34,351.97,344.89,356.20,369.49,368.56,336.38,331.79,334.90,339.70,337.58,333.39,L7
2000-05-31 22:12:42+00:00,341.78,334.21,335.34,337.16,347.15,349.80,352.82,365.93,362.74,347.76,343.06,352.40,364.67,368.56,331.44,326.60,328.81,333.92,331.35,331.17,L7
2000-08-12 22:05:41+00:00,327.37,331.01,331.00,332.79,343.57,345.08,348.53,358.59,356.74,343.71,342.23,350.28,358.82,354.79,327.37,322.10,319.86,327.58,320.67,333.71,L7
2000-08-19 22:11:49+00:00,320.30,322.41,331.00,337.37,343.57,345.08,348.53,358.59,356.74,343.71,342.23,350.28,358.82,354.79,327.37,322.10,319.86,327.58,320.67,333.71,L7
2000-09-20 22:11:14+00:00,315.20,316.71,326.87,334.88,339.92,342.00,346.66,356.88,354.81,339.46,336.21,345.84,358.42,352.48,319.41,315.51,315.07,322.04,324.84,326.09,L7
2000-10-15 22:04:43+00:00,314.06,314.72,324.52,332.51,337.40,338.99,342.62,353.89,351.43,333.96,332.29,341.78,354.39,352.48,314.90,312.07,311.59,318.25,323.02,326.09,L7
2000-12-02 22:04:57+00:00,319.77,313.13,322.00,336.23,336.63,337.87,341.34,357.48,350.43,331.57,329.16,339.72,351.99,352.23,315.22,312.34,313.24,321.05,327.22,316.68,L7
2001-01-10 22:11:15+00:00,327.15,318.30,323.05,336.26,336.65,338.89,343.44,357.48,354.92,337.41,335.06,343.68,353.92,355.66,315.22,315.06,319.85,328.08,334.17,326.52,L7
2001-02-11 22:11:12+00:00,334.06,320.04,324.09,335.28,333.93,335.82,343.15,357.12,352.42,334.46,331.49,340.85,352.09,359.27,315.72,315.03,319.80,327.12,334.90,328.26,L7
2001-02-20 22:05:00+00:00,342.70,327.76,326.33,331.46,335.77,336.41,343.71,357.18,351.15,334.39,331.08,340.64,351.53,359.22,317.80,315.46,320.44,328.25,334.95,329.29,L7
2001-05-11 22:04:33+00:00,352.42,335.76,340.14,335.47,339.73,339.15,346.94,359.65,352.27,338.55,334.56,343.85,352.33,359.87,324.04,319.65,326.39,335.90,339.12,334.38,L7
2001-05-27 22:04:24+00:00,350.53,335.51,340.70,336.93,341.11,341.20,347.69,361.99,352.89,340.01,335.96,344.64,353.46,364.48,326.51,323.31,328.28,335.90,339.12,334.38,L7
2001-07-05 22:10:09+00:00,345.36,334.61,340.21,334.26,340.32,339.71,346.48,359.05,351.35,339.58,335.80,344.85,351.54,364.61,325.25,323.67,325.93,335.54,339.11,337.76,L7
2001-07-14 22:03:57+00:00,342.81,333.67,342.31,335.06,343.17,340.62,349.69,362.50,352.55,338.76,334.21,347.34,354.79,364.48,327.62,324.52,322.24,328.90,328.95,338.87,L7
2001-08-15 22:03:26+00:00,338.98,332.64,342.34,334.71,343.94,344.09,354.00,366.62,360.49,345.87,340.34,351.66,362.08,364.54,328.53,325.13,323.91,332.84,335.63,333.33,L7
2002-01-29 22:09:33+00:00,346.18,319.49,324.45,330.13,336.14,337.40,348.51,367.15,366.86,345.88,336.46,347.93,365.94,358.58,319.36,313.11,319.01,335.34,352.73,307.20,L7
2002-03-18 22:09:33+00:00,338.50,310.86,316.98,325.48,328.77,329.75,333.69,333.44,347.08,324.85,312.28,346.15,341.12,366.31,296.31,302.82,308.88,325.85,334.84,306.10,L7
2002-04-03 22:09:32+00:00,328.90,304.96,309.97,321.29,325.17,325.60,335.74,340.18,345.77,326.00,315.09,339.70,341.09,366.31,298.74,299.31,305.14,321.63,327.20,296.50,L7
2002-04-12 22:03:25+00:00,321.90,304.12,310.29,321.67,325.42,324.94,333.85,342.57,343.57,323.37,314.31,335.28,338.79,366.31,299.59,299.78,303.96,317.54,323.89,299.88,L7
2002-05-14 22:03:19+00:00,322.10,307.12,313.64,324.75,328.18,327.92,336.95,350.48,343.57,323.31,315.98,336.13,343.67,369.67,306.87,304.25,307.57,317.54,331.67,313.96,L7
2002-06-15 22:03:07+00:00,322.06,310.28,316.91,326.33,330.48,329.14,339.94,354.03,345.33,324.36,318.50,338.16,345.76,369.67,310.27,308.06,311.16,320.39,332.28,315.92,L7
2002-06-22 22:09:15+00:00,320.02,310.63,317.45,325.62,328.75,329.13,339.37,353.09,343.06,323.97,318.19,337.63,345.73,359.68,310.83,308.31,311.63,319.24,330.71,314.50,L7
2002-07-08 22:09:12+00:00,321.50,312.36,318.85,327.20,330.43,329.41,340.57,354.27,343.63,324.44,318.36,338.63,348.01,359.68,312.06,310.43,313.51,321.17,331.28,314.10,L7
2002-08-09 22:08:57+00:00,315.68,309.29,317.47,325.98,329.60,328.78,339.14,354.27,341.43,323.21,316.07,337.38,345.58,357.97,311.98,311.37,313.58,316.77,326.60,316.27,L7
2002-09-10 22:08:43+00:00,318.70,309.53,318.11,326.74,330.78,328.99,339.09,354.61,341.89,322.71,316.43,336.40,346.71,360.10,312.88,312.25,314.29,317.77,327.17,316.94,L7
2002-09-26 22:08:32+00:00,318.58,309.96,318.45,327.56,331.51,328.97,339.93,355.33,343.18,324.27,318.76,335.43,349.97,357.93,315.05,314.49,315.87,319.42,329.40,318.67,L7
2002-11-13 22:08:42+00:00,323.02,312.62,321.96,327.63,332.74,328.84,340.55,354.22,343.22,323.93,316.37,336.29,353.72,354.18,318.51,319.22,320.59,323.54,328.67,321.06,L7
2002-11-29 22:09:01+00:00,326.42,314.42,321.23,327.86,332.80,329.37,342.40,356.45,345.07,325.33,318.02,338.00,355.17,357.61,320.33,320.14,322.00,324.94,329.87,321.08,L7
2003-02-01 22:09:21+00:00,340.94,315.14,319.08,328.50,335.69,331.21,341.38,360.23,349.46,330.01,322.54,339.60,358.82,364.23,325.10,322.74,327.05,328.19,329.42,327.50,L7
2003-02-10 22:03:16+00:00,340.94,320.21,320.52,329.26,335.69,331.21,343.36,360.23,347.25,328.89,323.80,340.17,359.17,364.24,328.74,324.69,329.68,332.57,329.99,329.81,L7
2003-05-01 22:03:22+00:00,355.10,325.82,322.61,330.49,338.06,334.57,345.34,365.94,352.27,332.88,328.84,344.06,362.11,367.57,330.90,326.60,332.53,334.58,331.38,331.20,L7
2003-05-17 22:03:18+00:00,355.10,325.01,321.79,332.21,339.60,337.94,347.98,370.88,358.25,340.94,340.65,351.10,365.23,368.38,332.31,327.37,330.73,333.97,336.10,328.36,L7
2003-08-05 22:02:59+00:00,,318.38,320.45,322.25,334.05,334.46,344.64,357.47,355.35,340.16,338.77,349.19,362.88,362.59,325.62,324.25,321.75,329.15,334.13,318.93,L7
2003-08-13 21:51:32+00:00,363.01,316.30,320.46,325.17,335.65,333.54,347.19,363.90,364.28,348.35,347.72,357.30,367.45,365.66,317.98,323.44,315.50,321.90,336.02,314.96,L5
2003-10-07 21:58:35+00:00,349.37,317.64,322.25,329.20,338.44,336.41,348.81,367.72,365.81,347.26,345.97,357.05,368.20,368.15,323.18,324.59,321.13,325.91,338.69,318.18,L5
2003-10-15 22:08:58+00:00,349.37,317.64,322.25,329.20,339.16,337.19,347.42,366.15,364.19,345.65,343.55,355.08,365.81,368.15,323.18,324.59,321.13,325.91,336.70,316.94,L7
2003-11-16 22:09:23+00:00,344.44,316.89,324.06,329.54,340.29,340.60,352.23,370.02,366.67,349.01,344.18,358.19,368.44,369.34,330.85,327.68,326.62,326.98,336.20,322.20,L7
2003-12-26 21:59:30+00:00,342.99,321.91,326.91,334.58,344.48,339.64,349.98,368.91,364.53,347.75,342.48,356.07,367.85,370.88,336.22,331.98,331.68,331.44,336.94,322.51,L5
2004-03-15 21:59:53+00:00,337.80,326.01,329.02,341.73,349.26,344.00,350.29,369.59,365.05,348.40,341.27,355.20,366.23,368.43,334.28,332.11,337.68,337.94,339.48,331.99,L5
2004-03-16 22:03:52+00:00,337.04,324.01,327.93,339.12,347.61,343.77,349.31,368.78,364.34,348.40,341.27,355.20,366.23,368.43,332.46,323.21,334.44,333.81,338.22,333.01,L7
