dates,satname,nzd0434-0000,nzd0434-0001,nzd0434-0002,nzd0434-0003,nzd0434-0004,nzd0434-0005,nzd0434-0006,nzd0434-0007,nzd0434-0008,nzd0434-0009,nzd0434-0010,nzd0434-0011,nzd0434-0012,nzd0434-0013,nzd0434-0014,nzd0434-0015,nzd0434-0016,nzd0434-0017,nzd0434-0018,nzd0434-0019,nzd0434-0020,nzd0434-0021,nzd0434-0022,nzd0434-0023,nzd0434-0024,nzd0434-0025,nzd0434-0026,nzd0434-0027,nzd0434-0028,nzd0434-0029,nzd0434-0030,nzd0434-0031,nzd0434-0032,nzd0434-0033,nzd0434-0034,nzd0434-0035,nzd0434-0036
1999-10-27 22:19:03+00:00,L7,401.77,396.25,405.07,420.21,426.59,422.23,415.69,411.22,408.87,414.23,416.90,408.78,405.32,407.33,409.07,404.46,403.46,399.30,397.41,395.94,389.57,392.71,389.45,382.45,377.42,365.11,357.69,341.74,344.52,343.85,351.64,288.25,362.51,362.28,408.85,361.01,391.21
1999-11-21 22:12:47+00:00,L7,393.19,401.71,402.29,410.60,409.47,400.70,395.19,386.73,390.12,393.94,397.35,394.09,388.36,390.16,387.02,379.01,370.79,365.86,360.84,356.12,360.15,350.31,345.86,345.46,78.79,174.48,191.43,338.57,365.00,361.63,350.07,333.08,157.53,343.35,327.93,332.06,361.06
1999-11-28 22:18:56+00:00,L7,397.53,405.15,408.88,422.84,430.32,430.01,424.90,419.36,421.77,419.44,406.14,412.65,403.07,402.08,402.01,401.08,391.18,396.01,391.90,381.92,383.65,390.77,409.89,434.12,456.93,458.36,418.30,405.52,381.23,384.90,394.77,400.02,403.83,408.73,405.65,390.62,424.40
1999-12-07 22:12:53+00:00,L7,369.58,369.54,386.46,395.84,400.45,399.67,395.93,399.55,399.60,392.74,392.55,383.75,381.33,379.19,380.14,377.35,373.89,368.00,367.96,369.44,361.76,377.10,377.41,395.89,361.45,164.92,363.20,379.66,374.99,364.60,370.73,364.04,372.70,367.34,367.67,331.95,382.03
1999-12-14 22:19:07+00:00,L7,391.92,394.30,407.52,415.89,424.74,419.58,416.16,421.57,421.34,417.10,416.46,409.64,404.51,399.37,407.19,398.55,393.08,387.06,393.92,395.08,396.74,402.57,410.63,421.65,427.42,428.85,406.12,409.10,404.20,393.97,395.69,393.27,419.06,417.53,413.30,394.39,405.57
2000-01-24 22:12:47+00:00,L7,,151.16,122.16,124.90,184.22,,,,,,,411.69,402.07,399.29,393.81,388.28,399.49,397.75,397.44,405.63,410.21,413.33,412.39,401.60,66.69,408.28,415.72,406.30,401.07,397.42,393.34,392.29,364.94,382.49,352.51,202.34,256.70
2000-02-16 22:18:52+00:00,L7,428.19,446.94,437.35,442.54,454.77,454.58,460.17,460.14,530.10,516.31,439.84,444.92,427.50,,506.23,,449.61,497.45,516.87,441.17,444.21,531.63,541.78,590.60,549.95,496.59,517.92,608.30,544.56,514.22,,,,619.18,,,541.07
2000-04-13 22:12:18+00:00,L7,381.76,371.69,387.87,397.02,407.67,404.83,399.39,393.82,393.65,391.28,393.57,394.65,393.36,393.47,,,,,,,,,,,,,,,,,,,,421.11,405.42,393.25,393.26
2000-05-31 22:11:54+00:00,L7,360.18,354.50,348.79,366.40,365.46,368.99,372.76,367.62,373.55,373.97,366.65,372.86,367.73,,,,,,,,,,,,,,,,,,,,,,102.12,,224.68
2000-09-20 22:10:27+00:00,L7,379.14,369.28,369.47,391.84,401.73,402.78,399.81,401.84,403.01,409.08,398.25,399.60,387.58,385.65,,,,,,,,,,,,,,376.67,372.05,367.82,377.64,302.66,334.54,326.54,333.91,347.06,348.20
