dates,satname,nzd0186-0000,nzd0186-0001,nzd0186-0002,nzd0186-0003,nzd0186-0004,nzd0186-0005,nzd0186-0006,nzd0186-0007
1999-08-12 21:52:44+00:00,L7,,,,,,,,
1999-09-29 21:52:52+00:00,L7,313.60,312.12,320.37,324.42,335.20,331.85,341.79,345.74
1999-10-15 21:52:49+00:00,L7,306.90,300.14,303.76,309.83,322.13,317.33,331.39,336.98
1999-10-22 21:58:52+00:00,L7,328.70,324.59,324.39,331.34,340.56,334.25,345.61,347.75
1999-11-16 21:52:44+00:00,L7,323.19,310.72,315.19,322.30,330.98,323.68,338.71,349.73
1999-12-09 21:58:57+00:00,L7,307.72,298.65,302.88,313.98,319.09,312.97,329.06,333.36
2000-03-14 21:58:35+00:00,L7,325.52,318.18,325.76,329.26,327.02,332.93,345.46,345.06
2000-03-30 21:58:33+00:00,L7,328.15,324.01,328.74,333.99,332.86,335.94,345.33,347.52
2000-05-01 21:58:18+00:00,L7,335.34,327.81,330.74,339.46,336.63,341.28,345.22,352.19
2000-08-05 21:57:08+00:00,L7,281.93,280.40,286.86,290.07,303.37,309.47,316.24,324.47
2000-12-20 21:50:16+00:00,L7,,,,334.03,,,,
2001-01-12 21:56:30+00:00,L7,290.70,276.57,275.94,282.67,294.90,309.50,308.28,299.85
2001-03-10 21:50:10+00:00,L7,,,,,529.11,582.80,,
2001-05-13 21:49:45+00:00,L7,,,,,,,,
2001-06-05 21:55:40+00:00,L7,329.86,317.11,327.92,324.37,334.73,336.15,346.69,348.27
2001-06-21 21:55:29+00:00,L7,329.77,316.49,328.77,321.35,335.77,335.80,346.09,344.57
2001-09-09 21:54:36+00:00,L7,300.16,292.21,299.96,308.60,327.89,317.51,334.23,333.92
2001-10-11 21:54:09+00:00,L7,316.10,309.56,316.81,319.37,331.90,327.65,345.76,343.68
2002-01-24 21:48:42+00:00,L7,314.37,316.20,314.79,331.29,344.56,344.23,346.67,355.29
2002-01-31 21:54:50+00:00,L7,283.66,277.07,283.91,294.52,302.14,303.94,313.58,321.63
2002-02-16 21:54:54+00:00,L7,273.57,278.79,288.18,295.69,306.03,304.19,313.99,310.45
2002-03-13 21:48:44+00:00,L7,,,,,,,,
2002-03-20 21:54:48+00:00,L7,307.18,304.20,314.19,312.25,317.99,316.23,332.78,341.66
2002-04-05 21:54:49+00:00,L7,339.69,365.21,,,,164.25,,
2002-05-16 21:48:34+00:00,L7,75.79,,,,,,,
2002-06-01 21:48:28+00:00,L7,,,,,329.90,330.84,339.87,351.28
2002-07-19 21:48:09+00:00,L7,,,,,,,,
2002-08-20 21:47:58+00:00,L7,,,,,,,,
2002-08-27 21:54:00+00:00,L7,312.38,316.92,325.74,322.46,338.81,337.81,347.12,356.03
2002-09-12 21:53:55+00:00,L7,,,,309.98,317.56,305.00,311.19,314.72
2002-10-07 21:47:33+00:00,L7,311.06,302.80,306.92,313.84,315.97,313.52,325.67,330.96
2002-10-14 21:53:43+00:00,L7,325.63,317.22,318.02,325.82,330.15,328.71,345.14,346.84
2002-10-23 21:47:39+00:00,L7,320.86,317.04,308.98,318.69,321.87,321.64,337.36,335.92
2002-11-08 21:47:44+00:00,L7,332.31,323.66,329.88,340.05,337.28,334.93,340.55,347.88
2003-01-18 21:54:30+00:00,L7,314.87,305.15,307.80,320.28,320.19,317.21,333.53,335.91
2003-02-03 21:54:38+00:00,L7,297.28,290.13,,,,,,
2003-02-28 21:48:32+00:00,L7,,,,,634.11,,,
2003-03-16 21:48:34+00:00,L7,,,,,,,,
2003-03-23 21:54:40+00:00,L7,301.69,288.39,291.36,300.72,312.34,313.41,329.50,324.24
2003-04-17 21:48:36+00:00,L7,,,,,,,,
2003-05-03 21:48:37+00:00,L7,,,,,,320.17,,441.70
2003-05-10 21:54:46+00:00,L7,334.34,317.48,315.94,320.23,318.03,317.35,339.76,342.02
2003-05-26 21:54:43+00:00,L7,317.12,310.71,312.12,324.41,331.10,331.88,353.40,355.47
2003-07-21 21:42:33+00:00,L5,313.34,311.18,313.08,331.15,336.94,335.93,360.43,353.80
2003-08-06 21:42:51+00:00,L5,307.61,295.24,303.36,315.02,328.75,329.83,353.07,357.77
