dates,nzd0407-0000,nzd0407-0001,nzd0407-0002,nzd0407-0003,nzd0407-0004,nzd0407-0005,nzd0407-0006,nzd0407-0007,nzd0407-0008,nzd0407-0009,nzd0407-0010,nzd0407-0011,nzd0407-0012,nzd0407-0013,nzd0407-0014,nzd0407-0015,nzd0407-0016,nzd0407-0017,nzd0407-0018,nzd0407-0019,nzd0407-0020,nzd0407-0021,nzd0407-0022,nzd0407-0023,nzd0407-0024,nzd0407-0025,nzd0407-0026,nzd0407-0027,nzd0407-0028,nzd0407-0029,nzd0407-0030,nzd0407-0031,nzd0407-0032,nzd0407-0033,nzd0407-0034,nzd0407-0035,nzd0407-0036,nzd0407-0037,nzd0407-0038,nzd0407-0039,nzd0407-0040,nzd0407-0041,nzd0407-0042,nzd0407-0043,nzd0407-0044,satname
1999-09-04 22:00:33+00:00,344.58,340.96,347.63,350.57,350.04,354.26,351.09,348.57,351.22,352.50,357.39,358.55,352.20,355.84,353.16,356.96,351.72,342.66,311.86,338.49,336.99,329.35,336.56,336.29,338.10,342.31,345.31,347.55,350.48,343.47,341.93,341.96,345.10,345.45,346.71,350.76,345.30,339.57,333.57,332.86,337.14,344.64,348.55,350.68,361.24,L7
1999-10-22 22:00:28+00:00,352.87,346.28,350.03,354.52,353.86,356.00,355.67,353.31,364.25,364.44,368.48,377.76,380.35,368.76,363.52,360.99,360.74,353.58,342.72,347.15,349.89,346.49,352.70,355.68,358.13,360.31,361.96,356.56,353.14,346.57,350.21,349.26,348.07,347.19,345.76,352.56,349.42,344.01,340.12,334.97,334.78,337.71,348.71,357.79,360.93,L7
1999-12-09 22:00:33+00:00,,,,,,,,,,,,,,,,,,344.82,331.83,344.20,335.31,339.62,340.90,345.54,344.82,350.69,351.95,346.81,339.71,337.34,335.24,335.94,340.54,335.30,341.26,342.04,344.74,341.90,,,,,,,,L7
1999-12-25 22:00:28+00:00,343.31,337.82,336.15,342.06,342.51,346.73,342.64,345.63,344.21,350.54,357.14,360.43,360.37,359.42,352.45,351.61,343.40,340.13,331.11,335.36,332.11,328.72,341.05,341.35,342.50,343.91,349.99,349.46,340.83,338.65,336.29,334.17,338.68,340.93,343.68,341.75,338.77,331.19,327.88,333.74,331.16,333.12,339.58,339.78,345.07,L7
2000-01-26 22:00:26+00:00,346.48,341.11,335.89,343.02,345.15,351.66,350.11,350.56,347.59,355.12,355.66,358.84,356.04,356.00,355.83,355.33,345.99,333.01,342.03,333.94,331.77,330.76,341.72,337.47,342.56,343.00,343.98,344.61,344.59,340.60,334.52,340.80,344.98,345.84,343.06,342.18,337.37,328.35,328.14,332.90,326.13,332.68,332.17,338.74,346.71,L7
2000-02-11 22:00:21+00:00,347.67,341.03,341.13,338.85,342.80,347.62,347.81,346.96,346.75,352.64,353.45,358.54,355.74,349.06,349.21,351.10,345.81,331.99,337.81,335.07,327.22,331.41,338.25,332.40,340.61,342.70,343.64,343.08,340.73,336.90,338.12,337.37,339.78,345.21,344.35,341.51,336.87,331.93,329.57,338.77,333.01,334.26,335.62,337.82,346.44,L7
2000-02-27 22:00:16+00:00,349.96,343.03,345.25,345.41,347.49,349.99,348.51,346.05,344.70,348.27,352.95,359.23,355.37,353.72,356.61,350.86,351.36,336.60,341.15,338.91,334.51,330.52,336.71,338.70,344.61,345.21,347.54,341.69,339.52,339.75,344.07,345.04,348.24,344.62,345.64,340.84,346.09,335.16,334.19,339.48,338.73,338.71,337.24,340.64,342.72,L7
2000-03-30 22:00:09+00:00,345.37,342.24,347.14,352.59,350.22,355.36,353.17,350.62,349.28,352.99,352.32,357.83,358.65,358.24,352.39,356.67,349.47,349.25,341.26,343.40,344.38,345.64,348.19,349.17,349.99,356.57,361.97,357.79,353.01,348.39,348.82,354.07,354.98,351.97,346.99,349.25,350.37,346.04,346.37,347.98,337.37,338.63,338.77,343.72,353.78,L7
2000-04-15 21:59:55+00:00,339.95,340.58,344.90,348.34,349.01,351.00,347.21,346.38,343.70,345.97,350.82,357.41,357.40,353.08,351.94,348.65,351.04,348.73,335.57,340.14,338.00,334.65,336.18,339.95,347.08,356.97,364.81,355.05,354.85,345.60,341.42,347.14,353.01,354.47,352.57,343.96,342.90,339.31,337.79,335.08,331.59,333.60,334.89,337.32,344.53,L7
2000-05-01 21:59:54+00:00,347.05,343.56,348.07,356.16,353.72,354.59,353.81,353.74,349.72,353.29,358.27,362.23,362.68,365.54,361.48,362.08,361.40,356.95,345.51,352.26,354.16,349.08,357.55,365.19,368.33,368.82,364.55,358.16,357.58,358.47,356.03,359.75,356.49,361.89,361.28,356.82,357.14,350.48,345.33,349.19,344.72,339.99,343.41,338.10,349.47,L7
2000-05-17 21:59:43+00:00,344.36,342.49,346.87,354.66,352.60,354.46,351.42,352.75,349.67,353.42,357.29,359.83,358.20,358.28,350.92,356.79,359.99,347.32,320.00,335.83,337.86,341.43,348.24,356.45,355.87,356.04,360.09,350.40,347.24,336.51,335.76,344.93,348.19,352.50,340.45,340.60,346.52,345.14,338.24,340.95,342.61,332.91,333.31,336.03,341.38,L7
2000-06-18 21:59:27+00:00,,318.94,328.06,325.95,333.37,331.35,327.44,324.01,322.39,325.64,332.72,332.95,336.36,,,,,,268.50,291.86,273.38,,,,311.68,317.38,317.95,,,300.58,,,,,318.61,316.14,321.60,,,324.22,318.46,317.99,319.96,,,L7
