dates,nzd0282-0000,nzd0282-0001,nzd0282-0002,nzd0282-0003,nzd0282-0004,nzd0282-0005,nzd0282-0006,nzd0282-0007,nzd0282-0008,nzd0282-0009,nzd0282-0010,nzd0282-0011,nzd0282-0012,nzd0282-0013,nzd0282-0014,nzd0282-0015,nzd0282-0016,nzd0282-0017,nzd0282-0018,nzd0282-0019,nzd0282-0020,nzd0282-0021,nzd0282-0022,nzd0282-0023,nzd0282-0024,nzd0282-0025,nzd0282-0026,nzd0282-0027,nzd0282-0028,nzd0282-0029,nzd0282-0030,nzd0282-0031,nzd0282-0032,nzd0282-0033,nzd0282-0034,nzd0282-0035,nzd0282-0036,nzd0282-0037,nzd0282-0038,nzd0282-0039,nzd0282-0040,nzd0282-0041,nzd0282-0042,nzd0282-0043,nzd0282-0044,nzd0282-0045,nzd0282-0046,nzd0282-0047,nzd0282-0048,nzd0282-0049,nzd0282-0050,nzd0282-0051,nzd0282-0052,nzd0282-0053,nzd0282-0054,nzd0282-0055,nzd0282-0056,nzd0282-0057,nzd0282-0058,nzd0282-0059,nzd0282-0060,nzd0282-0061,nzd0282-0062,nzd0282-0063,nzd0282-0064,nzd0282-0065,nzd0282-0066,nzd0282-0067,nzd0282-0068,nzd0282-0069,nzd0282-0070,nzd0282-0071,nzd0282-0072,nzd0282-0073,nzd0282-0074,nzd0282-0075,nzd0282-0076,nzd0282-0077,nzd0282-0078,nzd0282-0079,nzd0282-0080,nzd0282-0081,nzd0282-0082,nzd0282-0083,nzd0282-0084,nzd0282-0085,nzd0282-0086,nzd0282-0087,nzd0282-0088,nzd0282-0089,nzd0282-0090,nzd0282-0091,nzd0282-0092,nzd0282-0093,nzd0282-0094,nzd0282-0095,nzd0282-0096,nzd0282-0097,nzd0282-0098,nzd0282-0099,nzd0282-0100,nzd0282-0101,nzd0282-0102,nzd0282-0103,nzd0282-0104,nzd0282-0105,nzd0282-0106,nzd0282-0107,nzd0282-0108,nzd0282-0109,nzd0282-0110,nzd0282-0111,nzd0282-0112,nzd0282-0113,nzd0282-0114,nzd0282-0115,nzd0282-0116,nzd0282-0117,nzd0282-0118,nzd0282-0119,nzd0282-0120,nzd0282-0121,nzd0282-0122,nzd0282-0123,nzd0282-0124,nzd0282-0125,nzd0282-0126,nzd0282-0127,nzd0282-0128,nzd0282-0129,nzd0282-0130,nzd0282-0131,nzd0282-0132,nzd0282-0133,nzd0282-0134,nzd0282-0135,nzd0282-0136,nzd0282-0137,nzd0282-0138,nzd0282-0139,nzd0282-0140,nzd0282-0141,nzd0282-0142,nzd0282-0143,nzd0282-0144,nzd0282-0145,nzd0282-0146,nzd0282-0147,nzd0282-0148,nzd0282-0149,nzd0282-0150,nzd0282-0151,nzd0282-0152,nzd0282-0153,nzd0282-0154,nzd0282-0155,nzd0282-0156,nzd0282-0157,nzd0282-0158,nzd0282-0159,nzd0282-0160,nzd0282-0161,nzd0282-0162,nzd0282-0163,nzd0282-0164,nzd0282-0165,nzd0282-0166,nzd0282-0167,satname
1999-08-12 21:53:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.84,397.73,403.86,406.16,,355.74,354.24,349.55,349.80,352.45,352.94,352.95,356.14,352.59,347.55,345.35,346.79,351.08,355.38,354.69,360.41,358.55,362.39,355.34,359.12,349.43,350.79,351.17,350.14,348.40,351.14,353.65,353.83,354.82,353.75,350.49,348.77,348.79,354.63,351.73,349.84,356.39,363.15,366.62,371.90,368.95,,,361.60,357.80,,,,332.62,333.07,343.89,334.74,334.24,338.22,318.37,283.97,273.18,,286.29,322.57,326.05,333.33,335.89,339.09,339.39,340.73,342.22,341.61,345.00,342.69,346.20,348.31,,355.20,346.35,345.94,344.76,352.45,353.32,358.01,362.56,363.62,358.81,356.50,L7
1999-08-21 21:46:56+00:00,347.30,341.70,340.23,342.72,338.56,,,,,,,,,,,,340.81,339.98,345.01,345.64,341.32,346.34,344.70,339.12,313.47,,,,,334.00,311.52,309.44,318.60,312.35,,,,337.42,335.25,338.67,342.17,347.26,349.37,351.38,351.72,352.13,358.28,364.06,353.68,343.30,347.88,349.46,348.83,350.78,344.34,342.32,337.99,333.73,333.91,335.11,337.63,342.83,339.34,342.08,342.60,340.96,337.25,338.57,342.95,336.92,343.73,339.94,347.71,346.48,355.91,360.87,365.84,363.24,373.29,373.36,375.37,384.21,386.83,330.13,332.91,332.75,332.97,326.66,334.12,330.20,332.61,332.06,336.64,329.16,329.87,329.84,333.84,332.99,339.24,336.90,342.79,340.45,341.21,335.87,338.85,342.22,335.87,332.10,331.78,336.68,330.23,332.23,330.65,334.71,330.72,330.09,325.92,330.62,337.31,337.40,343.78,347.39,348.43,350.07,350.81,344.15,339.23,345.52,335.58,,,,321.15,324.20,322.69,320.75,316.45,317.92,306.35,279.64,265.63,284.72,285.25,318.50,309.55,319.15,324.06,321.80,323.53,326.85,327.69,328.90,329.93,331.59,336.03,331.07,,327.47,322.33,318.65,333.42,339.41,337.05,334.81,337.49,346.69,341.93,344.21,L7
1999-08-28 21:53:11+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.77,331.90,330.45,328.86,327.06,332.42,331.84,335.48,339.90,334.00,341.10,340.00,339.31,336.88,328.46,335.63,330.90,330.07,333.62,331.42,329.90,329.15,333.15,335.01,332.44,329.11,325.70,328.65,330.31,327.67,329.30,337.20,344.86,352.15,349.21,347.36,343.46,342.49,338.82,330.14,328.82,,320.53,317.76,316.00,315.07,315.70,317.22,315.84,308.44,296.84,276.03,,306.10,311.66,305.10,312.52,319.06,312.73,314.84,318.73,313.79,319.86,321.19,329.65,333.29,334.60,326.95,331.61,329.59,330.97,335.51,336.72,338.35,338.86,336.27,341.12,344.72,346.37,L7
1999-09-22 21:47:00+00:00,347.21,338.85,346.97,346.90,346.24,342.46,348.31,340.23,341.81,322.67,338.86,340.65,341.34,347.64,351.83,339.77,347.94,345.66,342.72,344.78,351.59,350.37,348.22,348.33,338.36,333.57,333.04,344.83,341.91,333.94,315.62,318.71,315.78,323.74,338.75,342.62,342.72,338.62,341.93,339.63,350.69,346.60,350.28,354.17,356.84,368.15,367.60,361.25,359.13,352.61,355.76,354.45,353.95,353.79,348.93,349.97,347.59,339.20,339.73,342.68,341.97,346.73,346.88,348.73,343.21,345.68,341.52,345.82,347.44,341.56,348.29,351.31,353.53,358.62,356.81,358.44,361.15,370.29,404.70,,,329.90,355.10,346.12,337.73,342.92,339.65,337.73,334.91,334.48,337.16,326.77,332.30,339.78,331.55,325.65,336.54,336.07,339.68,337.17,344.29,339.79,342.66,338.46,340.36,337.66,335.37,334.86,330.89,333.31,333.13,336.27,333.75,333.67,331.54,328.54,328.81,341.13,336.34,339.24,345.91,348.71,351.92,358.45,357.08,357.43,349.71,347.39,336.98,335.63,329.50,330.73,327.90,329.60,329.06,328.53,329.15,330.30,312.98,322.50,323.00,312.07,320.01,319.51,313.53,316.98,325.32,319.12,316.66,321.74,322.79,326.29,328.36,327.35,331.87,329.62,335.29,335.56,335.26,331.05,336.41,336.60,341.84,345.31,343.06,348.01,343.74,349.42,L7
1999-09-29 21:53:16+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.93,338.66,336.33,334.91,325.86,327.33,329.86,323.45,323.73,324.81,329.34,331.80,324.32,344.13,349.30,356.08,356.90,359.11,359.10,353.85,346.31,343.80,331.52,328.72,328.20,333.77,324.80,326.50,325.83,320.39,320.83,308.46,322.99,319.72,309.14,329.54,321.96,323.56,323.72,321.20,323.80,325.13,324.89,326.55,332.71,331.88,329.05,326.29,332.54,321.34,332.20,328.61,336.21,334.10,337.70,345.13,345.41,340.93,349.28,348.38,346.96,L7
1999-10-24 21:46:56+00:00,349.93,353.82,352.28,349.38,340.75,347.15,343.32,347.65,339.60,346.73,349.07,350.61,350.38,348.45,344.02,352.85,358.15,350.78,351.00,351.52,351.25,350.72,346.55,341.21,339.09,344.63,347.87,350.29,343.24,338.54,335.89,330.46,337.13,342.21,343.90,340.04,346.14,346.81,349.11,352.75,353.67,354.81,356.63,363.60,363.58,369.68,369.08,365.86,365.87,362.75,361.35,360.77,358.08,358.85,357.78,356.43,352.27,349.26,353.42,350.09,352.33,350.85,354.79,356.66,351.97,355.33,352.60,353.89,352.33,359.42,355.11,354.28,353.04,359.56,360.06,368.10,377.53,392.13,425.93,,359.58,333.35,362.77,358.89,362.73,347.13,347.77,346.19,348.53,349.21,342.01,334.22,339.45,337.26,336.13,337.41,340.00,340.62,342.84,341.39,340.14,345.02,343.47,343.85,340.01,339.65,339.63,342.43,339.98,339.18,339.41,338.81,338.98,333.17,337.05,337.76,347.91,,,,,,,,353.93,354.08,350.87,348.50,338.73,342.16,338.84,337.01,335.07,333.50,332.37,332.25,331.91,334.23,327.83,330.60,329.49,328.65,327.95,327.81,324.90,324.74,322.52,327.38,328.18,328.92,333.83,334.51,338.22,336.65,335.03,338.77,338.89,339.17,335.99,333.96,340.33,343.99,346.32,349.65,349.01,351.16,356.08,349.56,L7
1999-10-31 21:53:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.53,352.16,350.99,356.98,353.77,356.59,352.33,354.35,352.17,353.54,349.88,341.38,342.32,338.86,339.32,344.04,347.18,345.20,344.23,336.35,338.61,340.29,340.96,339.62,335.52,336.69,337.63,336.91,338.94,340.34,339.56,342.80,340.00,341.65,340.82,344.59,346.09,350.25,352.84,356.67,361.34,365.43,365.58,363.19,360.46,352.37,346.35,346.20,344.58,343.00,345.72,341.73,339.40,338.01,337.34,334.46,332.07,331.13,328.88,327.05,330.20,331.31,331.51,332.57,331.74,330.60,333.26,327.44,324.87,329.40,332.65,340.03,335.13,336.32,330.81,334.18,332.67,335.27,341.68,346.68,346.27,349.59,350.63,352.47,352.10,348.80,L7
2000-01-19 21:53:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.51,343.60,344.04,346.72,345.44,347.16,347.63,357.30,353.74,360.46,358.17,358.63,355.34,360.40,362.31,370.75,373.77,384.17,421.28,,,,319.81,311.47,321.20,334.35,339.06,344.58,355.14,354.50,350.38,349.93,349.14,346.40,342.09,345.11,343.97,346.28,344.60,344.60,345.31,350.38,351.22,355.72,353.07,346.33,343.36,338.20,341.41,341.34,340.61,338.42,336.69,335.62,335.35,339.63,342.83,340.85,346.63,347.81,344.93,351.56,355.42,359.55,364.14,372.72,367.94,360.41,349.82,352.10,347.36,345.39,336.57,339.06,336.85,341.47,338.54,331.64,333.79,337.94,335.50,333.84,336.69,332.34,326.88,328.70,326.38,323.77,328.83,330.78,331.79,328.99,331.99,336.24,329.38,329.36,333.92,337.14,340.26,341.79,338.44,335.99,344.20,349.70,353.65,355.10,354.13,353.27,352.62,354.09,L7
2000-02-04 21:53:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.07,351.78,351.65,358.90,354.40,360.37,361.16,366.99,357.35,359.01,394.14,410.92,,346.26,316.80,313.66,304.67,313.88,309.68,315.30,327.83,323.01,333.69,335.61,337.77,329.91,334.45,326.57,323.63,324.56,325.27,328.65,331.84,333.17,339.18,339.08,339.10,332.35,333.55,327.23,329.51,330.91,327.53,331.34,328.72,334.35,327.79,329.53,330.78,329.16,331.90,332.15,332.71,331.04,334.97,341.77,347.26,354.67,352.96,346.81,345.16,344.83,336.13,334.50,325.70,326.25,326.97,326.31,324.24,322.01,321.66,320.80,321.30,322.17,322.01,319.04,322.98,318.69,315.72,316.42,322.69,319.05,317.98,319.25,320.64,327.16,328.59,328.66,327.00,331.76,334.25,337.63,330.65,,,,,,,,345.50,341.16,L7
2000-02-20 21:52:53+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.34,376.81,379.22,374.30,373.63,370.43,368.06,367.27,373.72,372.39,363.03,362.94,360.88,358.96,360.15,360.53,362.64,358.74,359.31,359.49,352.28,356.30,356.88,361.93,361.96,365.71,365.65,370.79,370.46,373.38,375.22,376.14,376.73,376.88,402.78,400.93,,363.07,348.30,330.90,322.51,329.63,337.35,339.33,345.84,349.17,348.16,350.51,352.18,352.12,349.34,346.72,348.70,344.53,352.54,354.73,355.36,350.89,354.33,358.46,353.02,357.57,355.87,355.52,353.56,351.57,340.95,345.23,348.06,345.60,345.00,343.38,338.86,339.19,340.20,344.17,349.88,353.41,358.02,359.87,364.50,370.41,364.12,365.01,361.97,358.73,353.45,348.89,341.85,339.87,342.76,338.63,333.64,335.53,334.00,336.84,331.91,333.31,328.38,329.25,329.09,326.65,325.94,329.63,330.35,326.63,328.20,329.35,332.31,332.84,335.96,341.06,338.88,346.60,344.43,345.07,344.77,340.23,342.50,346.70,352.31,355.85,355.92,354.91,351.08,348.24,L7
